market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-BTC,2018-12-05,2018-12-05T09:00:00,4456000.0,4472000.0,4232000.0,4262000.0,1544054399122,36235565227.07808,8325.80342723,4457000.0,-195000.0,-0.0437514023
KRW-BTC,2018-12-06,2018-12-06T09:00:00,4262000.0,4391000.0,3950000.0,3965000.0,1544140799358,59748180327.29378,14125.61843122,4262000.0,-297000.0,-0.0696855936
KRW-BTC,2018-12-07,2018-12-07T09:00:00,3962000.0,4005000.0,3666000.0,3868000.0,1544227196148,59708370844.57996,15549.85391268,3965000.0,-97000.0,-0.0244640605
KRW-BTC,2018-12-08,2018-12-08T09:00:00,3868000.0,3953000.0,3714000.0,3875000.0,1544313594259,29612071269.05155,7681.09933383,3868000.0,7000.0,0.0018097208
KRW-BTC,2018-12-09,2018-12-09T09:00:00,3877000.0,4120000.0,3832000.0,4013000.0,1544399999851,25604546302.7552,6483.95165173,3875000.0,138000.0,0.0356129032
KRW-BTC,2018-12-10,2018-12-10T09:00:00,4013000.0,4075000.0,3838000.0,3895000.0,1544486394403,23883074170.01762,6046.32716932,4013000.0,-118000.0,-0.0294044356
KRW-BTC,2018-12-11,2018-12-11T09:00:00,3893000.0,3924000.0,3764000.0,3822000.0,1544572799695,25692198381.7646,6669.04649885,3895000.0,-73000.0,-0.0187419769
KRW-BTC,2018-12-12,2018-12-12T09:00:00,3822000.0,3929000.0,3792000.0,3888000.0,1544659199447,21805254970.16061,5659.62569846,3822000.0,66000.0,0.0172684458
KRW-BTC,2018-12-13,2018-12-13T09:00:00,3889000.0,3900000.0,3693000.0,3721000.0,1544745592303,20265170914.68919,5314.52909104,3888000.0,-167000.0,-0.0429526749
KRW-BTC,2018-12-14,2018-12-14T09:00:00,3721000.0,3777000.0,3595000.0,3642000.0,1544831987350,21793982877.2374,5889.21194184,3721000.0,-79000.0,-0.0212308519
KRW-BTC,2018-12-15,2018-12-15T09:00:00,3641000.0,3685000.0,3562000.0,3619000.0,1544918398079,14632832607.60874,4034.72846031,3642000.0,-23000.0,-0.0063152114
KRW-BTC,2018-12-16,2018-12-16T09:00:00,3620000.0,3700000.0,3612000.0,3637000.0,1545004799812,12974785983.73166,3542.84499551,3619000.0,18000.0,0.0049737497
KRW-BTC,2018-12-17,2018-12-17T09:00:00,3636000.0,3973000.0,3625000.0,3923000.0,1545091192107,34536634668.69621,9103.62714974,3637000.0,286000.0,0.0786362387
