,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-1INCH,2022-12-05,2022-12-05T09:00:00,665.0,670.0,646.0,649.0,1670284798500,5008103986.782302,7589219.59277762,667.0,-18.0,-0.0269865067
1,KRW-1INCH,2022-12-06,2022-12-06T09:00:00,649.0,656.0,628.0,637.0,1670371162864,5554357395.703768,8666705.14359465,649.0,-12.0,-0.0184899846
2,KRW-1INCH,2022-12-07,2022-12-07T09:00:00,637.0,637.0,575.0,596.0,1670457599612,7332510571.141233,12082363.37890116,637.0,-41.0,-0.0643642072
3,KRW-1INCH,2022-12-08,2022-12-08T09:00:00,597.0,598.0,577.0,596.0,1670543968480,4475724482.177643,7623693.4672121,596.0,,0.0
4,KRW-1INCH,2022-12-09,2022-12-09T09:00:00,595.0,599.0,582.0,589.0,1670630398807,2615411279.6517105,4424880.60030484,596.0,-7.0,-0.0117449664
5,KRW-1INCH,2022-12-10,2022-12-10T09:00:00,588.0,596.0,586.0,592.0,1670716774876,2443525837.5193253,4131832.10735588,589.0,3.0,0.0050933786
6,KRW-1INCH,2022-12-11,2022-12-11T09:00:00,592.0,612.0,579.0,580.0,1670803199741,4500423804.174567,7567985.58993239,592.0,-12.0,-0.0202702703
7,KRW-1INCH,2022-12-12,2022-12-12T09:00:00,580.0,580.0,552.0,572.0,1670889596426,3551492610.6337276,6281410.1098318,580.0,-8.0,-0.0137931034
8,KRW-1INCH,2022-12-13,2022-12-13T09:00:00,573.0,585.0,549.0,578.0,1670975974048,3600610726.396043,6301206.70103592,572.0,6.0,0.0104895105
9,KRW-1INCH,2022-12-14,2022-12-14T09:00:00,576.0,580.0,561.0,563.0,1671062299943,1473589023.1164188,2567830.34192689,578.0,-15.0,-0.0259515571
10,KRW-1INCH,2022-12-15,2022-12-15T09:00:00,563.0,575.0,555.0,561.0,1671148746367,2322920068.949481,4106475.41508379,563.0,-2.0,-0.0035523979
11,KRW-1INCH,2022-12-16,2022-12-16T09:00:00,560.0,566.0,487.0,516.0,1671235198757,3994970893.5028143,7447057.72891846,561.0,-45.0,-0.0802139037
12,KRW-1INCH,2022-12-17,2022-12-17T09:00:00,515.0,517.0,496.0,516.0,1671321572069,1924723644.9727213,3808597.85076914,516.0,,0.0
13,KRW-1INCH,2022-12-18,2022-12-18T09:00:00,516.0,523.0,505.0,519.0,1671407994569,670440297.1184973,1302235.8046724,516.0,3.0,0.0058139535
14,KRW-1INCH,2022-12-19,2022-12-19T09:00:00,519.0,529.0,501.0,503.0,1671494387967,1392172411.426723,2692973.7444844,519.0,-16.0,-0.0308285164
15,KRW-1INCH,2022-12-20,2022-12-20T09:00:00,503.0,528.0,498.0,526.0,1671580792571,1013415771.4862975,1959945.40554078,503.0,23.0,0.0457256461
16,KRW-1INCH,2022-12-21,2022-12-21T09:00:00,526.0,530.0,515.0,520.0,1671667177054,1191440653.3642166,2287037.32602657,526.0,-6.0,-0.0114068441
17,KRW-1INCH,2022-12-22,2022-12-22T09:00:00,520.0,523.0,508.0,516.0,1671753575785,668238728.3264933,1294318.00095978,520.0,-4.0,-0.0076923077
18,KRW-1INCH,2022-12-23,2022-12-23T09:00:00,516.0,519.0,508.0,519.0,1671839916871,757364063.750912,1476731.66170647,516.0,3.0,0.0058139535
19,KRW-1INCH,2022-12-24,2022-12-24T09:00:00,517.0,525.0,517.0,521.0,1671926367225,594972777.0517714,1140746.95621464,519.0,2.0,0.0038535645
20,KRW-1INCH,2022-12-25,2022-12-25T09:00:00,520.0,524.0,507.0,516.0,1672012730028,923675485.1583133,1785580.63097359,521.0,-5.0,-0.009596929
