,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-AAVE,2022-12-05,2022-12-05T09:00:00,86280.0,89770.0,85460.0,86380.0,1670284767547,2297164723.883861,26213.53767807,86300.0,80.0,0.0009269988
1,KRW-AAVE,2022-12-06,2022-12-06T09:00:00,86400.0,87560.0,84320.0,85410.0,1670371195245,1241531261.6610222,14483.97528325,86380.0,-970.0,-0.0112294513
2,KRW-AAVE,2022-12-07,2022-12-07T09:00:00,85540.0,85570.0,80910.0,82140.0,1670457501581,1347565283.2298753,16224.5942145,85410.0,-3270.0,-0.038285915
3,KRW-AAVE,2022-12-08,2022-12-08T09:00:00,82140.0,84500.0,81260.0,83700.0,1670543905276,1046194123.689631,12669.95324156,82140.0,1560.0,0.0189919649
4,KRW-AAVE,2022-12-09,2022-12-09T09:00:00,83780.0,84030.0,81750.0,82110.0,1670630398755,968820748.14749,11649.43855727,83700.0,-1590.0,-0.0189964158
5,KRW-AAVE,2022-12-10,2022-12-10T09:00:00,82110.0,82700.0,81720.0,81950.0,1670716776427,599742415.187597,7293.81435626,82110.0,-160.0,-0.0019486055
6,KRW-AAVE,2022-12-11,2022-12-11T09:00:00,81910.0,82000.0,79330.0,79510.0,1670803167151,899293316.2238874,11104.38196737,81950.0,-2440.0,-0.0297742526
7,KRW-AAVE,2022-12-12,2022-12-12T09:00:00,79510.0,80700.0,78080.0,79900.0,1670889599414,1533436179.38525,19418.41356765,79510.0,390.0,0.0049050434
8,KRW-AAVE,2022-12-13,2022-12-13T09:00:00,80010.0,87720.0,76770.0,80900.0,1670975931228,6836009376.322789,82560.69189224,79900.0,1000.0,0.0125156446
9,KRW-AAVE,2022-12-14,2022-12-14T09:00:00,80830.0,82930.0,79960.0,81650.0,1671062335169,2583679792.898408,31614.95338304,80900.0,750.0,0.0092707046
10,KRW-AAVE,2022-12-15,2022-12-15T09:00:00,81650.0,82790.0,79870.0,80580.0,1671148792201,1846464293.9152348,22670.45527184,81650.0,-1070.0,-0.0131047152
11,KRW-AAVE,2022-12-16,2022-12-16T09:00:00,80580.0,80690.0,72130.0,73170.0,1671235131065,2366395820.7143846,30779.38307455,80580.0,-7410.0,-0.0919583023
12,KRW-AAVE,2022-12-17,2022-12-17T09:00:00,73180.0,74100.0,70000.0,73730.0,1671321388333,1325989977.6694112,18322.25282376,73170.0,560.0,0.0076534099
13,KRW-AAVE,2022-12-18,2022-12-18T09:00:00,73730.0,74800.0,72730.0,73880.0,1671407781076,595092732.0683818,8085.67263435,73730.0,150.0,0.00203445
14,KRW-AAVE,2022-12-19,2022-12-19T09:00:00,73900.0,74650.0,69910.0,70660.0,1671494343877,997557039.2610081,13789.34413086,73880.0,-3220.0,-0.0435841906
15,KRW-AAVE,2022-12-20,2022-12-20T09:00:00,70860.0,73440.0,70000.0,72560.0,1671580791467,1388297664.420554,19123.87313076,70660.0,1900.0,0.0268893292
16,KRW-AAVE,2022-12-21,2022-12-21T09:00:00,72560.0,73750.0,71350.0,72910.0,1671667151570,1031939575.0389864,14206.15787482,72560.0,350.0,0.0048235943
17,KRW-AAVE,2022-12-22,2022-12-22T09:00:00,73080.0,73120.0,70150.0,72260.0,1671753584513,974031191.0874752,13588.92431594,72910.0,-650.0,-0.0089151008
18,KRW-AAVE,2022-12-23,2022-12-23T09:00:00,72450.0,72870.0,70730.0,71280.0,1671839837456,933110433.0805027,13021.37739725,72260.0,-980.0,-0.0135621367
19,KRW-AAVE,2022-12-24,2022-12-24T09:00:00,71200.0,71320.0,70680.0,70970.0,1671926372459,668734603.0779363,9426.20533671,71280.0,-310.0,-0.004349046
20,KRW-AAVE,2022-12-25,2022-12-25T09:00:00,70930.0,72970.0,70020.0,70530.0,1672012772154,2888941195.119831,40476.39009642,70970.0,-440.0,-0.0061998027
21,KRW-AAVE,2022-12-26,2022-12-26T09:00:00,70500.0,72120.0,70170.0,71790.0,1672099158050,1937409189.9581296,27139.31447527,70530.0,1260.0,0.0178647384
22,KRW-AAVE,2022-12-27,2022-12-27T09:00:00,71720.0,76410.0,70710.0,73340.0,1672185596820,7517254281.463495,101874.85728496,71790.0,1550.0,0.0215907508
23,KRW-AAVE,2022-12-28,2022-12-28T09:00:00,73350.0,73760.0,67920.0,68310.0,1672271878868,2981290011.097535,42148.92265146,73340.0,-5030.0,-0.0685846741
24,KRW-AAVE,2022-12-29,2022-12-29T09:00:00,68310.0,70220.0,68000.0,69480.0,1672358217365,1917220419.9189436,27752.59192311,68310.0,1170.0,0.0171277997
25,KRW-AAVE,2022-12-30,2022-12-30T09:00:00,69430.0,69700.0,65260.0,66540.0,1672444781726,1945400747.9854867,29057.60956431,69480.0,-2940.0,-0.0423143351
26,KRW-AAVE,2022-12-31,2022-12-31T09:00:00,66540.0,68200.0,65600.0,66240.0,1672531170610,2000438585.3074906,29950.42569745,66540.0,-300.0,-0.0045085663
27,KRW-AAVE,2023-01-01,2023-01-01T09:00:00,66240.0,66600.0,65300.0,66260.0,1672617547932,886785340.5672483,13450.00774931,66240.0,20.0,0.0003019324
28,KRW-AAVE,2023-01-02,2023-01-02T09:00:00,66340.0,69000.0,65380.0,67440.0,1672703996868,1859366757.531866,27493.42527579,66260.0,1180.0,0.0178086327
29,KRW-AAVE,2023-01-03,2023-01-03T09:00:00,67450.0,68560.0,66810.0,67860.0,1672790196940,1559845509.75417,23041.87043978,67440.0,420.0,0.006227758
