,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-ADA,2022-12-05,2022-12-05T09:00:00,433.0,439.0,425.0,427.0,1670284798103,12197772606.118567,28231987.77193906,432.0,-5.0,-0.0115740741
1,KRW-ADA,2022-12-06,2022-12-06T09:00:00,427.0,429.0,421.0,426.0,1670371195398,7358791115.205226,17289118.16727711,427.0,-1.0,-0.0023419204
2,KRW-ADA,2022-12-07,2022-12-07T09:00:00,426.0,427.0,411.0,416.0,1670457575169,10848340933.350698,26012840.35186063,426.0,-10.0,-0.0234741784
3,KRW-ADA,2022-12-08,2022-12-08T09:00:00,416.0,420.0,412.0,418.0,1670543918537,7908601565.598317,19018540.59775016,416.0,2.0,0.0048076923
4,KRW-ADA,2022-12-09,2022-12-09T09:00:00,418.0,420.0,413.0,416.0,1670630389125,7198274032.414992,17269205.39681312,418.0,-2.0,-0.004784689
5,KRW-ADA,2022-12-10,2022-12-10T09:00:00,416.0,420.0,415.0,417.0,1670716792188,3558741647.581634,8539097.01818622,416.0,1.0,0.0024038462
6,KRW-ADA,2022-12-11,2022-12-11T09:00:00,416.0,419.0,408.0,410.0,1670803190768,4985398231.845842,12058791.25998952,417.0,-7.0,-0.0167865707
7,KRW-ADA,2022-12-12,2022-12-12T09:00:00,408.0,410.0,402.0,407.0,1670889589379,10626320193.02534,26226677.83263899,410.0,-3.0,-0.0073170732
8,KRW-ADA,2022-12-13,2022-12-13T09:00:00,407.0,418.0,395.0,409.0,1670975992454,16487400717.070465,40685351.54679268,407.0,2.0,0.0049140049
9,KRW-ADA,2022-12-14,2022-12-14T09:00:00,409.0,412.0,400.0,403.0,1671062395018,8418632688.210094,20751192.41206039,409.0,-6.0,-0.0146699267
10,KRW-ADA,2022-12-15,2022-12-15T09:00:00,403.0,405.0,391.0,397.0,1671148786310,10636157094.526241,26751112.7888084,403.0,-6.0,-0.0148883375
11,KRW-ADA,2022-12-16,2022-12-16T09:00:00,397.0,397.0,348.0,353.0,1671235199121,22907200683.295673,61261710.14975575,397.0,-44.0,-0.1108312343
12,KRW-ADA,2022-12-17,2022-12-17T09:00:00,353.0,356.0,342.0,354.0,1671321588434,10646289962.776176,30460874.4982581,353.0,1.0,0.0028328612
13,KRW-ADA,2022-12-18,2022-12-18T09:00:00,354.0,360.0,349.0,352.0,1671407879674,5501972538.285007,15547615.96782118,354.0,-2.0,-0.0056497175
14,KRW-ADA,2022-12-19,2022-12-19T09:00:00,354.0,356.0,327.0,333.0,1671494371917,9085882046.750937,26569304.61894546,352.0,-19.0,-0.0539772727
15,KRW-ADA,2022-12-20,2022-12-20T09:00:00,333.0,342.0,331.0,338.0,1671580766766,8202159384.604892,24355488.65595229,333.0,5.0,0.015015015
16,KRW-ADA,2022-12-21,2022-12-21T09:00:00,337.0,339.0,323.0,330.0,1671667159166,9539275360.861868,28930945.07204242,338.0,-8.0,-0.0236686391
17,KRW-ADA,2022-12-22,2022-12-22T09:00:00,330.0,335.0,321.0,335.0,1671753584790,7736766021.724434,23558427.72636988,330.0,5.0,0.0151515152
18,KRW-ADA,2022-12-23,2022-12-23T09:00:00,334.0,343.0,331.0,338.0,1671839982459,7499319670.996023,22246846.43315687,335.0,3.0,0.0089552239
19,KRW-ADA,2022-12-24,2022-12-24T09:00:00,338.0,339.0,334.0,337.0,1671926302528,2483101300.733468,7367593.18166162,338.0,-1.0,-0.0029585799
20,KRW-ADA,2022-12-25,2022-12-25T09:00:00,337.0,339.0,331.0,336.0,1672012788199,3259455660.195475,9723671.44384207,337.0,-1.0,-0.0029673591
21,KRW-ADA,2022-12-26,2022-12-26T09:00:00,336.0,342.0,332.0,340.0,1672099191391,4724947735.091465,14048942.67033274,336.0,4.0,0.0119047619
22,KRW-ADA,2022-12-27,2022-12-27T09:00:00,340.0,342.0,327.0,332.0,1672185596766,5580477758.1332855,16658353.84077154,340.0,-8.0,-0.0235294118
23,KRW-ADA,2022-12-28,2022-12-28T09:00:00,332.0,333.0,315.0,317.0,1672272000068,6610172671.658864,20554223.11170613,332.0,-15.0,-0.0451807229
24,KRW-ADA,2022-12-29,2022-12-29T09:00:00,317.0,317.0,305.0,311.0,1672358389118,7723173083.026397,24832506.90689309,317.0,-6.0,-0.0189274448
25,KRW-ADA,2022-12-30,2022-12-30T09:00:00,311.0,313.0,302.0,312.0,1672444774320,5903427949.590709,19229343.10126409,311.0,1.0,0.0032154341
26,KRW-ADA,2022-12-31,2022-12-31T09:00:00,311.0,322.0,309.0,313.0,1672531190873,3265392144.307507,10394460.16717239,312.0,1.0,0.0032051282
27,KRW-ADA,2023-01-01,2023-01-01T09:00:00,313.0,318.0,311.0,318.0,1672617593273,2884564421.333216,9202151.00728646,313.0,5.0,0.0159744409
28,KRW-ADA,2023-01-02,2023-01-02T09:00:00,317.0,326.0,313.0,322.0,1672703999834,5729500060.343798,17821445.10214604,318.0,4.0,0.0125786164
29,KRW-ADA,2023-01-03,2023-01-03T09:00:00,322.0,327.0,320.0,323.0,1672790355960,6147815500.451515,18991082.67777648,322.0,1.0,0.0031055901
30,KRW-ADA,2023-01-04,2023-01-04T09:00:00,323.0,346.0,323.0,342.0,1672876799409,13709855745.44344,40581182.90368346,323.0,19.0,0.0588235294
31,KRW-ADA,2023-01-05,2023-01-05T09:00:00,342.0,347.0,335.0,345.0,1672963199401,8852077287.939068,25953274.3271599,342.0,3.0,0.0087719298
