,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-AHT,2022-12-05,2022-12-05T09:00:00,7.09,7.59,7.0,7.06,1670284794013,11313219821.577187,1561218425.856976,7.09,-0.03,-0.0042313117
1,KRW-AHT,2022-12-06,2022-12-06T09:00:00,7.05,7.08,6.88,6.95,1670371190945,1577520053.93628,226446828.5601643,7.06,-0.11,-0.0155807365
2,KRW-AHT,2022-12-07,2022-12-07T09:00:00,6.95,7.15,6.54,6.86,1670457595219,7114326500.464636,1028274363.219356,6.95,-0.09,-0.0129496403
3,KRW-AHT,2022-12-08,2022-12-08T09:00:00,6.84,7.09,6.77,6.99,1670543978727,3591499957.756827,518104556.06145215,6.86,0.13,0.0189504373
4,KRW-AHT,2022-12-09,2022-12-09T09:00:00,6.96,7.39,6.83,7.16,1670630396805,10589083783.983479,1470842137.1150815,6.99,0.17,0.0243204578
5,KRW-AHT,2022-12-10,2022-12-10T09:00:00,7.17,7.21,6.99,7.08,1670716798231,2592577567.845789,365919680.4557115,7.16,-0.08,-0.0111731844
6,KRW-AHT,2022-12-11,2022-12-11T09:00:00,7.07,7.07,6.9,6.91,1670803176674,1047793609.2099729,150004628.82171157,7.08,-0.17,-0.0240112994
7,KRW-AHT,2022-12-12,2022-12-12T09:00:00,6.91,6.92,6.59,6.86,1670889595137,1531024841.2822382,227721449.12267625,6.91,-0.05,-0.00723589
8,KRW-AHT,2022-12-13,2022-12-13T09:00:00,6.85,7.12,6.58,6.95,1670975967385,6100485396.633868,880799665.5814182,6.86,0.09,0.0131195335
9,KRW-AHT,2022-12-14,2022-12-14T09:00:00,6.97,7.01,6.86,6.88,1671062396027,1004581691.9188657,145194597.89845783,6.95,-0.07,-0.0100719424
10,KRW-AHT,2022-12-15,2022-12-15T09:00:00,6.87,6.95,6.7,6.72,1671148793970,987728538.7156868,144886472.09637806,6.88,-0.16,-0.023255814
11,KRW-AHT,2022-12-16,2022-12-16T09:00:00,6.72,6.98,6.13,6.3,1671235199221,7522313938.56916,1108413956.4447923,6.72,-0.42,-0.0625
12,KRW-AHT,2022-12-17,2022-12-17T09:00:00,6.3,6.61,6.01,6.2,1671321593784,3425156821.2266226,543171512.2062585,6.3,-0.1,-0.0158730159
13,KRW-AHT,2022-12-18,2022-12-18T09:00:00,6.21,6.48,6.14,6.24,1671407945917,2569137310.5209646,408571260.0911511,6.2,0.04,0.0064516129
