,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-ALGO,2022-12-05,2022-12-05T09:00:00,321.0,328.0,314.0,318.0,1670284796241,11401558039.854118,35497267.71663961,321.0,-3.0,-0.0093457944
1,KRW-ALGO,2022-12-06,2022-12-06T09:00:00,316.0,318.0,311.0,312.0,1670371179138,7292307778.731521,23208540.85389024,318.0,-6.0,-0.0188679245
2,KRW-ALGO,2022-12-07,2022-12-07T09:00:00,313.0,314.0,290.0,297.0,1670457592932,10697596224.710213,35466111.03400943,312.0,-15.0,-0.0480769231
3,KRW-ALGO,2022-12-08,2022-12-08T09:00:00,297.0,303.0,292.0,298.0,1670543993875,6152699933.157474,20717488.88848252,297.0,1.0,0.0033670034
4,KRW-ALGO,2022-12-09,2022-12-09T09:00:00,299.0,302.0,295.0,301.0,1670630398500,3765976821.044828,12651492.28519711,298.0,3.0,0.0100671141
5,KRW-ALGO,2022-12-10,2022-12-10T09:00:00,301.0,307.0,299.0,302.0,1670716755083,3852101028.855304,12675950.34717449,301.0,1.0,0.0033222591
6,KRW-ALGO,2022-12-11,2022-12-11T09:00:00,302.0,306.0,294.0,297.0,1670803167097,2832044744.898281,9412434.46365938,302.0,-5.0,-0.0165562914
7,KRW-ALGO,2022-12-12,2022-12-12T09:00:00,297.0,297.0,283.0,290.0,1670889566557,5031382412.323105,17476400.28543549,297.0,-7.0,-0.0235690236
8,KRW-ALGO,2022-12-13,2022-12-13T09:00:00,290.0,296.0,276.0,291.0,1670975969538,5899329892.555229,20606186.00100926,290.0,1.0,0.0034482759
9,KRW-ALGO,2022-12-14,2022-12-14T09:00:00,291.0,294.0,287.0,288.0,1671062127165,3141517702.899512,10799481.34392242,291.0,-3.0,-0.0103092784
10,KRW-ALGO,2022-12-15,2022-12-15T09:00:00,289.0,301.0,278.0,279.0,1671148789503,9297388008.532682,31902620.19334862,288.0,-9.0,-0.03125
11,KRW-ALGO,2022-12-16,2022-12-16T09:00:00,279.0,281.0,243.0,249.0,1671235199905,7455854513.4156065,27959786.88113345,279.0,-30.0,-0.1075268817
