,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-APT,2022-12-05,2022-12-05T09:00:00,6935.0,7260.0,6735.0,6915.0,1670284793621,29979918059.591705,4244470.28247721,6935.0,-20.0,-0.0028839221
1,KRW-APT,2022-12-06,2022-12-06T09:00:00,6900.0,7280.0,6560.0,6760.0,1670371178708,30035848830.798805,4308289.98406679,6915.0,-155.0,-0.0224150398
2,KRW-APT,2022-12-07,2022-12-07T09:00:00,6760.0,6760.0,6190.0,6450.0,1670457593756,15249985579.425283,2351396.27295917,6760.0,-310.0,-0.0458579882
3,KRW-APT,2022-12-08,2022-12-08T09:00:00,6450.0,6625.0,6300.0,6555.0,1670543929074,12325280320.56403,1906103.1678618,6450.0,105.0,0.0162790698
4,KRW-APT,2022-12-09,2022-12-09T09:00:00,6550.0,6570.0,6365.0,6430.0,1670630390224,6855415744.851638,1060441.90083028,6555.0,-125.0,-0.0190694127
5,KRW-APT,2022-12-10,2022-12-10T09:00:00,6430.0,6440.0,6355.0,6380.0,1670716772678,4401016233.005458,688563.60798144,6430.0,-50.0,-0.0077760498
6,KRW-APT,2022-12-11,2022-12-11T09:00:00,6380.0,6535.0,6160.0,6220.0,1670803196745,6233952603.402187,975080.43353522,6380.0,-160.0,-0.0250783699
7,KRW-APT,2022-12-12,2022-12-12T09:00:00,6215.0,6290.0,5805.0,6005.0,1670889590873,10695909057.001467,1785497.9437089,6220.0,-215.0,-0.0345659164
8,KRW-APT,2022-12-13,2022-12-13T09:00:00,6005.0,6125.0,5650.0,6020.0,1670975990050,11503283725.86554,1939220.26122927,6005.0,15.0,0.0024979184
9,KRW-APT,2022-12-14,2022-12-14T09:00:00,6020.0,6200.0,5885.0,6135.0,1671062396438,10979782140.846458,1802964.79449672,6020.0,115.0,0.01910299
10,KRW-APT,2022-12-15,2022-12-15T09:00:00,6135.0,6340.0,5910.0,6175.0,1671148793118,15056336241.483704,2439387.08021398,6135.0,40.0,0.0065199674
11,KRW-APT,2022-12-16,2022-12-16T09:00:00,6175.0,6285.0,5320.0,5425.0,1671235198602,11284505685.833284,1928007.47512496,6175.0,-750.0,-0.1214574899
12,KRW-APT,2022-12-17,2022-12-17T09:00:00,5430.0,5650.0,5245.0,5425.0,1671321584020,8879208094.505005,1644027.20799058,5425.0,,0.0
13,KRW-APT,2022-12-18,2022-12-18T09:00:00,5425.0,5440.0,5275.0,5375.0,1671407975038,3927923968.7598443,731883.70614878,5425.0,-50.0,-0.0092165899
14,KRW-APT,2022-12-19,2022-12-19T09:00:00,5380.0,5450.0,4850.0,5020.0,1671494397685,7606166440.233645,1460168.61256787,5375.0,-355.0,-0.0660465116
15,KRW-APT,2022-12-20,2022-12-20T09:00:00,5020.0,5155.0,4990.0,5080.0,1671580786520,10100414509.828218,1988659.18576522,5020.0,60.0,0.0119521912
16,KRW-APT,2022-12-21,2022-12-21T09:00:00,5080.0,5100.0,4810.0,4900.0,1671667197138,10382014410.299282,2100995.72082869,5080.0,-180.0,-0.0354330709
17,KRW-APT,2022-12-22,2022-12-22T09:00:00,4910.0,4925.0,4660.0,4830.0,1671753595668,8464629622.063543,1758481.15528444,4900.0,-70.0,-0.0142857143
18,KRW-APT,2022-12-23,2022-12-23T09:00:00,4830.0,4965.0,4785.0,4885.0,1671839994592,4123724459.361807,847971.9777002,4830.0,55.0,0.0113871636
19,KRW-APT,2022-12-24,2022-12-24T09:00:00,4885.0,4925.0,4800.0,4820.0,1671926371838,2097046647.6491568,430287.48627335,4885.0,-65.0,-0.0133060389
20,KRW-APT,2022-12-25,2022-12-25T09:00:00,4825.0,4855.0,4590.0,4650.0,1672012797965,4075986153.6735353,865811.17289014,4820.0,-170.0,-0.0352697095
21,KRW-APT,2022-12-26,2022-12-26T09:00:00,4650.0,4720.0,4575.0,4675.0,1672099177666,3248098265.417489,700686.10313761,4650.0,25.0,0.0053763441
22,KRW-APT,2022-12-27,2022-12-27T09:00:00,4670.0,4700.0,4515.0,4595.0,1672185596516,3006866588.8587937,654310.74974684,4675.0,-80.0,-0.0171122995
23,KRW-APT,2022-12-28,2022-12-28T09:00:00,4595.0,4600.0,4010.0,4115.0,1672271996965,8746187035.981094,2079203.17847223,4595.0,-480.0,-0.1044613711
24,KRW-APT,2022-12-29,2022-12-29T09:00:00,4115.0,4155.0,3900.0,4100.0,1672358329972,4731953658.495488,1168035.73564445,4115.0,-15.0,-0.0036452005
25,KRW-APT,2022-12-30,2022-12-30T09:00:00,4095.0,4440.0,3940.0,4350.0,1672444799785,10206178209.036356,2443587.29461275,4100.0,250.0,0.0609756098
