,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-AQT,2022-12-05,2022-12-05T09:00:00,1135.0,1160.0,1120.0,1150.0,1670284772867,988000657.4084425,871733.08352588,1140.0,10.0,0.0087719298
1,KRW-AQT,2022-12-06,2022-12-06T09:00:00,1150.0,1165.0,1130.0,1140.0,1670371167292,877014373.3288058,767064.12136347,1150.0,-10.0,-0.0086956522
2,KRW-AQT,2022-12-07,2022-12-07T09:00:00,1135.0,1140.0,1060.0,1100.0,1670457595706,1168843914.228647,1063244.63745546,1140.0,-40.0,-0.0350877193
3,KRW-AQT,2022-12-08,2022-12-08T09:00:00,1100.0,1150.0,1095.0,1135.0,1670543998842,863255907.8484249,769922.70299871,1100.0,35.0,0.0318181818
4,KRW-AQT,2022-12-09,2022-12-09T09:00:00,1135.0,1185.0,1120.0,1170.0,1670630382000,1278447002.5417085,1109764.282461,1135.0,35.0,0.0308370044
5,KRW-AQT,2022-12-10,2022-12-10T09:00:00,1175.0,1290.0,1150.0,1170.0,1670716786472,8382970600.514113,6860660.27020827,1170.0,,0.0
6,KRW-AQT,2022-12-11,2022-12-11T09:00:00,1170.0,1220.0,1145.0,1160.0,1670803158580,3254555557.653524,2771349.96378541,1170.0,-10.0,-0.0085470085
7,KRW-AQT,2022-12-12,2022-12-12T09:00:00,1150.0,1155.0,1105.0,1125.0,1670889582002,763420733.5337509,680280.95504496,1160.0,-35.0,-0.0301724138
8,KRW-AQT,2022-12-13,2022-12-13T09:00:00,1130.0,1415.0,1105.0,1190.0,1670975999428,65119136756.83654,51272145.40473648,1125.0,65.0,0.0577777778
9,KRW-AQT,2022-12-14,2022-12-14T09:00:00,1190.0,1225.0,1125.0,1140.0,1671062397592,10031905494.733974,8551977.93800668,1190.0,-50.0,-0.0420168067
