,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-ARB,2023-03-30,2023-03-30T09:00:00,1725.0,2070.0,1725.0,1835.0,1680220799826,533653108542.09076,289009369.8825027,1725.0,110.0,0.0637681159
1,KRW-ARB,2023-03-31,2023-03-31T09:00:00,1835.0,1915.0,1770.0,1835.0,1680307199273,197081880071.55804,107174647.306413,1835.0,,0.0
2,KRW-ARB,2023-04-01,2023-04-01T09:00:00,1835.0,1850.0,1675.0,1710.0,1680393599108,90075544010.86261,51244708.51335055,1835.0,-125.0,-0.068119891
3,KRW-ARB,2023-04-02,2023-04-02T09:00:00,1715.0,1720.0,1510.0,1595.0,1680479999256,111876923948.66177,69562627.1171115,1710.0,-115.0,-0.067251462
4,KRW-ARB,2023-04-03,2023-04-03T09:00:00,1595.0,1650.0,1480.0,1530.0,1680566399957,151985848379.674,96874936.35778101,1595.0,-65.0,-0.0407523511
5,KRW-ARB,2023-04-04,2023-04-04T09:00:00,1530.0,1675.0,1520.0,1625.0,1680652799357,148408096878.85068,93717338.9362498,1530.0,95.0,0.0620915033
6,KRW-ARB,2023-04-05,2023-04-05T09:00:00,1625.0,1695.0,1600.0,1640.0,1680739199700,107744706919.04265,65140400.85478353,1625.0,15.0,0.0092307692
7,KRW-ARB,2023-04-06,2023-04-06T09:00:00,1635.0,1645.0,1555.0,1605.0,1680825581040,59196555711.836784,37086163.50133704,1640.0,-35.0,-0.0213414634
8,KRW-ARB,2023-04-07,2023-04-07T09:00:00,1610.0,1660.0,1560.0,1585.0,1680911997321,46024087091.35288,28563869.36975564,1605.0,-20.0,-0.0124610592
9,KRW-ARB,2023-04-08,2023-04-08T09:00:00,1590.0,1600.0,1530.0,1545.0,1680998396509,24069151201.177795,15340557.09800737,1585.0,-40.0,-0.0252365931
10,KRW-ARB,2023-04-09,2023-04-09T09:00:00,1545.0,1585.0,1515.0,1560.0,1681084797930,25844107562.78663,16720449.15965268,1545.0,15.0,0.0097087379
11,KRW-ARB,2023-04-10,2023-04-10T09:00:00,1560.0,1650.0,1535.0,1635.0,1681171199574,38772369392.77702,24392947.38589287,1560.0,75.0,0.0480769231
12,KRW-ARB,2023-04-11,2023-04-11T09:00:00,1635.0,1650.0,1600.0,1615.0,1681257595402,38493320455.964806,23660933.44275717,1635.0,-20.0,-0.0122324159
13,KRW-ARB,2023-04-12,2023-04-12T09:00:00,1615.0,1615.0,1530.0,1585.0,1681343985965,44071681647.0969,28034228.64982464,1615.0,-30.0,-0.0185758514
14,KRW-ARB,2023-04-13,2023-04-13T09:00:00,1585.0,1820.0,1565.0,1805.0,1681430399798,211994003230.8228,122478138.83756372,1585.0,220.0,0.1388012618
15,KRW-ARB,2023-04-14,2023-04-14T09:00:00,1805.0,2280.0,1795.0,2220.0,1681516800057,740743466303.2688,365243114.37930965,1805.0,415.0,0.2299168975
16,KRW-ARB,2023-04-15,2023-04-15T09:00:00,2220.0,2300.0,2115.0,2175.0,1681603199807,435921588972.8681,198213915.08655688,2220.0,-45.0,-0.0202702703
17,KRW-ARB,2023-04-16,2023-04-16T09:00:00,2170.0,2250.0,2075.0,2220.0,1681689599874,231459667808.84668,107992062.54477008,2175.0,45.0,0.0206896552
