,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-ATOM,2022-12-05,2022-12-05T09:00:00,13730.0,14080.0,13630.0,13730.0,1670284698083,4040423773.6030455,290734.87074669,13730.0,,0.0
1,KRW-ATOM,2022-12-06,2022-12-06T09:00:00,13740.0,13890.0,13430.0,13590.0,1670371170909,2578946976.229143,188850.25611193,13730.0,-140.0,-0.0101966497
2,KRW-ATOM,2022-12-07,2022-12-07T09:00:00,13590.0,13620.0,12760.0,12900.0,1670457579209,4232972671.0349774,323696.86886678,13590.0,-690.0,-0.0507726269
3,KRW-ATOM,2022-12-08,2022-12-08T09:00:00,12900.0,13110.0,12710.0,13080.0,1670543794208,2623305340.6946173,203193.22854508,12900.0,180.0,0.0139534884
4,KRW-ATOM,2022-12-09,2022-12-09T09:00:00,13080.0,13150.0,12840.0,13010.0,1670630347786,2471470539.01377,190011.09842967,13080.0,-70.0,-0.005351682
5,KRW-ATOM,2022-12-10,2022-12-10T09:00:00,13010.0,13940.0,12880.0,13270.0,1670716795725,6086575594.465135,456436.97559761,13010.0,260.0,0.0199846272
6,KRW-ATOM,2022-12-11,2022-12-11T09:00:00,13270.0,13320.0,12710.0,12730.0,1670803199761,2663396192.3218083,203983.78418496,13270.0,-540.0,-0.0406932931
7,KRW-ATOM,2022-12-12,2022-12-12T09:00:00,12730.0,13270.0,12550.0,12780.0,1670889598765,8624334662.289724,675994.03801437,12730.0,50.0,0.0039277298
8,KRW-ATOM,2022-12-13,2022-12-13T09:00:00,12780.0,13000.0,12060.0,12720.0,1670975936688,8156314396.852194,647665.0284873,12780.0,-60.0,-0.0046948357
9,KRW-ATOM,2022-12-14,2022-12-14T09:00:00,12700.0,13140.0,12520.0,12540.0,1671062398140,7588773238.307269,590186.12887023,12720.0,-180.0,-0.0141509434
10,KRW-ATOM,2022-12-15,2022-12-15T09:00:00,12520.0,12750.0,12300.0,12480.0,1671148774414,3068199088.9101834,244382.06044578,12540.0,-60.0,-0.004784689
11,KRW-ATOM,2022-12-16,2022-12-16T09:00:00,12470.0,12560.0,11300.0,11510.0,1671235180259,4333556435.594573,360758.63518408,12480.0,-970.0,-0.077724359
12,KRW-ATOM,2022-12-17,2022-12-17T09:00:00,11500.0,11680.0,11190.0,11660.0,1671321458617,2933571019.329757,255521.56314024,11510.0,150.0,0.013032146
13,KRW-ATOM,2022-12-18,2022-12-18T09:00:00,11690.0,11850.0,11620.0,11740.0,1671407972365,1553710631.0008998,132436.75740495,11660.0,80.0,0.0068610635
14,KRW-ATOM,2022-12-19,2022-12-19T09:00:00,11740.0,11820.0,11280.0,11390.0,1671494387312,2098389609.4849594,181493.24078338,11740.0,-350.0,-0.0298126065
15,KRW-ATOM,2022-12-20,2022-12-20T09:00:00,11380.0,11800.0,11230.0,11660.0,1671580798304,2169531775.1928096,186832.4862404,11390.0,270.0,0.0237050044
16,KRW-ATOM,2022-12-21,2022-12-21T09:00:00,11660.0,11850.0,11350.0,11560.0,1671667200086,2613151147.5006213,223866.29251136,11660.0,-100.0,-0.0085763293
17,KRW-ATOM,2022-12-22,2022-12-22T09:00:00,11560.0,11740.0,11320.0,11700.0,1671753581351,2188427266.564755,189412.32397861,11560.0,140.0,0.0121107266
18,KRW-ATOM,2022-12-23,2022-12-23T09:00:00,11680.0,11750.0,11600.0,11630.0,1671839911094,1353051815.8620286,115980.159243,11700.0,-70.0,-0.005982906
19,KRW-ATOM,2022-12-24,2022-12-24T09:00:00,11630.0,11820.0,11600.0,11670.0,1671926379322,1705650765.4628882,145670.46582119,11630.0,40.0,0.0034393809
20,KRW-ATOM,2022-12-25,2022-12-25T09:00:00,11670.0,11820.0,11480.0,11710.0,1672012785643,2028790160.3089774,173816.78015745,11670.0,40.0,0.0034275921
21,KRW-ATOM,2022-12-26,2022-12-26T09:00:00,11700.0,11800.0,11600.0,11770.0,1672099181873,1885247140.919016,161213.17506683,11710.0,60.0,0.0051238258
22,KRW-ATOM,2022-12-27,2022-12-27T09:00:00,11760.0,12100.0,11650.0,11760.0,1672185566156,5000576560.493581,420525.73866198,11770.0,-10.0,-0.0008496177
23,KRW-ATOM,2022-12-28,2022-12-28T09:00:00,11760.0,11850.0,11350.0,11620.0,1672271999418,3941706547.4899826,339852.96972595,11760.0,-140.0,-0.0119047619
24,KRW-ATOM,2022-12-29,2022-12-29T09:00:00,11620.0,12010.0,11440.0,11890.0,1672358367423,5092526881.99296,431404.37626527,11620.0,270.0,0.0232358003
25,KRW-ATOM,2022-12-30,2022-12-30T09:00:00,11910.0,11990.0,11650.0,11920.0,1672444779318,5125772454.789893,432734.9167791,11890.0,30.0,0.0025231287
26,KRW-ATOM,2022-12-31,2022-12-31T09:00:00,11930.0,12050.0,11800.0,11900.0,1672531191950,2404359190.9214573,201862.8595599,11920.0,-20.0,-0.0016778523
27,KRW-ATOM,2023-01-01,2023-01-01T09:00:00,11910.0,12070.0,11830.0,12030.0,1672617556698,2228461441.293533,186386.4596449,11900.0,130.0,0.0109243697
28,KRW-ATOM,2023-01-02,2023-01-02T09:00:00,12010.0,12790.0,11930.0,12480.0,1672703979236,9094714648.533262,728816.91899685,12030.0,450.0,0.0374064838
29,KRW-ATOM,2023-01-03,2023-01-03T09:00:00,12480.0,13230.0,12430.0,13000.0,1672790393701,15003647337.328394,1162580.60761003,12480.0,520.0,0.0416666667
30,KRW-ATOM,2023-01-04,2023-01-04T09:00:00,13000.0,13310.0,12850.0,13070.0,1672876796013,9108531824.229652,694535.79511682,13000.0,70.0,0.0053846154
31,KRW-ATOM,2023-01-05,2023-01-05T09:00:00,13070.0,13110.0,12720.0,12920.0,1672963134230,4497983285.247068,347924.40320535,13070.0,-150.0,-0.0114766641
32,KRW-ATOM,2023-01-06,2023-01-06T09:00:00,12920.0,13070.0,12630.0,13020.0,1673049599650,4452117105.476271,347726.59087853,12920.0,100.0,0.0077399381
33,KRW-ATOM,2023-01-07,2023-01-07T09:00:00,13020.0,13170.0,12890.0,12980.0,1673135960985,2756894249.039236,211866.93476026,13020.0,-40.0,-0.0030721966
34,KRW-ATOM,2023-01-08,2023-01-08T09:00:00,12980.0,13440.0,12750.0,13350.0,1673222392137,4790306455.747127,366236.22552882,12980.0,370.0,0.0285053929
35,KRW-ATOM,2023-01-09,2023-01-09T09:00:00,13350.0,14510.0,13340.0,14000.0,1673308793289,20589707518.7122,1462972.05711876,13350.0,650.0,0.0486891386
36,KRW-ATOM,2023-01-10,2023-01-10T09:00:00,14000.0,14270.0,13680.0,14230.0,1673395138653,4513306829.127392,322616.34756426,14000.0,230.0,0.0164285714
37,KRW-ATOM,2023-01-11,2023-01-11T09:00:00,14220.0,14900.0,13950.0,14850.0,1673481598039,4700119289.641804,329050.78852458,14230.0,620.0,0.0435699227
38,KRW-ATOM,2023-01-12,2023-01-12T09:00:00,14850.0,15510.0,14520.0,15350.0,1673567990565,8551190469.1909895,572726.37369679,14850.0,500.0,0.0336700337
39,KRW-ATOM,2023-01-13,2023-01-13T09:00:00,15340.0,15570.0,14970.0,15460.0,1673654389411,8451790551.52779,553410.55937362,15350.0,110.0,0.0071661238
40,KRW-ATOM,2023-01-14,2023-01-14T09:00:00,15460.0,16650.0,14810.0,15880.0,1673740783034,22262173405.70686,1409789.26289136,15460.0,420.0,0.0271668823
41,KRW-ATOM,2023-01-15,2023-01-15T09:00:00,15880.0,16200.0,15280.0,15840.0,1673827181112,7906426704.245213,502876.82857068,15880.0,-40.0,-0.0025188917
42,KRW-ATOM,2023-01-16,2023-01-16T09:00:00,15830.0,16110.0,15050.0,15370.0,1673913598974,8514016053.61854,546577.61373199,15840.0,-470.0,-0.0296717172
43,KRW-ATOM,2023-01-17,2023-01-17T09:00:00,15370.0,15650.0,15060.0,15130.0,1673999992352,7689438197.229366,499198.488025,15370.0,-240.0,-0.0156148341
44,KRW-ATOM,2023-01-18,2023-01-18T09:00:00,15130.0,15490.0,14200.0,14370.0,1674086394031,8958509514.15099,598489.66669267,15130.0,-760.0,-0.0502313285
45,KRW-ATOM,2023-01-19,2023-01-19T09:00:00,14370.0,14990.0,14340.0,14950.0,1674172774975,3392619037.6086183,231017.64895319,14370.0,580.0,0.040361865
46,KRW-ATOM,2023-01-20,2023-01-20T09:00:00,14940.0,16370.0,14840.0,16250.0,1674259195331,11537902651.838219,738009.82525108,14950.0,1300.0,0.0869565217
47,KRW-ATOM,2023-01-21,2023-01-21T09:00:00,16250.0,16910.0,16070.0,16260.0,1674345596675,11828598810.796041,716095.68588279,16250.0,10.0,0.0006153846
48,KRW-ATOM,2023-01-22,2023-01-22T09:00:00,16260.0,17060.0,16030.0,16670.0,1674431998855,8796239103.04128,534982.36402912,16260.0,410.0,0.0252152522
49,KRW-ATOM,2023-01-23,2023-01-23T09:00:00,16670.0,16940.0,16080.0,16340.0,1674518398795,7955175784.018812,481582.05720004,16670.0,-330.0,-0.0197960408
50,KRW-ATOM,2023-01-24,2023-01-24T09:00:00,16340.0,16730.0,15400.0,15610.0,1674604798787,7208534739.707023,443330.57793275,16340.0,-730.0,-0.0446756426
51,KRW-ATOM,2023-01-25,2023-01-25T09:00:00,15610.0,17180.0,15220.0,16910.0,1674691199221,27953799921.397564,1701753.73783249,15610.0,1300.0,0.0832799488
52,KRW-ATOM,2023-01-26,2023-01-26T09:00:00,16910.0,17120.0,16130.0,16510.0,1674777598516,16059441566.50409,965851.72444125,16910.0,-400.0,-0.0236546422
53,KRW-ATOM,2023-01-27,2023-01-27T09:00:00,16510.0,17120.0,15990.0,17000.0,1674863997153,9312854737.99354,566066.23832301,16510.0,490.0,0.0296789824
54,KRW-ATOM,2023-01-28,2023-01-28T09:00:00,17000.0,17440.0,16440.0,16700.0,1674950396749,10130320090.75594,596080.60662573,17000.0,-300.0,-0.0176470588
55,KRW-ATOM,2023-01-29,2023-01-29T09:00:00,16710.0,17420.0,16460.0,17270.0,1675036794633,8018939934.324748,471254.47496685,16700.0,570.0,0.0341317365
56,KRW-ATOM,2023-01-30,2023-01-30T09:00:00,17270.0,17480.0,16120.0,16440.0,1675123189217,10445978377.204193,620542.0980164,17270.0,-830.0,-0.04806022
57,KRW-ATOM,2023-01-31,2023-01-31T09:00:00,16430.0,16900.0,16320.0,16810.0,1675209555874,6486650746.208305,390937.49551957,16440.0,370.0,0.0225060827
