,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-AVAX,2022-12-05,2022-12-05T09:00:00,18670.0,19080.0,18080.0,18200.0,1670284694928,2810006016.031051,150937.39113008,18670.0,-470.0,-0.0251740761
1,KRW-AVAX,2022-12-06,2022-12-06T09:00:00,18210.0,18380.0,18070.0,18290.0,1670371157685,1636337957.1685698,89862.29229705,18200.0,90.0,0.0049450549
2,KRW-AVAX,2022-12-07,2022-12-07T09:00:00,18290.0,18300.0,17410.0,17750.0,1670457592868,1575871902.8217344,88531.07647581,18290.0,-540.0,-0.0295243302
3,KRW-AVAX,2022-12-08,2022-12-08T09:00:00,17790.0,18010.0,17530.0,17870.0,1670543825473,1156858051.9904008,65148.46044584,17750.0,120.0,0.0067605634
4,KRW-AVAX,2022-12-09,2022-12-09T09:00:00,17870.0,18120.0,17760.0,17950.0,1670630399027,861185819.6277434,48118.34664725,17870.0,80.0,0.0044767767
5,KRW-AVAX,2022-12-10,2022-12-10T09:00:00,17950.0,18170.0,17780.0,18010.0,1670716754313,857422564.2718115,47836.52573633,17950.0,60.0,0.0033426184
6,KRW-AVAX,2022-12-11,2022-12-11T09:00:00,17950.0,17990.0,17250.0,17320.0,1670803196777,826007473.4332215,46534.64783319,18010.0,-690.0,-0.0383120489
7,KRW-AVAX,2022-12-12,2022-12-12T09:00:00,17280.0,17350.0,16800.0,17230.0,1670889308101,1638111657.547488,95956.64375278,17320.0,-90.0,-0.0051963048
8,KRW-AVAX,2022-12-13,2022-12-13T09:00:00,17280.0,22600.0,16570.0,17980.0,1670975998096,30688121686.216232,1626970.64201901,17230.0,750.0,0.043528729
9,KRW-AVAX,2022-12-14,2022-12-14T09:00:00,17980.0,18490.0,17780.0,17930.0,1671062396227,13641262511.978765,755831.12826819,17980.0,-50.0,-0.0027808676
10,KRW-AVAX,2022-12-15,2022-12-15T09:00:00,17920.0,18180.0,17300.0,17440.0,1671148785629,7260669624.382062,407924.49218408,17930.0,-490.0,-0.0273284997
11,KRW-AVAX,2022-12-16,2022-12-16T09:00:00,17430.0,17510.0,15510.0,15850.0,1671235199303,6343452032.434702,380297.47010227,17440.0,-1590.0,-0.0911697248
12,KRW-AVAX,2022-12-17,2022-12-17T09:00:00,15850.0,16270.0,15210.0,15850.0,1671321482004,2767457440.207843,177032.39375597,15850.0,,0.0
13,KRW-AVAX,2022-12-18,2022-12-18T09:00:00,15860.0,16350.0,15650.0,15800.0,1671407953533,1345327308.8886259,85125.93945514,15850.0,-50.0,-0.0031545741
14,KRW-AVAX,2022-12-19,2022-12-19T09:00:00,15800.0,15950.0,14670.0,15000.0,1671494396799,3069544657.30916,197613.1288205,15800.0,-800.0,-0.0506329114
15,KRW-AVAX,2022-12-20,2022-12-20T09:00:00,15000.0,15750.0,14920.0,15570.0,1671580788290,2432889170.819149,156927.35442322,15000.0,570.0,0.038
16,KRW-AVAX,2022-12-21,2022-12-21T09:00:00,15560.0,15620.0,15210.0,15280.0,1671667081749,1141220513.8049247,74052.62042659,15570.0,-290.0,-0.018625562
17,KRW-AVAX,2022-12-22,2022-12-22T09:00:00,15280.0,15500.0,14950.0,15420.0,1671753411205,1514846682.1845481,99661.92479065,15280.0,140.0,0.0091623037
18,KRW-AVAX,2022-12-23,2022-12-23T09:00:00,15420.0,15450.0,15250.0,15370.0,1671839925281,1108321846.0710387,72197.53366338,15420.0,-50.0,-0.0032425422
