,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-AXS,2022-12-05,2022-12-05T09:00:00,9215.0,12770.0,9210.0,11800.0,1670284799918,355281609544.14606,32087526.48097316,9215.0,2585.0,0.2805208899
1,KRW-AXS,2022-12-06,2022-12-06T09:00:00,11810.0,12960.0,11020.0,11700.0,1670371199366,330377287681.2919,27628517.2347603,11800.0,-100.0,-0.0084745763
2,KRW-AXS,2022-12-07,2022-12-07T09:00:00,11700.0,12320.0,10900.0,11310.0,1670457594345,175655343102.58377,15028090.43119063,11700.0,-390.0,-0.0333333333
3,KRW-AXS,2022-12-08,2022-12-08T09:00:00,11310.0,11370.0,10620.0,11010.0,1670543998306,82640560531.05908,7514865.0434588,11310.0,-300.0,-0.0265251989
4,KRW-AXS,2022-12-09,2022-12-09T09:00:00,10980.0,11070.0,10470.0,10680.0,1670630399567,27876654115.65844,2595413.22857889,11010.0,-330.0,-0.029972752
5,KRW-AXS,2022-12-10,2022-12-10T09:00:00,10680.0,11610.0,10480.0,11040.0,1670716799976,115518524479.90857,10324600.29090526,10680.0,360.0,0.0337078652
6,KRW-AXS,2022-12-11,2022-12-11T09:00:00,11040.0,11120.0,10550.0,10710.0,1670803194745,33462009730.638348,3065734.01579364,11040.0,-330.0,-0.0298913043
7,KRW-AXS,2022-12-12,2022-12-12T09:00:00,10710.0,10740.0,10000.0,10270.0,1670889598321,23639627502.35313,2302620.50212467,10710.0,-440.0,-0.0410830999
8,KRW-AXS,2022-12-13,2022-12-13T09:00:00,10270.0,10290.0,9570.0,10050.0,1670975997250,33705834682.067326,3384318.84613086,10270.0,-220.0,-0.0214216164
9,KRW-AXS,2022-12-14,2022-12-14T09:00:00,10050.0,10680.0,9850.0,10130.0,1671062398252,43514231123.25679,4208750.81141041,10050.0,80.0,0.007960199
10,KRW-AXS,2022-12-15,2022-12-15T09:00:00,10130.0,10200.0,9865.0,9895.0,1671148779100,14845312183.492289,1487229.96529633,10130.0,-235.0,-0.0231984205
11,KRW-AXS,2022-12-16,2022-12-16T09:00:00,9885.0,10090.0,8710.0,8955.0,1671235199219,25026427796.9877,2626044.70479994,9895.0,-940.0,-0.0949974735
12,KRW-AXS,2022-12-17,2022-12-17T09:00:00,8955.0,9255.0,8665.0,9200.0,1671321596880,21227274499.834282,2359764.04434064,8955.0,245.0,0.0273590173
13,KRW-AXS,2022-12-18,2022-12-18T09:00:00,9195.0,9210.0,8965.0,9070.0,1671407999727,8464054508.119469,933470.14410715,9200.0,-130.0,-0.0141304348
14,KRW-AXS,2022-12-19,2022-12-19T09:00:00,9070.0,9460.0,8370.0,8645.0,1671494399703,26079555221.22016,2881510.3840021,9070.0,-425.0,-0.0468577729
15,KRW-AXS,2022-12-20,2022-12-20T09:00:00,8650.0,9145.0,8630.0,9065.0,1671580796370,24762929379.659786,2780166.04922758,8645.0,420.0,0.048582996
16,KRW-AXS,2022-12-21,2022-12-21T09:00:00,9070.0,9110.0,8810.0,8920.0,1671667195502,11890033888.279295,1329713.01965152,9065.0,-145.0,-0.0159955874
17,KRW-AXS,2022-12-22,2022-12-22T09:00:00,8920.0,9645.0,8665.0,9160.0,1671753597564,48731308611.13351,5302857.11337248,8920.0,240.0,0.0269058296
18,KRW-AXS,2022-12-23,2022-12-23T09:00:00,9160.0,9370.0,9055.0,9235.0,1671839991908,17408909674.516697,1900332.32558077,9160.0,75.0,0.0081877729
19,KRW-AXS,2022-12-24,2022-12-24T09:00:00,9235.0,9345.0,9070.0,9125.0,1671926356473,8545874228.117932,930057.88935385,9235.0,-110.0,-0.0119112074
20,KRW-AXS,2022-12-25,2022-12-25T09:00:00,9120.0,9180.0,8840.0,8935.0,1672012789859,8419737430.922688,935796.61839682,9125.0,-190.0,-0.0208219178
21,KRW-AXS,2022-12-26,2022-12-26T09:00:00,8935.0,9015.0,8675.0,8850.0,1672099194597,9743915875.700348,1103546.64247478,8935.0,-85.0,-0.0095131505
22,KRW-AXS,2022-12-27,2022-12-27T09:00:00,8850.0,8875.0,8425.0,8560.0,1672185597615,9891727059.64027,1147518.53136586,8850.0,-290.0,-0.0327683616
23,KRW-AXS,2022-12-28,2022-12-28T09:00:00,8560.0,8605.0,7850.0,8015.0,1672271991028,18072004031.10128,2222878.6199162,8560.0,-545.0,-0.0636682243
24,KRW-AXS,2022-12-29,2022-12-29T09:00:00,8010.0,8070.0,7480.0,7885.0,1672358399691,19151359289.25117,2443968.81542108,8015.0,-130.0,-0.0162195883
25,KRW-AXS,2022-12-30,2022-12-30T09:00:00,7880.0,7895.0,7385.0,7605.0,1672444796435,17700890682.879627,2338484.0410167,7885.0,-280.0,-0.0355104629
26,KRW-AXS,2022-12-31,2022-12-31T09:00:00,7605.0,7760.0,7520.0,7695.0,1672531197212,9113391778.448652,1191327.54344957,7605.0,90.0,0.0118343195
27,KRW-AXS,2023-01-01,2023-01-01T09:00:00,7695.0,8250.0,7570.0,8035.0,1672617598010,14389377924.050756,1831029.67399517,7695.0,340.0,0.0441845354
28,KRW-AXS,2023-01-02,2023-01-02T09:00:00,8035.0,8275.0,7745.0,8120.0,1672703999524,18156898443.41565,2252501.51553406,8035.0,85.0,0.0105787181
29,KRW-AXS,2023-01-03,2023-01-03T09:00:00,8120.0,8400.0,8105.0,8340.0,1672790399996,26225535102.392284,3181960.3906249,8120.0,220.0,0.0270935961
30,KRW-AXS,2023-01-04,2023-01-04T09:00:00,8335.0,8670.0,8300.0,8515.0,1672876793448,23327908774.42173,2745028.95772138,8340.0,175.0,0.0209832134
31,KRW-AXS,2023-01-05,2023-01-05T09:00:00,8520.0,9175.0,8440.0,8665.0,1672963188530,57376288847.956085,6501148.47240976,8515.0,150.0,0.0176159718
32,KRW-AXS,2023-01-06,2023-01-06T09:00:00,8650.0,8720.0,8225.0,8670.0,1673049597425,16075700922.796295,1895715.3241001,8665.0,5.0,0.000577034
33,KRW-AXS,2023-01-07,2023-01-07T09:00:00,8670.0,9085.0,8600.0,8780.0,1673135991334,32527852838.767715,3663570.06455664,8670.0,110.0,0.0126874279
34,KRW-AXS,2023-01-08,2023-01-08T09:00:00,8780.0,9180.0,8580.0,9115.0,1673222397897,19600328828.009087,2215080.98261335,8780.0,335.0,0.0381548975
35,KRW-AXS,2023-01-09,2023-01-09T09:00:00,9120.0,9870.0,9075.0,9230.0,1673308789477,44393433003.2628,4743737.15685104,9115.0,115.0,0.0126165661
36,KRW-AXS,2023-01-10,2023-01-10T09:00:00,9230.0,9525.0,9000.0,9425.0,1673395167382,20724435247.659973,2229815.22496836,9230.0,195.0,0.0211267606
37,KRW-AXS,2023-01-11,2023-01-11T09:00:00,9415.0,9455.0,9005.0,9415.0,1673481595018,14107625189.145685,1530854.866862,9425.0,-10.0,-0.001061008
