,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-BAT,2022-12-05,2022-12-05T09:00:00,312.0,320.0,307.0,309.0,1670284791397,3149363345.349699,10034445.50790535,312.0,-3.0,-0.0096153846
1,KRW-BAT,2022-12-06,2022-12-06T09:00:00,310.0,314.0,309.0,311.0,1670371179475,1660325001.1841865,5340752.6011976,309.0,2.0,0.0064724919
2,KRW-BAT,2022-12-07,2022-12-07T09:00:00,312.0,313.0,293.0,298.0,1670457506265,2321347221.121558,7716925.17308414,311.0,-13.0,-0.0418006431
3,KRW-BAT,2022-12-08,2022-12-08T09:00:00,299.0,304.0,294.0,302.0,1670543983458,2125402007.9408042,7127390.45972319,298.0,4.0,0.0134228188
4,KRW-BAT,2022-12-09,2022-12-09T09:00:00,301.0,302.0,295.0,300.0,1670630355784,1455588180.225639,4863542.95623984,302.0,-2.0,-0.0066225166
5,KRW-BAT,2022-12-10,2022-12-10T09:00:00,300.0,306.0,298.0,303.0,1670716757802,1440203495.2731662,4772476.75681234,300.0,3.0,0.01
6,KRW-BAT,2022-12-11,2022-12-11T09:00:00,303.0,306.0,297.0,299.0,1670803193341,1400248986.983214,4630068.72146479,303.0,-4.0,-0.0132013201
7,KRW-BAT,2022-12-12,2022-12-12T09:00:00,299.0,301.0,287.0,295.0,1670889527700,2399979312.8869104,8193847.13923131,299.0,-4.0,-0.0133779264
8,KRW-BAT,2022-12-13,2022-12-13T09:00:00,296.0,301.0,279.0,295.0,1670975800424,3421995092.917396,11765389.15013794,295.0,,0.0
9,KRW-BAT,2022-12-14,2022-12-14T09:00:00,295.0,300.0,291.0,293.0,1671062377472,1969836313.4875016,6654782.24406153,295.0,-2.0,-0.006779661
10,KRW-BAT,2022-12-15,2022-12-15T09:00:00,294.0,294.0,284.0,286.0,1671148757086,1689148532.886563,5857517.20444172,293.0,-7.0,-0.023890785
11,KRW-BAT,2022-12-16,2022-12-16T09:00:00,286.0,287.0,253.0,257.0,1671235185630,2859098753.655553,10516116.24145497,286.0,-29.0,-0.1013986014
12,KRW-BAT,2022-12-17,2022-12-17T09:00:00,257.0,258.0,245.0,255.0,1671321576850,1658457208.2358978,6592258.41384249,257.0,-2.0,-0.0077821012
13,KRW-BAT,2022-12-18,2022-12-18T09:00:00,255.0,255.0,249.0,251.0,1671407909554,833102881.2640073,3307159.2054927,255.0,-4.0,-0.0156862745
14,KRW-BAT,2022-12-19,2022-12-19T09:00:00,252.0,255.0,231.0,237.0,1671494379997,1150608122.3547285,4724275.27028941,251.0,-14.0,-0.0557768924
15,KRW-BAT,2022-12-20,2022-12-20T09:00:00,237.0,247.0,234.0,246.0,1671580722536,1212437755.3966413,4999945.93906471,237.0,9.0,0.0379746835
16,KRW-BAT,2022-12-21,2022-12-21T09:00:00,246.0,248.0,241.0,245.0,1671667191544,871339807.2080687,3564338.98428712,246.0,-1.0,-0.0040650407
17,KRW-BAT,2022-12-22,2022-12-22T09:00:00,245.0,248.0,239.0,247.0,1671753585434,910951106.3151375,3751038.65268583,245.0,2.0,0.0081632653
18,KRW-BAT,2022-12-23,2022-12-23T09:00:00,247.0,249.0,245.0,247.0,1671839925284,481997329.9912807,1951728.04825572,247.0,,0.0
19,KRW-BAT,2022-12-24,2022-12-24T09:00:00,247.0,249.0,245.0,247.0,1671926249503,490927920.57102585,1989716.63427233,247.0,,0.0
20,KRW-BAT,2022-12-25,2022-12-25T09:00:00,247.0,248.0,240.0,241.0,1672012685183,503189897.9655141,2061165.67855213,247.0,-6.0,-0.024291498
21,KRW-BAT,2022-12-26,2022-12-26T09:00:00,242.0,242.0,235.0,239.0,1672099001501,650206088.7110839,2726011.48351997,241.0,-2.0,-0.0082987552
22,KRW-BAT,2022-12-27,2022-12-27T09:00:00,239.0,241.0,226.0,229.0,1672185573031,1131134859.1215253,4878503.56444011,239.0,-10.0,-0.0418410042
23,KRW-BAT,2022-12-28,2022-12-28T09:00:00,228.0,229.0,211.0,213.0,1672271972223,1467671747.7228854,6696622.68051296,229.0,-16.0,-0.0698689956
24,KRW-BAT,2022-12-29,2022-12-29T09:00:00,215.0,217.0,206.0,211.0,1672358395933,1031454896.5204515,4882477.6899524,213.0,-2.0,-0.0093896714
25,KRW-BAT,2022-12-30,2022-12-30T09:00:00,211.0,213.0,203.0,210.0,1672444613171,725799308.1550446,3511244.57920435,211.0,-1.0,-0.0047393365
26,KRW-BAT,2022-12-31,2022-12-31T09:00:00,210.0,219.0,209.0,211.0,1672531189309,608626169.218054,2874969.78870479,210.0,1.0,0.0047619048
27,KRW-BAT,2023-01-01,2023-01-01T09:00:00,212.0,215.0,209.0,213.0,1672617542597,423178849.12345356,1995749.53597562,211.0,2.0,0.009478673
28,KRW-BAT,2023-01-02,2023-01-02T09:00:00,214.0,223.0,210.0,220.0,1672703997475,1103563956.0475914,5090062.92214768,213.0,7.0,0.0328638498
29,KRW-BAT,2023-01-03,2023-01-03T09:00:00,220.0,223.0,217.0,222.0,1672790399972,765904070.8445157,3482275.70312621,220.0,2.0,0.0090909091
30,KRW-BAT,2023-01-04,2023-01-04T09:00:00,222.0,234.0,222.0,230.0,1672876794106,1400577986.7639647,6125669.37745975,222.0,8.0,0.036036036
31,KRW-BAT,2023-01-05,2023-01-05T09:00:00,231.0,236.0,223.0,226.0,1672963178293,1651601751.16797,7180711.31473207,230.0,-4.0,-0.0173913043
32,KRW-BAT,2023-01-06,2023-01-06T09:00:00,226.0,230.0,217.0,225.0,1673049598080,1149268283.9441724,5177808.6066577,226.0,-1.0,-0.0044247788
33,KRW-BAT,2023-01-07,2023-01-07T09:00:00,225.0,233.0,225.0,231.0,1673135894142,1412517840.924047,6136893.68722635,225.0,6.0,0.0266666667
34,KRW-BAT,2023-01-08,2023-01-08T09:00:00,231.0,240.0,226.0,239.0,1673222394069,1543728972.8184478,6640830.86222592,231.0,8.0,0.0346320346
35,KRW-BAT,2023-01-09,2023-01-09T09:00:00,239.0,253.0,237.0,248.0,1673308714274,3551869267.0915027,14459711.66208661,239.0,9.0,0.0376569038
36,KRW-BAT,2023-01-10,2023-01-10T09:00:00,248.0,252.0,241.0,248.0,1673395181855,2322412274.117382,9372020.63620329,248.0,,0.0
37,KRW-BAT,2023-01-11,2023-01-11T09:00:00,248.0,253.0,240.0,251.0,1673481556579,2044197186.9035223,8306948.20787962,248.0,3.0,0.0120967742
38,KRW-BAT,2023-01-12,2023-01-12T09:00:00,251.0,261.0,245.0,257.0,1673567956630,3831034528.183795,15210681.09646144,251.0,6.0,0.0239043825
39,KRW-BAT,2023-01-13,2023-01-13T09:00:00,256.0,269.0,253.0,267.0,1673654353783,4509069011.882057,17317959.47583918,257.0,10.0,0.0389105058
40,KRW-BAT,2023-01-14,2023-01-14T09:00:00,267.0,297.0,261.0,280.0,1673740794511,10633292551.022331,38247350.68764112,267.0,13.0,0.0486891386
41,KRW-BAT,2023-01-15,2023-01-15T09:00:00,280.0,293.0,272.0,289.0,1673827199816,8151324798.26676,28977681.61318926,280.0,9.0,0.0321428571
42,KRW-BAT,2023-01-16,2023-01-16T09:00:00,288.0,297.0,274.0,287.0,1673913580924,6712503393.43889,23361246.67179981,289.0,-2.0,-0.0069204152
43,KRW-BAT,2023-01-17,2023-01-17T09:00:00,288.0,292.0,281.0,286.0,1673999992647,4016905960.953641,14024287.57574742,287.0,-1.0,-0.0034843206
44,KRW-BAT,2023-01-18,2023-01-18T09:00:00,284.0,311.0,271.0,278.0,1674086397706,17533724306.495483,59838694.52696955,286.0,-8.0,-0.027972028
45,KRW-BAT,2023-01-19,2023-01-19T09:00:00,278.0,319.0,274.0,301.0,1674172798888,34118262916.283337,113303189.87508307,278.0,23.0,0.0827338129
46,KRW-BAT,2023-01-20,2023-01-20T09:00:00,300.0,315.0,292.0,312.0,1674259197301,8624588658.685236,28611673.98219916,301.0,11.0,0.0365448505
47,KRW-BAT,2023-01-21,2023-01-21T09:00:00,312.0,317.0,304.0,305.0,1674345591416,7110079070.288779,22856925.92772644,312.0,-7.0,-0.0224358974
48,KRW-BAT,2023-01-22,2023-01-22T09:00:00,307.0,315.0,298.0,306.0,1674431970049,4530303825.869628,14669196.00553275,305.0,1.0,0.0032786885
49,KRW-BAT,2023-01-23,2023-01-23T09:00:00,307.0,345.0,305.0,318.0,1674518393352,25367347371.032578,78141517.31569526,306.0,12.0,0.0392156863
50,KRW-BAT,2023-01-24,2023-01-24T09:00:00,319.0,342.0,298.0,303.0,1674604791472,19712996940.329666,60303476.47094052,318.0,-15.0,-0.0471698113
51,KRW-BAT,2023-01-25,2023-01-25T09:00:00,303.0,319.0,292.0,314.0,1674691152545,6632004052.018808,21780744.62837778,303.0,11.0,0.0363036304
52,KRW-BAT,2023-01-26,2023-01-26T09:00:00,314.0,358.0,314.0,328.0,1674777561133,39720105799.94115,118649127.96634191,314.0,14.0,0.0445859873
53,KRW-BAT,2023-01-27,2023-01-27T09:00:00,328.0,335.0,316.0,335.0,1674863999834,7915739060.592189,24408239.69165631,328.0,7.0,0.0213414634
54,KRW-BAT,2023-01-28,2023-01-28T09:00:00,335.0,343.0,322.0,327.0,1674950381869,6368096363.285724,19056522.763906,335.0,-8.0,-0.023880597
55,KRW-BAT,2023-01-29,2023-01-29T09:00:00,327.0,348.0,324.0,342.0,1675036798337,19812632239.918797,58208455.68227129,327.0,15.0,0.0458715596
56,KRW-BAT,2023-01-30,2023-01-30T09:00:00,342.0,342.0,301.0,311.0,1675123171436,6657145933.403397,20653948.83082821,342.0,-31.0,-0.0906432749
57,KRW-BAT,2023-01-31,2023-01-31T09:00:00,311.0,320.0,303.0,318.0,1675209555648,2453324916.12201,7906922.44656405,311.0,7.0,0.0225080386
58,KRW-BAT,2023-02-01,2023-02-01T09:00:00,318.0,341.0,310.0,340.0,1675295995971,12617709156.815874,38641187.19261002,318.0,22.0,0.0691823899
59,KRW-BAT,2023-02-02,2023-02-02T09:00:00,339.0,346.0,334.0,336.0,1675382391024,6813700576.707533,20038380.15444085,340.0,-4.0,-0.0117647059
60,KRW-BAT,2023-02-03,2023-02-03T09:00:00,336.0,348.0,331.0,346.0,1675468792236,5028362737.287371,14841236.728052,336.0,10.0,0.0297619048
61,KRW-BAT,2023-02-04,2023-02-04T09:00:00,346.0,364.0,345.0,351.0,1675555185962,8647673950.28572,24514634.36944871,346.0,5.0,0.0144508671
62,KRW-BAT,2023-02-05,2023-02-05T09:00:00,352.0,393.0,335.0,363.0,1675641596085,42025462856.20375,113531995.5484394,351.0,12.0,0.0341880342
63,KRW-BAT,2023-02-06,2023-02-06T09:00:00,363.0,368.0,351.0,357.0,1675727996808,6729776117.996977,18730193.31347403,363.0,-6.0,-0.0165289256
64,KRW-BAT,2023-02-07,2023-02-07T09:00:00,356.0,382.0,348.0,380.0,1675814391902,6250363467.812179,17312431.80225267,357.0,23.0,0.0644257703
65,KRW-BAT,2023-02-08,2023-02-08T09:00:00,380.0,412.0,370.0,380.0,1675900791285,25427797866.937977,64695464.61645712,380.0,,0.0
66,KRW-BAT,2023-02-09,2023-02-09T09:00:00,381.0,392.0,337.0,342.0,1675987158333,10345840962.784176,27697304.01018575,380.0,-38.0,-0.1
67,KRW-BAT,2023-02-10,2023-02-10T09:00:00,343.0,357.0,336.0,353.0,1676073591103,5133865161.858319,14813528.16444826,342.0,11.0,0.0321637427
68,KRW-BAT,2023-02-11,2023-02-11T09:00:00,353.0,355.0,345.0,352.0,1676159951823,2867037535.0111337,8187433.03298681,353.0,-1.0,-0.0028328612
69,KRW-BAT,2023-02-12,2023-02-12T09:00:00,352.0,387.0,344.0,366.0,1676246393616,9338041405.462519,25580868.35787348,352.0,14.0,0.0397727273
70,KRW-BAT,2023-02-13,2023-02-13T09:00:00,367.0,382.0,346.0,372.0,1676332792886,15605840822.408136,42637716.64256,366.0,6.0,0.0163934426
71,KRW-BAT,2023-02-14,2023-02-14T09:00:00,372.0,393.0,359.0,388.0,1676419186877,13980388144.990469,37091936.18558206,372.0,16.0,0.0430107527
72,KRW-BAT,2023-02-15,2023-02-15T09:00:00,389.0,405.0,380.0,404.0,1676505599939,9098800641.507782,23260405.38477117,388.0,16.0,0.0412371134
73,KRW-BAT,2023-02-16,2023-02-16T09:00:00,404.0,408.0,379.0,380.0,1676591999958,9648353177.59354,24182894.57648164,404.0,-24.0,-0.0594059406
74,KRW-BAT,2023-02-17,2023-02-17T09:00:00,382.0,398.0,374.0,396.0,1676678398033,7886113132.201846,20209555.17334435,380.0,16.0,0.0421052632
