,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-BSV,2022-12-05,2022-12-05T09:00:00,56470.0,56990.0,55230.0,55610.0,1670284775968,769126436.583182,13641.15048392,56250.0,-640.0,-0.0113777778
1,KRW-BSV,2022-12-06,2022-12-06T09:00:00,55610.0,56200.0,55430.0,55730.0,1670371162046,338161816.2656366,6063.24734447,55610.0,120.0,0.0021578853
2,KRW-BSV,2022-12-07,2022-12-07T09:00:00,55720.0,56020.0,53170.0,54770.0,1670457599872,751590169.8905103,13865.47568022,55730.0,-960.0,-0.0172259106
3,KRW-BSV,2022-12-08,2022-12-08T09:00:00,54570.0,62050.0,54130.0,56910.0,1670543987814,6995054978.853764,118913.06164631,54770.0,2140.0,0.0390724849
4,KRW-BSV,2022-12-09,2022-12-09T09:00:00,56870.0,59130.0,55660.0,57640.0,1670630396955,2314940176.863307,40231.34287408,56910.0,730.0,0.0128272711
5,KRW-BSV,2022-12-10,2022-12-10T09:00:00,57390.0,62340.0,56640.0,58010.0,1670716773849,5833623844.172983,97848.50619195,57640.0,370.0,0.0064191534
6,KRW-BSV,2022-12-11,2022-12-11T09:00:00,58000.0,62800.0,57510.0,58190.0,1670803196088,7258504317.138888,120448.53455261,58010.0,180.0,0.0031029133
7,KRW-BSV,2022-12-12,2022-12-12T09:00:00,58270.0,66620.0,56890.0,63880.0,1670889599996,45044896544.78786,716135.24877657,58190.0,5690.0,0.0977831242
8,KRW-BSV,2022-12-13,2022-12-13T09:00:00,63730.0,64520.0,59940.0,60190.0,1670975993874,16809038321.143888,271702.95026405,63880.0,-3690.0,-0.0577645585
9,KRW-BSV,2022-12-14,2022-12-14T09:00:00,60260.0,60600.0,58440.0,59170.0,1671062395302,1827535436.5198467,30606.67268817,60190.0,-1020.0,-0.0169463366
10,KRW-BSV,2022-12-15,2022-12-15T09:00:00,59170.0,69000.0,58210.0,62230.0,1671148799235,52348801663.02727,811563.26691039,59170.0,3060.0,0.0517153963
11,KRW-BSV,2022-12-16,2022-12-16T09:00:00,62410.0,65750.0,58930.0,60010.0,1671235199413,36852474066.67628,581270.45164679,62230.0,-2220.0,-0.0356741122
12,KRW-BSV,2022-12-17,2022-12-17T09:00:00,60280.0,62940.0,58720.0,60930.0,1671321594495,12889178348.50213,211317.0721211,60010.0,920.0,0.0153307782
13,KRW-BSV,2022-12-18,2022-12-18T09:00:00,61050.0,61170.0,58500.0,59160.0,1671407993738,3286400938.7323594,55174.61560803,60930.0,-1770.0,-0.0290497292
14,KRW-BSV,2022-12-19,2022-12-19T09:00:00,59160.0,60570.0,57000.0,59760.0,1671494361503,3496733479.339088,59317.6815356,59160.0,600.0,0.0101419878
15,KRW-BSV,2022-12-20,2022-12-20T09:00:00,59740.0,61000.0,58850.0,60060.0,1671580797827,3893827752.1925564,64970.845907,59760.0,300.0,0.0050200803
16,KRW-BSV,2022-12-21,2022-12-21T09:00:00,60060.0,60130.0,58090.0,58550.0,1671667194849,1742889909.0530577,29524.78733787,60060.0,-1510.0,-0.0251415251
17,KRW-BSV,2022-12-22,2022-12-22T09:00:00,58550.0,58560.0,57300.0,58110.0,1671753593750,950662145.1533351,16413.55780641,58550.0,-440.0,-0.0075149445
18,KRW-BSV,2022-12-23,2022-12-23T09:00:00,58010.0,58520.0,57270.0,58140.0,1671839977025,946824490.1061485,16406.31794542,58110.0,30.0,0.0005162623
19,KRW-BSV,2022-12-24,2022-12-24T09:00:00,58140.0,58300.0,56500.0,57310.0,1671926394582,832381369.7946489,14488.9890418,58140.0,-830.0,-0.0142758858
20,KRW-BSV,2022-12-25,2022-12-25T09:00:00,57310.0,57310.0,55200.0,56220.0,1672012416819,886872591.5044765,15738.71603912,57310.0,-1090.0,-0.0190193683
21,KRW-BSV,2022-12-26,2022-12-26T09:00:00,55980.0,56730.0,54010.0,56500.0,1672099174792,924007003.7919108,16685.85358231,56220.0,280.0,0.004980434
22,KRW-BSV,2022-12-27,2022-12-27T09:00:00,56390.0,56520.0,54180.0,54700.0,1672185489837,584806702.7167308,10551.64910248,56500.0,-1800.0,-0.0318584071
23,KRW-BSV,2022-12-28,2022-12-28T09:00:00,54770.0,54770.0,50780.0,51100.0,1672271964383,1413233097.7696462,27058.95319885,54700.0,-3600.0,-0.0658135283
24,KRW-BSV,2022-12-29,2022-12-29T09:00:00,51100.0,55980.0,50840.0,53220.0,1672358399830,18417411622.671806,340185.19905592,51100.0,2120.0,0.0414872798
25,KRW-BSV,2022-12-30,2022-12-30T09:00:00,53220.0,55980.0,52070.0,52740.0,1672444738437,7060695218.947692,130795.00320085,53220.0,-480.0,-0.0090191657
26,KRW-BSV,2022-12-31,2022-12-31T09:00:00,52740.0,53390.0,51880.0,52500.0,1672531186847,1383319503.2530234,26351.11625678,52740.0,-240.0,-0.0045506257
27,KRW-BSV,2023-01-01,2023-01-01T09:00:00,52530.0,52830.0,52020.0,52400.0,1672617551700,531812476.0374518,10160.09801898,52500.0,-100.0,-0.0019047619
