,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-BTG,2022-12-05,2022-12-05T09:00:00,20280.0,20870.0,20150.0,20290.0,1670284754839,6578593564.048733,321707.43011864,20280.0,10.0,0.0004930966
1,KRW-BTG,2022-12-06,2022-12-06T09:00:00,20300.0,20660.0,20120.0,20300.0,1670371112546,2739924548.594267,135044.71791738,20290.0,10.0,0.0004928536
2,KRW-BTG,2022-12-07,2022-12-07T09:00:00,20260.0,20310.0,19470.0,19630.0,1670457589206,2421465137.419644,122237.32372418,20300.0,-670.0,-0.0330049261
3,KRW-BTG,2022-12-08,2022-12-08T09:00:00,19640.0,20190.0,19350.0,19940.0,1670543960264,3416658498.3089943,173191.07362976,19630.0,310.0,0.0157921549
4,KRW-BTG,2022-12-09,2022-12-09T09:00:00,19920.0,19950.0,19650.0,19790.0,1670630392872,1508334986.7893014,76253.73284429,19940.0,-150.0,-0.0075225677
5,KRW-BTG,2022-12-10,2022-12-10T09:00:00,19790.0,20490.0,19700.0,19830.0,1670716790432,4807624901.847841,239510.86708627,19790.0,40.0,0.0020212228
6,KRW-BTG,2022-12-11,2022-12-11T09:00:00,19860.0,20540.0,19500.0,19800.0,1670803190999,5367359639.730306,268498.02687396,19830.0,-30.0,-0.0015128593
7,KRW-BTG,2022-12-12,2022-12-12T09:00:00,19770.0,20500.0,19000.0,20110.0,1670889598625,18123532392.96756,907292.60825987,19800.0,310.0,0.0156565657
8,KRW-BTG,2022-12-13,2022-12-13T09:00:00,20110.0,20350.0,19140.0,19910.0,1670975991228,7736652798.582435,390284.01140374,20110.0,-200.0,-0.0099453008
9,KRW-BTG,2022-12-14,2022-12-14T09:00:00,19920.0,20040.0,19420.0,19510.0,1671062396443,2862669876.807435,144345.96168747,19910.0,-400.0,-0.0200904068
10,KRW-BTG,2022-12-15,2022-12-15T09:00:00,19590.0,20280.0,19350.0,19540.0,1671148779029,11153922720.468473,562557.49554831,19510.0,30.0,0.001537673
11,KRW-BTG,2022-12-16,2022-12-16T09:00:00,19520.0,19860.0,17780.0,18060.0,1671235198850,4268791519.440454,223162.09980555,19540.0,-1480.0,-0.0757420676
12,KRW-BTG,2022-12-17,2022-12-17T09:00:00,18060.0,19370.0,17930.0,18720.0,1671321598209,16078437037.374472,854831.54402084,18060.0,660.0,0.0365448505
13,KRW-BTG,2022-12-18,2022-12-18T09:00:00,18720.0,19050.0,18000.0,18220.0,1671407993666,3390458572.1025763,184537.77382747,18720.0,-500.0,-0.0267094017
14,KRW-BTG,2022-12-19,2022-12-19T09:00:00,18200.0,18220.0,16830.0,17050.0,1671494380225,2786777661.908313,158782.72950839,18220.0,-1170.0,-0.0642151482
15,KRW-BTG,2022-12-20,2022-12-20T09:00:00,17050.0,17560.0,16830.0,17440.0,1671580795761,3943677993.643913,228816.31290818,17050.0,390.0,0.0228739003
16,KRW-BTG,2022-12-21,2022-12-21T09:00:00,17440.0,17690.0,17000.0,17380.0,1671667189628,2809798781.119129,161818.88327446,17440.0,-60.0,-0.003440367
17,KRW-BTG,2022-12-22,2022-12-22T09:00:00,17330.0,17540.0,16780.0,17170.0,1671753589310,1757116810.5331643,102315.19095338,17380.0,-210.0,-0.0120828539
18,KRW-BTG,2022-12-23,2022-12-23T09:00:00,17150.0,17230.0,16950.0,17190.0,1671839831148,1010776717.9329407,59115.88711273,17170.0,20.0,0.0011648224
19,KRW-BTG,2022-12-24,2022-12-24T09:00:00,17210.0,17260.0,17050.0,17160.0,1671926351021,754048345.4703062,43948.76137336,17190.0,-30.0,-0.0017452007
20,KRW-BTG,2022-12-25,2022-12-25T09:00:00,17150.0,17150.0,16550.0,16810.0,1672012765540,1110555330.0926511,65731.84044643,17160.0,-350.0,-0.0203962704
21,KRW-BTG,2022-12-26,2022-12-26T09:00:00,16780.0,17060.0,16130.0,16550.0,1672099156487,2005396764.1659958,121593.54178899,16810.0,-260.0,-0.0154669839
22,KRW-BTG,2022-12-27,2022-12-27T09:00:00,16550.0,16550.0,16000.0,16150.0,1672185585499,1260950574.830832,77865.4515723,16550.0,-400.0,-0.0241691843
23,KRW-BTG,2022-12-28,2022-12-28T09:00:00,16140.0,16150.0,14930.0,15100.0,1672271994565,2495915056.49582,162897.96304965,16150.0,-1050.0,-0.0650154799
24,KRW-BTG,2022-12-29,2022-12-29T09:00:00,15080.0,15690.0,14820.0,15450.0,1672358392582,4668394844.628532,305209.40801389,15100.0,350.0,0.0231788079
25,KRW-BTG,2022-12-30,2022-12-30T09:00:00,15430.0,15750.0,14460.0,14850.0,1672444719560,2834589498.345144,188020.4581591,15450.0,-600.0,-0.0388349515
26,KRW-BTG,2022-12-31,2022-12-31T09:00:00,14850.0,15010.0,14690.0,14830.0,1672531200066,1126483910.3114367,75870.00100425,14850.0,-20.0,-0.0013468013
27,KRW-BTG,2023-01-01,2023-01-01T09:00:00,14830.0,14960.0,14760.0,14930.0,1672617589312,591530065.2844479,39840.81107857,14830.0,100.0,0.0067430883
28,KRW-BTG,2023-01-02,2023-01-02T09:00:00,14930.0,15290.0,14610.0,15190.0,1672703994076,1971358401.9924724,131535.08124618,14930.0,260.0,0.0174146015
29,KRW-BTG,2023-01-03,2023-01-03T09:00:00,15170.0,15480.0,15050.0,15260.0,1672790359346,1850663279.3880613,121035.46252734,15190.0,70.0,0.0046082949
30,KRW-BTG,2023-01-04,2023-01-04T09:00:00,15260.0,17050.0,15230.0,16670.0,1672876779909,28654905781.097897,1741696.9765147,15260.0,1410.0,0.0923984273
31,KRW-BTG,2023-01-05,2023-01-05T09:00:00,16600.0,19520.0,16590.0,17620.0,1672963198739,52791248594.11859,2928702.76361623,16670.0,950.0,0.0569886023
32,KRW-BTG,2023-01-06,2023-01-06T09:00:00,17620.0,18000.0,16240.0,17800.0,1673049599239,11563575499.846813,678701.42585836,17620.0,180.0,0.010215664
33,KRW-BTG,2023-01-07,2023-01-07T09:00:00,17800.0,18850.0,17300.0,17640.0,1673135986243,17672860387.0562,976229.54916949,17800.0,-160.0,-0.008988764
34,KRW-BTG,2023-01-08,2023-01-08T09:00:00,17640.0,17750.0,17170.0,17710.0,1673222398949,5463746386.535578,314219.40000794,17640.0,70.0,0.003968254
35,KRW-BTG,2023-01-09,2023-01-09T09:00:00,17710.0,18130.0,17400.0,17760.0,1673308791687,11005145774.864685,618032.48151005,17710.0,50.0,0.0028232637
36,KRW-BTG,2023-01-10,2023-01-10T09:00:00,17760.0,18610.0,17260.0,17970.0,1673395196086,12694929105.087738,706079.13385428,17760.0,210.0,0.0118243243
37,KRW-BTG,2023-01-11,2023-01-11T09:00:00,17960.0,18290.0,17440.0,18130.0,1673481576250,4610855421.813993,259156.07471882,17970.0,160.0,0.0089037284
38,KRW-BTG,2023-01-12,2023-01-12T09:00:00,18130.0,19630.0,17870.0,19020.0,1673567996607,39591072918.24103,2111826.96855639,18130.0,890.0,0.0490899062
39,KRW-BTG,2023-01-13,2023-01-13T09:00:00,19040.0,20150.0,18920.0,19800.0,1673654399590,27486813347.777313,1406854.3764047,19020.0,780.0,0.0410094637
40,KRW-BTG,2023-01-14,2023-01-14T09:00:00,19810.0,20750.0,18770.0,20390.0,1673740799910,29654872376.20032,1477648.16667236,19800.0,590.0,0.0297979798
41,KRW-BTG,2023-01-15,2023-01-15T09:00:00,20400.0,20400.0,19250.0,19950.0,1673827198768,10970330510.801296,555821.97972325,20390.0,-440.0,-0.0215792055
42,KRW-BTG,2023-01-16,2023-01-16T09:00:00,19950.0,20270.0,19030.0,19750.0,1673913586330,7731030553.777175,393080.94606226,19950.0,-200.0,-0.0100250627
43,KRW-BTG,2023-01-17,2023-01-17T09:00:00,19750.0,21250.0,19470.0,20060.0,1673999999212,25505055622.79537,1259873.34324068,19750.0,310.0,0.0156962025
44,KRW-BTG,2023-01-18,2023-01-18T09:00:00,20020.0,20670.0,18680.0,18840.0,1674086392856,12068912500.184769,610199.4577394,20060.0,-1220.0,-0.0608175474
45,KRW-BTG,2023-01-19,2023-01-19T09:00:00,18790.0,19310.0,18690.0,19300.0,1674172795640,3680866040.116672,194102.69235532,18840.0,460.0,0.0244161359
46,KRW-BTG,2023-01-20,2023-01-20T09:00:00,19300.0,20600.0,19160.0,20550.0,1674259197994,15773683201.468426,796532.38955291,19300.0,1250.0,0.0647668394
47,KRW-BTG,2023-01-21,2023-01-21T09:00:00,20540.0,21090.0,20040.0,20270.0,1674345584038,13922458267.35417,679743.52733966,20550.0,-280.0,-0.0136253041
48,KRW-BTG,2023-01-22,2023-01-22T09:00:00,20270.0,21300.0,20150.0,20840.0,1674431997589,17537678192.047073,843782.83751455,20270.0,570.0,0.0281203749
49,KRW-BTG,2023-01-23,2023-01-23T09:00:00,20840.0,22210.0,20600.0,21310.0,1674518392578,29731600019.43101,1387823.84957747,20840.0,470.0,0.0225527831
50,KRW-BTG,2023-01-24,2023-01-24T09:00:00,21240.0,22390.0,19700.0,20110.0,1674604795508,17815709198.129753,835073.37186081,21310.0,-1200.0,-0.0563115908
51,KRW-BTG,2023-01-25,2023-01-25T09:00:00,20110.0,20900.0,19500.0,20450.0,1674691189341,10776039019.519981,534710.45354138,20110.0,340.0,0.0169070114
52,KRW-BTG,2023-01-26,2023-01-26T09:00:00,20440.0,25000.0,20440.0,22390.0,1674777597828,167818147385.88525,7383185.10876863,20450.0,1940.0,0.0948655257
53,KRW-BTG,2023-01-27,2023-01-27T09:00:00,22350.0,23650.0,21270.0,21950.0,1674863996439,34628985518.222176,1547268.43622594,22390.0,-440.0,-0.0196516302
54,KRW-BTG,2023-01-28,2023-01-28T09:00:00,21940.0,22520.0,21310.0,21620.0,1674950399931,9879514518.664686,451808.36752131,21950.0,-330.0,-0.0150341686
55,KRW-BTG,2023-01-29,2023-01-29T09:00:00,21630.0,22140.0,21330.0,22090.0,1675036798176,13008235213.567543,597574.53285015,21620.0,470.0,0.0217391304
56,KRW-BTG,2023-01-30,2023-01-30T09:00:00,22090.0,22350.0,20100.0,20540.0,1675123177924,9530383147.160868,446323.798769,22090.0,-1550.0,-0.0701674966
57,KRW-BTG,2023-01-31,2023-01-31T09:00:00,20540.0,21240.0,20030.0,20840.0,1675209599841,9314138196.840927,450456.84322015,20540.0,300.0,0.0146056475
58,KRW-BTG,2023-02-01,2023-02-01T09:00:00,20770.0,21430.0,20010.0,21310.0,1675295995250,7554671666.568625,365509.80391392,20840.0,470.0,0.0225527831
59,KRW-BTG,2023-02-02,2023-02-02T09:00:00,21310.0,22050.0,21100.0,21330.0,1675382399557,10167483603.924545,473255.49442173,21310.0,20.0,0.0009385265
60,KRW-BTG,2023-02-03,2023-02-03T09:00:00,21330.0,21870.0,21060.0,21790.0,1675468794057,9188065303.944826,427299.26576016,21330.0,460.0,0.0215658697
61,KRW-BTG,2023-02-04,2023-02-04T09:00:00,21710.0,22640.0,21560.0,22160.0,1675555186030,14957690720.874338,675504.76705495,21790.0,370.0,0.0169802662
62,KRW-BTG,2023-02-05,2023-02-05T09:00:00,22160.0,23460.0,20710.0,21750.0,1675641592988,43966291806.83565,1964331.87915642,22160.0,-410.0,-0.0185018051
63,KRW-BTG,2023-02-06,2023-02-06T09:00:00,21710.0,22160.0,21400.0,21850.0,1675727996224,7497033835.505195,344733.2275633,21750.0,100.0,0.0045977011
64,KRW-BTG,2023-02-07,2023-02-07T09:00:00,21850.0,22300.0,21400.0,22260.0,1675814398113,6576497376.759973,302440.82082121,21850.0,410.0,0.0187643021
65,KRW-BTG,2023-02-08,2023-02-08T09:00:00,22250.0,22980.0,21600.0,22200.0,1675900790034,12593464599.317892,560660.14249055,22260.0,-60.0,-0.0026954178
66,KRW-BTG,2023-02-09,2023-02-09T09:00:00,22160.0,23750.0,21240.0,21640.0,1675987197686,25903729895.950954,1151842.39384932,22200.0,-560.0,-0.0252252252
67,KRW-BTG,2023-02-10,2023-02-10T09:00:00,21560.0,21780.0,20700.0,21350.0,1676073598086,6666463826.354858,313255.08815732,21640.0,-290.0,-0.0134011091
68,KRW-BTG,2023-02-11,2023-02-11T09:00:00,21340.0,22350.0,21280.0,21750.0,1676159994390,8581897946.04019,394520.81460512,21350.0,400.0,0.018735363
69,KRW-BTG,2023-02-12,2023-02-12T09:00:00,21760.0,22020.0,21240.0,21360.0,1676246393265,4589736656.933402,212474.53465783,21750.0,-390.0,-0.0179310345
70,KRW-BTG,2023-02-13,2023-02-13T09:00:00,21310.0,21410.0,19870.0,20850.0,1676332795267,4498008675.089764,218755.63581676,21360.0,-510.0,-0.0238764045
71,KRW-BTG,2023-02-14,2023-02-14T09:00:00,20850.0,21300.0,19930.0,21150.0,1676419192260,5645438532.288586,273639.14569382,20850.0,300.0,0.0143884892
72,KRW-BTG,2023-02-15,2023-02-15T09:00:00,21150.0,22470.0,20810.0,22430.0,1676505599614,7912189548.635316,367004.69144687,21150.0,1280.0,0.0605200946
73,KRW-BTG,2023-02-16,2023-02-16T09:00:00,22430.0,22750.0,21520.0,21660.0,1676591994405,12898937551.384768,578520.80500678,22430.0,-770.0,-0.0343290236
74,KRW-BTG,2023-02-17,2023-02-17T09:00:00,21660.0,22760.0,21520.0,22670.0,1676678395998,7348189726.092579,331865.35952359,21660.0,1010.0,0.0466297322
75,KRW-BTG,2023-02-18,2023-02-18T09:00:00,22670.0,23580.0,22350.0,23040.0,1676764797860,19524410061.917038,846628.72981037,22670.0,370.0,0.0163211292
76,KRW-BTG,2023-02-19,2023-02-19T09:00:00,23040.0,23370.0,22640.0,22990.0,1676851195977,9679182990.092022,420825.59570455,23040.0,-50.0,-0.0021701389
77,KRW-BTG,2023-02-20,2023-02-20T09:00:00,22940.0,23950.0,22320.0,23810.0,1676937592622,18968096603.837906,810623.46431827,22990.0,820.0,0.0356676816
78,KRW-BTG,2023-02-21,2023-02-21T09:00:00,23820.0,28410.0,23810.0,25280.0,1677023998298,229480579405.37134,8731649.10829874,23810.0,1470.0,0.0617387652
79,KRW-BTG,2023-02-22,2023-02-22T09:00:00,25270.0,25400.0,23680.0,24390.0,1677110391023,22512248294.865467,925740.97287695,25280.0,-890.0,-0.0352056962
80,KRW-BTG,2023-02-23,2023-02-23T09:00:00,24370.0,24390.0,23420.0,23710.0,1677196759853,8755253988.18355,367129.05446611,24390.0,-680.0,-0.0278802788
