,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-BTT,2022-12-05,2022-12-05T09:00:00,0.0009,0.001,0.0009,0.0009,1670284800016,421655193.8413786,457949567678.31854,0.0009,,0.0
1,KRW-BTT,2022-12-06,2022-12-06T09:00:00,0.0009,0.001,0.0009,0.001,1670371200068,868684417.8290795,952853124476.4965,0.0009,0.0001,0.1111111111
2,KRW-BTT,2022-12-07,2022-12-07T09:00:00,0.001,0.001,0.0008,0.0009,1670457589704,6770158312.986443,7537697047036.162,0.001,-0.0001,-0.1
3,KRW-BTT,2022-12-08,2022-12-08T09:00:00,0.0009,0.0009,0.0008,0.0009,1670543973782,865675961.8653647,979118989303.9476,0.0009,,0.0
4,KRW-BTT,2022-12-09,2022-12-09T09:00:00,0.0009,0.0009,0.0008,0.0009,1670630396976,616702473.3521652,695452827525.1973,0.0009,,0.0
5,KRW-BTT,2022-12-10,2022-12-10T09:00:00,0.0009,0.0009,0.0008,0.0009,1670716799917,1403739026.395104,1577883110315.558,0.0009,,0.0
6,KRW-BTT,2022-12-11,2022-12-11T09:00:00,0.0008,0.0009,0.0008,0.0009,1670803199885,296534492.9915281,339813223891.23376,0.0009,,0.0
7,KRW-BTT,2022-12-12,2022-12-12T09:00:00,0.0008,0.0009,0.0008,0.0009,1670889598810,473358818.23043495,563235239153.7794,0.0009,,0.0
8,KRW-BTT,2022-12-13,2022-12-13T09:00:00,0.0009,0.0009,0.0008,0.0009,1670975999931,642551093.9726679,745536388305.6368,0.0009,,0.0
9,KRW-BTT,2022-12-14,2022-12-14T09:00:00,0.0008,0.0009,0.0008,0.0009,1671062399929,277314734.9730396,327178299104.5923,0.0009,,0.0
10,KRW-BTT,2022-12-15,2022-12-15T09:00:00,0.0008,0.0009,0.0008,0.0009,1671148799954,298458531.2845695,359185317438.8761,0.0009,,0.0
11,KRW-BTT,2022-12-16,2022-12-16T09:00:00,0.0008,0.0009,0.0008,0.0009,1671235199877,631667007.6993619,773352849918.0645,0.0009,,0.0
12,KRW-BTT,2022-12-17,2022-12-17T09:00:00,0.0008,0.0009,0.0008,0.0008,1671321599972,305409730.69506717,374706055342.8907,0.0009,-0.0001,-0.1111111111
13,KRW-BTT,2022-12-18,2022-12-18T09:00:00,0.0008,0.0009,0.0008,0.0008,1671408000021,263494973.8493247,313122998978.13324,0.0008,,0.0
14,KRW-BTT,2022-12-19,2022-12-19T09:00:00,0.0008,0.0009,0.0008,0.0008,1671494400011,595361637.8022194,721316859600.4105,0.0008,,0.0
15,KRW-BTT,2022-12-20,2022-12-20T09:00:00,0.0009,0.0009,0.0008,0.0008,1671580799953,412155157.41658664,497163425866.88965,0.0008,,0.0
16,KRW-BTT,2022-12-21,2022-12-21T09:00:00,0.0008,0.0009,0.0008,0.0008,1671667199972,215092571.58508295,261290929557.13092,0.0008,,0.0
17,KRW-BTT,2022-12-22,2022-12-22T09:00:00,0.0009,0.0009,0.0008,0.0008,1671753599944,202009840.89998487,244464427937.90927,0.0008,,0.0
18,KRW-BTT,2022-12-23,2022-12-23T09:00:00,0.0009,0.0009,0.0008,0.0008,1671840000019,207995496.35645932,250879983931.04758,0.0008,,0.0
19,KRW-BTT,2022-12-24,2022-12-24T09:00:00,0.0009,0.0009,0.0008,0.0008,1671926399954,120419209.20197608,145068068379.11063,0.0008,,0.0
20,KRW-BTT,2022-12-25,2022-12-25T09:00:00,0.0009,0.0009,0.0008,0.0008,1672012799993,421068213.4680331,504844607052.885,0.0008,,0.0
21,KRW-BTT,2022-12-26,2022-12-26T09:00:00,0.0008,0.0009,0.0008,0.0008,1672099199852,414508472.3932893,511210421656.8911,0.0008,,0.0
22,KRW-BTT,2022-12-27,2022-12-27T09:00:00,0.0009,0.0009,0.0007,0.0008,1672185556710,3425152364.956494,4279226826918.3057,0.0008,,0.0
23,KRW-BTT,2022-12-28,2022-12-28T09:00:00,0.0008,0.0008,0.0007,0.0008,1672271954238,590357008.298351,766156407555.4683,0.0008,,0.0
24,KRW-BTT,2022-12-29,2022-12-29T09:00:00,0.0008,0.0008,0.0007,0.0008,1672358355034,286500352.11753523,384463511752.73016,0.0008,,0.0
25,KRW-BTT,2022-12-30,2022-12-30T09:00:00,0.0008,0.0008,0.0007,0.0008,1672444751714,214845193.1976739,290733876539.3807,0.0008,,0.0
26,KRW-BTT,2022-12-31,2022-12-31T09:00:00,0.0008,0.0008,0.0007,0.0008,1672531199927,219842823.62793204,291650386188.4501,0.0008,,0.0
27,KRW-BTT,2023-01-01,2023-01-01T09:00:00,0.0008,0.0008,0.0007,0.0008,1672617599895,134953082.07236725,178467636551.45676,0.0008,,0.0
28,KRW-BTT,2023-01-02,2023-01-02T09:00:00,0.0008,0.0008,0.0007,0.0008,1672703930345,330518235.8908782,429929223855.9828,0.0008,,0.0
29,KRW-BTT,2023-01-03,2023-01-03T09:00:00,0.0008,0.0008,0.0007,0.0008,1672790399936,211022506.5208005,276470051117.62024,0.0008,,0.0
30,KRW-BTT,2023-01-04,2023-01-04T09:00:00,0.0007,0.0009,0.0007,0.0009,1672876799951,2530152010.2215366,3151315245048.3394,0.0008,0.0001,0.125
31,KRW-BTT,2023-01-05,2023-01-05T09:00:00,0.0009,0.0009,0.0008,0.0009,1672963199929,630009089.2368615,779769329054.8826,0.0009,,0.0
32,KRW-BTT,2023-01-06,2023-01-06T09:00:00,0.0008,0.0009,0.0007,0.0008,1673049599951,2791798163.3131323,3496784041152.789,0.0009,-0.0001,-0.1111111111
33,KRW-BTT,2023-01-07,2023-01-07T09:00:00,0.0009,0.0009,0.0008,0.0009,1673135999919,344094246.7193958,424893112236.53906,0.0008,0.0001,0.125
34,KRW-BTT,2023-01-08,2023-01-08T09:00:00,0.0008,0.0009,0.0008,0.0009,1673222399932,205780652.51789102,251466249577.35764,0.0009,,0.0
35,KRW-BTT,2023-01-09,2023-01-09T09:00:00,0.0008,0.0009,0.0008,0.0009,1673308799941,367642706.44545084,428959045878.8614,0.0009,,0.0
36,KRW-BTT,2023-01-10,2023-01-10T09:00:00,0.0008,0.0009,0.0008,0.0009,1673395109024,260752993.8205063,315359960207.4769,0.0009,,0.0
37,KRW-BTT,2023-01-11,2023-01-11T09:00:00,0.0009,0.0009,0.0008,0.0009,1673481592408,262189394.41102067,314570626878.1277,0.0009,,0.0
38,KRW-BTT,2023-01-12,2023-01-12T09:00:00,0.0009,0.0009,0.0008,0.0009,1673567999918,383435701.6746845,451305704699.7158,0.0009,,0.0
39,KRW-BTT,2023-01-13,2023-01-13T09:00:00,0.0008,0.0009,0.0008,0.0009,1673654399916,604630347.1054493,693644185997.5336,0.0009,,0.0
40,KRW-BTT,2023-01-14,2023-01-14T09:00:00,0.0009,0.001,0.0008,0.0009,1673740799984,9217421909.357615,10261744235380.672,0.0009,,0.0
41,KRW-BTT,2023-01-15,2023-01-15T09:00:00,0.001,0.001,0.0008,0.0009,1673827198775,2158755922.445121,2413343017503.89,0.0009,,0.0
42,KRW-BTT,2023-01-16,2023-01-16T09:00:00,0.0008,0.001,0.0008,0.001,1673913511992,2684691737.272905,2935658041801.5347,0.0009,0.0001,0.1111111111
43,KRW-BTT,2023-01-17,2023-01-17T09:00:00,0.001,0.001,0.0009,0.001,1673999999920,717234610.5965545,772357892716.9779,0.001,,0.0
