,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-CELO,2022-12-05,2022-12-05T09:00:00,937.0,993.0,868.0,868.0,1670284790954,66871997242.91315,71546118.73582464,937.0,-69.0,-0.0736392743
1,KRW-CELO,2022-12-06,2022-12-06T09:00:00,868.0,909.0,838.0,849.0,1670371196820,12939065551.024408,14836722.63984256,868.0,-19.0,-0.0218894009
2,KRW-CELO,2022-12-07,2022-12-07T09:00:00,849.0,850.0,783.0,792.0,1670457592610,6895551941.523404,8504952.35095491,849.0,-57.0,-0.0671378092
3,KRW-CELO,2022-12-08,2022-12-08T09:00:00,792.0,826.0,771.0,807.0,1670544000023,12086891390.414791,15234315.14741168,792.0,15.0,0.0189393939
4,KRW-CELO,2022-12-09,2022-12-09T09:00:00,807.0,808.0,783.0,804.0,1670630392431,4751030368.5370865,5987319.05485859,807.0,-3.0,-0.0037174721
5,KRW-CELO,2022-12-10,2022-12-10T09:00:00,804.0,868.0,796.0,802.0,1670716771635,33295736818.50924,39670655.99847296,804.0,-2.0,-0.0024875622
6,KRW-CELO,2022-12-11,2022-12-11T09:00:00,802.0,802.0,765.0,769.0,1670803191240,4922492616.874558,6253140.32154581,802.0,-33.0,-0.0411471322
7,KRW-CELO,2022-12-12,2022-12-12T09:00:00,769.0,809.0,730.0,745.0,1670889598428,11174270547.340775,14511695.98536926,769.0,-24.0,-0.0312093628
8,KRW-CELO,2022-12-13,2022-12-13T09:00:00,743.0,755.0,692.0,729.0,1670975996439,4338194538.773848,6009794.76306231,745.0,-16.0,-0.0214765101
9,KRW-CELO,2022-12-14,2022-12-14T09:00:00,729.0,734.0,702.0,712.0,1671062393294,2223175491.2051916,3087575.9918394,729.0,-17.0,-0.0233196159
10,KRW-CELO,2022-12-15,2022-12-15T09:00:00,712.0,821.0,692.0,748.0,1671148799770,53164368833.57144,68466402.14150634,712.0,36.0,0.0505617978
11,KRW-CELO,2022-12-16,2022-12-16T09:00:00,749.0,811.0,709.0,727.0,1671235199969,43627163835.08334,56273883.19346422,748.0,-21.0,-0.0280748663
12,KRW-CELO,2022-12-17,2022-12-17T09:00:00,727.0,728.0,659.0,697.0,1671321596032,10080501011.984638,14647047.35815218,727.0,-30.0,-0.0412654746
13,KRW-CELO,2022-12-18,2022-12-18T09:00:00,697.0,705.0,682.0,702.0,1671407997834,1841180774.8948383,2656597.41374823,697.0,5.0,0.0071736011
14,KRW-CELO,2022-12-19,2022-12-19T09:00:00,702.0,706.0,637.0,657.0,1671494289860,2329592814.452465,3435376.80921437,702.0,-45.0,-0.0641025641
15,KRW-CELO,2022-12-20,2022-12-20T09:00:00,659.0,675.0,650.0,673.0,1671580798580,3054986095.605237,4579068.00051519,657.0,16.0,0.0243531202
16,KRW-CELO,2022-12-21,2022-12-21T09:00:00,673.0,700.0,644.0,656.0,1671667196921,4737824539.89479,7102288.36008455,673.0,-17.0,-0.0252600297
17,KRW-CELO,2022-12-22,2022-12-22T09:00:00,656.0,658.0,624.0,643.0,1671753520188,2660983348.0037866,4148921.38409788,656.0,-13.0,-0.0198170732
18,KRW-CELO,2022-12-23,2022-12-23T09:00:00,643.0,644.0,629.0,641.0,1671839995188,1349296698.7439344,2116294.43011855,643.0,-2.0,-0.0031104199
19,KRW-CELO,2022-12-24,2022-12-24T09:00:00,640.0,640.0,630.0,640.0,1671926381843,1053450688.4729556,1657353.13989043,641.0,-1.0,-0.0015600624
20,KRW-CELO,2022-12-25,2022-12-25T09:00:00,640.0,720.0,637.0,651.0,1672012792871,36975056265.9229,53980674.36987472,640.0,11.0,0.0171875
21,KRW-CELO,2022-12-26,2022-12-26T09:00:00,650.0,650.0,615.0,632.0,1672099198745,4857482098.884269,7718065.18605573,651.0,-19.0,-0.0291858679
22,KRW-CELO,2022-12-27,2022-12-27T09:00:00,632.0,642.0,602.0,621.0,1672185596209,3371173553.082752,5396736.86224478,632.0,-11.0,-0.0174050633
23,KRW-CELO,2022-12-28,2022-12-28T09:00:00,622.0,640.0,574.0,585.0,1672271805681,3716065462.3820777,6158832.5228066,621.0,-36.0,-0.0579710145
24,KRW-CELO,2022-12-29,2022-12-29T09:00:00,584.0,625.0,569.0,602.0,1672358399345,7220566458.185662,11988571.9530121,585.0,17.0,0.0290598291
25,KRW-CELO,2022-12-30,2022-12-30T09:00:00,602.0,620.0,573.0,612.0,1672444798728,3667891037.43137,6121141.43336891,602.0,10.0,0.0166112957
26,KRW-CELO,2022-12-31,2022-12-31T09:00:00,612.0,612.0,598.0,605.0,1672531174667,1871847895.5357504,3105963.80856557,612.0,-7.0,-0.0114379085
27,KRW-CELO,2023-01-01,2023-01-01T09:00:00,605.0,616.0,591.0,610.0,1672617530108,1004288541.3762839,1669950.06734855,605.0,5.0,0.0082644628
28,KRW-CELO,2023-01-02,2023-01-02T09:00:00,610.0,634.0,594.0,624.0,1672703904029,1461272160.2602942,2365313.55318834,610.0,14.0,0.0229508197
29,KRW-CELO,2023-01-03,2023-01-03T09:00:00,626.0,656.0,622.0,655.0,1672790291530,1810786715.3195424,2851549.66597971,624.0,31.0,0.0496794872
30,KRW-CELO,2023-01-04,2023-01-04T09:00:00,654.0,667.0,635.0,652.0,1672876774461,2265576830.469914,3461418.06113677,655.0,-3.0,-0.0045801527
31,KRW-CELO,2023-01-05,2023-01-05T09:00:00,652.0,657.0,628.0,633.0,1672963102316,1263098684.5680478,1977946.91589736,652.0,-19.0,-0.0291411043
32,KRW-CELO,2023-01-06,2023-01-06T09:00:00,633.0,662.0,607.0,662.0,1673049599763,2483087942.265374,3918800.14978626,633.0,29.0,0.0458135861
33,KRW-CELO,2023-01-07,2023-01-07T09:00:00,662.0,676.0,643.0,651.0,1673135989050,2202014222.01228,3375680.52415315,662.0,-11.0,-0.0166163142
34,KRW-CELO,2023-01-08,2023-01-08T09:00:00,651.0,665.0,640.0,664.0,1673222373135,2141481797.8966064,3284321.39479054,651.0,13.0,0.019969278
35,KRW-CELO,2023-01-09,2023-01-09T09:00:00,663.0,709.0,657.0,683.0,1673308795555,4599140227.635343,6758471.36186202,664.0,19.0,0.0286144578
36,KRW-CELO,2023-01-10,2023-01-10T09:00:00,682.0,711.0,664.0,708.0,1673395197001,4206396633.7508864,6097346.24368912,683.0,25.0,0.0366032211
