,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-CHZ,2022-12-05,2022-12-05T09:00:00,224.0,229.0,214.0,218.0,1670284799913,24710467352.314354,111160226.07417253,223.0,-5.0,-0.0224215247
1,KRW-CHZ,2022-12-06,2022-12-06T09:00:00,217.0,218.0,212.0,215.0,1670371192540,11181157258.021296,51812324.40873985,218.0,-3.0,-0.0137614679
2,KRW-CHZ,2022-12-07,2022-12-07T09:00:00,215.0,217.0,197.0,203.0,1670457599738,16384424008.11907,79484043.98994148,215.0,-12.0,-0.0558139535
3,KRW-CHZ,2022-12-08,2022-12-08T09:00:00,204.0,207.0,198.0,205.0,1670543992257,12820634228.981716,63110718.77592292,203.0,2.0,0.0098522167
4,KRW-CHZ,2022-12-09,2022-12-09T09:00:00,205.0,205.0,199.0,201.0,1670630382781,7500307906.632722,37168920.03132757,205.0,-4.0,-0.0195121951
5,KRW-CHZ,2022-12-10,2022-12-10T09:00:00,201.0,202.0,198.0,200.0,1670716795602,6852460308.762863,34244133.72360919,201.0,-1.0,-0.0049751244
6,KRW-CHZ,2022-12-11,2022-12-11T09:00:00,199.0,201.0,188.0,192.0,1670803196729,9671825826.17082,49286861.85665705,200.0,-8.0,-0.04
7,KRW-CHZ,2022-12-12,2022-12-12T09:00:00,192.0,192.0,178.0,184.0,1670889599086,15144845191.910912,82568227.89519538,192.0,-8.0,-0.0416666667
8,KRW-CHZ,2022-12-13,2022-12-13T09:00:00,184.0,188.0,174.0,183.0,1670975987941,13848076493.088858,76232209.94990173,184.0,-1.0,-0.0054347826
9,KRW-CHZ,2022-12-14,2022-12-14T09:00:00,183.0,186.0,176.0,178.0,1671062397195,7295916603.656627,40198472.16405915,183.0,-5.0,-0.0273224044
10,KRW-CHZ,2022-12-15,2022-12-15T09:00:00,178.0,196.0,173.0,189.0,1671148799713,40212161151.87472,213939505.42840508,178.0,11.0,0.0617977528
11,KRW-CHZ,2022-12-16,2022-12-16T09:00:00,189.0,192.0,159.0,163.0,1671235199854,26496507920.826168,149307226.34887177,189.0,-26.0,-0.1375661376
12,KRW-CHZ,2022-12-17,2022-12-17T09:00:00,163.0,163.0,148.0,159.0,1671321595961,18855045234.07922,121128833.42512666,163.0,-4.0,-0.0245398773
13,KRW-CHZ,2022-12-18,2022-12-18T09:00:00,159.0,169.0,154.0,157.0,1671407996413,26329681628.887596,163608276.43869904,159.0,-2.0,-0.0125786164
14,KRW-CHZ,2022-12-19,2022-12-19T09:00:00,157.0,159.0,138.0,142.0,1671494396189,16110877086.752718,108240393.78372256,157.0,-15.0,-0.0955414013
15,KRW-CHZ,2022-12-20,2022-12-20T09:00:00,141.0,150.0,139.0,147.0,1671580791670,13607823793.245216,94142970.33122087,142.0,5.0,0.0352112676
16,KRW-CHZ,2022-12-21,2022-12-21T09:00:00,148.0,148.0,142.0,145.0,1671667196602,9479248988.531826,65712738.70035394,147.0,-2.0,-0.0136054422
17,KRW-CHZ,2022-12-22,2022-12-22T09:00:00,145.0,147.0,140.0,146.0,1671753576294,6149872397.940744,42673336.88459097,145.0,1.0,0.0068965517
18,KRW-CHZ,2022-12-23,2022-12-23T09:00:00,145.0,147.0,143.0,146.0,1671839984092,4527123295.735694,31251515.85610626,146.0,,0.0
19,KRW-CHZ,2022-12-24,2022-12-24T09:00:00,146.0,147.0,145.0,146.0,1671926318386,2245665784.363794,15403503.24018725,146.0,,0.0
20,KRW-CHZ,2022-12-25,2022-12-25T09:00:00,146.0,147.0,142.0,143.0,1672012791819,2841068962.623306,19750207.81146181,146.0,-3.0,-0.0205479452
21,KRW-CHZ,2022-12-26,2022-12-26T09:00:00,144.0,144.0,139.0,141.0,1672099179243,4297962159.513099,30478274.30614375,143.0,-2.0,-0.013986014
22,KRW-CHZ,2022-12-27,2022-12-27T09:00:00,142.0,142.0,135.0,138.0,1672185545878,5315788309.870597,38540540.5777508,141.0,-3.0,-0.0212765957
23,KRW-CHZ,2022-12-28,2022-12-28T09:00:00,137.0,138.0,130.0,131.0,1672271987649,7768662010.275391,58350841.75710603,138.0,-7.0,-0.0507246377
24,KRW-CHZ,2022-12-29,2022-12-29T09:00:00,131.0,134.0,127.0,130.0,1672358395665,7011487904.841202,53661742.11300488,131.0,-1.0,-0.0076335878
25,KRW-CHZ,2022-12-30,2022-12-30T09:00:00,130.0,131.0,123.0,127.0,1672444793817,5932974265.73186,46893025.424615,130.0,-3.0,-0.0230769231
26,KRW-CHZ,2022-12-31,2022-12-31T09:00:00,127.0,130.0,126.0,128.0,1672531188949,2675106512.8391614,20915163.30776356,127.0,1.0,0.0078740157
27,KRW-CHZ,2023-01-01,2023-01-01T09:00:00,128.0,130.0,126.0,128.0,1672617591609,1731879845.6620257,13528609.7384689,128.0,,0.0
28,KRW-CHZ,2023-01-02,2023-01-02T09:00:00,129.0,132.0,126.0,130.0,1672703941373,5575512006.260573,43042561.04327405,128.0,2.0,0.015625
29,KRW-CHZ,2023-01-03,2023-01-03T09:00:00,130.0,133.0,128.0,132.0,1672790398292,7399949572.654104,56871937.5616445,130.0,2.0,0.0153846154
