,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-CRO,2022-12-05,2022-12-05T09:00:00,86.7,99.4,86.3,92.2,1670284799222,119937672677.26508,1259115732.4611332,86.6,5.6,0.064665127
1,KRW-CRO,2022-12-06,2022-12-06T09:00:00,92.2,92.5,87.5,88.9,1670371196680,10999031458.601143,122912177.84608692,92.2,-3.3,-0.035791757
2,KRW-CRO,2022-12-07,2022-12-07T09:00:00,88.9,95.6,82.1,85.5,1670457579534,26880393610.141,299171139.74785054,88.9,-3.4,-0.0382452193
3,KRW-CRO,2022-12-08,2022-12-08T09:00:00,85.6,86.2,83.7,86.0,1670543997351,3323202011.9047885,39252348.91403056,85.5,0.5,0.0058479532
4,KRW-CRO,2022-12-09,2022-12-09T09:00:00,86.0,86.1,84.3,85.5,1670630377033,2032453857.3828876,23858454.08123068,86.0,-0.5,-0.0058139535
5,KRW-CRO,2022-12-10,2022-12-10T09:00:00,85.6,89.2,85.3,85.8,1670716790284,7167278266.8185625,82473342.0292505,85.5,0.3,0.0035087719
6,KRW-CRO,2022-12-11,2022-12-11T09:00:00,85.8,87.1,84.1,84.2,1670803165794,2207783087.686451,25939476.51865946,85.8,-1.6,-0.0186480186
7,KRW-CRO,2022-12-12,2022-12-12T09:00:00,84.3,84.6,80.5,82.6,1670889515239,2096081629.259432,25456647.42618677,84.2,-1.6,-0.0190023753
8,KRW-CRO,2022-12-13,2022-12-13T09:00:00,82.6,85.0,77.1,81.6,1670975986344,3774782561.610275,46052327.94836641,82.6,-1.0,-0.0121065375
9,KRW-CRO,2022-12-14,2022-12-14T09:00:00,81.6,84.5,80.8,81.1,1671062380219,3263440581.8497634,39659015.82764365,81.6,-0.5,-0.006127451
10,KRW-CRO,2022-12-15,2022-12-15T09:00:00,81.1,81.9,79.0,80.3,1671148764819,1356867170.4751387,16839065.86546641,81.1,-0.8,-0.009864365
