,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-DKA,2022-12-05,2022-12-05T09:00:00,45.3,45.4,42.7,43.4,1670284797450,6611400546.922621,151178448.0201393,45.3,-1.9,-0.0419426049
1,KRW-DKA,2022-12-06,2022-12-06T09:00:00,43.4,44.5,42.4,43.1,1670371199286,6061509866.20223,139995792.0927702,43.4,-0.3,-0.0069124424
2,KRW-DKA,2022-12-07,2022-12-07T09:00:00,43.1,43.2,39.8,41.1,1670457596779,4696869129.879511,113872207.26063178,43.1,-2.0,-0.0464037123
3,KRW-DKA,2022-12-08,2022-12-08T09:00:00,41.1,43.8,40.5,42.8,1670543999839,15089659973.3052,356494847.44019836,41.1,1.7,0.0413625304
4,KRW-DKA,2022-12-09,2022-12-09T09:00:00,42.7,43.4,41.8,42.5,1670630388825,3998804557.8206234,94123404.21482652,42.8,-0.3,-0.0070093458
5,KRW-DKA,2022-12-10,2022-12-10T09:00:00,42.5,43.3,41.9,42.4,1670716791706,3570093122.3433743,83943831.26525,42.5,-0.1,-0.0023529412
6,KRW-DKA,2022-12-11,2022-12-11T09:00:00,42.4,42.7,41.0,41.5,1670803199146,2319985723.855906,55606478.24873303,42.4,-0.9,-0.0212264151
7,KRW-DKA,2022-12-12,2022-12-12T09:00:00,41.5,42.0,38.7,40.1,1670889588478,3292791527.04165,82322291.53101516,41.5,-1.4,-0.0337349398
8,KRW-DKA,2022-12-13,2022-12-13T09:00:00,40.1,40.6,37.6,39.7,1670975997460,2526321936.7799864,64576482.77430945,40.1,-0.4,-0.0099750623
9,KRW-DKA,2022-12-14,2022-12-14T09:00:00,39.7,40.8,38.6,39.2,1671062307736,2145250000.700606,54185563.32940392,39.7,-0.5,-0.0125944584
10,KRW-DKA,2022-12-15,2022-12-15T09:00:00,39.1,43.2,38.9,39.6,1671148799768,27846013938.56362,677245697.7736772,39.2,0.4,0.0102040816
