,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-DOT,2022-12-05,2022-12-05T09:00:00,7490.0,7625.0,7310.0,7360.0,1670284764565,2341515772.406025,312359.19483705,7490.0,-130.0,-0.0173564753
1,KRW-DOT,2022-12-06,2022-12-06T09:00:00,7355.0,7380.0,7280.0,7360.0,1670371170826,1233172995.1690786,167933.4097786,7360.0,,0.0
2,KRW-DOT,2022-12-07,2022-12-07T09:00:00,7365.0,7375.0,7020.0,7100.0,1670457593784,2342085383.082705,328023.97380587,7360.0,-260.0,-0.035326087
3,KRW-DOT,2022-12-08,2022-12-08T09:00:00,7100.0,7255.0,7055.0,7220.0,1670543989698,1712973006.9235911,240631.27782852,7100.0,120.0,0.0169014085
4,KRW-DOT,2022-12-09,2022-12-09T09:00:00,7220.0,7230.0,7035.0,7080.0,1670630393756,2333868832.9910226,327159.85426371,7220.0,-140.0,-0.0193905817
5,KRW-DOT,2022-12-10,2022-12-10T09:00:00,7080.0,7090.0,7015.0,7040.0,1670716793112,2758076862.673756,391063.75441092,7080.0,-40.0,-0.0056497175
6,KRW-DOT,2022-12-11,2022-12-11T09:00:00,7040.0,7060.0,6865.0,6900.0,1670803194719,2754656338.4380646,394276.18904757,7040.0,-140.0,-0.0198863636
7,KRW-DOT,2022-12-12,2022-12-12T09:00:00,6900.0,6900.0,6720.0,6870.0,1670889599150,3013580741.4229417,441790.4021556,6900.0,-30.0,-0.0043478261
8,KRW-DOT,2022-12-13,2022-12-13T09:00:00,6875.0,7080.0,6590.0,6890.0,1670975991950,5243249480.43579,762953.17219949,6870.0,20.0,0.0029112082
9,KRW-DOT,2022-12-14,2022-12-14T09:00:00,6900.0,6995.0,6740.0,6810.0,1671062367468,2503220396.81837,362959.4763452,6890.0,-80.0,-0.0116110305
10,KRW-DOT,2022-12-15,2022-12-15T09:00:00,6815.0,6935.0,6705.0,6925.0,1671148799045,2398440976.1765127,350965.24482598,6810.0,115.0,0.016886931
11,KRW-DOT,2022-12-16,2022-12-16T09:00:00,6920.0,6925.0,6010.0,6240.0,1671235193723,3567989608.3274546,543068.31877904,6925.0,-685.0,-0.0989169675
12,KRW-DOT,2022-12-17,2022-12-17T09:00:00,6240.0,6290.0,6075.0,6245.0,1671321375391,1974604298.938157,319370.46240348,6240.0,5.0,0.0008012821
13,KRW-DOT,2022-12-18,2022-12-18T09:00:00,6255.0,6260.0,6135.0,6205.0,1671407973788,1086545030.9117382,175238.68149681,6245.0,-40.0,-0.0064051241
14,KRW-DOT,2022-12-19,2022-12-19T09:00:00,6215.0,6220.0,5800.0,5910.0,1671494394742,2046249817.9251046,338910.62982682,6205.0,-295.0,-0.0475423046
15,KRW-DOT,2022-12-20,2022-12-20T09:00:00,5910.0,6070.0,5870.0,6010.0,1671580797033,1892036539.0167577,315395.23219341,5910.0,100.0,0.0169204738
16,KRW-DOT,2022-12-21,2022-12-21T09:00:00,6015.0,6015.0,5810.0,5850.0,1671667193756,2486937218.621638,422319.73089682,6010.0,-160.0,-0.0266222962
17,KRW-DOT,2022-12-22,2022-12-22T09:00:00,5850.0,5900.0,5715.0,5895.0,1671753546730,2422008212.7509174,418160.17727189,5850.0,45.0,0.0076923077
18,KRW-DOT,2022-12-23,2022-12-23T09:00:00,5900.0,5900.0,5810.0,5850.0,1671839994753,1700698544.6820703,290500.43594817,5895.0,-45.0,-0.0076335878
19,KRW-DOT,2022-12-24,2022-12-24T09:00:00,5850.0,5855.0,5785.0,5815.0,1671926397012,828977655.5361819,142413.88708583,5850.0,-35.0,-0.005982906
20,KRW-DOT,2022-12-25,2022-12-25T09:00:00,5815.0,5835.0,5725.0,5835.0,1672012769042,1343304344.6404686,232358.91397132,5815.0,20.0,0.0034393809
21,KRW-DOT,2022-12-26,2022-12-26T09:00:00,5835.0,5875.0,5730.0,5860.0,1672099195892,1460875564.2593021,252413.06852403,5835.0,25.0,0.0042844901
22,KRW-DOT,2022-12-27,2022-12-27T09:00:00,5870.0,5875.0,5705.0,5715.0,1672185593305,1201989441.5697858,208385.47569608,5860.0,-145.0,-0.0247440273
23,KRW-DOT,2022-12-28,2022-12-28T09:00:00,5710.0,5725.0,5415.0,5450.0,1672271931678,1678257057.8776665,302449.94201541,5715.0,-265.0,-0.0463692038
24,KRW-DOT,2022-12-29,2022-12-29T09:00:00,5455.0,5560.0,5355.0,5495.0,1672358090410,1747876108.8592155,319606.28061321,5450.0,45.0,0.0082568807
25,KRW-DOT,2022-12-30,2022-12-30T09:00:00,5490.0,5505.0,5360.0,5495.0,1672444778326,928980004.4726682,170723.09443891,5495.0,,0.0
26,KRW-DOT,2022-12-31,2022-12-31T09:00:00,5480.0,5590.0,5460.0,5485.0,1672531153207,514444482.2236729,93270.73631637,5495.0,-10.0,-0.0018198362
