,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-EGLD,2023-04-27,2023-04-27T09:00:00,46600.0,64000.0,46600.0,58590.0,1682639999976,179843840873.1903,2968748.72896251,46600.0,11990.0,0.2572961373
1,KRW-EGLD,2023-04-28,2023-04-28T09:00:00,58590.0,61790.0,57430.0,57740.0,1682726395278,78131182980.766,1314973.09920316,58590.0,-850.0,-0.0145075952
2,KRW-EGLD,2023-04-29,2023-04-29T09:00:00,57690.0,57740.0,55370.0,55720.0,1682812788100,15848006075.389414,281187.48755496,57740.0,-2020.0,-0.0349844129
3,KRW-EGLD,2023-04-30,2023-04-30T09:00:00,55720.0,57250.0,54800.0,55590.0,1682899196045,16784186441.633802,299802.00343078,55720.0,-130.0,-0.002333094
4,KRW-EGLD,2023-05-01,2023-05-01T09:00:00,55590.0,59200.0,55100.0,56120.0,1682985595352,86907931029.30197,1517362.16650396,55590.0,530.0,0.0095340889
5,KRW-EGLD,2023-05-02,2023-05-02T09:00:00,56120.0,56170.0,53520.0,54410.0,1683071997992,20857503565.404976,383598.7272116,56120.0,-1710.0,-0.0304704205
6,KRW-EGLD,2023-05-03,2023-05-03T09:00:00,54430.0,55350.0,52310.0,53360.0,1683158397144,15893629340.902311,296664.25490956,54410.0,-1050.0,-0.0192979232
7,KRW-EGLD,2023-05-04,2023-05-04T09:00:00,53380.0,53490.0,52380.0,52480.0,1683244794375,7452777692.732127,141121.78994894,53360.0,-880.0,-0.0164917541
8,KRW-EGLD,2023-05-05,2023-05-05T09:00:00,52500.0,53390.0,51770.0,52740.0,1683331197004,5113661283.714899,97195.67133572,52480.0,260.0,0.0049542683
9,KRW-EGLD,2023-05-06,2023-05-06T09:00:00,52740.0,53500.0,51400.0,52850.0,1683417598414,6485766379.419312,123118.73271323,52740.0,110.0,0.0020857035
10,KRW-EGLD,2023-05-07,2023-05-07T09:00:00,52850.0,53070.0,52340.0,52690.0,1683503985007,2731176639.523178,51794.56959531,52850.0,-160.0,-0.0030274361
11,KRW-EGLD,2023-05-08,2023-05-08T09:00:00,52690.0,52920.0,48750.0,50440.0,1683590370960,6184019921.857517,121747.72888938,52690.0,-2250.0,-0.0427026001
12,KRW-EGLD,2023-05-09,2023-05-09T09:00:00,50320.0,51150.0,49740.0,51050.0,1683676663053,2371995787.9779553,47028.88992168,50440.0,610.0,0.0120935765
13,KRW-EGLD,2023-05-10,2023-05-10T09:00:00,51090.0,51730.0,49810.0,50980.0,1683763155755,2609182852.849217,51238.84178582,51050.0,-70.0,-0.0013712047
14,KRW-EGLD,2023-05-11,2023-05-11T09:00:00,51030.0,51640.0,49850.0,50280.0,1683849586845,3967344164.5156093,77840.86249569,50980.0,-700.0,-0.0137308749
15,KRW-EGLD,2023-05-12,2023-05-12T09:00:00,50250.0,50860.0,48600.0,50810.0,1683935974975,3021327021.6563616,61071.647317,50280.0,530.0,0.0105409706
16,KRW-EGLD,2023-05-13,2023-05-13T09:00:00,50820.0,53960.0,50470.0,52130.0,1684022392413,15951518783.913584,303852.86838907,50810.0,1320.0,0.025979138
17,KRW-EGLD,2023-05-14,2023-05-14T09:00:00,52130.0,52350.0,51200.0,51910.0,1684108782997,4365810755.515682,84189.76708194,52130.0,-220.0,-0.0042202187
18,KRW-EGLD,2023-05-15,2023-05-15T09:00:00,51910.0,52880.0,51330.0,51700.0,1684195156678,3354484704.472609,64283.21307592,51910.0,-210.0,-0.0040454633
19,KRW-EGLD,2023-05-16,2023-05-16T09:00:00,51700.0,51770.0,50180.0,50510.0,1684281597668,2380575804.0374703,46624.27784355,51700.0,-1190.0,-0.0230174081
20,KRW-EGLD,2023-05-17,2023-05-17T09:00:00,50510.0,51000.0,49670.0,50700.0,1684367958855,2189177535.362533,43516.15753338,50510.0,190.0,0.0037616314
21,KRW-EGLD,2023-05-18,2023-05-18T09:00:00,50690.0,50870.0,49520.0,49800.0,1684454396613,1228664004.0291824,24425.81111317,50700.0,-900.0,-0.0177514793
22,KRW-EGLD,2023-05-19,2023-05-19T09:00:00,49800.0,49940.0,49270.0,49600.0,1684540792159,1091767230.9387195,21992.37248502,49800.0,-200.0,-0.0040160643
23,KRW-EGLD,2023-05-20,2023-05-20T09:00:00,49630.0,50910.0,49380.0,50030.0,1684627186277,2804206846.5780654,55724.07345706,49600.0,430.0,0.0086693548
24,KRW-EGLD,2023-05-21,2023-05-21T09:00:00,50040.0,50080.0,48950.0,49130.0,1684713571625,1277899163.934345,25769.33448131,50030.0,-900.0,-0.0179892065
25,KRW-EGLD,2023-05-22,2023-05-22T09:00:00,49120.0,49380.0,48150.0,49130.0,1684799960660,1101902846.8532367,22635.8731703,49130.0,,0.0
26,KRW-EGLD,2023-05-23,2023-05-23T09:00:00,49080.0,49520.0,48570.0,48850.0,1684886379731,787953353.1787114,16063.02788108,49130.0,-280.0,-0.0056991655
27,KRW-EGLD,2023-05-24,2023-05-24T09:00:00,48830.0,49360.0,47580.0,48300.0,1684972597679,2485022219.712577,51062.65008949,48850.0,-550.0,-0.011258956
28,KRW-EGLD,2023-05-25,2023-05-25T09:00:00,48290.0,48500.0,47200.0,47890.0,1685059159674,1081696748.648348,22506.09382405,48300.0,-410.0,-0.0084886128
29,KRW-EGLD,2023-05-26,2023-05-26T09:00:00,47890.0,48500.0,47200.0,48190.0,1685145438197,650833357.4011912,13652.91882704,47890.0,300.0,0.0062643558
30,KRW-EGLD,2023-05-27,2023-05-27T09:00:00,48120.0,48530.0,47950.0,48270.0,1685231941012,300966172.8935734,6241.92396077,48190.0,80.0,0.0016600955
31,KRW-EGLD,2023-05-28,2023-05-28T09:00:00,48260.0,49700.0,48140.0,49070.0,1685318394534,647247027.6349089,13244.33452385,48270.0,800.0,0.0165734411
32,KRW-EGLD,2023-05-29,2023-05-29T09:00:00,49030.0,49720.0,48320.0,49010.0,1685404790980,1184531434.1470919,24097.44917362,49070.0,-60.0,-0.001222743
33,KRW-EGLD,2023-05-30,2023-05-30T09:00:00,49010.0,49750.0,48750.0,49200.0,1685490953041,1081663544.5337384,21978.96823376,49010.0,190.0,0.0038767598
34,KRW-EGLD,2023-05-31,2023-05-31T09:00:00,49190.0,49820.0,48450.0,49340.0,1685577598702,2803885141.4818854,57023.43678832,49200.0,140.0,0.0028455285
35,KRW-EGLD,2023-06-01,2023-06-01T09:00:00,49280.0,50000.0,49000.0,49500.0,1685663900048,2977866321.0790434,60122.17565191,49340.0,160.0,0.003242805
36,KRW-EGLD,2023-06-02,2023-06-02T09:00:00,49490.0,50140.0,48770.0,49880.0,1685750268838,1383393764.4304981,27865.29076152,49500.0,380.0,0.0076767677
37,KRW-EGLD,2023-06-03,2023-06-03T09:00:00,49870.0,50790.0,49420.0,50710.0,1685836799778,755738553.8864331,15146.94576368,49880.0,830.0,0.0166399358
38,KRW-EGLD,2023-06-04,2023-06-04T09:00:00,50780.0,51490.0,49800.0,49900.0,1685923198150,1083405581.6507647,21360.6062984,50710.0,-810.0,-0.0159731808
39,KRW-EGLD,2023-06-05,2023-06-05T09:00:00,49900.0,50920.0,45400.0,48380.0,1686009500813,2177019901.801655,44966.00985026,49900.0,-1520.0,-0.0304609218
40,KRW-EGLD,2023-06-06,2023-06-06T09:00:00,48330.0,49100.0,47290.0,48470.0,1686095971502,1134169263.232823,23574.27354214,48380.0,90.0,0.0018602728
41,KRW-EGLD,2023-06-07,2023-06-07T09:00:00,48500.0,48810.0,45630.0,46830.0,1686181903636,1611687360.316923,33910.52844353,48470.0,-1640.0,-0.0338353621
42,KRW-EGLD,2023-06-08,2023-06-08T09:00:00,46800.0,46810.0,45680.0,46300.0,1686268490786,904887931.348771,19554.71978193,46830.0,-530.0,-0.0113175315
43,KRW-EGLD,2023-06-09,2023-06-09T09:00:00,46300.0,46340.0,45340.0,45720.0,1686355110372,549330443.694781,11991.48846242,46300.0,-580.0,-0.0125269978
44,KRW-EGLD,2023-06-10,2023-06-10T09:00:00,45700.0,45770.0,36730.0,39830.0,1686441497102,1715847702.4544258,42813.32929476,45720.0,-5890.0,-0.1288276465
45,KRW-EGLD,2023-06-11,2023-06-11T09:00:00,39870.0,40310.0,38630.0,39810.0,1686527816081,406651426.6891548,10210.19910025,39830.0,-20.0,-0.0005021341
46,KRW-EGLD,2023-06-12,2023-06-12T09:00:00,39770.0,39900.0,38710.0,39630.0,1686614359376,557543080.4298058,14174.38359414,39810.0,-180.0,-0.004521477
47,KRW-EGLD,2023-06-13,2023-06-13T09:00:00,39610.0,41360.0,39610.0,40090.0,1686700753207,2342049767.9032493,57728.79195592,39630.0,460.0,0.0116073682
