,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-ELF,2022-12-05,2022-12-05T09:00:00,162.0,165.0,160.0,165.0,1670284787253,1057793686.5706179,6508212.51894084,161.0,4.0,0.0248447205
1,KRW-ELF,2022-12-06,2022-12-06T09:00:00,165.0,176.0,163.0,173.0,1670371196075,3397721551.7972274,19778955.67613543,165.0,8.0,0.0484848485
2,KRW-ELF,2022-12-07,2022-12-07T09:00:00,174.0,174.0,167.0,172.0,1670457573318,1733589504.8093584,10132780.50856166,173.0,-1.0,-0.0057803468
3,KRW-ELF,2022-12-08,2022-12-08T09:00:00,172.0,176.0,171.0,175.0,1670543992611,757013160.0195351,4387530.18102524,172.0,3.0,0.0174418605
4,KRW-ELF,2022-12-09,2022-12-09T09:00:00,175.0,177.0,171.0,174.0,1670630369396,1454430978.0005586,8339446.0218278,175.0,-1.0,-0.0057142857
5,KRW-ELF,2022-12-10,2022-12-10T09:00:00,175.0,184.0,171.0,183.0,1670716796478,4647123854.171914,26087398.17347654,174.0,9.0,0.0517241379
6,KRW-ELF,2022-12-11,2022-12-11T09:00:00,183.0,183.0,175.0,175.0,1670803197887,1536447786.323032,8608751.49834007,183.0,-8.0,-0.043715847
7,KRW-ELF,2022-12-12,2022-12-12T09:00:00,175.0,178.0,166.0,173.0,1670889594065,1270781949.0466685,7462418.48727515,175.0,-2.0,-0.0114285714
8,KRW-ELF,2022-12-13,2022-12-13T09:00:00,171.0,175.0,165.0,174.0,1670975996526,899208186.7537279,5267789.5306425,173.0,1.0,0.0057803468
9,KRW-ELF,2022-12-14,2022-12-14T09:00:00,174.0,177.0,172.0,176.0,1671062385917,504885099.3276416,2903505.99158839,174.0,2.0,0.0114942529
10,KRW-ELF,2022-12-15,2022-12-15T09:00:00,177.0,180.0,171.0,179.0,1671148798979,592910217.1874034,3388029.19406525,176.0,3.0,0.0170454545
11,KRW-ELF,2022-12-16,2022-12-16T09:00:00,180.0,184.0,164.0,172.0,1671235189289,3182396680.5109115,18014374.29854244,179.0,-7.0,-0.0391061453
12,KRW-ELF,2022-12-17,2022-12-17T09:00:00,171.0,174.0,157.0,167.0,1671321565027,1472861888.8240783,8936891.93407239,172.0,-5.0,-0.0290697674
13,KRW-ELF,2022-12-18,2022-12-18T09:00:00,167.0,172.0,163.0,168.0,1671407989755,1311979714.6697667,7839777.92677808,167.0,1.0,0.005988024
14,KRW-ELF,2022-12-19,2022-12-19T09:00:00,169.0,170.0,156.0,164.0,1671494354421,1258486821.6500561,7689916.8570825,168.0,-4.0,-0.0238095238
15,KRW-ELF,2022-12-20,2022-12-20T09:00:00,165.0,174.0,161.0,171.0,1671580681717,1859982097.6809855,10990827.93425194,164.0,7.0,0.0426829268
16,KRW-ELF,2022-12-21,2022-12-21T09:00:00,171.0,176.0,167.0,172.0,1671667008468,2040359468.9682422,11859018.78802272,171.0,1.0,0.0058479532
17,KRW-ELF,2022-12-22,2022-12-22T09:00:00,173.0,184.0,170.0,175.0,1671753487744,5942358969.9801035,33708421.91271742,172.0,3.0,0.0174418605
18,KRW-ELF,2022-12-23,2022-12-23T09:00:00,175.0,178.0,171.0,176.0,1671839998703,1295775646.9216938,7442563.56925915,175.0,1.0,0.0057142857
19,KRW-ELF,2022-12-24,2022-12-24T09:00:00,176.0,178.0,174.0,176.0,1671926394251,1004560408.7654333,5716795.45598213,176.0,,0.0
20,KRW-ELF,2022-12-25,2022-12-25T09:00:00,177.0,189.0,173.0,183.0,1672012798096,8014548922.283197,44032688.7576842,176.0,7.0,0.0397727273
21,KRW-ELF,2022-12-26,2022-12-26T09:00:00,184.0,185.0,174.0,179.0,1672099163808,4482848074.151047,25154331.48129949,183.0,-4.0,-0.0218579235
22,KRW-ELF,2022-12-27,2022-12-27T09:00:00,179.0,188.0,173.0,180.0,1672185592567,9902407763.184864,53930491.19859199,179.0,1.0,0.0055865922
23,KRW-ELF,2022-12-28,2022-12-28T09:00:00,180.0,193.0,180.0,187.0,1672271998402,12363633964.605206,66443467.28837851,180.0,7.0,0.0388888889
24,KRW-ELF,2022-12-29,2022-12-29T09:00:00,187.0,202.0,183.0,192.0,1672358398378,14293674268.074144,73830553.06183565,187.0,5.0,0.0267379679
25,KRW-ELF,2022-12-30,2022-12-30T09:00:00,192.0,212.0,191.0,197.0,1672444798386,50259597073.9541,247629610.72813156,192.0,5.0,0.0260416667
26,KRW-ELF,2022-12-31,2022-12-31T09:00:00,197.0,205.0,186.0,199.0,1672531197125,16402995891.779749,83882976.84439106,197.0,2.0,0.0101522843
27,KRW-ELF,2023-01-01,2023-01-01T09:00:00,199.0,202.0,194.0,199.0,1672617597445,3800894213.547742,19131319.21993133,199.0,,0.0
28,KRW-ELF,2023-01-02,2023-01-02T09:00:00,200.0,216.0,197.0,207.0,1672703998760,12920840307.151579,62400649.94016443,199.0,8.0,0.040201005
29,KRW-ELF,2023-01-03,2023-01-03T09:00:00,207.0,213.0,204.0,208.0,1672790390721,5660915175.126197,27271190.64045675,207.0,1.0,0.0048309179
30,KRW-ELF,2023-01-04,2023-01-04T09:00:00,207.0,218.0,205.0,216.0,1672876793661,4191869542.531665,19848650.31659506,208.0,8.0,0.0384615385
31,KRW-ELF,2023-01-05,2023-01-05T09:00:00,215.0,216.0,210.0,214.0,1672963178405,2208022654.9166374,10390388.66472771,216.0,-2.0,-0.0092592593
32,KRW-ELF,2023-01-06,2023-01-06T09:00:00,214.0,229.0,212.0,215.0,1673049593328,12188433197.844793,55430631.50935823,214.0,1.0,0.0046728972
33,KRW-ELF,2023-01-07,2023-01-07T09:00:00,215.0,217.0,210.0,213.0,1673135882599,2924849601.367772,13713100.48897323,215.0,-2.0,-0.0093023256
34,KRW-ELF,2023-01-08,2023-01-08T09:00:00,213.0,213.0,208.0,211.0,1673222398810,2199485498.0579133,10455128.32249063,213.0,-2.0,-0.0093896714
35,KRW-ELF,2023-01-09,2023-01-09T09:00:00,211.0,215.0,209.0,213.0,1673308791449,3554727843.092685,16773275.85601471,211.0,2.0,0.009478673
36,KRW-ELF,2023-01-10,2023-01-10T09:00:00,211.0,216.0,210.0,214.0,1673395199976,2620215054.7594433,12343299.25109788,213.0,1.0,0.0046948357
37,KRW-ELF,2023-01-11,2023-01-11T09:00:00,213.0,218.0,212.0,216.0,1673481594444,1355917684.9610322,6341617.86217513,214.0,2.0,0.0093457944
38,KRW-ELF,2023-01-12,2023-01-12T09:00:00,216.0,217.0,210.0,217.0,1673567999780,1715891119.3056147,8046741.03359382,216.0,1.0,0.0046296296
39,KRW-ELF,2023-01-13,2023-01-13T09:00:00,216.0,222.0,213.0,221.0,1673654399969,2749310777.8558145,12691575.26799552,217.0,4.0,0.0184331797
40,KRW-ELF,2023-01-14,2023-01-14T09:00:00,220.0,230.0,217.0,225.0,1673740797789,8485888458.322499,37976205.48698793,221.0,4.0,0.0180995475
41,KRW-ELF,2023-01-15,2023-01-15T09:00:00,225.0,244.0,220.0,230.0,1673827160902,13625282371.979385,59518732.3331077,225.0,5.0,0.0222222222
42,KRW-ELF,2023-01-16,2023-01-16T09:00:00,230.0,237.0,220.0,227.0,1673913557683,5745609258.707583,25135030.49330986,230.0,-3.0,-0.0130434783
43,KRW-ELF,2023-01-17,2023-01-17T09:00:00,226.0,227.0,222.0,225.0,1673999909118,3538366071.917055,15797569.9926563,227.0,-2.0,-0.0088105727
44,KRW-ELF,2023-01-18,2023-01-18T09:00:00,225.0,231.0,215.0,217.0,1674086376972,8148510042.321175,36252888.80897367,225.0,-8.0,-0.0355555556
45,KRW-ELF,2023-01-19,2023-01-19T09:00:00,216.0,226.0,215.0,224.0,1674172796800,2035581151.1753294,9256309.62190589,217.0,7.0,0.0322580645
46,KRW-ELF,2023-01-20,2023-01-20T09:00:00,223.0,233.0,222.0,232.0,1674259196413,3053304946.306961,13471010.60129247,224.0,8.0,0.0357142857
47,KRW-ELF,2023-01-21,2023-01-21T09:00:00,232.0,232.0,226.0,229.0,1674345585847,4158679222.570827,18139744.40277196,232.0,-3.0,-0.0129310345
48,KRW-ELF,2023-01-22,2023-01-22T09:00:00,228.0,231.0,225.0,227.0,1674431996040,2079190217.9326138,9141359.02076159,229.0,-2.0,-0.0087336245
49,KRW-ELF,2023-01-23,2023-01-23T09:00:00,227.0,229.0,224.0,229.0,1674518380544,1934238857.1584208,8564553.48274778,227.0,2.0,0.0088105727
50,KRW-ELF,2023-01-24,2023-01-24T09:00:00,228.0,234.0,221.0,223.0,1674604793633,5771847580.050335,25158000.82620272,229.0,-6.0,-0.0262008734
51,KRW-ELF,2023-01-25,2023-01-25T09:00:00,224.0,231.0,214.0,226.0,1674691191085,4765849472.049556,21279734.90017969,223.0,3.0,0.0134529148
52,KRW-ELF,2023-01-26,2023-01-26T09:00:00,226.0,227.0,222.0,227.0,1674777520425,2314602719.5934687,10332071.4029265,226.0,1.0,0.0044247788
53,KRW-ELF,2023-01-27,2023-01-27T09:00:00,227.0,260.0,223.0,233.0,1674863998001,23662595838.905,99738359.3940006,227.0,6.0,0.0264317181
54,KRW-ELF,2023-01-28,2023-01-28T09:00:00,234.0,282.0,233.0,243.0,1674950397038,76421237172.1868,291787814.6154143,233.0,10.0,0.0429184549
55,KRW-ELF,2023-01-29,2023-01-29T09:00:00,243.0,243.0,233.0,238.0,1675036796636,5441193129.95614,23077529.97636625,243.0,-5.0,-0.0205761317
