,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-EOS,2022-12-05,2022-12-05T09:00:00,1245.0,1275.0,1235.0,1245.0,1670284754816,3471736460.9000006,2766539.37248856,1245.0,,0.0
1,KRW-EOS,2022-12-06,2022-12-06T09:00:00,1245.0,1310.0,1245.0,1280.0,1670371196917,5054212911.869932,3963436.83422878,1245.0,35.0,0.0281124498
2,KRW-EOS,2022-12-07,2022-12-07T09:00:00,1280.0,1370.0,1225.0,1325.0,1670457592681,22152251937.670197,16800029.38779392,1280.0,45.0,0.03515625
3,KRW-EOS,2022-12-08,2022-12-08T09:00:00,1320.0,1340.0,1295.0,1330.0,1670543995564,10755189461.46648,8150147.90835475,1325.0,5.0,0.0037735849
4,KRW-EOS,2022-12-09,2022-12-09T09:00:00,1325.0,1420.0,1320.0,1380.0,1670630398672,24269156152.127434,17586724.70522368,1330.0,50.0,0.037593985
5,KRW-EOS,2022-12-10,2022-12-10T09:00:00,1375.0,1410.0,1365.0,1375.0,1670716745777,10171136393.594786,7338691.02244562,1380.0,-5.0,-0.0036231884
6,KRW-EOS,2022-12-11,2022-12-11T09:00:00,1375.0,1400.0,1310.0,1335.0,1670803193531,6535592208.616378,4759545.79237284,1375.0,-40.0,-0.0290909091
7,KRW-EOS,2022-12-12,2022-12-12T09:00:00,1340.0,1340.0,1275.0,1305.0,1670889556993,7494525158.599526,5742898.80480422,1335.0,-30.0,-0.0224719101
8,KRW-EOS,2022-12-13,2022-12-13T09:00:00,1305.0,1330.0,1250.0,1310.0,1670975993180,8540787053.3954935,6609110.16933549,1305.0,5.0,0.0038314176
9,KRW-EOS,2022-12-14,2022-12-14T09:00:00,1305.0,1320.0,1275.0,1280.0,1671062394781,4358374776.412291,3349713.75605623,1310.0,-30.0,-0.0229007634
10,KRW-EOS,2022-12-15,2022-12-15T09:00:00,1280.0,1285.0,1250.0,1265.0,1671148756080,3937777763.395417,3096023.41084824,1280.0,-15.0,-0.01171875
11,KRW-EOS,2022-12-16,2022-12-16T09:00:00,1260.0,1270.0,1135.0,1165.0,1671235197299,10603353083.509548,8726723.88445186,1265.0,-100.0,-0.0790513834
12,KRW-EOS,2022-12-17,2022-12-17T09:00:00,1170.0,1185.0,1135.0,1180.0,1671321597706,6788463836.756133,5819071.31662193,1165.0,15.0,0.0128755365
13,KRW-EOS,2022-12-18,2022-12-18T09:00:00,1180.0,1190.0,1160.0,1170.0,1671407985663,2670610892.5604615,2275483.90264604,1180.0,-10.0,-0.0084745763
14,KRW-EOS,2022-12-19,2022-12-19T09:00:00,1175.0,1185.0,1100.0,1120.0,1671494389963,5839609808.686738,5078734.91142002,1170.0,-50.0,-0.0427350427
15,KRW-EOS,2022-12-20,2022-12-20T09:00:00,1120.0,1170.0,1110.0,1160.0,1671580782874,4382757496.724889,3828079.12090835,1120.0,40.0,0.0357142857
16,KRW-EOS,2022-12-21,2022-12-21T09:00:00,1160.0,1175.0,1140.0,1155.0,1671667185959,2672888368.310579,2312787.76174085,1160.0,-5.0,-0.0043103448
17,KRW-EOS,2022-12-22,2022-12-22T09:00:00,1155.0,1165.0,1120.0,1155.0,1671753593578,2996267485.4093437,2611837.78016166,1155.0,,0.0
18,KRW-EOS,2022-12-23,2022-12-23T09:00:00,1155.0,1165.0,1140.0,1160.0,1671839952582,2251941850.8812947,1952769.55545033,1155.0,5.0,0.0043290043
19,KRW-EOS,2022-12-24,2022-12-24T09:00:00,1155.0,1165.0,1145.0,1145.0,1671926338323,1426298997.4867156,1235939.27276029,1160.0,-15.0,-0.0129310345
20,KRW-EOS,2022-12-25,2022-12-25T09:00:00,1145.0,1155.0,1120.0,1135.0,1672012517003,2608413879.9549527,2296950.25692863,1145.0,-10.0,-0.0087336245
21,KRW-EOS,2022-12-26,2022-12-26T09:00:00,1135.0,1145.0,1115.0,1140.0,1672099191117,2607832962.34519,2310597.76190609,1135.0,5.0,0.0044052863
22,KRW-EOS,2022-12-27,2022-12-27T09:00:00,1135.0,1155.0,1120.0,1145.0,1672185599503,4669204779.829414,4108907.45823972,1140.0,5.0,0.0043859649
23,KRW-EOS,2022-12-28,2022-12-28T09:00:00,1140.0,1145.0,1105.0,1105.0,1672271943156,4288664216.2099257,3823663.45115602,1145.0,-40.0,-0.0349344978
24,KRW-EOS,2022-12-29,2022-12-29T09:00:00,1110.0,1120.0,1085.0,1105.0,1672358201062,4298440771.398078,3898968.01379091,1105.0,,0.0
25,KRW-EOS,2022-12-30,2022-12-30T09:00:00,1105.0,1105.0,1070.0,1100.0,1672444723361,2483398590.032055,2287311.57089866,1105.0,-5.0,-0.0045248869
26,KRW-EOS,2022-12-31,2022-12-31T09:00:00,1100.0,1110.0,1085.0,1105.0,1672531026402,1656894416.8786356,1508054.82775516,1100.0,5.0,0.0045454545
27,KRW-EOS,2023-01-01,2023-01-01T09:00:00,1095.0,1125.0,1090.0,1115.0,1672617494584,1312851731.8741333,1189360.14584592,1105.0,10.0,0.0090497738
28,KRW-EOS,2023-01-02,2023-01-02T09:00:00,1115.0,1140.0,1100.0,1120.0,1672703966096,2364331060.463676,2101918.78235309,1115.0,5.0,0.0044843049
29,KRW-EOS,2023-01-03,2023-01-03T09:00:00,1120.0,1135.0,1115.0,1130.0,1672790389065,3155489469.9351068,2806710.21812671,1120.0,10.0,0.0089285714
30,KRW-EOS,2023-01-04,2023-01-04T09:00:00,1125.0,1175.0,1125.0,1165.0,1672876688323,4500213359.475343,3911685.1171729,1130.0,35.0,0.0309734513
31,KRW-EOS,2023-01-05,2023-01-05T09:00:00,1160.0,1170.0,1130.0,1145.0,1672963062034,3766646884.414208,3277149.1106402,1165.0,-20.0,-0.017167382
32,KRW-EOS,2023-01-06,2023-01-06T09:00:00,1140.0,1155.0,1110.0,1140.0,1673049589354,3122401115.4132433,2769273.78796619,1145.0,-5.0,-0.0043668122
33,KRW-EOS,2023-01-07,2023-01-07T09:00:00,1140.0,1145.0,1125.0,1130.0,1673135987814,2078019860.3151305,1827481.03297765,1140.0,-10.0,-0.0087719298
