,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-FCT2,2022-12-05,2022-12-05T09:00:00,53.4,53.9,52.2,52.4,1670284793250,928320715.0539044,17534689.87171039,53.3,-0.9,-0.0168855535
1,KRW-FCT2,2022-12-06,2022-12-06T09:00:00,52.4,54.0,52.2,53.7,1670371199958,758126858.2619187,14389436.85741679,52.4,1.3,0.0248091603
2,KRW-FCT2,2022-12-07,2022-12-07T09:00:00,53.6,63.1,53.6,54.1,1670457599632,77009573042.11693,1304445719.4183156,53.7,0.4,0.0074487896
3,KRW-FCT2,2022-12-08,2022-12-08T09:00:00,54.3,54.3,51.0,53.3,1670543997186,8004708304.102653,153323515.72801948,54.1,-0.8,-0.0147874307
4,KRW-FCT2,2022-12-09,2022-12-09T09:00:00,53.3,53.9,52.3,53.8,1670630395157,2793738469.5716925,52684692.59203383,53.3,0.5,0.009380863
5,KRW-FCT2,2022-12-10,2022-12-10T09:00:00,53.8,57.2,53.5,54.7,1670716785333,12513629428.166632,226091075.95401347,53.8,0.9,0.0167286245
6,KRW-FCT2,2022-12-11,2022-12-11T09:00:00,54.7,54.7,52.5,53.0,1670803190798,1806919419.5322065,33752979.58731006,54.7,-1.7,-0.0310786106
7,KRW-FCT2,2022-12-12,2022-12-12T09:00:00,52.9,53.0,50.3,52.4,1670889569690,1620191270.7598872,31433242.64595285,53.0,-0.6,-0.0113207547
8,KRW-FCT2,2022-12-13,2022-12-13T09:00:00,52.3,54.5,50.7,54.0,1670975998422,4294641347.72969,81543282.27767791,52.4,1.6,0.0305343511
9,KRW-FCT2,2022-12-14,2022-12-14T09:00:00,54.0,54.4,52.8,53.1,1671062389663,1434456426.4450667,26766111.97642431,54.0,-0.9,-0.0166666667
10,KRW-FCT2,2022-12-15,2022-12-15T09:00:00,53.1,55.4,52.0,54.3,1671148799456,5883317096.927831,108625966.67960559,53.1,1.2,0.0225988701
11,KRW-FCT2,2022-12-16,2022-12-16T09:00:00,54.3,58.1,51.1,54.0,1671235199898,17109481444.442917,309330838.1367662,54.3,-0.3,-0.0055248619
12,KRW-FCT2,2022-12-17,2022-12-17T09:00:00,53.7,55.9,48.6,51.9,1671321598897,4544203756.9446945,87830545.25399773,54.0,-2.1,-0.0388888889
13,KRW-FCT2,2022-12-18,2022-12-18T09:00:00,51.9,52.6,50.6,52.5,1671407996318,1004875509.3047066,19545430.95365193,51.9,0.6,0.0115606936
14,KRW-FCT2,2022-12-19,2022-12-19T09:00:00,52.5,52.6,46.6,48.6,1671494399909,2037348034.6883302,40629667.67309057,52.5,-3.9,-0.0742857143
15,KRW-FCT2,2022-12-20,2022-12-20T09:00:00,48.5,55.0,47.2,52.2,1671580785767,13064028326.22113,252668937.71574858,48.6,3.6,0.0740740741
16,KRW-FCT2,2022-12-21,2022-12-21T09:00:00,52.2,53.3,50.8,51.6,1671667176790,3756970317.642261,72250808.1257875,52.2,-0.6,-0.0114942529
17,KRW-FCT2,2022-12-22,2022-12-22T09:00:00,51.5,53.2,49.5,50.7,1671753594698,3548507993.7044835,69005139.32254419,51.6,-0.9,-0.0174418605
18,KRW-FCT2,2022-12-23,2022-12-23T09:00:00,50.7,51.5,50.0,51.1,1671839973720,1254359712.24417,24702526.35824211,50.7,0.4,0.0078895464
19,KRW-FCT2,2022-12-24,2022-12-24T09:00:00,51.0,51.4,50.3,51.4,1671926397184,1171057410.3229737,23020735.2287152,51.1,0.3,0.0058708415
20,KRW-FCT2,2022-12-25,2022-12-25T09:00:00,51.4,51.4,49.8,50.4,1672012753936,848574119.2868034,16805689.48004679,51.4,-1.0,-0.0194552529
21,KRW-FCT2,2022-12-26,2022-12-26T09:00:00,50.4,50.9,48.2,49.9,1672099196299,1422928427.532228,28947678.62858361,50.4,-0.5,-0.0099206349
22,KRW-FCT2,2022-12-27,2022-12-27T09:00:00,50.0,50.0,48.2,48.5,1672185563884,1020646568.157757,20876016.29399969,49.9,-1.4,-0.0280561122
