,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-GAME2,2022-12-05,2022-12-05T09:00:00,4.21,4.21,4.12,4.13,1670284787704,484007379.5182989,116734665.99537165,4.2,-0.07,-0.0166666667
1,KRW-GAME2,2022-12-06,2022-12-06T09:00:00,4.13,4.16,4.04,4.12,1670371187667,450192372.96031475,110116242.35174309,4.13,-0.01,-0.0024213075
2,KRW-GAME2,2022-12-07,2022-12-07T09:00:00,4.12,4.33,3.95,4.09,1670457599598,2840014257.5935955,678672508.1169372,4.12,-0.03,-0.0072815534
3,KRW-GAME2,2022-12-08,2022-12-08T09:00:00,4.09,4.42,4.07,4.31,1670543999807,2852680704.8363495,673228909.9693574,4.09,0.22,0.0537897311
4,KRW-GAME2,2022-12-09,2022-12-09T09:00:00,4.27,4.66,4.23,4.66,1670630399418,5195400396.47543,1166804006.1102521,4.31,0.35,0.0812064965
5,KRW-GAME2,2022-12-10,2022-12-10T09:00:00,4.66,4.68,4.37,4.44,1670716798721,2270409993.959113,507148432.5257664,4.66,-0.22,-0.0472103004
6,KRW-GAME2,2022-12-11,2022-12-11T09:00:00,4.42,4.44,4.23,4.25,1670803188389,785184993.2866377,181819655.14085802,4.44,-0.19,-0.0427927928
7,KRW-GAME2,2022-12-12,2022-12-12T09:00:00,4.25,4.27,4.07,4.2,1670889569060,647546621.8407694,156664005.74189374,4.25,-0.05,-0.0117647059
8,KRW-GAME2,2022-12-13,2022-12-13T09:00:00,4.2,4.92,4.19,4.25,1670975999681,38933404205.20825,8637214977.489162,4.2,0.05,0.0119047619
9,KRW-GAME2,2022-12-14,2022-12-14T09:00:00,4.25,4.26,4.09,4.1,1671062373133,2711634181.443626,653759489.5613601,4.25,-0.15,-0.0352941176
10,KRW-GAME2,2022-12-15,2022-12-15T09:00:00,4.11,4.12,3.97,4.02,1671148768112,1371756816.2206004,339639295.02411395,4.1,-0.08,-0.0195121951
11,KRW-GAME2,2022-12-16,2022-12-16T09:00:00,4.02,4.05,3.59,3.66,1671235197673,1522103029.3290677,393498144.34561133,4.02,-0.36,-0.0895522388
12,KRW-GAME2,2022-12-17,2022-12-17T09:00:00,3.66,3.7,3.4,3.59,1671321449023,821804782.8979906,232590817.75329757,3.66,-0.07,-0.0191256831
13,KRW-GAME2,2022-12-18,2022-12-18T09:00:00,3.6,3.72,3.55,3.65,1671407841770,648009250.2996045,178296467.3391029,3.59,0.06,0.0167130919
14,KRW-GAME2,2022-12-19,2022-12-19T09:00:00,3.64,3.64,3.33,3.39,1671494364311,691900387.4358819,198061562.9595477,3.65,-0.26,-0.0712328767
15,KRW-GAME2,2022-12-20,2022-12-20T09:00:00,3.38,3.62,3.36,3.53,1671580779441,930246320.6373403,264217623.6150982,3.39,0.14,0.0412979351
16,KRW-GAME2,2022-12-21,2022-12-21T09:00:00,3.53,3.94,3.52,3.56,1671667199880,6815543104.762986,1839856453.1989522,3.53,0.03,0.0084985836
