,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-GAS,2022-12-05,2022-12-05T09:00:00,2980.0,2980.0,2935.0,2935.0,1670284792377,1467912012.0771065,496978.08619156,2980.0,-45.0,-0.0151006711
1,KRW-GAS,2022-12-06,2022-12-06T09:00:00,2940.0,2965.0,2920.0,2960.0,1670371192139,1099591505.9616165,374151.48516854,2935.0,25.0,0.0085178876
2,KRW-GAS,2022-12-07,2022-12-07T09:00:00,2960.0,2960.0,2810.0,2940.0,1670457597256,2485777272.8452573,864716.18968693,2960.0,-20.0,-0.0067567568
3,KRW-GAS,2022-12-08,2022-12-08T09:00:00,2935.0,3085.0,2835.0,2960.0,1670543996516,8815815260.090614,2974593.43360197,2940.0,20.0,0.0068027211
4,KRW-GAS,2022-12-09,2022-12-09T09:00:00,2955.0,3080.0,2955.0,3070.0,1670630399063,12255350030.549116,4049693.40126502,2960.0,110.0,0.0371621622
5,KRW-GAS,2022-12-10,2022-12-10T09:00:00,3075.0,3210.0,3005.0,3080.0,1670716794463,15527752860.000387,5001854.4563656,3070.0,10.0,0.003257329
6,KRW-GAS,2022-12-11,2022-12-11T09:00:00,3070.0,3375.0,3030.0,3095.0,1670803198948,23858514310.89404,7537067.21655106,3080.0,15.0,0.0048701299
7,KRW-GAS,2022-12-12,2022-12-12T09:00:00,3095.0,3095.0,2885.0,2995.0,1670889593541,5095199414.710763,1711599.93917187,3095.0,-100.0,-0.0323101777
8,KRW-GAS,2022-12-13,2022-12-13T09:00:00,3000.0,3175.0,2935.0,3075.0,1670975990397,15415419183.248156,5058395.45321955,2995.0,80.0,0.0267111853
9,KRW-GAS,2022-12-14,2022-12-14T09:00:00,3070.0,3105.0,3015.0,3040.0,1671062371759,2977778449.0318766,976580.45839197,3075.0,-35.0,-0.0113821138
10,KRW-GAS,2022-12-15,2022-12-15T09:00:00,3030.0,3060.0,2935.0,2965.0,1671148792416,2266321024.3241053,762005.06845702,3040.0,-75.0,-0.0246710526
11,KRW-GAS,2022-12-16,2022-12-16T09:00:00,2965.0,3035.0,2730.0,2795.0,1671235199376,3116476612.851992,1071209.89262688,2965.0,-170.0,-0.0573355818
12,KRW-GAS,2022-12-17,2022-12-17T09:00:00,2795.0,2820.0,2635.0,2745.0,1671321595807,1203649639.730918,444370.71109553,2795.0,-50.0,-0.0178890877
13,KRW-GAS,2022-12-18,2022-12-18T09:00:00,2740.0,2870.0,2695.0,2775.0,1671407999126,1914470876.8784382,690180.62873636,2745.0,30.0,0.0109289617
14,KRW-GAS,2022-12-19,2022-12-19T09:00:00,2780.0,2845.0,2675.0,2725.0,1671494392864,3460018377.2140923,1243852.98552719,2775.0,-50.0,-0.018018018
15,KRW-GAS,2022-12-20,2022-12-20T09:00:00,2720.0,2850.0,2665.0,2830.0,1671580766462,2093048535.9901187,756593.56117477,2725.0,105.0,0.0385321101
16,KRW-GAS,2022-12-21,2022-12-21T09:00:00,2835.0,2840.0,2765.0,2830.0,1671667197029,1041831909.4456507,371909.38091408,2830.0,,0.0
17,KRW-GAS,2022-12-22,2022-12-22T09:00:00,2825.0,2830.0,2730.0,2780.0,1671753597457,1262144055.815052,455396.36588001,2830.0,-50.0,-0.0176678445
18,KRW-GAS,2022-12-23,2022-12-23T09:00:00,2780.0,2830.0,2760.0,2800.0,1671839979143,807274847.7800221,290054.74220015,2780.0,20.0,0.0071942446
19,KRW-GAS,2022-12-24,2022-12-24T09:00:00,2795.0,2835.0,2780.0,2835.0,1671926399087,857462026.9257228,305743.21682803,2800.0,35.0,0.0125
20,KRW-GAS,2022-12-25,2022-12-25T09:00:00,2830.0,2860.0,2740.0,2765.0,1672012792934,1600508820.5946202,572029.5394694,2835.0,-70.0,-0.024691358
21,KRW-GAS,2022-12-26,2022-12-26T09:00:00,2765.0,2765.0,2680.0,2725.0,1672099194362,1045741104.3334168,384595.60883647,2765.0,-40.0,-0.0144665461
22,KRW-GAS,2022-12-27,2022-12-27T09:00:00,2715.0,2725.0,2665.0,2685.0,1672185600019,648299763.3924533,240662.04600116,2725.0,-40.0,-0.0146788991
23,KRW-GAS,2022-12-28,2022-12-28T09:00:00,2675.0,2690.0,2520.0,2555.0,1672271971448,1568555720.9600334,606959.33095325,2685.0,-130.0,-0.0484171322
24,KRW-GAS,2022-12-29,2022-12-29T09:00:00,2555.0,2590.0,2455.0,2560.0,1672358392344,1041151905.041949,413259.7448909,2555.0,5.0,0.0019569472
25,KRW-GAS,2022-12-30,2022-12-30T09:00:00,2560.0,2560.0,2400.0,2470.0,1672444777699,988583295.8750937,402850.06382144,2560.0,-90.0,-0.03515625
26,KRW-GAS,2022-12-31,2022-12-31T09:00:00,2470.0,2560.0,2440.0,2520.0,1672531174958,1525218692.8093498,608917.51042965,2470.0,50.0,0.020242915
27,KRW-GAS,2023-01-01,2023-01-01T09:00:00,2515.0,2585.0,2480.0,2570.0,1672617599531,886445621.4934945,352281.83138779,2520.0,50.0,0.0198412698
