,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-GLM,2022-12-05,2022-12-05T09:00:00,303.0,303.0,297.0,298.0,1670284799366,1360506665.193624,4545218.24481347,302.0,-4.0,-0.0132450331
1,KRW-GLM,2022-12-06,2022-12-06T09:00:00,298.0,309.0,297.0,303.0,1670371189638,3814476146.1935496,12597245.62452614,298.0,5.0,0.0167785235
2,KRW-GLM,2022-12-07,2022-12-07T09:00:00,303.0,304.0,284.0,293.0,1670457592106,1964399492.9612298,6693188.71098639,303.0,-10.0,-0.0330033003
3,KRW-GLM,2022-12-08,2022-12-08T09:00:00,293.0,304.0,289.0,297.0,1670543976180,1922049746.6281993,6487836.35001517,293.0,4.0,0.0136518771
4,KRW-GLM,2022-12-09,2022-12-09T09:00:00,296.0,300.0,293.0,298.0,1670630395038,1086529869.3629823,3672527.32203361,297.0,1.0,0.0033670034
5,KRW-GLM,2022-12-10,2022-12-10T09:00:00,298.0,314.0,295.0,310.0,1670716797152,8379804789.002377,27477596.19918644,298.0,12.0,0.0402684564
6,KRW-GLM,2022-12-11,2022-12-11T09:00:00,310.0,311.0,299.0,300.0,1670803173148,2446451144.8501225,8070632.8072281,310.0,-10.0,-0.0322580645
7,KRW-GLM,2022-12-12,2022-12-12T09:00:00,300.0,300.0,286.0,293.0,1670889594669,1438827497.5984976,4917449.98152424,300.0,-7.0,-0.0233333333
8,KRW-GLM,2022-12-13,2022-12-13T09:00:00,294.0,306.0,284.0,300.0,1670975968591,5932792546.107662,19935185.36812359,293.0,7.0,0.023890785
9,KRW-GLM,2022-12-14,2022-12-14T09:00:00,301.0,307.0,294.0,296.0,1671062398047,3171518101.778019,10541261.13617478,300.0,-4.0,-0.0133333333
10,KRW-GLM,2022-12-15,2022-12-15T09:00:00,296.0,299.0,290.0,293.0,1671148768390,1238499211.8088713,4210075.91262688,296.0,-3.0,-0.0101351351
11,KRW-GLM,2022-12-16,2022-12-16T09:00:00,293.0,297.0,263.0,268.0,1671235139578,2484529660.269138,8787417.86640564,293.0,-25.0,-0.0853242321
12,KRW-GLM,2022-12-17,2022-12-17T09:00:00,267.0,269.0,244.0,259.0,1671321505443,2523244777.447972,9888316.9468006,268.0,-9.0,-0.0335820896
13,KRW-GLM,2022-12-18,2022-12-18T09:00:00,258.0,264.0,254.0,260.0,1671407997907,1028146554.7965077,3979683.9066687,259.0,1.0,0.0038610039
14,KRW-GLM,2022-12-19,2022-12-19T09:00:00,260.0,266.0,237.0,240.0,1671494380501,1597703425.862939,6350968.85841755,260.0,-20.0,-0.0769230769
15,KRW-GLM,2022-12-20,2022-12-20T09:00:00,240.0,268.0,237.0,255.0,1671580784978,6609640789.949962,25782264.16579383,240.0,15.0,0.0625
16,KRW-GLM,2022-12-21,2022-12-21T09:00:00,256.0,267.0,251.0,255.0,1671667083866,4717937496.158576,18210600.76962571,255.0,,0.0
