,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-GMT,2022-12-05,2022-12-05T09:00:00,529.0,538.0,518.0,528.0,1670284779948,8030222610.527525,15170578.60758788,528.0,,0.0
1,KRW-GMT,2022-12-06,2022-12-06T09:00:00,528.0,554.0,524.0,546.0,1670371198785,16741457790.777996,30874168.98608009,528.0,18.0,0.0340909091
2,KRW-GMT,2022-12-07,2022-12-07T09:00:00,545.0,568.0,519.0,551.0,1670457596800,24682326532.736477,45128725.36948551,546.0,5.0,0.0091575092
3,KRW-GMT,2022-12-08,2022-12-08T09:00:00,551.0,551.0,531.0,548.0,1670543994474,9879292519.807674,18298530.41262751,551.0,-3.0,-0.0054446461
4,KRW-GMT,2022-12-09,2022-12-09T09:00:00,548.0,548.0,533.0,539.0,1670630399019,6090819872.594624,11293588.15554432,548.0,-9.0,-0.0164233577
5,KRW-GMT,2022-12-10,2022-12-10T09:00:00,538.0,541.0,532.0,539.0,1670716799888,5492888489.484643,10246135.64303795,539.0,,0.0
6,KRW-GMT,2022-12-11,2022-12-11T09:00:00,538.0,539.0,522.0,523.0,1670803194046,5133087390.346422,9652992.47760987,539.0,-16.0,-0.0296846011
7,KRW-GMT,2022-12-12,2022-12-12T09:00:00,523.0,546.0,518.0,537.0,1670889598843,22261933352.837418,41943748.72968462,523.0,14.0,0.0267686424
8,KRW-GMT,2022-12-13,2022-12-13T09:00:00,536.0,539.0,504.0,522.0,1670975993830,11453180852.598083,22004999.18188586,537.0,-15.0,-0.0279329609
9,KRW-GMT,2022-12-14,2022-12-14T09:00:00,522.0,525.0,501.0,506.0,1671062396987,5996709401.350222,11638178.1021225,522.0,-16.0,-0.030651341
10,KRW-GMT,2022-12-15,2022-12-15T09:00:00,506.0,507.0,489.0,496.0,1671148789889,5433633495.775607,10956399.77670059,506.0,-10.0,-0.0197628458
11,KRW-GMT,2022-12-16,2022-12-16T09:00:00,495.0,500.0,402.0,419.0,1671235198065,11342353082.916693,25411416.71333829,496.0,-77.0,-0.1552419355
12,KRW-GMT,2022-12-17,2022-12-17T09:00:00,420.0,422.0,393.0,405.0,1671321580706,8843289713.542915,21727195.77955504,419.0,-14.0,-0.0334128878
13,KRW-GMT,2022-12-18,2022-12-18T09:00:00,406.0,407.0,384.0,397.0,1671407960361,4713711159.936536,11953323.49796626,405.0,-8.0,-0.0197530864
14,KRW-GMT,2022-12-19,2022-12-19T09:00:00,397.0,414.0,362.0,373.0,1671494364629,11677496490.35501,29442321.576,397.0,-24.0,-0.0604534005
15,KRW-GMT,2022-12-20,2022-12-20T09:00:00,373.0,397.0,370.0,389.0,1671580781252,7646077214.353192,19726515.95671731,373.0,16.0,0.0428954424
16,KRW-GMT,2022-12-21,2022-12-21T09:00:00,389.0,392.0,372.0,380.0,1671667188589,3668156702.6248093,9644163.13229424,389.0,-9.0,-0.0231362468
17,KRW-GMT,2022-12-22,2022-12-22T09:00:00,379.0,382.0,366.0,380.0,1671753597013,2515396483.3223085,6696904.84413984,380.0,,0.0
18,KRW-GMT,2022-12-23,2022-12-23T09:00:00,380.0,382.0,374.0,381.0,1671839996670,2478763562.4492784,6568873.79258421,380.0,1.0,0.0026315789
19,KRW-GMT,2022-12-24,2022-12-24T09:00:00,381.0,382.0,376.0,378.0,1671926341981,1077800693.434311,2847622.41622957,381.0,-3.0,-0.0078740157
20,KRW-GMT,2022-12-25,2022-12-25T09:00:00,377.0,428.0,375.0,383.0,1672012798778,32743029574.37916,81654032.28068316,378.0,5.0,0.0132275132
