,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-GRS,2022-12-05,2022-12-05T09:00:00,473.0,473.0,463.0,465.0,1670284770943,2031440124.8337717,4345064.71780963,473.0,-8.0,-0.0169133192
1,KRW-GRS,2022-12-06,2022-12-06T09:00:00,465.0,482.0,464.0,467.0,1670371190398,3692136056.0357,7844795.35251876,465.0,2.0,0.0043010753
2,KRW-GRS,2022-12-07,2022-12-07T09:00:00,467.0,468.0,428.0,451.0,1670457551983,2929115541.518003,6503864.36882258,467.0,-16.0,-0.034261242
3,KRW-GRS,2022-12-08,2022-12-08T09:00:00,452.0,498.0,438.0,459.0,1670543992007,14498911002.233694,31106408.14546405,451.0,8.0,0.0177383592
4,KRW-GRS,2022-12-09,2022-12-09T09:00:00,459.0,476.0,453.0,466.0,1670630384619,5508525358.795442,11964201.73123021,459.0,7.0,0.0152505447
5,KRW-GRS,2022-12-10,2022-12-10T09:00:00,466.0,474.0,458.0,471.0,1670716788656,3479132257.4643607,7513021.20818258,466.0,5.0,0.0107296137
6,KRW-GRS,2022-12-11,2022-12-11T09:00:00,471.0,472.0,459.0,461.0,1670803156184,2324608276.014036,5006000.68195983,471.0,-10.0,-0.0212314225
7,KRW-GRS,2022-12-12,2022-12-12T09:00:00,460.0,461.0,436.0,451.0,1670889495993,2173942837.098478,4874526.09753908,461.0,-10.0,-0.021691974
8,KRW-GRS,2022-12-13,2022-12-13T09:00:00,453.0,459.0,436.0,457.0,1670975985498,2059045068.6736915,4590658.23833647,451.0,6.0,0.0133037694
9,KRW-GRS,2022-12-14,2022-12-14T09:00:00,456.0,462.0,451.0,459.0,1671062397450,1220431586.59209,2676993.89816538,457.0,2.0,0.0043763676
10,KRW-GRS,2022-12-15,2022-12-15T09:00:00,459.0,459.0,446.0,451.0,1671148796292,1023599338.1783242,2267580.37766096,459.0,-8.0,-0.0174291939
11,KRW-GRS,2022-12-16,2022-12-16T09:00:00,453.0,453.0,416.0,423.0,1671235193833,1288800579.8391557,2947011.67189128,451.0,-28.0,-0.0620842572
12,KRW-GRS,2022-12-17,2022-12-17T09:00:00,423.0,444.0,404.0,420.0,1671321547859,1418029379.775776,3348622.36896529,423.0,-3.0,-0.0070921986
13,KRW-GRS,2022-12-18,2022-12-18T09:00:00,420.0,438.0,416.0,426.0,1671407978106,1088570403.838876,2561838.8204245,420.0,6.0,0.0142857143
14,KRW-GRS,2022-12-19,2022-12-19T09:00:00,427.0,442.0,400.0,409.0,1671494334103,2892098443.626531,6771931.23356858,426.0,-17.0,-0.0399061033
15,KRW-GRS,2022-12-20,2022-12-20T09:00:00,407.0,430.0,395.0,427.0,1671580771049,2344387414.09778,5634030.04393156,409.0,18.0,0.04400978
16,KRW-GRS,2022-12-21,2022-12-21T09:00:00,428.0,439.0,420.0,436.0,1671667194440,1792104011.7667246,4186122.05478907,427.0,9.0,0.0210772834
17,KRW-GRS,2022-12-22,2022-12-22T09:00:00,436.0,440.0,416.0,426.0,1671753586938,1157375389.7159035,2695896.06617031,436.0,-10.0,-0.0229357798
18,KRW-GRS,2022-12-23,2022-12-23T09:00:00,426.0,442.0,417.0,429.0,1671839995602,2851454173.8538465,6638840.86620433,426.0,3.0,0.0070422535
19,KRW-GRS,2022-12-24,2022-12-24T09:00:00,429.0,454.0,427.0,437.0,1671926366693,15819539976.847523,35690313.37870348,429.0,8.0,0.0186480186
20,KRW-GRS,2022-12-25,2022-12-25T09:00:00,437.0,437.0,419.0,428.0,1672012785260,1558784184.5322,3640898.36563174,437.0,-9.0,-0.0205949657
21,KRW-GRS,2022-12-26,2022-12-26T09:00:00,427.0,438.0,410.0,420.0,1672099182079,1637422016.6891427,3858645.92276436,428.0,-8.0,-0.0186915888
22,KRW-GRS,2022-12-27,2022-12-27T09:00:00,419.0,434.0,410.0,421.0,1672185594234,3282851419.465145,7762110.27329167,420.0,1.0,0.0023809524
