,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-HIVE,2022-12-05,2022-12-05T09:00:00,492.0,513.0,482.0,487.0,1670284789197,6823865176.95979,13781953.05477622,491.0,-4.0,-0.0081466395
1,KRW-HIVE,2022-12-06,2022-12-06T09:00:00,486.0,487.0,476.0,484.0,1670371180029,1871505547.946455,3893838.38655235,487.0,-3.0,-0.0061601643
2,KRW-HIVE,2022-12-07,2022-12-07T09:00:00,484.0,485.0,447.0,462.0,1670457592014,2701738608.2252183,5821294.42323727,484.0,-22.0,-0.0454545455
3,KRW-HIVE,2022-12-08,2022-12-08T09:00:00,461.0,477.0,450.0,467.0,1670543995899,2012689964.708007,4364618.64107093,462.0,5.0,0.0108225108
4,KRW-HIVE,2022-12-09,2022-12-09T09:00:00,466.0,473.0,461.0,470.0,1670630395118,1398023881.9532628,2999830.29727436,467.0,3.0,0.0064239829
5,KRW-HIVE,2022-12-10,2022-12-10T09:00:00,470.0,479.0,460.0,479.0,1670716785513,2501323637.773436,5325747.69028177,470.0,9.0,0.0191489362
6,KRW-HIVE,2022-12-11,2022-12-11T09:00:00,478.0,479.0,465.0,469.0,1670803199275,1800417180.0197196,3815837.56662089,479.0,-10.0,-0.0208768267
7,KRW-HIVE,2022-12-12,2022-12-12T09:00:00,469.0,469.0,441.0,455.0,1670889579063,2112938431.7920835,4683182.98684875,469.0,-14.0,-0.0298507463
8,KRW-HIVE,2022-12-13,2022-12-13T09:00:00,455.0,457.0,433.0,454.0,1670975958845,1782018776.9608295,3979132.65829687,455.0,-1.0,-0.0021978022
9,KRW-HIVE,2022-12-14,2022-12-14T09:00:00,454.0,461.0,449.0,451.0,1671062357829,1347201477.1453216,2972218.66882749,454.0,-3.0,-0.0066079295
10,KRW-HIVE,2022-12-15,2022-12-15T09:00:00,449.0,453.0,438.0,444.0,1671148799395,1115582446.0136006,2518778.43901948,451.0,-7.0,-0.0155210643
11,KRW-HIVE,2022-12-16,2022-12-16T09:00:00,444.0,446.0,371.0,395.0,1671235195319,1946546447.330211,4684405.17692314,444.0,-49.0,-0.1103603604
12,KRW-HIVE,2022-12-17,2022-12-17T09:00:00,396.0,396.0,362.0,384.0,1671321588369,1861635711.6695042,4918403.89595904,395.0,-11.0,-0.0278481013
13,KRW-HIVE,2022-12-18,2022-12-18T09:00:00,386.0,397.0,377.0,385.0,1671407973317,968919457.4958143,2512856.00483739,384.0,1.0,0.0026041667
14,KRW-HIVE,2022-12-19,2022-12-19T09:00:00,385.0,411.0,343.0,355.0,1671494399784,7933301433.347001,20347613.3578291,385.0,-30.0,-0.0779220779
15,KRW-HIVE,2022-12-20,2022-12-20T09:00:00,355.0,386.0,347.0,380.0,1671580770147,3214914392.9056134,8667368.43745112,355.0,25.0,0.0704225352
16,KRW-HIVE,2022-12-21,2022-12-21T09:00:00,381.0,417.0,371.0,382.0,1671667180037,5704431415.888462,14564941.32219417,380.0,2.0,0.0052631579
17,KRW-HIVE,2022-12-22,2022-12-22T09:00:00,382.0,397.0,371.0,382.0,1671753588896,3819685415.541592,9889443.92387996,382.0,,0.0
18,KRW-HIVE,2022-12-23,2022-12-23T09:00:00,382.0,393.0,372.0,393.0,1671839994554,1333454655.2213228,3481748.49243023,382.0,11.0,0.0287958115
19,KRW-HIVE,2022-12-24,2022-12-24T09:00:00,392.0,456.0,392.0,408.0,1671926399130,53621599849.664825,125759008.71191297,393.0,15.0,0.0381679389
20,KRW-HIVE,2022-12-25,2022-12-25T09:00:00,408.0,408.0,386.0,392.0,1672012796906,5424344735.063417,13768908.03833909,408.0,-16.0,-0.0392156863
21,KRW-HIVE,2022-12-26,2022-12-26T09:00:00,392.0,392.0,369.0,377.0,1672099188303,3040354240.7656446,8052367.48342976,392.0,-15.0,-0.0382653061
22,KRW-HIVE,2022-12-27,2022-12-27T09:00:00,375.0,377.0,361.0,363.0,1672185557229,1616777739.890054,4406064.01402835,377.0,-14.0,-0.0371352785
23,KRW-HIVE,2022-12-28,2022-12-28T09:00:00,364.0,364.0,333.0,340.0,1672271972138,2564589174.1601167,7425868.62283742,363.0,-23.0,-0.0633608815
24,KRW-HIVE,2022-12-29,2022-12-29T09:00:00,340.0,342.0,320.0,334.0,1672358375878,1409481160.7029874,4254167.49222419,340.0,-6.0,-0.0176470588
25,KRW-HIVE,2022-12-30,2022-12-30T09:00:00,334.0,334.0,314.0,324.0,1672444776045,1450941579.3479092,4504167.94742356,334.0,-10.0,-0.0299401198
26,KRW-HIVE,2022-12-31,2022-12-31T09:00:00,323.0,338.0,320.0,329.0,1672531196308,2226086682.544762,6747449.7103654,324.0,5.0,0.0154320988
27,KRW-HIVE,2023-01-01,2023-01-01T09:00:00,328.0,333.0,325.0,331.0,1672617560267,700514831.9908903,2132727.76429787,329.0,2.0,0.0060790274
28,KRW-HIVE,2023-01-02,2023-01-02T09:00:00,331.0,339.0,327.0,336.0,1672703943836,1169774038.854866,3519166.08595624,331.0,5.0,0.0151057402
29,KRW-HIVE,2023-01-03,2023-01-03T09:00:00,336.0,347.0,333.0,347.0,1672790396494,1331291811.2524579,3946207.78936948,336.0,11.0,0.0327380952
30,KRW-HIVE,2023-01-04,2023-01-04T09:00:00,345.0,364.0,340.0,350.0,1672876794238,5051724264.91878,14389502.24069687,347.0,3.0,0.0086455331
31,KRW-HIVE,2023-01-05,2023-01-05T09:00:00,351.0,351.0,339.0,346.0,1672963182500,1578508995.169719,4574990.65367341,350.0,-4.0,-0.0114285714
32,KRW-HIVE,2023-01-06,2023-01-06T09:00:00,345.0,347.0,322.0,343.0,1673049577528,1428727870.0188065,4257065.24596986,346.0,-3.0,-0.0086705202
33,KRW-HIVE,2023-01-07,2023-01-07T09:00:00,342.0,345.0,339.0,342.0,1673135968644,457450643.52186537,1340181.75590259,343.0,-1.0,-0.0029154519
34,KRW-HIVE,2023-01-08,2023-01-08T09:00:00,342.0,350.0,340.0,349.0,1673222398526,659873188.8260725,1916018.41453045,342.0,7.0,0.0204678363
35,KRW-HIVE,2023-01-09,2023-01-09T09:00:00,349.0,366.0,346.0,358.0,1673308775140,3090708806.052779,8689272.16249801,349.0,9.0,0.0257879656
36,KRW-HIVE,2023-01-10,2023-01-10T09:00:00,358.0,393.0,354.0,366.0,1673395196644,10033694571.997871,27227506.19700155,358.0,8.0,0.0223463687
37,KRW-HIVE,2023-01-11,2023-01-11T09:00:00,367.0,396.0,362.0,380.0,1673481599862,16318126595.337345,43088549.00392451,366.0,14.0,0.0382513661
38,KRW-HIVE,2023-01-12,2023-01-12T09:00:00,379.0,390.0,367.0,388.0,1673567997438,5394510694.256452,14294159.23312249,380.0,8.0,0.0210526316
39,KRW-HIVE,2023-01-13,2023-01-13T09:00:00,387.0,403.0,381.0,402.0,1673654399433,5501654055.205334,14130052.71205803,388.0,14.0,0.0360824742
40,KRW-HIVE,2023-01-14,2023-01-14T09:00:00,402.0,435.0,380.0,433.0,1673740799871,14751843659.103617,35878263.76911811,402.0,31.0,0.0771144279
41,KRW-HIVE,2023-01-15,2023-01-15T09:00:00,432.0,495.0,417.0,440.0,1673827196843,35291669048.874466,78332084.21125591,433.0,7.0,0.0161662818
