,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-HUNT,2022-12-05,2022-12-05T09:00:00,362.0,389.0,355.0,358.0,1670284776131,16265480143.37965,44013689.05559227,363.0,-5.0,-0.0137741047
1,KRW-HUNT,2022-12-06,2022-12-06T09:00:00,358.0,359.0,351.0,357.0,1670371188937,2196836106.0823483,6192154.79637923,358.0,-1.0,-0.0027932961
2,KRW-HUNT,2022-12-07,2022-12-07T09:00:00,356.0,367.0,332.0,343.0,1670457599830,4394781766.245416,12572707.9363554,357.0,-14.0,-0.0392156863
3,KRW-HUNT,2022-12-08,2022-12-08T09:00:00,343.0,350.0,338.0,350.0,1670543990389,1425684635.2124095,4158539.53358871,343.0,7.0,0.0204081633
4,KRW-HUNT,2022-12-09,2022-12-09T09:00:00,350.0,355.0,344.0,353.0,1670630398678,1534948969.3723557,4398359.76336141,350.0,3.0,0.0085714286
5,KRW-HUNT,2022-12-10,2022-12-10T09:00:00,355.0,372.0,349.0,369.0,1670716799487,10331528060.581755,28446351.08202465,353.0,16.0,0.045325779
6,KRW-HUNT,2022-12-11,2022-12-11T09:00:00,369.0,369.0,351.0,354.0,1670803176228,3973860009.233604,11048889.9086727,369.0,-15.0,-0.0406504065
7,KRW-HUNT,2022-12-12,2022-12-12T09:00:00,354.0,354.0,336.0,350.0,1670889593448,2391082754.717587,6955354.14697701,354.0,-4.0,-0.011299435
8,KRW-HUNT,2022-12-13,2022-12-13T09:00:00,350.0,356.0,334.0,353.0,1670975976507,2407334415.164196,6941612.11376112,350.0,3.0,0.0085714286
9,KRW-HUNT,2022-12-14,2022-12-14T09:00:00,351.0,352.0,338.0,345.0,1671062380883,1721464678.4772418,4962248.01900542,353.0,-8.0,-0.0226628895
10,KRW-HUNT,2022-12-15,2022-12-15T09:00:00,345.0,354.0,336.0,342.0,1671148794213,1746466076.8228898,5112019.40322108,345.0,-3.0,-0.0086956522
11,KRW-HUNT,2022-12-16,2022-12-16T09:00:00,341.0,349.0,310.0,316.0,1671235184018,2927328631.054677,8783508.65326543,342.0,-26.0,-0.0760233918
12,KRW-HUNT,2022-12-17,2022-12-17T09:00:00,316.0,317.0,289.0,311.0,1671321577544,1526524618.2140014,5038276.6948545,316.0,-5.0,-0.0158227848
13,KRW-HUNT,2022-12-18,2022-12-18T09:00:00,310.0,316.0,305.0,314.0,1671407998688,560447257.9746702,1805937.48243452,311.0,3.0,0.0096463023
14,KRW-HUNT,2022-12-19,2022-12-19T09:00:00,314.0,322.0,282.0,291.0,1671494357842,1656541957.454873,5442995.45590288,314.0,-23.0,-0.0732484076
15,KRW-HUNT,2022-12-20,2022-12-20T09:00:00,292.0,308.0,285.0,305.0,1671580796051,1595386753.492022,5325884.93764187,291.0,14.0,0.0481099656
16,KRW-HUNT,2022-12-21,2022-12-21T09:00:00,304.0,343.0,303.0,308.0,1671667173813,15646396295.200544,48670189.79639894,305.0,3.0,0.0098360656
17,KRW-HUNT,2022-12-22,2022-12-22T09:00:00,307.0,329.0,301.0,312.0,1671753597453,9843768210.337645,31000231.75819731,308.0,4.0,0.012987013
18,KRW-HUNT,2022-12-23,2022-12-23T09:00:00,312.0,318.0,305.0,311.0,1671839994173,2167281936.5972366,6976565.27266262,312.0,-1.0,-0.0032051282
19,KRW-HUNT,2022-12-24,2022-12-24T09:00:00,312.0,330.0,311.0,320.0,1671926393127,10353443944.71815,32346305.43595311,311.0,9.0,0.0289389068
20,KRW-HUNT,2022-12-25,2022-12-25T09:00:00,320.0,321.0,306.0,310.0,1672012760328,1851033890.8892586,5944119.71952618,320.0,-10.0,-0.03125
21,KRW-HUNT,2022-12-26,2022-12-26T09:00:00,309.0,315.0,296.0,301.0,1672099176604,1346288475.000884,4438470.34943099,310.0,-9.0,-0.0290322581
22,KRW-HUNT,2022-12-27,2022-12-27T09:00:00,301.0,303.0,291.0,293.0,1672185592450,923514608.8086478,3133144.05225029,301.0,-8.0,-0.0265780731
23,KRW-HUNT,2022-12-28,2022-12-28T09:00:00,293.0,293.0,274.0,279.0,1672271998365,1366990336.0192578,4838377.24586446,293.0,-14.0,-0.04778157
24,KRW-HUNT,2022-12-29,2022-12-29T09:00:00,279.0,294.0,271.0,282.0,1672358396225,3320183639.2799916,11761395.75639561,279.0,3.0,0.0107526882
25,KRW-HUNT,2022-12-30,2022-12-30T09:00:00,281.0,282.0,265.0,274.0,1672444697030,1278684669.097683,4709008.42404317,282.0,-8.0,-0.0283687943
26,KRW-HUNT,2022-12-31,2022-12-31T09:00:00,273.0,283.0,271.0,280.0,1672531200086,1163896576.8579278,4182295.11833454,274.0,6.0,0.0218978102
