,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-ICX,2022-12-05,2022-12-05T09:00:00,248.0,249.0,238.0,241.0,1670284637239,3804547387.2317677,15573626.40439862,248.0,-7.0,-0.0282258065
1,KRW-ICX,2022-12-06,2022-12-06T09:00:00,241.0,245.0,240.0,245.0,1670371195988,2174194580.252167,8972407.46013883,241.0,4.0,0.0165975104
2,KRW-ICX,2022-12-07,2022-12-07T09:00:00,245.0,246.0,230.0,234.0,1670457597239,2910425955.064018,12331847.67990795,245.0,-11.0,-0.0448979592
3,KRW-ICX,2022-12-08,2022-12-08T09:00:00,233.0,240.0,231.0,240.0,1670543985047,1443742043.0316803,6148741.80149922,234.0,6.0,0.0256410256
4,KRW-ICX,2022-12-09,2022-12-09T09:00:00,240.0,242.0,235.0,240.0,1670630321677,1602638955.69084,6723474.6214247,240.0,,0.0
5,KRW-ICX,2022-12-10,2022-12-10T09:00:00,240.0,248.0,238.0,247.0,1670716799008,2070317533.6261272,8515850.17840258,240.0,7.0,0.0291666667
6,KRW-ICX,2022-12-11,2022-12-11T09:00:00,247.0,247.0,240.0,242.0,1670803148545,1344861381.1026266,5505029.82436675,247.0,-5.0,-0.020242915
7,KRW-ICX,2022-12-12,2022-12-12T09:00:00,242.0,243.0,227.0,233.0,1670889591729,2181936339.402256,9393996.92136679,242.0,-9.0,-0.0371900826
8,KRW-ICX,2022-12-13,2022-12-13T09:00:00,232.0,233.0,218.0,231.0,1670975973273,2372335561.5566344,10495158.72380699,233.0,-2.0,-0.008583691
9,KRW-ICX,2022-12-14,2022-12-14T09:00:00,232.0,239.0,223.0,225.0,1671062397176,2474551741.2325287,10648223.76643781,231.0,-6.0,-0.025974026
10,KRW-ICX,2022-12-15,2022-12-15T09:00:00,225.0,230.0,222.0,225.0,1671148796970,1489404500.709478,6599533.53266082,225.0,,0.0
