,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-IOTA,2022-12-05,2022-12-05T09:00:00,284.0,289.0,283.0,288.0,1670284770810,1346732241.235845,4708303.85193805,285.0,3.0,0.0105263158
1,KRW-IOTA,2022-12-06,2022-12-06T09:00:00,287.0,290.0,282.0,286.0,1670371079010,922132908.8381507,3235027.19786345,288.0,-2.0,-0.0069444444
2,KRW-IOTA,2022-12-07,2022-12-07T09:00:00,286.0,286.0,272.0,275.0,1670457492186,1238834305.212169,4457795.59534076,286.0,-11.0,-0.0384615385
3,KRW-IOTA,2022-12-08,2022-12-08T09:00:00,276.0,279.0,271.0,277.0,1670543913144,1010421042.8451921,3676907.20240691,275.0,2.0,0.0072727273
4,KRW-IOTA,2022-12-09,2022-12-09T09:00:00,277.0,279.0,273.0,275.0,1670630334469,1107254474.5623078,4009803.14458023,277.0,-2.0,-0.0072202166
5,KRW-IOTA,2022-12-10,2022-12-10T09:00:00,274.0,281.0,274.0,280.0,1670716764036,1368746354.5858462,4921982.8602274,275.0,5.0,0.0181818182
6,KRW-IOTA,2022-12-11,2022-12-11T09:00:00,279.0,281.0,276.0,278.0,1670803160894,794004018.2648445,2845774.33879962,280.0,-2.0,-0.0071428571
7,KRW-IOTA,2022-12-12,2022-12-12T09:00:00,276.0,277.0,263.0,269.0,1670889582396,1168040424.010884,4339346.98431354,278.0,-9.0,-0.0323741007
8,KRW-IOTA,2022-12-13,2022-12-13T09:00:00,269.0,270.0,258.0,267.0,1670975829263,1637603410.092096,6180797.53601003,269.0,-2.0,-0.0074349442
9,KRW-IOTA,2022-12-14,2022-12-14T09:00:00,267.0,270.0,253.0,257.0,1671062396963,2922281565.4410963,11181334.09157622,267.0,-10.0,-0.0374531835
10,KRW-IOTA,2022-12-15,2022-12-15T09:00:00,257.0,260.0,245.0,247.0,1671148799967,3109028037.934098,12314825.9450219,257.0,-10.0,-0.0389105058
11,KRW-IOTA,2022-12-16,2022-12-16T09:00:00,247.0,247.0,215.0,220.0,1671235192890,3871271078.9212036,16442761.3847021,247.0,-27.0,-0.1093117409
12,KRW-IOTA,2022-12-17,2022-12-17T09:00:00,220.0,228.0,215.0,227.0,1671321568300,1783509809.7663696,8031510.63915531,220.0,7.0,0.0318181818
13,KRW-IOTA,2022-12-18,2022-12-18T09:00:00,227.0,228.0,221.0,224.0,1671407968659,508151844.538893,2261227.73290028,227.0,-3.0,-0.013215859
14,KRW-IOTA,2022-12-19,2022-12-19T09:00:00,224.0,225.0,205.0,211.0,1671494368312,727179333.5172174,3370472.06703766,224.0,-13.0,-0.0580357143
15,KRW-IOTA,2022-12-20,2022-12-20T09:00:00,210.0,219.0,209.0,217.0,1671580754825,934748927.5606008,4330305.02235488,211.0,6.0,0.028436019
16,KRW-IOTA,2022-12-21,2022-12-21T09:00:00,217.0,219.0,211.0,216.0,1671667154050,681905090.4487067,3171316.46198859,217.0,-1.0,-0.0046082949
17,KRW-IOTA,2022-12-22,2022-12-22T09:00:00,216.0,219.0,213.0,218.0,1671753587604,522786855.54050475,2421418.67659416,216.0,2.0,0.0092592593
18,KRW-IOTA,2022-12-23,2022-12-23T09:00:00,218.0,223.0,216.0,222.0,1671839998590,575023685.1646203,2614326.90586272,218.0,4.0,0.0183486239
19,KRW-IOTA,2022-12-24,2022-12-24T09:00:00,223.0,223.0,219.0,223.0,1671926330137,308533957.4878696,1397029.20030284,222.0,1.0,0.0045045045
20,KRW-IOTA,2022-12-25,2022-12-25T09:00:00,222.0,238.0,220.0,225.0,1672012798870,5931004036.510593,25950023.46911212,223.0,2.0,0.0089686099
21,KRW-IOTA,2022-12-26,2022-12-26T09:00:00,224.0,226.0,217.0,226.0,1672099199427,1069828695.0272754,4836304.10451175,225.0,1.0,0.0044444444
22,KRW-IOTA,2022-12-27,2022-12-27T09:00:00,226.0,227.0,219.0,220.0,1672185486880,467855430.726912,2099468.92701942,226.0,-6.0,-0.0265486726
23,KRW-IOTA,2022-12-28,2022-12-28T09:00:00,221.0,222.0,209.0,215.0,1672271843371,559664458.6046284,2613500.21899299,220.0,-5.0,-0.0227272727
24,KRW-IOTA,2022-12-29,2022-12-29T09:00:00,216.0,219.0,212.0,216.0,1672358304715,565084119.036821,2619886.46620623,215.0,1.0,0.0046511628
25,KRW-IOTA,2022-12-30,2022-12-30T09:00:00,216.0,217.0,210.0,216.0,1672444624194,456261895.88013464,2130811.3623618,216.0,,0.0
26,KRW-IOTA,2022-12-31,2022-12-31T09:00:00,216.0,222.0,214.0,215.0,1672530762772,336658630.0669852,1551434.15813314,216.0,-1.0,-0.0046296296
27,KRW-IOTA,2023-01-01,2023-01-01T09:00:00,215.0,220.0,213.0,218.0,1672617564911,231303460.72967967,1067230.9113003,215.0,3.0,0.0139534884
28,KRW-IOTA,2023-01-02,2023-01-02T09:00:00,218.0,233.0,215.0,230.0,1672703988815,1007653924.7380339,4462624.62192467,218.0,12.0,0.0550458716
29,KRW-IOTA,2023-01-03,2023-01-03T09:00:00,229.0,234.0,225.0,227.0,1672790391932,632813870.4183984,2747036.16835999,230.0,-3.0,-0.0130434783
30,KRW-IOTA,2023-01-04,2023-01-04T09:00:00,228.0,232.0,226.0,230.0,1672876779231,1009906048.5574411,4406867.95962742,227.0,3.0,0.013215859
31,KRW-IOTA,2023-01-05,2023-01-05T09:00:00,230.0,233.0,226.0,232.0,1672963192611,424397873.60802877,1853767.71761109,230.0,2.0,0.0086956522
32,KRW-IOTA,2023-01-06,2023-01-06T09:00:00,231.0,234.0,221.0,231.0,1673049599460,722958886.1822213,3161335.98538765,232.0,-1.0,-0.0043103448
33,KRW-IOTA,2023-01-07,2023-01-07T09:00:00,231.0,234.0,227.0,229.0,1673135968710,969345116.2963375,4195163.71216403,231.0,-2.0,-0.0086580087
34,KRW-IOTA,2023-01-08,2023-01-08T09:00:00,230.0,233.0,225.0,232.0,1673222396314,583692845.4582484,2555181.98997128,229.0,3.0,0.0131004367
