,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-IQ,2022-12-05,2022-12-05T09:00:00,8.57,8.57,7.8,8.04,1670284798898,22932613400.50594,2821428452.1297326,8.56,-0.52,-0.0607476636
1,KRW-IQ,2022-12-06,2022-12-06T09:00:00,8.05,8.46,7.87,8.14,1670371199770,41247745487.830444,5071496206.633977,8.04,0.1,0.0124378109
2,KRW-IQ,2022-12-07,2022-12-07T09:00:00,8.13,8.13,7.36,7.75,1670457597317,19531211221.63388,2530415399.567729,8.14,-0.39,-0.0479115479
3,KRW-IQ,2022-12-08,2022-12-08T09:00:00,7.75,8.54,7.67,8.11,1670543999996,80857500854.35617,9862971722.796324,7.75,0.36,0.0464516129
4,KRW-IQ,2022-12-09,2022-12-09T09:00:00,8.13,8.41,8.0,8.19,1670630399033,31289205033.2647,3819741964.0294795,8.11,0.08,0.009864365
5,KRW-IQ,2022-12-10,2022-12-10T09:00:00,8.16,8.26,7.76,7.93,1670716796661,11960280207.285868,1493768206.6083827,8.19,-0.26,-0.0317460317
6,KRW-IQ,2022-12-11,2022-12-11T09:00:00,7.94,8.12,7.71,7.81,1670803187423,8176768387.291737,1046823132.4895805,7.93,-0.12,-0.0151324086
7,KRW-IQ,2022-12-12,2022-12-12T09:00:00,7.81,8.0,7.17,7.48,1670889590395,11434753006.108229,1524554594.580951,7.81,-0.33,-0.0422535211
8,KRW-IQ,2022-12-13,2022-12-13T09:00:00,7.48,7.62,7.07,7.33,1670975989939,7546982090.375988,1035562850.855342,7.48,-0.15,-0.0200534759
9,KRW-IQ,2022-12-14,2022-12-14T09:00:00,7.32,7.68,7.19,7.54,1671062397028,19722223451.823467,2653860518.9286494,7.33,0.21,0.0286493861
10,KRW-IQ,2022-12-15,2022-12-15T09:00:00,7.54,7.59,7.22,7.3,1671148791892,5862520262.719356,801211830.9852865,7.54,-0.24,-0.0318302387
11,KRW-IQ,2022-12-16,2022-12-16T09:00:00,7.31,7.31,6.47,6.61,1671235198730,6921931703.88185,992278315.7495465,7.3,-0.69,-0.0945205479
12,KRW-IQ,2022-12-17,2022-12-17T09:00:00,6.64,7.12,6.42,6.75,1671321599274,18181473956.952213,2669282762.024344,6.61,0.14,0.0211800303
13,KRW-IQ,2022-12-18,2022-12-18T09:00:00,6.75,6.75,6.44,6.57,1671407999123,3695087522.2229886,561225066.1291702,6.75,-0.18,-0.0266666667
14,KRW-IQ,2022-12-19,2022-12-19T09:00:00,6.57,6.72,5.63,5.96,1671494399344,7643375779.359542,1232552849.0179756,6.57,-0.61,-0.0928462709
15,KRW-IQ,2022-12-20,2022-12-20T09:00:00,5.96,7.04,5.7,6.55,1671580798840,52410217262.144684,7956161716.632895,5.96,0.59,0.0989932886
16,KRW-IQ,2022-12-21,2022-12-21T09:00:00,6.56,6.95,6.33,6.47,1671667200086,23763150745.95808,3556884077.38961,6.55,-0.08,-0.0122137405
17,KRW-IQ,2022-12-22,2022-12-22T09:00:00,6.46,6.63,6.1,6.28,1671753588353,6738106041.230068,1070495021.1320977,6.47,-0.19,-0.029366306
18,KRW-IQ,2022-12-23,2022-12-23T09:00:00,6.28,6.49,6.16,6.34,1671839969824,6790988953.849942,1078923487.1332238,6.28,0.06,0.0095541401
19,KRW-IQ,2022-12-24,2022-12-24T09:00:00,6.33,6.36,6.23,6.3,1671926390885,2133786911.230124,339945566.39298785,6.34,-0.04,-0.0063091483
20,KRW-IQ,2022-12-25,2022-12-25T09:00:00,6.3,6.3,6.01,6.13,1672012779079,2913715922.3594375,473281581.40265536,6.3,-0.17,-0.026984127
21,KRW-IQ,2022-12-26,2022-12-26T09:00:00,6.11,6.11,5.76,5.96,1672099192141,3788406459.9564295,640744231.4024405,6.13,-0.17,-0.0277324633
22,KRW-IQ,2022-12-27,2022-12-27T09:00:00,5.96,6.16,5.75,5.86,1672185594825,4803080350.232538,807896231.2245431,5.96,-0.1,-0.0167785235
23,KRW-IQ,2022-12-28,2022-12-28T09:00:00,5.87,6.03,5.39,5.58,1672271998621,6674601142.516674,1175958795.7643025,5.86,-0.28,-0.04778157
24,KRW-IQ,2022-12-29,2022-12-29T09:00:00,5.58,5.58,5.17,5.42,1672358394831,3773712825.0464444,703287409.2961036,5.58,-0.16,-0.0286738351
25,KRW-IQ,2022-12-30,2022-12-30T09:00:00,5.43,5.65,5.15,5.33,1672444774487,4767481395.351555,883952101.7015444,5.42,-0.09,-0.0166051661
26,KRW-IQ,2022-12-31,2022-12-31T09:00:00,5.33,5.98,5.21,5.64,1672531197639,8058878517.285643,1436019962.4665709,5.33,0.31,0.0581613508
27,KRW-IQ,2023-01-01,2023-01-01T09:00:00,5.64,5.84,5.45,5.64,1672617595034,9883226236.619835,1750806309.2396002,5.64,,0.0
28,KRW-IQ,2023-01-02,2023-01-02T09:00:00,5.64,5.73,5.43,5.65,1672703996718,6671195238.095428,1194441180.4268248,5.64,0.01,0.0017730496
29,KRW-IQ,2023-01-03,2023-01-03T09:00:00,5.65,5.65,5.55,5.62,1672790391271,3742127293.4914646,669369166.8838452,5.65,-0.03,-0.0053097345
30,KRW-IQ,2023-01-04,2023-01-04T09:00:00,5.61,5.72,5.51,5.69,1672876799603,4194248943.2200933,745516864.038715,5.62,0.07,0.012455516
31,KRW-IQ,2023-01-05,2023-01-05T09:00:00,5.7,5.74,5.52,5.65,1672963194949,4912164151.066481,872331310.9867901,5.69,-0.04,-0.007029877
32,KRW-IQ,2023-01-06,2023-01-06T09:00:00,5.64,5.65,5.43,5.56,1673049597882,2845665241.518094,514994774.6332987,5.65,-0.09,-0.0159292035
33,KRW-IQ,2023-01-07,2023-01-07T09:00:00,5.57,5.7,5.52,5.6,1673135989443,2109158899.1107478,378894760.63099736,5.56,0.04,0.0071942446
34,KRW-IQ,2023-01-08,2023-01-08T09:00:00,5.61,5.66,5.52,5.65,1673222399989,1674850039.5583363,300156321.15096503,5.6,0.05,0.0089285714
35,KRW-IQ,2023-01-09,2023-01-09T09:00:00,5.64,6.16,5.63,6.05,1673308800181,27952489353.53528,4731278088.998295,5.65,0.4,0.0707964602
36,KRW-IQ,2023-01-10,2023-01-10T09:00:00,6.05,6.08,5.79,6.07,1673395199829,8964065126.147932,1514055894.8396285,6.04,0.03,0.0049668874
37,KRW-IQ,2023-01-11,2023-01-11T09:00:00,6.06,6.08,5.86,6.03,1673481599637,5998409858.033148,1006521086.4492381,6.07,-0.04,-0.0065897858
38,KRW-IQ,2023-01-12,2023-01-12T09:00:00,6.03,6.35,5.95,6.18,1673567992550,19362243499.545433,3161281642.9969306,6.03,0.15,0.0248756219
39,KRW-IQ,2023-01-13,2023-01-13T09:00:00,6.18,6.35,6.05,6.32,1673654397337,7745689746.349863,1252849663.537586,6.18,0.14,0.0226537217
40,KRW-IQ,2023-01-14,2023-01-14T09:00:00,6.32,6.65,6.06,6.56,1673740799690,24264010074.73973,3769780567.4390645,6.32,0.24,0.0379746835
41,KRW-IQ,2023-01-15,2023-01-15T09:00:00,6.56,10.1,6.56,8.26,1673827199311,459915663454.01605,52347517328.85842,6.56,1.7,0.2591463415
42,KRW-IQ,2023-01-16,2023-01-16T09:00:00,8.27,8.86,7.5,7.9,1673913596738,56489602542.45918,7025610366.525303,8.26,-0.36,-0.0435835351
43,KRW-IQ,2023-01-17,2023-01-17T09:00:00,7.89,7.9,7.38,7.68,1673999999256,17073628346.41324,2258086195.0041227,7.9,-0.22,-0.0278481013
44,KRW-IQ,2023-01-18,2023-01-18T09:00:00,7.68,7.68,7.06,7.11,1674086374448,14145561945.542107,1925050500.187751,7.68,-0.57,-0.07421875
45,KRW-IQ,2023-01-19,2023-01-19T09:00:00,7.1,7.45,7.02,7.36,1674172798088,12653607466.713728,1745489303.6055872,7.11,0.25,0.035161744
