,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-JST,2022-12-05,2022-12-05T09:00:00,29.9,31.4,29.5,29.8,1670284769072,4049325006.3320875,132614564.51637553,29.8,,0.0
1,KRW-JST,2022-12-06,2022-12-06T09:00:00,29.9,30.0,29.5,29.7,1670371176965,495406251.0991587,16678624.65877727,29.8,-0.1,-0.0033557047
2,KRW-JST,2022-12-07,2022-12-07T09:00:00,29.7,31.1,28.6,29.7,1670457592413,5105008686.785572,170543857.68623668,29.7,,0.0
3,KRW-JST,2022-12-08,2022-12-08T09:00:00,29.6,31.0,29.2,30.6,1670543998788,2907294189.142022,96705935.75946072,29.7,0.9,0.0303030303
4,KRW-JST,2022-12-09,2022-12-09T09:00:00,30.7,31.0,30.1,30.3,1670630375119,1384437877.399028,45489777.08205006,30.6,-0.3,-0.0098039216
5,KRW-JST,2022-12-10,2022-12-10T09:00:00,30.3,32.6,30.0,30.4,1670716712936,8838231561.004303,282961859.2783665,30.3,0.1,0.00330033
6,KRW-JST,2022-12-11,2022-12-11T09:00:00,30.4,31.0,29.6,29.6,1670803171327,2093037483.3796234,69103839.5608354,30.4,-0.8,-0.0263157895
7,KRW-JST,2022-12-12,2022-12-12T09:00:00,29.8,31.8,28.5,29.1,1670889566508,6015264432.5347185,199570020.30131826,29.6,-0.5,-0.0168918919
8,KRW-JST,2022-12-13,2022-12-13T09:00:00,29.1,29.3,28.3,28.9,1670975991873,1104846005.426883,38306744.43694048,29.1,-0.2,-0.0068728522
9,KRW-JST,2022-12-14,2022-12-14T09:00:00,29.1,31.2,29.0,29.2,1671062342521,10918816169.561182,364076644.9706549,28.9,0.3,0.0103806228
10,KRW-JST,2022-12-15,2022-12-15T09:00:00,29.3,29.3,28.6,28.9,1671148773648,918436413.2992191,31710560.91622572,29.2,-0.3,-0.0102739726
11,KRW-JST,2022-12-16,2022-12-16T09:00:00,28.9,29.0,27.0,27.4,1671235132177,783971423.2283702,27819227.59504226,28.9,-1.5,-0.0519031142
12,KRW-JST,2022-12-17,2022-12-17T09:00:00,27.3,27.4,26.0,27.1,1671321566477,598549506.5006797,22417525.13180915,27.4,-0.3,-0.0109489051
13,KRW-JST,2022-12-18,2022-12-18T09:00:00,27.3,27.4,26.8,27.0,1671407855321,337812558.00196105,12472953.53438356,27.1,-0.1,-0.0036900369
14,KRW-JST,2022-12-19,2022-12-19T09:00:00,27.1,27.2,25.3,25.7,1671494319364,508000146.1477118,19352321.30408071,27.0,-1.3,-0.0481481481
15,KRW-JST,2022-12-20,2022-12-20T09:00:00,25.8,26.8,25.6,26.6,1671580798657,852104436.4760942,32345726.44864587,25.7,0.9,0.0350194553
16,KRW-JST,2022-12-21,2022-12-21T09:00:00,26.6,26.8,26.1,26.3,1671667168459,400945076.92302406,15167288.02174559,26.6,-0.3,-0.0112781955
17,KRW-JST,2022-12-22,2022-12-22T09:00:00,26.4,28.0,26.3,27.0,1671753530724,3393648890.929949,125518422.080213,26.3,0.7,0.0266159696
18,KRW-JST,2022-12-23,2022-12-23T09:00:00,27.2,27.3,26.8,27.2,1671839898577,657254512.7214535,24258847.65543647,27.0,0.2,0.0074074074
19,KRW-JST,2022-12-24,2022-12-24T09:00:00,27.1,27.4,27.1,27.2,1671926367511,361044455.1165292,13258770.42971828,27.2,,0.0
20,KRW-JST,2022-12-25,2022-12-25T09:00:00,27.3,28.2,26.8,27.3,1672012780444,3381289315.8404026,122285033.72804688,27.2,0.1,0.0036764706
21,KRW-JST,2022-12-26,2022-12-26T09:00:00,27.3,27.3,26.3,26.6,1672099192128,654664974.5021527,24482802.44483317,27.3,-0.7,-0.0256410256
22,KRW-JST,2022-12-27,2022-12-27T09:00:00,26.6,26.6,25.7,26.0,1672185591852,554661177.2385182,21224002.74662236,26.6,-0.6,-0.022556391
23,KRW-JST,2022-12-28,2022-12-28T09:00:00,26.0,26.1,25.1,25.3,1672271525478,503029014.66301596,19786368.40979568,26.0,-0.7,-0.0269230769
24,KRW-JST,2022-12-29,2022-12-29T09:00:00,25.2,27.7,25.2,25.6,1672358382625,7012162081.504467,265736285.03050715,25.3,0.3,0.0118577075
25,KRW-JST,2022-12-30,2022-12-30T09:00:00,25.8,25.8,24.7,25.2,1672444635093,1057517188.5865785,42073351.52724049,25.6,-0.4,-0.015625
26,KRW-JST,2022-12-31,2022-12-31T09:00:00,25.2,25.6,24.9,25.4,1672531035280,354421578.20394605,14029603.07938315,25.2,0.2,0.0079365079
27,KRW-JST,2023-01-01,2023-01-01T09:00:00,25.3,25.5,25.0,25.4,1672617575985,422048344.4135988,16723172.63926098,25.4,,0.0
28,KRW-JST,2023-01-02,2023-01-02T09:00:00,25.3,25.8,25.0,25.6,1672703890939,409763760.7559209,16115400.33036574,25.4,0.2,0.0078740157
29,KRW-JST,2023-01-03,2023-01-03T09:00:00,25.5,25.9,25.4,25.7,1672790293742,461862368.46264964,18021094.16836693,25.6,0.1,0.00390625
30,KRW-JST,2023-01-04,2023-01-04T09:00:00,25.7,26.1,25.6,26.0,1672876788240,673333388.0943053,26055380.0641178,25.7,0.3,0.0116731518
31,KRW-JST,2023-01-05,2023-01-05T09:00:00,26.0,26.1,25.5,25.8,1672963170536,741990750.6439842,28690334.21883763,26.0,-0.2,-0.0076923077
32,KRW-JST,2023-01-06,2023-01-06T09:00:00,25.8,26.1,24.7,25.5,1673049595196,1233922989.4907515,49037746.99142123,25.8,-0.3,-0.011627907
33,KRW-JST,2023-01-07,2023-01-07T09:00:00,25.5,25.6,25.3,25.3,1673135970855,452076263.6399933,17770027.80686999,25.5,-0.2,-0.0078431373
34,KRW-JST,2023-01-08,2023-01-08T09:00:00,25.3,26.2,25.1,25.9,1673222395339,600028038.1519887,23364246.70050804,25.3,0.6,0.023715415
35,KRW-JST,2023-01-09,2023-01-09T09:00:00,25.9,27.1,25.9,26.3,1673308773858,3583310832.7392707,135746635.23913178,25.9,0.4,0.0154440154
36,KRW-JST,2023-01-10,2023-01-10T09:00:00,26.4,27.1,25.9,26.8,1673395187734,2528987778.8424015,95145814.85446177,26.3,0.5,0.0190114068
37,KRW-JST,2023-01-11,2023-01-11T09:00:00,26.7,27.6,26.4,27.4,1673481591168,1463843492.9257402,54487515.11406783,26.8,0.6,0.0223880597
38,KRW-JST,2023-01-12,2023-01-12T09:00:00,27.4,27.8,26.6,27.6,1673567979959,1692039144.222004,62189123.85570649,27.4,0.2,0.0072992701
39,KRW-JST,2023-01-13,2023-01-13T09:00:00,27.6,28.4,27.1,28.3,1673654387325,2013245450.831219,72965214.612718,27.6,0.7,0.0253623188
40,KRW-JST,2023-01-14,2023-01-14T09:00:00,28.3,29.9,27.9,29.0,1673740769459,4874151300.314725,168919600.4486314,28.3,0.7,0.0247349823
41,KRW-JST,2023-01-15,2023-01-15T09:00:00,29.0,31.0,28.4,30.0,1673827199690,6483913497.102498,217826675.15580395,29.0,1.0,0.0344827586
42,KRW-JST,2023-01-16,2023-01-16T09:00:00,30.0,30.5,28.9,29.8,1673913599934,2603521066.3073654,87548287.73494136,30.0,-0.2,-0.0066666667
43,KRW-JST,2023-01-17,2023-01-17T09:00:00,29.8,31.0,29.4,30.5,1673999986960,4437802529.242165,146475220.90737703,29.8,0.7,0.0234899329
44,KRW-JST,2023-01-18,2023-01-18T09:00:00,30.5,31.0,28.5,28.7,1674086351059,3311737891.5168467,110543075.95706673,30.5,-1.8,-0.0590163934
45,KRW-JST,2023-01-19,2023-01-19T09:00:00,28.7,29.4,28.5,29.4,1674172772464,1685348819.8874092,58243592.08903429,28.7,0.7,0.0243902439
46,KRW-JST,2023-01-20,2023-01-20T09:00:00,29.4,30.7,28.9,30.6,1674259195715,2023530023.370685,68251219.10673273,29.4,1.2,0.0408163265
47,KRW-JST,2023-01-21,2023-01-21T09:00:00,30.6,31.1,30.1,30.5,1674345587372,3234096426.172886,105815716.77934153,30.6,-0.1,-0.0032679739
48,KRW-JST,2023-01-22,2023-01-22T09:00:00,30.5,31.1,30.4,31.0,1674431994320,2137434281.4072604,69653498.23405808,30.5,0.5,0.0163934426
49,KRW-JST,2023-01-23,2023-01-23T09:00:00,31.0,31.8,30.5,31.8,1674518399196,2231803297.103942,72182049.2335637,31.0,0.8,0.0258064516
50,KRW-JST,2023-01-24,2023-01-24T09:00:00,31.7,33.0,30.4,30.8,1674604797809,5773968894.353854,181002976.23706254,31.8,-1.0,-0.0314465409
51,KRW-JST,2023-01-25,2023-01-25T09:00:00,30.9,33.3,30.1,31.9,1674691197593,5888097523.3899765,188519422.36611843,30.8,1.1,0.0357142857
52,KRW-JST,2023-01-26,2023-01-26T09:00:00,31.9,32.6,31.2,31.8,1674777593503,2847804400.4840612,89797530.02981876,31.9,-0.1,-0.0031347962
53,KRW-JST,2023-01-27,2023-01-27T09:00:00,31.7,47.7,31.1,34.9,1674863998328,152254531209.95496,3900332801.2611637,31.8,3.1,0.0974842767
54,KRW-JST,2023-01-28,2023-01-28T09:00:00,34.9,36.9,33.7,34.1,1674950394059,17690840943.657135,502002043.45570457,34.9,-0.8,-0.0229226361
55,KRW-JST,2023-01-29,2023-01-29T09:00:00,34.0,34.3,33.5,34.1,1675036771176,2132342821.959431,63075431.20905078,34.1,,0.0
56,KRW-JST,2023-01-30,2023-01-30T09:00:00,34.1,34.2,31.5,32.0,1675123157462,2859184684.0028057,87186485.17240351,34.1,-2.1,-0.0615835777
57,KRW-JST,2023-01-31,2023-01-31T09:00:00,32.2,33.3,31.5,32.7,1675209586494,3865136472.5782447,118857487.9505895,32.0,0.7,0.021875
58,KRW-JST,2023-02-01,2023-02-01T09:00:00,32.7,35.5,31.5,34.2,1675295995878,24065943084.888504,707861041.9410287,32.7,1.5,0.0458715596
59,KRW-JST,2023-02-02,2023-02-02T09:00:00,34.2,34.9,33.8,34.4,1675382397282,6282221865.678205,182504871.40128115,34.2,0.2,0.0058479532
60,KRW-JST,2023-02-03,2023-02-03T09:00:00,34.4,37.9,34.2,36.2,1675468796931,26158339578.326847,727134527.1905236,34.4,1.8,0.0523255814
61,KRW-JST,2023-02-04,2023-02-04T09:00:00,36.2,36.3,35.2,36.2,1675555195755,4928343742.190262,138498937.85694313,36.2,,0.0
62,KRW-JST,2023-02-05,2023-02-05T09:00:00,36.2,39.5,34.4,35.4,1675641599170,17949447009.02175,489180276.13546723,36.2,-0.8,-0.0220994475
63,KRW-JST,2023-02-06,2023-02-06T09:00:00,35.4,36.1,34.7,35.7,1675727982217,4639099622.47005,131446875.52478918,35.4,0.3,0.0084745763
64,KRW-JST,2023-02-07,2023-02-07T09:00:00,38.1,44.1,35.8,37.4,1675814397139,104356326049.60992,2584986040.062405,35.7,1.7,0.0476190476
65,KRW-JST,2023-02-08,2023-02-08T09:00:00,37.5,38.9,36.1,36.9,1675900798656,10274163163.697355,276589338.73161346,37.4,-0.5,-0.013368984
66,KRW-JST,2023-02-09,2023-02-09T09:00:00,37.0,37.3,34.6,34.9,1675987185446,5536834358.981179,154207021.46994883,36.9,-2.0,-0.054200542
67,KRW-JST,2023-02-10,2023-02-10T09:00:00,34.8,35.5,34.1,35.4,1676073579319,2381378297.2187595,68329767.60930917,34.9,0.5,0.0143266476
68,KRW-JST,2023-02-11,2023-02-11T09:00:00,35.5,36.6,35.3,36.1,1676159960930,4052356927.5776343,112609101.34161925,35.4,0.7,0.0197740113
69,KRW-JST,2023-02-12,2023-02-12T09:00:00,36.1,36.2,35.3,35.5,1676246371533,1695379545.1308415,47637523.46159823,36.1,-0.6,-0.0166204986
70,KRW-JST,2023-02-13,2023-02-13T09:00:00,35.4,35.5,33.6,34.5,1676332787326,1902955572.5004566,55227654.44157137,35.5,-1.0,-0.0281690141
71,KRW-JST,2023-02-14,2023-02-14T09:00:00,34.6,35.1,33.2,34.9,1676419199229,1588870808.9811668,46541685.50876797,34.5,0.4,0.0115942029
72,KRW-JST,2023-02-15,2023-02-15T09:00:00,35.1,37.1,34.6,37.0,1676505599585,5447625028.903554,151451389.94957206,34.9,2.1,0.0601719198
73,KRW-JST,2023-02-16,2023-02-16T09:00:00,37.0,38.4,35.6,36.0,1676591981750,8519465343.491465,229505851.68696377,37.0,-1.0,-0.027027027
74,KRW-JST,2023-02-17,2023-02-17T09:00:00,35.8,38.0,35.5,37.7,1676678397286,4402481288.370752,118782809.1031696,36.0,1.7,0.0472222222
75,KRW-JST,2023-02-18,2023-02-18T09:00:00,37.8,39.1,36.8,37.9,1676764792650,6459378447.62508,169483000.54157814,37.7,0.2,0.0053050398
76,KRW-JST,2023-02-19,2023-02-19T09:00:00,37.9,39.5,37.3,38.6,1676851190694,8039233906.576893,208985683.0792637,37.9,0.7,0.018469657
77,KRW-JST,2023-02-20,2023-02-20T09:00:00,38.5,44.7,37.3,41.9,1676937593340,62456805925.077324,1510256529.962196,38.6,3.3,0.085492228
78,KRW-JST,2023-02-21,2023-02-21T09:00:00,41.8,44.6,39.6,40.2,1677023993695,32500736545.21611,777071211.0148449,41.9,-1.7,-0.0405727924
79,KRW-JST,2023-02-22,2023-02-22T09:00:00,40.2,40.2,38.3,40.0,1677110390437,6317202524.155239,160957131.7197695,40.2,-0.2,-0.0049751244
80,KRW-JST,2023-02-23,2023-02-23T09:00:00,40.0,40.1,38.3,39.4,1677196783660,3211658323.391078,81387212.4132709,40.0,-0.6,-0.015
81,KRW-JST,2023-02-24,2023-02-24T09:00:00,39.4,40.3,38.8,39.9,1677283195458,4918941177.756369,124941030.27009818,39.4,0.5,0.0126903553
82,KRW-JST,2023-02-25,2023-02-25T09:00:00,39.8,39.9,38.2,39.1,1677369598485,2327692677.7060914,59758336.6252921,39.9,-0.8,-0.0200501253
83,KRW-JST,2023-02-26,2023-02-26T09:00:00,38.9,42.3,38.6,40.4,1677455998334,9813655055.431208,242682566.37953076,39.1,1.3,0.0332480818
84,KRW-JST,2023-02-27,2023-02-27T09:00:00,40.5,41.3,39.2,40.6,1677542397652,6683589837.564126,166137965.59570011,40.4,0.2,0.004950495
85,KRW-JST,2023-02-28,2023-02-28T09:00:00,40.5,40.5,39.1,39.4,1677628799332,2323195396.5789,58601542.06494531,40.6,-1.2,-0.0295566502
86,KRW-JST,2023-03-01,2023-03-01T09:00:00,39.3,39.6,38.6,39.5,1677715199637,1800732391.324878,45961593.17206861,39.4,0.1,0.0025380711
87,KRW-JST,2023-03-02,2023-03-02T09:00:00,39.5,39.6,35.3,38.6,1677801517954,2704028668.2996264,70591028.69845574,39.5,-0.9,-0.0227848101
88,KRW-JST,2023-03-03,2023-03-03T09:00:00,38.6,38.6,35.1,36.5,1677887944598,2496757807.371846,68415255.22347768,38.6,-2.1,-0.0544041451
89,KRW-JST,2023-03-04,2023-03-04T09:00:00,36.5,37.6,36.4,36.6,1677974377097,996682270.6957284,26926986.34894257,36.5,0.1,0.002739726
90,KRW-JST,2023-03-05,2023-03-05T09:00:00,36.7,37.2,36.0,36.7,1678060796506,742932123.6517706,20229556.45607782,36.6,0.1,0.0027322404
91,KRW-JST,2023-03-06,2023-03-06T09:00:00,36.7,36.8,35.5,35.9,1678147042618,826767552.345811,22975863.34930452,36.7,-0.8,-0.0217983651
92,KRW-JST,2023-03-07,2023-03-07T09:00:00,35.9,36.9,34.5,35.3,1678233591398,1153094944.1549935,32247659.61607503,35.9,-0.6,-0.0167130919
93,KRW-JST,2023-03-08,2023-03-08T09:00:00,35.4,35.7,33.7,33.7,1678319740799,844938721.4259347,24528018.34591777,35.3,-1.6,-0.045325779
94,KRW-JST,2023-03-09,2023-03-09T09:00:00,33.9,34.8,30.8,31.4,1678406381207,1696543249.1327405,51381687.65929343,33.7,-2.3,-0.0682492582
95,KRW-JST,2023-03-10,2023-03-10T09:00:00,31.5,31.5,29.4,30.9,1678492794260,1406664093.6447914,46131607.36699703,31.4,-0.5,-0.0159235669
96,KRW-JST,2023-03-11,2023-03-11T09:00:00,30.9,31.7,30.0,31.3,1678579172388,871323370.3236451,28238932.21847442,30.9,0.4,0.0129449838
97,KRW-JST,2023-03-12,2023-03-12T09:00:00,31.3,32.8,30.6,32.7,1678665594997,686930376.9293797,21974232.56052391,31.3,1.4,0.0447284345
98,KRW-JST,2023-03-13,2023-03-13T09:00:00,32.7,34.8,32.5,34.6,1678751998515,4711733719.794083,139392662.6428094,32.7,1.9,0.0581039755
99,KRW-JST,2023-03-14,2023-03-14T09:00:00,34.7,36.3,33.8,35.5,1678838371235,3066664249.5790634,87524682.62822448,34.6,0.9,0.0260115607
100,KRW-JST,2023-03-15,2023-03-15T09:00:00,35.5,36.0,34.6,35.1,1678924780850,1624353403.858309,45966474.88160867,35.5,-0.4,-0.0112676056
101,KRW-JST,2023-03-16,2023-03-16T09:00:00,35.0,35.7,34.4,35.3,1679011184707,1204816562.9144588,34433065.4748601,35.1,0.2,0.0056980057
102,KRW-JST,2023-03-17,2023-03-17T09:00:00,35.4,36.9,35.0,36.7,1679097598073,2931100345.372928,81548314.25443707,35.3,1.4,0.0396600567
103,KRW-JST,2023-03-18,2023-03-18T09:00:00,36.7,37.2,35.6,35.6,1679183995586,1924888322.2282138,52758577.6980157,36.7,-1.1,-0.029972752
104,KRW-JST,2023-03-19,2023-03-19T09:00:00,35.8,37.5,35.6,37.4,1679270388634,4062126576.727271,111360551.69774295,35.6,1.8,0.0505617978
105,KRW-JST,2023-03-20,2023-03-20T09:00:00,37.4,37.9,35.7,35.8,1679356757336,2582414196.2535253,70337959.3705183,37.4,-1.6,-0.0427807487
106,KRW-JST,2023-03-21,2023-03-21T09:00:00,35.9,36.9,34.6,35.8,1679443166273,5230223129.039952,145818770.37817067,35.8,,0.0
107,KRW-JST,2023-03-22,2023-03-22T09:00:00,35.8,36.4,32.7,33.7,1679529596452,2204125740.7189007,63385122.73991692,35.8,-2.1,-0.0586592179
108,KRW-JST,2023-03-23,2023-03-23T09:00:00,33.7,35.1,33.1,34.7,1679615974834,1605948197.8798876,47456841.4099887,33.7,1.0,0.0296735905
109,KRW-JST,2023-03-24,2023-03-24T09:00:00,34.9,35.0,34.1,34.3,1679702358290,613887802.802665,17721306.32083733,34.7,-0.4,-0.0115273775
110,KRW-JST,2023-03-25,2023-03-25T09:00:00,34.3,34.7,34.1,34.3,1679788756504,398012377.36804104,11596183.52612965,34.3,,0.0
