,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-LOOM,2022-12-05,2022-12-05T09:00:00,67.0,67.1,65.1,65.6,1670284794610,4538249129.1796255,68838635.51830822,67.1,-1.5,-0.0223546945
1,KRW-LOOM,2022-12-06,2022-12-06T09:00:00,65.6,65.8,65.0,65.5,1670371199243,2513744441.8044195,38515444.59348757,65.6,-0.1,-0.0015243902
2,KRW-LOOM,2022-12-07,2022-12-07T09:00:00,65.4,66.8,61.4,63.8,1670457565617,6747438254.369646,104752421.21615443,65.5,-1.7,-0.0259541985
3,KRW-LOOM,2022-12-08,2022-12-08T09:00:00,63.8,65.3,63.3,65.1,1670543977252,3838918829.1940317,59649909.06119344,63.8,1.3,0.0203761755
4,KRW-LOOM,2022-12-09,2022-12-09T09:00:00,65.0,65.6,64.0,65.5,1670630398751,2495612077.338883,38482507.02877431,65.1,0.4,0.0061443932
5,KRW-LOOM,2022-12-10,2022-12-10T09:00:00,65.5,67.7,64.9,67.0,1670716795072,6001833131.106086,90983886.98424682,65.5,1.5,0.0229007634
6,KRW-LOOM,2022-12-11,2022-12-11T09:00:00,67.0,67.0,65.0,65.1,1670803186521,2395712148.9577847,36444233.83929206,67.0,-1.9,-0.028358209
7,KRW-LOOM,2022-12-12,2022-12-12T09:00:00,65.0,65.0,62.0,63.6,1670889594206,2484430317.7897153,39368584.98480872,65.1,-1.5,-0.0230414747
8,KRW-LOOM,2022-12-13,2022-12-13T09:00:00,63.6,64.9,61.6,64.1,1670975975551,3358401492.733879,53021179.42484965,63.6,0.5,0.0078616352
9,KRW-LOOM,2022-12-14,2022-12-14T09:00:00,64.1,64.4,63.3,63.6,1671062368760,1499760432.055378,23532424.87196733,64.1,-0.5,-0.007800312
10,KRW-LOOM,2022-12-15,2022-12-15T09:00:00,63.7,64.4,61.8,62.9,1671148786213,11628450041.287361,183448190.43273294,63.6,-0.7,-0.0110062893
11,KRW-LOOM,2022-12-16,2022-12-16T09:00:00,62.8,66.7,55.2,57.2,1671235199856,15931611191.249844,251877826.97312707,62.9,-5.7,-0.0906200318
12,KRW-LOOM,2022-12-17,2022-12-17T09:00:00,57.3,59.0,52.0,55.4,1671321595231,3225834591.557238,59076496.16571058,57.2,-1.8,-0.0314685315
13,KRW-LOOM,2022-12-18,2022-12-18T09:00:00,55.4,59.3,54.8,57.6,1671407974415,8799551801.941198,153336535.9213743,55.4,2.2,0.0397111913
14,KRW-LOOM,2022-12-19,2022-12-19T09:00:00,57.8,61.7,53.0,54.4,1671494399444,27020580516.51274,453141468.2913325,57.6,-3.2,-0.0555555556
15,KRW-LOOM,2022-12-20,2022-12-20T09:00:00,54.4,58.7,53.0,56.8,1671580785706,17825107365.5859,315295586.0169745,54.4,2.4,0.0441176471
16,KRW-LOOM,2022-12-21,2022-12-21T09:00:00,56.8,62.3,56.6,57.8,1671667194746,26740296591.170452,450540366.65922123,56.8,1.0,0.0176056338
17,KRW-LOOM,2022-12-22,2022-12-22T09:00:00,57.8,58.3,55.1,56.1,1671753598663,3356114773.2992764,59245871.6199792,57.8,-1.7,-0.0294117647
18,KRW-LOOM,2022-12-23,2022-12-23T09:00:00,56.1,58.8,55.5,56.8,1671839992734,9017322693.954636,157680179.64887574,56.1,0.7,0.0124777184
19,KRW-LOOM,2022-12-24,2022-12-24T09:00:00,56.8,60.9,56.4,58.0,1671926389770,27612605725.61843,469839835.1226079,56.8,1.2,0.0211267606
20,KRW-LOOM,2022-12-25,2022-12-25T09:00:00,58.0,58.2,56.2,57.0,1672012797759,3052947720.4487906,53437686.85375809,58.0,-1.0,-0.0172413793
