,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-MANA,2022-12-05,2022-12-05T09:00:00,547.0,573.0,546.0,564.0,1670284796769,12051065230.90834,21451178.90074979,548.0,16.0,0.0291970803
1,KRW-MANA,2022-12-06,2022-12-06T09:00:00,564.0,569.0,551.0,557.0,1670371172379,6180998240.85582,11031491.36080592,564.0,-7.0,-0.0124113475
2,KRW-MANA,2022-12-07,2022-12-07T09:00:00,557.0,561.0,518.0,527.0,1670457518584,5684096832.080268,10565851.58167196,557.0,-30.0,-0.0538599641
3,KRW-MANA,2022-12-08,2022-12-08T09:00:00,529.0,538.0,521.0,532.0,1670543951551,3233841324.8154187,6091092.57448531,527.0,5.0,0.009487666
4,KRW-MANA,2022-12-09,2022-12-09T09:00:00,532.0,535.0,525.0,528.0,1670630396303,2353321785.4848385,4442037.64819605,532.0,-4.0,-0.007518797
5,KRW-MANA,2022-12-10,2022-12-10T09:00:00,529.0,540.0,526.0,536.0,1670716785225,2025267712.1888707,3815623.34935801,528.0,8.0,0.0151515152
6,KRW-MANA,2022-12-11,2022-12-11T09:00:00,536.0,537.0,519.0,520.0,1670803189007,1826839981.9592094,3456145.90203539,536.0,-16.0,-0.0298507463
7,KRW-MANA,2022-12-12,2022-12-12T09:00:00,520.0,521.0,496.0,510.0,1670889534988,3595265941.882607,7094953.81398217,520.0,-10.0,-0.0192307692
8,KRW-MANA,2022-12-13,2022-12-13T09:00:00,510.0,518.0,483.0,510.0,1670975991155,4263627611.1421876,8492684.59190834,510.0,,0.0
9,KRW-MANA,2022-12-14,2022-12-14T09:00:00,511.0,514.0,498.0,500.0,1671062381629,2582047996.0908456,5074641.00264862,510.0,-10.0,-0.0196078431
10,KRW-MANA,2022-12-15,2022-12-15T09:00:00,500.0,503.0,487.0,496.0,1671148649602,2477811547.4673853,4997803.28035638,500.0,-4.0,-0.008
11,KRW-MANA,2022-12-16,2022-12-16T09:00:00,497.0,499.0,447.0,453.0,1671235194683,3796317615.876588,7997856.64498371,496.0,-43.0,-0.0866935484
12,KRW-MANA,2022-12-17,2022-12-17T09:00:00,454.0,455.0,429.0,443.0,1671321573582,3306188433.2548857,7489873.77436941,453.0,-10.0,-0.0220750552
13,KRW-MANA,2022-12-18,2022-12-18T09:00:00,443.0,444.0,424.0,432.0,1671407833274,1808012442.5101588,4171114.97475688,443.0,-11.0,-0.0248306998
14,KRW-MANA,2022-12-19,2022-12-19T09:00:00,431.0,438.0,391.0,399.0,1671494398367,3200283617.6808877,7669076.03107778,432.0,-33.0,-0.0763888889
