,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-MATIC,2022-12-05,2022-12-05T09:00:00,1240.0,1265.0,1210.0,1225.0,1670284790001,12670891426.668283,10234244.91282482,1240.0,-15.0,-0.0120967742
1,KRW-MATIC,2022-12-06,2022-12-06T09:00:00,1220.0,1230.0,1205.0,1230.0,1670371189141,6696570091.5387125,5483626.25041996,1225.0,5.0,0.0040816327
2,KRW-MATIC,2022-12-07,2022-12-07T09:00:00,1225.0,1230.0,1165.0,1205.0,1670457595814,10370596960.800316,8716249.96921413,1230.0,-25.0,-0.0203252033
3,KRW-MATIC,2022-12-08,2022-12-08T09:00:00,1205.0,1240.0,1190.0,1235.0,1670543991363,6943049260.9261875,5744494.88697328,1205.0,30.0,0.0248962656
4,KRW-MATIC,2022-12-09,2022-12-09T09:00:00,1235.0,1245.0,1210.0,1210.0,1670630399392,6071294008.220896,4950061.63729531,1235.0,-25.0,-0.020242915
5,KRW-MATIC,2022-12-10,2022-12-10T09:00:00,1215.0,1220.0,1200.0,1215.0,1670716779767,5071988390.543336,4192458.41863982,1210.0,5.0,0.0041322314
6,KRW-MATIC,2022-12-11,2022-12-11T09:00:00,1215.0,1215.0,1185.0,1195.0,1670803195296,3907977051.842161,3247769.67812462,1215.0,-20.0,-0.0164609053
7,KRW-MATIC,2022-12-12,2022-12-12T09:00:00,1190.0,1210.0,1165.0,1205.0,1670889593716,6157779910.828316,5209308.80075147,1195.0,10.0,0.0083682008
8,KRW-MATIC,2022-12-13,2022-12-13T09:00:00,1205.0,1235.0,1160.0,1205.0,1670975992218,16747337361.44214,13889493.68654071,1205.0,,0.0
9,KRW-MATIC,2022-12-14,2022-12-14T09:00:00,1200.0,1225.0,1175.0,1180.0,1671062394721,9545847372.990088,7945579.87255893,1205.0,-25.0,-0.020746888
10,KRW-MATIC,2022-12-15,2022-12-15T09:00:00,1180.0,1190.0,1155.0,1165.0,1671148793758,7151681567.168204,6100691.91626412,1180.0,-15.0,-0.0127118644
11,KRW-MATIC,2022-12-16,2022-12-16T09:00:00,1160.0,1175.0,1045.0,1065.0,1671235197561,13518011458.833351,12146463.44430375,1165.0,-100.0,-0.0858369099
12,KRW-MATIC,2022-12-17,2022-12-17T09:00:00,1070.0,1085.0,1030.0,1080.0,1671321594739,7791513533.737928,7339449.15406612,1065.0,15.0,0.014084507
13,KRW-MATIC,2022-12-18,2022-12-18T09:00:00,1085.0,1095.0,1065.0,1080.0,1671407890367,3636191383.8346357,3368255.59113092,1080.0,,0.0
14,KRW-MATIC,2022-12-19,2022-12-19T09:00:00,1080.0,1090.0,1000.0,1020.0,1671494393739,8487815269.346711,8153498.30863987,1080.0,-60.0,-0.0555555556
15,KRW-MATIC,2022-12-20,2022-12-20T09:00:00,1020.0,1060.0,1010.0,1045.0,1671580798475,7424873817.026355,7131152.40922417,1020.0,25.0,0.0245098039
16,KRW-MATIC,2022-12-21,2022-12-21T09:00:00,1045.0,1050.0,1025.0,1035.0,1671667193588,5703168934.956119,5500390.53622789,1045.0,-10.0,-0.009569378
17,KRW-MATIC,2022-12-22,2022-12-22T09:00:00,1040.0,1040.0,1005.0,1035.0,1671753589755,6183292505.3876505,6032749.29696164,1035.0,,0.0
18,KRW-MATIC,2022-12-23,2022-12-23T09:00:00,1040.0,1050.0,1025.0,1045.0,1671839909528,4321668565.267339,4163428.77482191,1035.0,10.0,0.0096618357
19,KRW-MATIC,2022-12-24,2022-12-24T09:00:00,1045.0,1045.0,1035.0,1040.0,1671926125438,1825399703.69872,1755737.86713477,1045.0,-5.0,-0.004784689
20,KRW-MATIC,2022-12-25,2022-12-25T09:00:00,1040.0,1040.0,1020.0,1030.0,1672012760492,2835039546.4982643,2748379.61171666,1040.0,-10.0,-0.0096153846
21,KRW-MATIC,2022-12-26,2022-12-26T09:00:00,1030.0,1050.0,1025.0,1040.0,1672099191213,3288282462.015646,3184705.00118851,1030.0,10.0,0.0097087379
22,KRW-MATIC,2022-12-27,2022-12-27T09:00:00,1045.0,1050.0,1020.0,1025.0,1672185510778,5501596667.366513,5304424.14649606,1040.0,-15.0,-0.0144230769
23,KRW-MATIC,2022-12-28,2022-12-28T09:00:00,1025.0,1035.0,985.0,997.0,1672271967249,9384344911.921917,9361990.90116177,1025.0,-28.0,-0.0273170732
24,KRW-MATIC,2022-12-29,2022-12-29T09:00:00,997.0,1005.0,977.0,991.0,1672358398748,7064404091.047215,7130608.04418557,997.0,-6.0,-0.0060180542
25,KRW-MATIC,2022-12-30,2022-12-30T09:00:00,991.0,995.0,948.0,966.0,1672444799879,8436252768.691839,8739565.85741976,991.0,-25.0,-0.0252270434
26,KRW-MATIC,2022-12-31,2022-12-31T09:00:00,967.0,981.0,956.0,966.0,1672531198379,3010104908.260167,3111237.04179356,966.0,,0.0
27,KRW-MATIC,2023-01-01,2023-01-01T09:00:00,965.0,972.0,953.0,967.0,1672617590606,2632678704.5632925,2738983.1176326,966.0,1.0,0.0010351967
28,KRW-MATIC,2023-01-02,2023-01-02T09:00:00,966.0,1005.0,953.0,993.0,1672703993997,7133111567.724305,7253880.04505541,967.0,26.0,0.0268872802
29,KRW-MATIC,2023-01-03,2023-01-03T09:00:00,992.0,1010.0,990.0,999.0,1672790377878,4708618509.179879,4718080.78361762,993.0,6.0,0.0060422961
30,KRW-MATIC,2023-01-04,2023-01-04T09:00:00,999.0,1045.0,997.0,1035.0,1672876785296,9150268914.900629,8921383.2714932,999.0,36.0,0.036036036
31,KRW-MATIC,2023-01-05,2023-01-05T09:00:00,1030.0,1040.0,1000.0,1010.0,1672963184338,7842215371.555159,7688159.79954483,1035.0,-25.0,-0.0241545894
32,KRW-MATIC,2023-01-06,2023-01-06T09:00:00,1010.0,1020.0,983.0,1015.0,1673049595508,9926540195.757204,9928812.92430169,1010.0,5.0,0.004950495
33,KRW-MATIC,2023-01-07,2023-01-07T09:00:00,1015.0,1035.0,1010.0,1025.0,1673135991167,6074378561.631949,5934242.10079905,1015.0,10.0,0.0098522167
34,KRW-MATIC,2023-01-08,2023-01-08T09:00:00,1025.0,1070.0,1015.0,1060.0,1673222399955,6554200843.175866,6329147.17884316,1025.0,35.0,0.0341463415
35,KRW-MATIC,2023-01-09,2023-01-09T09:00:00,1060.0,1100.0,1055.0,1065.0,1673308779151,18881839614.086426,17481545.305049,1060.0,5.0,0.0047169811
36,KRW-MATIC,2023-01-10,2023-01-10T09:00:00,1065.0,1085.0,1045.0,1075.0,1673395133031,10605505817.352787,9948010.07036797,1065.0,10.0,0.0093896714
37,KRW-MATIC,2023-01-11,2023-01-11T09:00:00,1075.0,1130.0,1065.0,1115.0,1673481593469,12521904860.579384,11511444.15501633,1075.0,40.0,0.0372093023
38,KRW-MATIC,2023-01-12,2023-01-12T09:00:00,1115.0,1160.0,1085.0,1150.0,1673567980156,24197604650.462383,21530010.6656736,1115.0,35.0,0.0313901345
39,KRW-MATIC,2023-01-13,2023-01-13T09:00:00,1145.0,1175.0,1125.0,1165.0,1673654400025,27496145383.442364,23951529.11037666,1150.0,15.0,0.0130434783
40,KRW-MATIC,2023-01-14,2023-01-14T09:00:00,1165.0,1305.0,1155.0,1230.0,1673740790863,72210985871.51244,59171659.37692453,1165.0,65.0,0.0557939914
41,KRW-MATIC,2023-01-15,2023-01-15T09:00:00,1235.0,1240.0,1175.0,1215.0,1673827181111,27825869253.335308,23034063.84030901,1230.0,-15.0,-0.012195122
42,KRW-MATIC,2023-01-16,2023-01-16T09:00:00,1220.0,1300.0,1200.0,1265.0,1673913591242,43958612001.41395,35244631.2341504,1215.0,50.0,0.0411522634
43,KRW-MATIC,2023-01-17,2023-01-17T09:00:00,1265.0,1290.0,1235.0,1235.0,1673999996595,30923833731.460526,24582833.51841997,1265.0,-30.0,-0.023715415
