,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-MBL,2022-12-05,2022-12-05T09:00:00,3.57,3.6,3.44,3.48,1670284794882,2291815399.4605684,648824892.7113506,3.57,-0.09,-0.025210084
1,KRW-MBL,2022-12-06,2022-12-06T09:00:00,3.48,3.55,3.45,3.52,1670371174703,1451769919.4175398,415474225.05076957,3.48,0.04,0.0114942529
2,KRW-MBL,2022-12-07,2022-12-07T09:00:00,3.52,3.72,3.35,3.45,1670457515602,12615384688.89471,3557605228.8350716,3.52,-0.07,-0.0198863636
3,KRW-MBL,2022-12-08,2022-12-08T09:00:00,3.45,3.67,3.44,3.54,1670543993010,7917871681.293371,2230789574.586107,3.45,0.09,0.0260869565
4,KRW-MBL,2022-12-09,2022-12-09T09:00:00,3.54,3.97,3.5,3.73,1670630398551,23179397062.956657,6156812959.854135,3.54,0.19,0.0536723164
5,KRW-MBL,2022-12-10,2022-12-10T09:00:00,3.74,3.9,3.56,3.62,1670716788618,8174508004.908892,2199275017.213417,3.73,-0.11,-0.0294906166
6,KRW-MBL,2022-12-11,2022-12-11T09:00:00,3.62,3.62,3.52,3.53,1670803193825,1719347565.4449427,482255474.3218137,3.62,-0.09,-0.0248618785
7,KRW-MBL,2022-12-12,2022-12-12T09:00:00,3.53,3.67,3.42,3.62,1670889599129,7876297233.317001,2208085400.6397614,3.53,0.09,0.0254957507
8,KRW-MBL,2022-12-13,2022-12-13T09:00:00,3.63,3.97,3.53,3.76,1670975996279,29433375194.815132,7841110471.536431,3.62,0.14,0.0386740331
9,KRW-MBL,2022-12-14,2022-12-14T09:00:00,3.75,3.76,3.64,3.68,1671062374262,3693453441.342753,1004420818.2935952,3.76,-0.08,-0.0212765957
10,KRW-MBL,2022-12-15,2022-12-15T09:00:00,3.68,3.75,3.61,3.68,1671148770400,3791782855.917743,1031409977.3106248,3.68,,0.0
11,KRW-MBL,2022-12-16,2022-12-16T09:00:00,3.69,3.75,3.33,3.39,1671235199926,4462750573.212461,1244464747.4699144,3.68,-0.29,-0.0788043478
12,KRW-MBL,2022-12-17,2022-12-17T09:00:00,3.38,3.56,3.11,3.34,1671321582192,5014154793.24842,1503287411.0205896,3.39,-0.05,-0.0147492625
13,KRW-MBL,2022-12-18,2022-12-18T09:00:00,3.33,3.35,3.24,3.3,1671407981060,1282600050.3696213,388737814.15627146,3.34,-0.04,-0.0119760479
14,KRW-MBL,2022-12-19,2022-12-19T09:00:00,3.3,3.31,3.03,3.09,1671494397201,1951193843.0377352,614849021.2523602,3.3,-0.21,-0.0636363636
15,KRW-MBL,2022-12-20,2022-12-20T09:00:00,3.09,3.27,3.05,3.25,1671580785021,2508136662.1736517,786901133.7892306,3.09,0.16,0.0517799353
16,KRW-MBL,2022-12-21,2022-12-21T09:00:00,3.25,3.4,3.2,3.27,1671667197098,3266003291.909834,994588730.7317945,3.25,0.02,0.0061538462
17,KRW-MBL,2022-12-22,2022-12-22T09:00:00,3.27,3.29,3.16,3.22,1671753587715,1348852292.2788162,418595927.6920303,3.27,-0.05,-0.0152905199
18,KRW-MBL,2022-12-23,2022-12-23T09:00:00,3.22,3.26,3.17,3.26,1671839944555,715989340.9773731,222651500.6246375,3.22,0.04,0.0124223602
19,KRW-MBL,2022-12-24,2022-12-24T09:00:00,3.24,3.29,3.21,3.27,1671926365274,839163140.4798113,258308854.63192934,3.26,0.01,0.0030674847
20,KRW-MBL,2022-12-25,2022-12-25T09:00:00,3.26,3.26,3.12,3.16,1672012774119,940537187.169038,294622340.666567,3.27,-0.11,-0.0336391437
21,KRW-MBL,2022-12-26,2022-12-26T09:00:00,3.17,3.18,3.04,3.13,1672099179586,916980144.5047797,295069182.92777956,3.16,-0.03,-0.0094936709
22,KRW-MBL,2022-12-27,2022-12-27T09:00:00,3.12,3.14,2.99,3.02,1672185534768,1189194275.5919368,390987852.4394726,3.13,-0.11,-0.03514377
23,KRW-MBL,2022-12-28,2022-12-28T09:00:00,3.03,3.05,2.83,2.9,1672271998353,1458984371.9985461,501744893.70755297,3.02,-0.12,-0.0397350993
24,KRW-MBL,2022-12-29,2022-12-29T09:00:00,2.89,2.97,2.79,2.91,1672358399917,1787858184.9927993,616762489.0325916,2.9,0.01,0.0034482759
25,KRW-MBL,2022-12-30,2022-12-30T09:00:00,2.9,2.92,2.79,2.87,1672444757059,821193712.3266659,288747079.00798273,2.91,-0.04,-0.0137457045
26,KRW-MBL,2022-12-31,2022-12-31T09:00:00,2.87,2.97,2.84,2.91,1672531144008,986140376.8889633,339154212.7987083,2.87,0.04,0.0139372822
27,KRW-MBL,2023-01-01,2023-01-01T09:00:00,2.9,2.94,2.88,2.92,1672617504098,530275610.50686353,182518197.7059767,2.91,0.01,0.0034364261
28,KRW-MBL,2023-01-02,2023-01-02T09:00:00,2.92,2.96,2.87,2.93,1672703967763,874925022.8014519,299169171.400751,2.92,0.01,0.0034246575
29,KRW-MBL,2023-01-03,2023-01-03T09:00:00,2.93,2.99,2.92,2.97,1672790377055,800324173.7878321,271168459.77019256,2.93,0.04,0.0136518771
30,KRW-MBL,2023-01-04,2023-01-04T09:00:00,2.96,3.03,2.94,3.01,1672876788057,780548701.87326,260416365.05771267,2.97,0.04,0.0134680135
31,KRW-MBL,2023-01-05,2023-01-05T09:00:00,3.01,3.21,2.93,3.01,1672963168158,4635445259.051978,1517904878.9192858,3.01,,0.0
32,KRW-MBL,2023-01-06,2023-01-06T09:00:00,3.01,3.06,2.91,3.0,1673049330816,1528385714.6577408,512212938.5530856,3.01,-0.01,-0.0033222591
33,KRW-MBL,2023-01-07,2023-01-07T09:00:00,3.0,3.02,2.99,3.01,1673135893004,451404502.94805586,150417976.65944248,3.0,0.01,0.0033333333
34,KRW-MBL,2023-01-08,2023-01-08T09:00:00,3.01,3.07,2.99,3.07,1673222384129,679305088.2021235,224879395.72533792,3.01,0.06,0.0199335548
35,KRW-MBL,2023-01-09,2023-01-09T09:00:00,3.07,3.16,3.05,3.12,1673308788932,2264201855.990175,730325443.0587311,3.07,0.05,0.016286645
36,KRW-MBL,2023-01-10,2023-01-10T09:00:00,3.12,3.24,3.1,3.16,1673395194309,3385126741.1313767,1071952191.1357521,3.12,0.04,0.0128205128
37,KRW-MBL,2023-01-11,2023-01-11T09:00:00,3.17,3.23,3.12,3.22,1673481592376,2567039519.185192,807581897.7503387,3.16,0.06,0.0189873418
38,KRW-MBL,2023-01-12,2023-01-12T09:00:00,3.23,3.26,3.12,3.25,1673567992321,2804419682.293136,874401032.1493787,3.22,0.03,0.0093167702
39,KRW-MBL,2023-01-13,2023-01-13T09:00:00,3.26,3.39,3.21,3.36,1673654392305,4123664034.796708,1251961552.2976055,3.25,0.11,0.0338461538
40,KRW-MBL,2023-01-14,2023-01-14T09:00:00,3.36,3.56,3.3,3.46,1673740799391,6753133541.449362,1975290230.8128502,3.36,0.1,0.0297619048
41,KRW-MBL,2023-01-15,2023-01-15T09:00:00,3.46,4.38,3.44,3.67,1673827195105,74984957763.60805,18837086295.091393,3.46,0.21,0.0606936416
42,KRW-MBL,2023-01-16,2023-01-16T09:00:00,3.67,3.69,3.48,3.6,1673913569736,6070383372.804173,1691336170.0824008,3.67,-0.07,-0.0190735695
43,KRW-MBL,2023-01-17,2023-01-17T09:00:00,3.59,3.79,3.53,3.74,1673999992816,8070012347.309529,2205039644.400329,3.6,0.14,0.0388888889
44,KRW-MBL,2023-01-18,2023-01-18T09:00:00,3.74,3.74,3.42,3.45,1674086396001,5504745300.2127285,1529703001.0196238,3.74,-0.29,-0.077540107
45,KRW-MBL,2023-01-19,2023-01-19T09:00:00,3.45,3.55,3.38,3.55,1674172796634,2581111779.840767,741184934.09112,3.45,0.1,0.0289855072
46,KRW-MBL,2023-01-20,2023-01-20T09:00:00,3.55,3.74,3.5,3.72,1674259179776,2983366241.1471534,830465993.1728271,3.55,0.17,0.0478873239
47,KRW-MBL,2023-01-21,2023-01-21T09:00:00,3.72,3.92,3.64,3.8,1674345591338,9340362772.04986,2472244457.597662,3.72,0.08,0.0215053763
48,KRW-MBL,2023-01-22,2023-01-22T09:00:00,3.81,3.83,3.69,3.78,1674431991544,3215701123.649783,852614170.0790356,3.8,-0.02,-0.0052631579
