,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-MED,2022-12-05,2022-12-05T09:00:00,20.2,20.4,19.9,20.1,1670284777122,1281342401.7705317,63609815.53450988,20.1,,0.0
1,KRW-MED,2022-12-06,2022-12-06T09:00:00,20.0,20.1,19.9,20.1,1670371199338,490365395.78495616,24572140.9412616,20.1,,0.0
2,KRW-MED,2022-12-07,2022-12-07T09:00:00,20.1,20.1,19.0,19.6,1670457597668,1258709236.1298018,64606415.77598653,20.1,-0.5,-0.0248756219
3,KRW-MED,2022-12-08,2022-12-08T09:00:00,19.6,19.8,19.2,19.8,1670543967133,880056170.3237383,45106024.24672788,19.6,0.2,0.0102040816
4,KRW-MED,2022-12-09,2022-12-09T09:00:00,19.7,20.0,19.4,19.8,1670630383160,1119641940.128776,56856928.99873159,19.8,,0.0
5,KRW-MED,2022-12-10,2022-12-10T09:00:00,19.8,20.2,19.5,20.2,1670716785654,896719543.1501033,45168156.0075136,19.8,0.4,0.0202020202
6,KRW-MED,2022-12-11,2022-12-11T09:00:00,20.3,20.3,19.7,19.7,1670803168469,625007705.4324294,31347041.82704486,20.2,-0.5,-0.0247524752
7,KRW-MED,2022-12-12,2022-12-12T09:00:00,19.9,19.9,18.9,19.3,1670889591780,1004116840.6340668,52260780.7442236,19.7,-0.4,-0.0203045685
8,KRW-MED,2022-12-13,2022-12-13T09:00:00,19.3,19.9,18.6,19.5,1670975961100,3008082497.0701632,154876401.7332211,19.3,0.2,0.0103626943
9,KRW-MED,2022-12-14,2022-12-14T09:00:00,19.5,19.6,19.1,19.1,1671062382445,570075636.2747988,29429478.91957202,19.5,-0.4,-0.0205128205
10,KRW-MED,2022-12-15,2022-12-15T09:00:00,19.3,19.4,18.9,18.9,1671148757147,591893107.2389944,30953347.07165485,19.1,-0.2,-0.0104712042
11,KRW-MED,2022-12-16,2022-12-16T09:00:00,19.0,19.0,17.6,18.0,1671235155251,966685824.66687,52339176.33964252,18.9,-0.9,-0.0476190476
12,KRW-MED,2022-12-17,2022-12-17T09:00:00,18.0,18.1,17.1,17.9,1671321592255,452491782.6106898,25600027.11031055,18.0,-0.1,-0.0055555556
