,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-META,2022-12-05,2022-12-05T09:00:00,33.6,33.8,32.6,32.8,1670284784149,627338432.9998397,18848002.68870179,33.6,-0.8,-0.0238095238
1,KRW-META,2022-12-06,2022-12-06T09:00:00,32.8,33.1,32.5,32.9,1670371199098,416942101.1140885,12715510.83123544,32.8,0.1,0.0030487805
2,KRW-META,2022-12-07,2022-12-07T09:00:00,32.8,33.3,31.1,31.7,1670457470504,1197404206.4333646,37488223.7908739,32.9,-1.2,-0.0364741641
3,KRW-META,2022-12-08,2022-12-08T09:00:00,31.8,32.3,31.1,32.1,1670543967211,638704540.3309426,20141138.06183484,31.7,0.4,0.0126182965
4,KRW-META,2022-12-09,2022-12-09T09:00:00,32.2,32.8,31.8,32.7,1670630351729,821562961.8819779,25393001.77539502,32.1,0.6,0.0186915888
5,KRW-META,2022-12-10,2022-12-10T09:00:00,32.7,33.6,32.4,33.6,1670716799715,1107138116.6465023,33580660.2569643,32.7,0.9,0.0275229358
6,KRW-META,2022-12-11,2022-12-11T09:00:00,33.6,33.6,32.2,32.3,1670803168231,709812838.0971868,21526225.84087485,33.6,-1.3,-0.0386904762
7,KRW-META,2022-12-12,2022-12-12T09:00:00,32.3,32.5,30.6,31.5,1670889511714,869453330.724109,27742220.19229845,32.3,-0.8,-0.0247678019
8,KRW-META,2022-12-13,2022-12-13T09:00:00,31.5,32.2,30.2,31.5,1670975986596,1200306094.0747986,38405580.10146295,31.5,,0.0
9,KRW-META,2022-12-14,2022-12-14T09:00:00,31.5,32.7,31.1,31.1,1671062367590,2388871450.5782237,74744766.76861897,31.5,-0.4,-0.0126984127
10,KRW-META,2022-12-15,2022-12-15T09:00:00,31.1,32.4,30.3,30.8,1671148797822,2510893785.3659124,79872560.73389386,31.1,-0.3,-0.0096463023
11,KRW-META,2022-12-16,2022-12-16T09:00:00,30.8,31.0,27.8,28.2,1671235184531,951716057.6467296,32130346.59250786,30.8,-2.6,-0.0844155844
12,KRW-META,2022-12-17,2022-12-17T09:00:00,28.2,28.7,26.1,27.7,1671321576607,648475024.4558108,23711061.95025385,28.2,-0.5,-0.0177304965
13,KRW-META,2022-12-18,2022-12-18T09:00:00,27.7,27.9,27.3,27.8,1671407846474,275232254.6417128,9979079.76670528,27.7,0.1,0.0036101083
14,KRW-META,2022-12-19,2022-12-19T09:00:00,27.7,28.5,25.2,25.7,1671494361806,784416600.2201117,28934843.87365064,27.8,-2.1,-0.0755395683
15,KRW-META,2022-12-20,2022-12-20T09:00:00,25.7,27.6,25.2,26.8,1671580765961,1124929253.0578232,42429674.12671108,25.7,1.1,0.0428015564
16,KRW-META,2022-12-21,2022-12-21T09:00:00,26.8,29.8,26.8,27.2,1671667189046,4717685058.764232,168328084.63579372,26.8,0.4,0.0149253731
17,KRW-META,2022-12-22,2022-12-22T09:00:00,27.2,28.1,26.3,27.0,1671753545382,1021216597.1253457,37561518.20075301,27.2,-0.2,-0.0073529412
18,KRW-META,2022-12-23,2022-12-23T09:00:00,26.7,27.2,26.5,27.0,1671839864451,427760252.5536896,15882057.72910231,27.0,,0.0
19,KRW-META,2022-12-24,2022-12-24T09:00:00,27.0,27.3,26.7,27.3,1671926317858,485845750.3150765,18033722.98813109,27.0,0.3,0.0111111111
20,KRW-META,2022-12-25,2022-12-25T09:00:00,27.3,27.6,26.3,26.6,1672012791496,519315487.5732653,19406206.33825411,27.3,-0.7,-0.0256410256
21,KRW-META,2022-12-26,2022-12-26T09:00:00,26.6,26.7,25.6,25.8,1672099162469,443210375.6252262,17036794.80174263,26.6,-0.8,-0.030075188
22,KRW-META,2022-12-27,2022-12-27T09:00:00,25.8,25.9,24.2,24.5,1672185395936,714593836.8224506,28695137.71229663,25.8,-1.3,-0.0503875969
23,KRW-META,2022-12-28,2022-12-28T09:00:00,24.4,24.5,22.2,22.8,1672271988540,1250526303.8726194,54277898.44829575,24.5,-1.7,-0.0693877551
24,KRW-META,2022-12-29,2022-12-29T09:00:00,22.6,22.9,21.6,22.3,1672358391249,486075446.28825045,21781150.53767242,22.8,-0.5,-0.0219298246
25,KRW-META,2022-12-30,2022-12-30T09:00:00,22.3,22.7,21.0,21.6,1672444743575,398546401.55673283,18482612.93782518,22.3,-0.7,-0.0313901345
26,KRW-META,2022-12-31,2022-12-31T09:00:00,21.7,23.6,21.5,22.3,1672531153435,1115698529.397005,49344684.92026455,21.6,0.7,0.0324074074
27,KRW-META,2023-01-01,2023-01-01T09:00:00,22.2,23.3,22.0,22.8,1672617507163,661038323.1822652,29252976.55670092,22.3,0.5,0.0224215247
28,KRW-META,2023-01-02,2023-01-02T09:00:00,22.7,23.3,22.7,23.1,1672703886401,456672883.19910085,19894040.9812177,22.8,0.3,0.0131578947
29,KRW-META,2023-01-03,2023-01-03T09:00:00,23.1,23.2,22.7,23.0,1672790377962,275476311.00835186,11993811.72858205,23.1,-0.1,-0.0043290043
30,KRW-META,2023-01-04,2023-01-04T09:00:00,23.0,23.7,22.8,23.4,1672876742654,294980019.7152517,12687048.49673427,23.0,0.4,0.0173913043
31,KRW-META,2023-01-05,2023-01-05T09:00:00,23.4,24.7,23.1,23.6,1672963193673,1355607956.2830448,56838437.13128876,23.4,0.2,0.0085470085
32,KRW-META,2023-01-06,2023-01-06T09:00:00,23.5,24.2,22.5,23.3,1673049550363,767298510.0522808,33073287.25081555,23.6,-0.3,-0.0127118644
33,KRW-META,2023-01-07,2023-01-07T09:00:00,23.4,24.1,23.3,23.8,1673135974181,637360260.5380958,26823628.70483048,23.3,0.5,0.0214592275
34,KRW-META,2023-01-08,2023-01-08T09:00:00,23.8,24.5,23.6,24.5,1673222310325,586151769.2905558,24337904.75388222,23.8,0.7,0.0294117647
35,KRW-META,2023-01-09,2023-01-09T09:00:00,24.4,25.4,24.3,25.0,1673308641713,1254434763.773848,50546217.40097531,24.5,0.5,0.0204081633
36,KRW-META,2023-01-10,2023-01-10T09:00:00,25.0,33.4,24.9,30.5,1673395194943,86284121966.86021,2900413545.697209,25.0,5.5,0.22
37,KRW-META,2023-01-11,2023-01-11T09:00:00,30.5,32.9,27.9,28.5,1673481598786,24232024102.397087,799065441.0732505,30.5,-2.0,-0.0655737705
38,KRW-META,2023-01-12,2023-01-12T09:00:00,28.5,28.5,27.3,28.3,1673567973686,4295331173.406936,153665360.44922882,28.5,-0.2,-0.0070175439
39,KRW-META,2023-01-13,2023-01-13T09:00:00,28.3,29.5,28.0,29.3,1673654393525,6833917862.611614,237843937.67819673,28.3,1.0,0.035335689
40,KRW-META,2023-01-14,2023-01-14T09:00:00,28.8,31.1,28.6,30.1,1673740777380,8536281335.969203,287109751.25469154,29.3,0.8,0.0273037543
41,KRW-META,2023-01-15,2023-01-15T09:00:00,30.1,34.8,29.1,30.8,1673827187347,16668782281.65728,529018493.2162944,30.1,0.7,0.023255814
42,KRW-META,2023-01-16,2023-01-16T09:00:00,30.8,31.3,29.3,30.7,1673913594332,3196098841.570782,105131771.78550209,30.8,-0.1,-0.0032467532
43,KRW-META,2023-01-17,2023-01-17T09:00:00,30.7,49.6,30.4,44.2,1673999999852,342034282106.79224,7981863882.030268,30.7,13.5,0.4397394137
44,KRW-META,2023-01-18,2023-01-18T09:00:00,44.2,46.8,35.2,36.2,1674086397814,66300966765.565025,1642551430.5288818,44.2,-8.0,-0.1809954751
45,KRW-META,2023-01-19,2023-01-19T09:00:00,36.2,37.2,33.8,36.4,1674172778111,13697032219.521994,387462640.133516,36.2,0.2,0.0055248619
