,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-MOC,2022-12-05,2022-12-05T09:00:00,88.6,89.4,87.5,88.1,1670284771318,1045959214.4439152,11853029.37986412,88.6,-0.5,-0.0056433409
1,KRW-MOC,2022-12-06,2022-12-06T09:00:00,87.8,88.6,86.9,87.7,1670371197246,640266706.4475828,7292017.97646384,88.1,-0.4,-0.0045402951
2,KRW-MOC,2022-12-07,2022-12-07T09:00:00,87.9,93.1,81.4,85.5,1670457595805,10430090901.22682,117182170.11042391,87.7,-2.2,-0.0250855188
3,KRW-MOC,2022-12-08,2022-12-08T09:00:00,85.5,87.2,83.5,86.0,1670543966401,1295631946.4645348,15257837.95932315,85.5,0.5,0.0058479532
4,KRW-MOC,2022-12-09,2022-12-09T09:00:00,86.0,86.6,85.2,86.2,1670630299437,656152114.9632425,7636312.17978513,86.0,0.2,0.0023255814
5,KRW-MOC,2022-12-10,2022-12-10T09:00:00,86.5,98.0,86.3,89.2,1670716797862,35613255749.676186,385281730.3213731,86.2,3.0,0.0348027842
6,KRW-MOC,2022-12-11,2022-12-11T09:00:00,89.2,89.2,86.1,86.4,1670803195169,2354621168.7821584,26989756.19745669,89.2,-2.8,-0.0313901345
7,KRW-MOC,2022-12-12,2022-12-12T09:00:00,86.4,86.4,81.9,84.3,1670889561856,1718889913.1420498,20529694.80198136,86.4,-2.1,-0.0243055556
8,KRW-MOC,2022-12-13,2022-12-13T09:00:00,84.3,87.6,80.6,85.5,1670975961509,2875510129.7104893,34121321.44459355,84.3,1.2,0.0142348754
9,KRW-MOC,2022-12-14,2022-12-14T09:00:00,85.5,85.5,83.8,84.4,1671062384290,838224589.6594956,9921822.1337214,85.5,-1.1,-0.0128654971
10,KRW-MOC,2022-12-15,2022-12-15T09:00:00,84.3,84.7,82.5,83.3,1671148746677,849608260.3596098,10203586.36238887,84.4,-1.1,-0.0130331754
11,KRW-MOC,2022-12-16,2022-12-16T09:00:00,82.9,83.6,75.3,76.9,1671235193680,1149629273.0649455,14267764.12315821,83.3,-6.4,-0.0768307323
12,KRW-MOC,2022-12-17,2022-12-17T09:00:00,76.8,83.0,71.7,76.0,1671321595891,2284530686.974014,29590201.80383455,76.9,-0.9,-0.0117035111
13,KRW-MOC,2022-12-18,2022-12-18T09:00:00,76.0,81.6,74.9,77.3,1671407969372,3969151040.608881,50774303.31097848,76.0,1.3,0.0171052632
14,KRW-MOC,2022-12-19,2022-12-19T09:00:00,77.1,79.3,70.0,72.4,1671494305739,1128775497.2358308,14946579.1655884,77.3,-4.9,-0.063389392
15,KRW-MOC,2022-12-20,2022-12-20T09:00:00,72.4,78.2,71.0,77.8,1671580793268,1572083989.1821191,20996881.16463735,72.4,5.4,0.0745856354
16,KRW-MOC,2022-12-21,2022-12-21T09:00:00,77.7,96.3,77.7,81.0,1671667197248,88291739166.66336,1004701517.0991502,77.8,3.2,0.0411311054
17,KRW-MOC,2022-12-22,2022-12-22T09:00:00,80.9,81.3,74.3,76.1,1671753590105,7589095903.851095,98724517.74599646,81.0,-4.9,-0.0604938272
18,KRW-MOC,2022-12-23,2022-12-23T09:00:00,76.2,79.1,74.8,77.5,1671839988015,5463134680.223067,70952713.86372621,76.1,1.4,0.0183968463
19,KRW-MOC,2022-12-24,2022-12-24T09:00:00,77.4,80.6,76.8,78.7,1671926396641,3571306957.9745965,45451877.98463896,77.5,1.2,0.015483871
