,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-MTL,2022-12-05,2022-12-05T09:00:00,1025.0,1035.0,991.0,1000.0,1670284772717,1681219467.9483466,1655152.62559305,1025.0,-25.0,-0.0243902439
1,KRW-MTL,2022-12-06,2022-12-06T09:00:00,1005.0,1035.0,1000.0,1010.0,1670371179415,2018206987.367201,1992506.4877146,1000.0,10.0,0.01
2,KRW-MTL,2022-12-07,2022-12-07T09:00:00,1010.0,1015.0,946.0,960.0,1670457541906,2456348003.837586,2529136.95434898,1010.0,-50.0,-0.0495049505
3,KRW-MTL,2022-12-08,2022-12-08T09:00:00,960.0,998.0,959.0,994.0,1670543998898,4391910040.007094,4500543.06375253,960.0,34.0,0.0354166667
4,KRW-MTL,2022-12-09,2022-12-09T09:00:00,993.0,1010.0,980.0,999.0,1670630396562,2277515426.628151,2290177.3900443,994.0,5.0,0.0050301811
5,KRW-MTL,2022-12-10,2022-12-10T09:00:00,999.0,1020.0,992.0,1015.0,1670716784701,2077954153.8206527,2075141.7085113,999.0,16.0,0.016016016
6,KRW-MTL,2022-12-11,2022-12-11T09:00:00,1020.0,1050.0,998.0,1000.0,1670803192933,4758522431.800895,4649761.12359414,1015.0,-15.0,-0.0147783251
7,KRW-MTL,2022-12-12,2022-12-12T09:00:00,1000.0,1000.0,951.0,978.0,1670889588514,1931162475.7158945,1985347.31202589,1000.0,-22.0,-0.022
8,KRW-MTL,2022-12-13,2022-12-13T09:00:00,980.0,985.0,920.0,981.0,1670975947440,2905826750.705247,3039134.00162441,978.0,3.0,0.0030674847
9,KRW-MTL,2022-12-14,2022-12-14T09:00:00,977.0,1035.0,970.0,973.0,1671062331879,6599998204.524396,6588475.17369853,981.0,-8.0,-0.0081549439
10,KRW-MTL,2022-12-15,2022-12-15T09:00:00,973.0,996.0,950.0,963.0,1671148764751,2797769899.9819875,2878435.57055611,973.0,-10.0,-0.0102774923
11,KRW-MTL,2022-12-16,2022-12-16T09:00:00,963.0,980.0,834.0,850.0,1671235194586,3597567225.1125803,3929612.7067152,963.0,-113.0,-0.1173416407
12,KRW-MTL,2022-12-17,2022-12-17T09:00:00,848.0,856.0,800.0,853.0,1671321592902,2352015617.317768,2838426.04755884,850.0,3.0,0.0035294118
13,KRW-MTL,2022-12-18,2022-12-18T09:00:00,852.0,930.0,840.0,859.0,1671407984887,5812950756.808078,6690072.14320549,853.0,6.0,0.0070339977
14,KRW-MTL,2022-12-19,2022-12-19T09:00:00,860.0,861.0,811.0,815.0,1671494385824,2145253629.4682436,2543824.18348518,859.0,-44.0,-0.0512223516
15,KRW-MTL,2022-12-20,2022-12-20T09:00:00,815.0,1070.0,809.0,1025.0,1671580799898,109320038534.97476,113164242.8501969,815.0,210.0,0.2576687117
16,KRW-MTL,2022-12-21,2022-12-21T09:00:00,1020.0,1030.0,909.0,920.0,1671667198707,44403332748.41154,45151328.13895755,1025.0,-105.0,-0.1024390244
17,KRW-MTL,2022-12-22,2022-12-22T09:00:00,920.0,922.0,853.0,877.0,1671753598438,11968495626.91266,13582534.20491489,920.0,-43.0,-0.0467391304
