,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-MVL,2022-12-05,2022-12-05T09:00:00,4.53,4.54,4.45,4.45,1670284770278,635771429.4799128,141842680.80070734,4.53,-0.08,-0.0176600442
1,KRW-MVL,2022-12-06,2022-12-06T09:00:00,4.45,4.51,4.41,4.44,1670371180262,336381910.0910804,75721172.25290228,4.45,-0.01,-0.002247191
2,KRW-MVL,2022-12-07,2022-12-07T09:00:00,4.44,5.18,4.18,4.45,1670457598589,28654282805.823486,5914756022.969948,4.44,0.01,0.0022522523
3,KRW-MVL,2022-12-08,2022-12-08T09:00:00,4.44,5.28,4.24,4.7,1670543998533,46647854727.57165,9582565507.90146,4.45,0.25,0.0561797753
4,KRW-MVL,2022-12-09,2022-12-09T09:00:00,4.7,6.09,4.55,5.89,1670630399761,106357710393.07588,19175722946.660717,4.7,1.19,0.2531914894
5,KRW-MVL,2022-12-10,2022-12-10T09:00:00,5.88,6.26,5.2,5.34,1670716798312,69350495765.86885,11966234482.831957,5.89,-0.55,-0.0933786078
6,KRW-MVL,2022-12-11,2022-12-11T09:00:00,5.34,5.44,5.01,5.1,1670803199799,14252878491.454737,2750422690.646622,5.34,-0.24,-0.0449438202
7,KRW-MVL,2022-12-12,2022-12-12T09:00:00,5.08,5.08,4.76,4.94,1670889583134,5857595160.9759245,1198299236.1759074,5.1,-0.16,-0.031372549
8,KRW-MVL,2022-12-13,2022-12-13T09:00:00,4.94,5.05,4.6,4.85,1670975995110,7776600413.26664,1613402411.4032052,4.94,-0.09,-0.0182186235
9,KRW-MVL,2022-12-14,2022-12-14T09:00:00,4.84,4.97,4.7,4.8,1671062377950,6099921141.847519,1260020542.8687108,4.85,-0.05,-0.0103092784
10,KRW-MVL,2022-12-15,2022-12-15T09:00:00,4.79,5.09,4.67,4.71,1671148788211,8909705995.062393,1843304903.4530807,4.8,-0.09,-0.01875
11,KRW-MVL,2022-12-16,2022-12-16T09:00:00,4.7,4.77,4.27,4.33,1671235188692,2913184958.5310965,635829503.6320593,4.71,-0.38,-0.0806794055
12,KRW-MVL,2022-12-17,2022-12-17T09:00:00,4.3,4.56,4.07,4.24,1671321572029,2417822274.8469048,565023565.3586472,4.33,-0.09,-0.0207852194
13,KRW-MVL,2022-12-18,2022-12-18T09:00:00,4.24,4.52,4.1,4.22,1671407928057,4473288973.47107,1027328572.3323568,4.24,-0.02,-0.0047169811
14,KRW-MVL,2022-12-19,2022-12-19T09:00:00,4.25,4.28,3.85,4.0,1671494366930,1546914985.2192838,379837702.13754904,4.22,-0.22,-0.0521327014
15,KRW-MVL,2022-12-20,2022-12-20T09:00:00,3.99,4.42,3.93,4.18,1671580761157,5319213700.765725,1269981840.9082632,4.0,0.18,0.045
16,KRW-MVL,2022-12-21,2022-12-21T09:00:00,4.18,4.89,4.12,4.28,1671667189415,25360571724.20151,5558704285.884003,4.18,0.1,0.023923445
17,KRW-MVL,2022-12-22,2022-12-22T09:00:00,4.28,4.4,4.07,4.15,1671753577407,3833205746.0245457,911086438.1178324,4.28,-0.13,-0.0303738318
18,KRW-MVL,2022-12-23,2022-12-23T09:00:00,4.15,4.3,4.11,4.2,1671839984276,2045083415.4202602,487664398.77441657,4.15,0.05,0.0120481928
19,KRW-MVL,2022-12-24,2022-12-24T09:00:00,4.2,4.26,4.18,4.2,1671926369672,1203770844.981555,285855002.25633603,4.2,,0.0
20,KRW-MVL,2022-12-25,2022-12-25T09:00:00,4.2,4.29,4.11,4.13,1672012771682,1154752163.2944593,277141633.97000915,4.2,-0.07,-0.0166666667
21,KRW-MVL,2022-12-26,2022-12-26T09:00:00,4.12,4.16,3.93,4.06,1672099132012,1402324827.2766016,346898773.43349993,4.13,-0.07,-0.0169491525
