,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-NEO,2022-12-05,2022-12-05T09:00:00,9255.0,9395.0,9190.0,9290.0,1670284786400,1231835422.0463347,132455.72466531,9255.0,35.0,0.0037817396
1,KRW-NEO,2022-12-06,2022-12-06T09:00:00,9290.0,9625.0,9285.0,9535.0,1670371182750,2328073032.4592066,245915.71098608,9290.0,245.0,0.0263724435
2,KRW-NEO,2022-12-07,2022-12-07T09:00:00,9555.0,9585.0,9000.0,9190.0,1670457482349,1509885832.3436046,163970.40091369,9535.0,-345.0,-0.0361824856
3,KRW-NEO,2022-12-08,2022-12-08T09:00:00,9205.0,9530.0,9150.0,9460.0,1670543900391,1214144336.7005167,130410.50079469,9190.0,270.0,0.0293797606
4,KRW-NEO,2022-12-09,2022-12-09T09:00:00,9450.0,9505.0,9315.0,9380.0,1670630191562,829530592.4424901,88082.85669121,9460.0,-80.0,-0.0084566596
5,KRW-NEO,2022-12-10,2022-12-10T09:00:00,9390.0,11890.0,9375.0,9685.0,1670716798544,84507536263.43326,7739515.16962148,9380.0,305.0,0.0325159915
6,KRW-NEO,2022-12-11,2022-12-11T09:00:00,9685.0,11660.0,9575.0,10200.0,1670803199183,86732684610.65746,8132774.45698504,9685.0,515.0,0.0531750129
7,KRW-NEO,2022-12-12,2022-12-12T09:00:00,10200.0,11050.0,9855.0,10480.0,1670889598969,44639429649.577774,4282854.12406458,10200.0,280.0,0.0274509804
8,KRW-NEO,2022-12-13,2022-12-13T09:00:00,10510.0,11400.0,9910.0,10250.0,1670975990353,47651025420.98339,4418340.03902751,10480.0,-230.0,-0.0219465649
9,KRW-NEO,2022-12-14,2022-12-14T09:00:00,10220.0,11070.0,10160.0,10360.0,1671062392846,30022856328.579025,2823662.95833083,10250.0,110.0,0.0107317073
10,KRW-NEO,2022-12-15,2022-12-15T09:00:00,10400.0,10900.0,10050.0,10310.0,1671148775589,15669554499.210155,1496603.11750982,10360.0,-50.0,-0.0048262548
11,KRW-NEO,2022-12-16,2022-12-16T09:00:00,10300.0,10510.0,8860.0,9020.0,1671235199899,16169611809.701899,1674447.01291443,10310.0,-1290.0,-0.1251212415
12,KRW-NEO,2022-12-17,2022-12-17T09:00:00,9020.0,9040.0,8455.0,8890.0,1671321584237,6903243473.099758,788324.27779805,9020.0,-130.0,-0.0144124169
