,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-ONG,2022-12-05,2022-12-05T09:00:00,352.0,353.0,344.0,347.0,1670284793698,947449003.2421416,2723203.5342279,351.0,-4.0,-0.0113960114
1,KRW-ONG,2022-12-06,2022-12-06T09:00:00,346.0,348.0,342.0,347.0,1670371173687,602667051.5830853,1748227.27293233,347.0,,0.0
2,KRW-ONG,2022-12-07,2022-12-07T09:00:00,347.0,347.0,332.0,343.0,1670457598139,978058934.3830386,2897993.52267956,347.0,-4.0,-0.0115273775
3,KRW-ONG,2022-12-08,2022-12-08T09:00:00,343.0,349.0,334.0,346.0,1670543981965,1341296227.6620753,3935208.61385477,343.0,3.0,0.0087463557
4,KRW-ONG,2022-12-09,2022-12-09T09:00:00,346.0,350.0,342.0,350.0,1670630392851,1211298722.6483092,3506702.72487663,346.0,4.0,0.0115606936
5,KRW-ONG,2022-12-10,2022-12-10T09:00:00,350.0,372.0,345.0,354.0,1670716799290,5815277294.309064,16311376.9366648,350.0,4.0,0.0114285714
6,KRW-ONG,2022-12-11,2022-12-11T09:00:00,354.0,361.0,348.0,351.0,1670803197392,1967652466.1810904,5565174.5155903,354.0,-3.0,-0.0084745763
7,KRW-ONG,2022-12-12,2022-12-12T09:00:00,350.0,350.0,333.0,342.0,1670889599159,1797999030.0888245,5299377.65032285,351.0,-9.0,-0.0256410256
8,KRW-ONG,2022-12-13,2022-12-13T09:00:00,341.0,368.0,331.0,368.0,1670975999566,6418660571.3378525,18202620.33724184,342.0,26.0,0.0760233918
9,KRW-ONG,2022-12-14,2022-12-14T09:00:00,367.0,368.0,344.0,347.0,1671062394661,2848057606.4012713,8081189.59406083,368.0,-21.0,-0.0570652174
10,KRW-ONG,2022-12-15,2022-12-15T09:00:00,347.0,354.0,334.0,336.0,1671148793528,1951868526.3609705,5730048.59767755,347.0,-11.0,-0.0317002882
11,KRW-ONG,2022-12-16,2022-12-16T09:00:00,337.0,343.0,300.0,306.0,1671235123396,1577656926.145604,4839840.14114124,336.0,-30.0,-0.0892857143
12,KRW-ONG,2022-12-17,2022-12-17T09:00:00,307.0,310.0,287.0,303.0,1671321555200,752180891.0865939,2536315.42161493,306.0,-3.0,-0.0098039216
13,KRW-ONG,2022-12-18,2022-12-18T09:00:00,303.0,309.0,299.0,308.0,1671407991413,391569916.5686237,1291724.46348752,303.0,5.0,0.0165016502
14,KRW-ONG,2022-12-19,2022-12-19T09:00:00,308.0,308.0,280.0,288.0,1671494393604,770622826.9790642,2619618.0154141,308.0,-20.0,-0.0649350649
15,KRW-ONG,2022-12-20,2022-12-20T09:00:00,287.0,308.0,282.0,302.0,1671580796422,984597138.2904627,3328320.73488428,288.0,14.0,0.0486111111
16,KRW-ONG,2022-12-21,2022-12-21T09:00:00,301.0,306.0,296.0,301.0,1671667170023,971456922.8837465,3225476.8176864,302.0,-1.0,-0.0033112583
17,KRW-ONG,2022-12-22,2022-12-22T09:00:00,301.0,303.0,292.0,299.0,1671753582298,593733697.202762,1996728.78123636,301.0,-2.0,-0.0066445183
