,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-ONT,2022-12-05,2022-12-05T09:00:00,252.0,259.0,246.0,249.0,1670284762668,1575810914.3148038,6245793.90534747,251.0,-2.0,-0.0079681275
1,KRW-ONT,2022-12-06,2022-12-06T09:00:00,248.0,252.0,246.0,248.0,1670371191806,746496823.0871137,3012790.85666463,249.0,-1.0,-0.0040160643
2,KRW-ONT,2022-12-07,2022-12-07T09:00:00,247.0,248.0,234.0,238.0,1670457595497,997154071.7566184,4159264.95144782,248.0,-10.0,-0.0403225806
3,KRW-ONT,2022-12-08,2022-12-08T09:00:00,238.0,245.0,235.0,243.0,1670543882711,656895171.9613011,2750877.98886342,238.0,5.0,0.0210084034
4,KRW-ONT,2022-12-09,2022-12-09T09:00:00,243.0,245.0,240.0,242.0,1670630198925,474214436.3605536,1957650.54968475,243.0,-1.0,-0.0041152263
5,KRW-ONT,2022-12-10,2022-12-10T09:00:00,242.0,256.0,242.0,248.0,1670716744816,5234376684.455218,21032270.12896855,242.0,6.0,0.0247933884
6,KRW-ONT,2022-12-11,2022-12-11T09:00:00,248.0,251.0,243.0,243.0,1670803155871,2603209529.2273836,10496305.0201089,248.0,-5.0,-0.0201612903
7,KRW-ONT,2022-12-12,2022-12-12T09:00:00,243.0,245.0,232.0,240.0,1670889467810,1549020197.624526,6559782.24772773,243.0,-3.0,-0.012345679
8,KRW-ONT,2022-12-13,2022-12-13T09:00:00,238.0,246.0,231.0,246.0,1670975988228,1405014292.5897524,5866537.82428461,240.0,6.0,0.025
9,KRW-ONT,2022-12-14,2022-12-14T09:00:00,246.0,248.0,243.0,243.0,1671062358732,1132961237.988622,4608360.03587565,246.0,-3.0,-0.012195122
10,KRW-ONT,2022-12-15,2022-12-15T09:00:00,245.0,262.0,239.0,243.0,1671148785375,8768905173.208601,34926914.01092249,243.0,,0.0
11,KRW-ONT,2022-12-16,2022-12-16T09:00:00,242.0,243.0,217.0,223.0,1671235143558,1738431380.3019302,7484893.37230282,243.0,-20.0,-0.0823045267
12,KRW-ONT,2022-12-17,2022-12-17T09:00:00,223.0,223.0,210.0,217.0,1671321390428,1399266542.294868,6493798.95613056,223.0,-6.0,-0.0269058296
13,KRW-ONT,2022-12-18,2022-12-18T09:00:00,217.0,218.0,213.0,216.0,1671407987301,482341371.92823815,2240003.44535587,217.0,-1.0,-0.0046082949
14,KRW-ONT,2022-12-19,2022-12-19T09:00:00,216.0,218.0,200.0,203.0,1671494213749,786213297.2185925,3751585.36947939,216.0,-13.0,-0.0601851852
15,KRW-ONT,2022-12-20,2022-12-20T09:00:00,203.0,214.0,202.0,211.0,1671580790546,727082429.0064496,3478636.18641835,203.0,8.0,0.039408867
16,KRW-ONT,2022-12-21,2022-12-21T09:00:00,212.0,215.0,207.0,214.0,1671667179802,909922736.3080763,4289108.24464022,211.0,3.0,0.0142180095
17,KRW-ONT,2022-12-22,2022-12-22T09:00:00,214.0,215.0,207.0,213.0,1671753438725,667231341.8753005,3161298.68336125,214.0,-1.0,-0.0046728972
18,KRW-ONT,2022-12-23,2022-12-23T09:00:00,214.0,215.0,209.0,212.0,1671839975185,1030946696.5245234,4879782.98822987,213.0,-1.0,-0.0046948357
19,KRW-ONT,2022-12-24,2022-12-24T09:00:00,211.0,213.0,209.0,210.0,1671926398206,603464190.2669499,2862898.9384388,212.0,-2.0,-0.0094339623
20,KRW-ONT,2022-12-25,2022-12-25T09:00:00,211.0,212.0,203.0,206.0,1672012477114,794383151.0482787,3834457.97338539,210.0,-4.0,-0.019047619
21,KRW-ONT,2022-12-26,2022-12-26T09:00:00,205.0,206.0,201.0,203.0,1672099123968,639997035.8368933,3152049.7944931,206.0,-3.0,-0.0145631068
22,KRW-ONT,2022-12-27,2022-12-27T09:00:00,202.0,206.0,197.0,200.0,1672185580624,1325519001.992582,6565397.23541227,203.0,-3.0,-0.0147783251
23,KRW-ONT,2022-12-28,2022-12-28T09:00:00,199.0,201.0,188.0,189.0,1672271760011,1037447604.3484786,5385783.35304431,200.0,-11.0,-0.055
24,KRW-ONT,2022-12-29,2022-12-29T09:00:00,189.0,193.0,185.0,190.0,1672358377932,1165965027.6999674,6161247.55948594,189.0,1.0,0.0052910053
25,KRW-ONT,2022-12-30,2022-12-30T09:00:00,190.0,192.0,182.0,190.0,1672444733410,551614824.5764081,2953959.59785609,190.0,,0.0
26,KRW-ONT,2022-12-31,2022-12-31T09:00:00,190.0,194.0,188.0,192.0,1672531038767,474265661.58123934,2485349.78440861,190.0,2.0,0.0105263158
27,KRW-ONT,2023-01-01,2023-01-01T09:00:00,192.0,197.0,190.0,195.0,1672617594932,586868562.0688548,3022146.54959946,192.0,3.0,0.015625
28,KRW-ONT,2023-01-02,2023-01-02T09:00:00,195.0,199.0,192.0,196.0,1672703622347,606524631.0456609,3101415.27042908,195.0,1.0,0.0051282051
29,KRW-ONT,2023-01-03,2023-01-03T09:00:00,196.0,199.0,193.0,198.0,1672790274432,539727319.2325507,2745641.5303976,196.0,2.0,0.0102040816
30,KRW-ONT,2023-01-04,2023-01-04T09:00:00,198.0,205.0,197.0,204.0,1672876657460,676065490.2411897,3356038.25488672,198.0,6.0,0.0303030303
31,KRW-ONT,2023-01-05,2023-01-05T09:00:00,204.0,206.0,200.0,203.0,1672963150557,520585584.5373166,2561706.03404572,204.0,-1.0,-0.0049019608
32,KRW-ONT,2023-01-06,2023-01-06T09:00:00,203.0,206.0,197.0,204.0,1673049530842,572111796.6343925,2854313.47689161,203.0,1.0,0.0049261084
33,KRW-ONT,2023-01-07,2023-01-07T09:00:00,205.0,206.0,202.0,203.0,1673135836656,370479094.8706129,1811933.76416241,204.0,-1.0,-0.0049019608
34,KRW-ONT,2023-01-08,2023-01-08T09:00:00,203.0,208.0,200.0,207.0,1673222382834,392259096.54421365,1924597.76604022,203.0,4.0,0.0197044335
35,KRW-ONT,2023-01-09,2023-01-09T09:00:00,208.0,219.0,207.0,215.0,1673308664631,1482747866.025605,6954302.89309743,207.0,8.0,0.038647343
36,KRW-ONT,2023-01-10,2023-01-10T09:00:00,215.0,218.0,209.0,215.0,1673395151782,680116328.7126124,3174306.08144615,215.0,,0.0
37,KRW-ONT,2023-01-11,2023-01-11T09:00:00,215.0,220.0,211.0,220.0,1673481579916,1098029407.6765027,5125383.96438555,215.0,5.0,0.023255814
38,KRW-ONT,2023-01-12,2023-01-12T09:00:00,220.0,226.0,214.0,226.0,1673567997003,1194205834.8376646,5437097.11392736,220.0,6.0,0.0272727273
39,KRW-ONT,2023-01-13,2023-01-13T09:00:00,226.0,235.0,223.0,234.0,1673654393737,1000957172.331592,4381185.38755626,226.0,8.0,0.0353982301
40,KRW-ONT,2023-01-14,2023-01-14T09:00:00,234.0,248.0,224.0,239.0,1673740789847,2984433390.1026134,12507214.68286481,234.0,5.0,0.0213675214
41,KRW-ONT,2023-01-15,2023-01-15T09:00:00,239.0,250.0,233.0,244.0,1673827191311,3863050807.2186937,15969153.11084841,239.0,5.0,0.0209205021
42,KRW-ONT,2023-01-16,2023-01-16T09:00:00,244.0,248.0,235.0,244.0,1673913596360,2083979784.3726745,8559788.26667114,244.0,,0.0
43,KRW-ONT,2023-01-17,2023-01-17T09:00:00,245.0,250.0,240.0,245.0,1673999981050,1793984822.3877096,7320714.73012293,244.0,1.0,0.0040983607
44,KRW-ONT,2023-01-18,2023-01-18T09:00:00,244.0,255.0,231.0,235.0,1674086393932,5637552981.748257,22824702.72549635,245.0,-10.0,-0.0408163265
45,KRW-ONT,2023-01-19,2023-01-19T09:00:00,235.0,243.0,234.0,242.0,1674172772969,1932318425.0690916,8098213.10538058,235.0,7.0,0.029787234
46,KRW-ONT,2023-01-20,2023-01-20T09:00:00,241.0,257.0,239.0,255.0,1674259191995,1495866979.061336,6082254.26089166,242.0,13.0,0.0537190083
47,KRW-ONT,2023-01-21,2023-01-21T09:00:00,255.0,262.0,249.0,249.0,1674345593936,4797785614.822837,18791548.69220374,255.0,-6.0,-0.0235294118
48,KRW-ONT,2023-01-22,2023-01-22T09:00:00,251.0,257.0,246.0,250.0,1674431955811,2454535995.816901,9740466.26991858,249.0,1.0,0.0040160643
49,KRW-ONT,2023-01-23,2023-01-23T09:00:00,251.0,262.0,250.0,258.0,1674518385916,3704635003.8929224,14442593.40607951,250.0,8.0,0.032
50,KRW-ONT,2023-01-24,2023-01-24T09:00:00,258.0,275.0,242.0,246.0,1674604786114,7856575672.8266,30052313.91460914,258.0,-12.0,-0.0465116279
51,KRW-ONT,2023-01-25,2023-01-25T09:00:00,246.0,262.0,238.0,260.0,1674691192373,3306798542.661847,13307773.50958221,246.0,14.0,0.0569105691
52,KRW-ONT,2023-01-26,2023-01-26T09:00:00,261.0,283.0,259.0,273.0,1674777589575,11353190633.969797,41962492.05603685,260.0,13.0,0.05
53,KRW-ONT,2023-01-27,2023-01-27T09:00:00,273.0,279.0,263.0,278.0,1674863994714,5549688169.893307,20452904.57097739,273.0,5.0,0.0183150183
54,KRW-ONT,2023-01-28,2023-01-28T09:00:00,278.0,280.0,265.0,272.0,1674950397370,2338078947.0360575,8534265.84874085,278.0,-6.0,-0.0215827338
55,KRW-ONT,2023-01-29,2023-01-29T09:00:00,270.0,276.0,267.0,274.0,1675036776126,1301075966.4094613,4776646.40370074,272.0,2.0,0.0073529412
56,KRW-ONT,2023-01-30,2023-01-30T09:00:00,274.0,284.0,254.0,261.0,1675123177636,8486560135.356104,31309963.7952789,274.0,-13.0,-0.0474452555
57,KRW-ONT,2023-01-31,2023-01-31T09:00:00,259.0,263.0,255.0,261.0,1675209592112,1649804976.496352,6382046.04600116,261.0,,0.0
