,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-ORBS,2022-12-05,2022-12-05T09:00:00,34.4,34.4,33.7,33.9,1670284779597,1006191175.4443325,29569879.76646278,34.1,-0.2,-0.0058651026
1,KRW-ORBS,2022-12-06,2022-12-06T09:00:00,33.8,34.0,33.2,33.7,1670371182539,764098028.8074179,22756363.58678125,33.9,-0.2,-0.005899705
2,KRW-ORBS,2022-12-07,2022-12-07T09:00:00,33.5,33.6,31.4,32.8,1670457508266,1566600280.108997,48358982.3214306,33.7,-0.9,-0.0267062315
3,KRW-ORBS,2022-12-08,2022-12-08T09:00:00,32.8,33.4,32.1,33.3,1670543979761,840042499.9790002,25651484.01972914,32.8,0.5,0.0152439024
4,KRW-ORBS,2022-12-09,2022-12-09T09:00:00,33.2,33.8,32.8,33.7,1670630382332,1042684526.0084803,31322672.48206686,33.3,0.4,0.012012012
5,KRW-ORBS,2022-12-10,2022-12-10T09:00:00,33.7,34.3,33.2,34.0,1670716765174,1220007636.6180143,36165823.7605276,33.7,0.3,0.0089020772
6,KRW-ORBS,2022-12-11,2022-12-11T09:00:00,34.2,34.2,33.3,33.5,1670803192870,789092792.9936373,23431382.31265174,34.0,-0.5,-0.0147058824
7,KRW-ORBS,2022-12-12,2022-12-12T09:00:00,33.5,33.6,31.6,32.5,1670889599034,964359338.0430952,29809464.55015005,33.5,-1.0,-0.0298507463
8,KRW-ORBS,2022-12-13,2022-12-13T09:00:00,32.5,33.7,31.0,33.4,1670975994658,1745707660.9931307,54043506.42572548,32.5,0.9,0.0276923077
9,KRW-ORBS,2022-12-14,2022-12-14T09:00:00,33.2,36.3,32.5,32.7,1671062383035,11860656406.396727,342738230.53529453,33.4,-0.7,-0.0209580838
10,KRW-ORBS,2022-12-15,2022-12-15T09:00:00,32.7,32.9,31.6,31.7,1671148766020,1160646134.9656625,36153949.55547642,32.7,-1.0,-0.0305810398
11,KRW-ORBS,2022-12-16,2022-12-16T09:00:00,31.7,32.1,29.2,29.9,1671235149132,1320011636.1970196,42576118.3185783,31.7,-1.8,-0.0567823344
12,KRW-ORBS,2022-12-17,2022-12-17T09:00:00,29.8,30.2,27.9,29.4,1671321568516,681540070.6460788,23590905.68362923,29.9,-0.5,-0.016722408
13,KRW-ORBS,2022-12-18,2022-12-18T09:00:00,29.3,29.9,29.0,29.6,1671407954751,374321108.3464755,12751583.3745428,29.4,0.2,0.0068027211
14,KRW-ORBS,2022-12-19,2022-12-19T09:00:00,29.6,29.7,27.7,28.3,1671494378909,599933690.9335165,20941366.90101871,29.6,-1.3,-0.0439189189
15,KRW-ORBS,2022-12-20,2022-12-20T09:00:00,28.0,30.0,27.7,30.0,1671580785568,877938370.4612972,30343550.00008928,28.3,1.7,0.0600706714
16,KRW-ORBS,2022-12-21,2022-12-21T09:00:00,29.9,30.6,29.2,30.2,1671667184029,903961761.6701555,30290837.12481706,30.0,0.2,0.0066666667
17,KRW-ORBS,2022-12-22,2022-12-22T09:00:00,30.3,31.2,29.5,30.3,1671753587580,1955926890.440955,64422864.34742943,30.2,0.1,0.0033112583
18,KRW-ORBS,2022-12-23,2022-12-23T09:00:00,30.6,30.6,29.9,30.3,1671839996977,575841688.5490505,19017078.3428546,30.3,,0.0
19,KRW-ORBS,2022-12-24,2022-12-24T09:00:00,30.3,30.6,29.9,30.3,1671926363063,422218953.161052,13949429.11070856,30.3,,0.0
20,KRW-ORBS,2022-12-25,2022-12-25T09:00:00,30.4,30.6,29.3,29.6,1672012700736,459205343.1455581,15367432.51618368,30.3,-0.7,-0.0231023102
21,KRW-ORBS,2022-12-26,2022-12-26T09:00:00,29.7,29.9,28.4,29.1,1672099108037,594375471.2496537,20586387.39836796,29.6,-0.5,-0.0168918919
22,KRW-ORBS,2022-12-27,2022-12-27T09:00:00,29.1,29.2,28.1,28.5,1672185565576,421003130.188294,14757557.39579994,29.1,-0.6,-0.0206185567
23,KRW-ORBS,2022-12-28,2022-12-28T09:00:00,28.3,29.5,27.0,27.4,1672271898345,1214080396.6289635,42923362.86932378,28.5,-1.1,-0.0385964912
24,KRW-ORBS,2022-12-29,2022-12-29T09:00:00,27.2,27.4,26.0,26.7,1672358371143,536246267.33880395,20057401.81642231,27.4,-0.7,-0.0255474453
25,KRW-ORBS,2022-12-30,2022-12-30T09:00:00,26.8,27.2,25.2,26.1,1672444580885,588726372.9086013,22665540.92399483,26.7,-0.6,-0.0224719101
26,KRW-ORBS,2022-12-31,2022-12-31T09:00:00,26.1,27.7,25.8,26.8,1672531121896,1275892683.7164783,47629924.6283597,26.1,0.7,0.0268199234
27,KRW-ORBS,2023-01-01,2023-01-01T09:00:00,26.7,27.2,26.4,26.8,1672617572642,377157891.66231537,14053195.26926844,26.8,,0.0
28,KRW-ORBS,2023-01-02,2023-01-02T09:00:00,26.8,27.5,26.5,27.0,1672703939766,612497584.879262,22730421.14378871,26.8,0.2,0.0074626866
29,KRW-ORBS,2023-01-03,2023-01-03T09:00:00,27.0,27.3,26.7,27.0,1672790046842,430651102.3912887,15956105.23198156,27.0,,0.0
30,KRW-ORBS,2023-01-04,2023-01-04T09:00:00,27.1,27.8,26.8,27.5,1672876594885,485634339.5200499,17739366.09188182,27.0,0.5,0.0185185185
31,KRW-ORBS,2023-01-05,2023-01-05T09:00:00,27.7,28.3,27.1,28.1,1672963196842,1357614996.3658352,49129878.23963709,27.5,0.6,0.0218181818
32,KRW-ORBS,2023-01-06,2023-01-06T09:00:00,28.1,28.3,27.0,28.3,1673049581507,975255841.7596267,35410653.38642392,28.1,0.2,0.0071174377
33,KRW-ORBS,2023-01-07,2023-01-07T09:00:00,28.2,29.6,27.6,27.9,1673135964256,2676561024.9889565,94297856.94387224,28.3,-0.4,-0.0141342756
34,KRW-ORBS,2023-01-08,2023-01-08T09:00:00,28.0,28.7,27.7,28.5,1673222398823,758449025.0836886,27046156.42868561,27.9,0.6,0.0215053763
35,KRW-ORBS,2023-01-09,2023-01-09T09:00:00,28.5,29.5,28.3,29.3,1673308797862,1462016578.086353,50511522.93290689,28.5,0.8,0.0280701754
36,KRW-ORBS,2023-01-10,2023-01-10T09:00:00,29.3,30.5,28.7,29.9,1673395174267,3224222503.5730004,108630817.48409219,29.3,0.6,0.0204778157
37,KRW-ORBS,2023-01-11,2023-01-11T09:00:00,29.8,30.3,29.4,30.1,1673481559460,1073986864.0792778,36036683.73192346,29.9,0.2,0.0066889632
38,KRW-ORBS,2023-01-12,2023-01-12T09:00:00,30.1,31.0,29.2,30.7,1673567995301,1388162103.8310435,46232415.13074553,30.1,0.6,0.0199335548
39,KRW-ORBS,2023-01-13,2023-01-13T09:00:00,30.7,31.5,30.2,31.5,1673654392021,1417285799.0980256,46088466.23838538,30.7,0.8,0.0260586319
40,KRW-ORBS,2023-01-14,2023-01-14T09:00:00,31.5,33.1,30.8,32.4,1673740788171,4385106623.891001,137223039.14187703,31.5,0.9,0.0285714286
41,KRW-ORBS,2023-01-15,2023-01-15T09:00:00,32.4,35.9,31.3,33.6,1673827139807,9722464634.45514,293053757.284444,32.4,1.2,0.037037037
42,KRW-ORBS,2023-01-16,2023-01-16T09:00:00,33.6,36.0,31.8,33.1,1673913584851,6782300093.640378,201152443.80728853,33.6,-0.5,-0.0148809524
43,KRW-ORBS,2023-01-17,2023-01-17T09:00:00,33.1,37.9,32.4,34.1,1673999990586,29267517618.463284,824695467.709648,33.1,1.0,0.0302114804
44,KRW-ORBS,2023-01-18,2023-01-18T09:00:00,34.1,34.5,31.9,32.1,1674086390650,4207495114.038503,125844684.62088563,34.1,-2.0,-0.0586510264
45,KRW-ORBS,2023-01-19,2023-01-19T09:00:00,32.1,34.1,31.8,33.7,1674172790168,2594473388.057751,78139730.15280771,32.1,1.6,0.0498442368
46,KRW-ORBS,2023-01-20,2023-01-20T09:00:00,33.7,40.0,33.6,35.6,1674259198295,26035309244.94769,707865863.5023518,33.7,1.9,0.056379822
47,KRW-ORBS,2023-01-21,2023-01-21T09:00:00,35.6,36.8,34.6,35.5,1674345576826,6959205222.931507,195696467.55807364,35.6,-0.1,-0.0028089888
48,KRW-ORBS,2023-01-22,2023-01-22T09:00:00,35.5,36.3,35.1,35.7,1674431977726,3305961502.4472504,92621913.95342608,35.5,0.2,0.0056338028
49,KRW-ORBS,2023-01-23,2023-01-23T09:00:00,35.8,36.9,35.1,36.9,1674518396457,2737783923.8275537,76485346.02405743,35.7,1.2,0.0336134454
50,KRW-ORBS,2023-01-24,2023-01-24T09:00:00,36.8,38.8,34.7,36.3,1674604795911,8022842257.840853,218045198.13107327,36.9,-0.6,-0.0162601626
51,KRW-ORBS,2023-01-25,2023-01-25T09:00:00,36.2,40.3,33.7,37.0,1674691186875,19731562674.7124,536624520.6013481,36.3,0.7,0.0192837466
52,KRW-ORBS,2023-01-26,2023-01-26T09:00:00,37.0,37.2,36.0,37.0,1674777592115,3497819870.835304,95718718.10908823,37.0,,0.0
53,KRW-ORBS,2023-01-27,2023-01-27T09:00:00,36.8,40.4,35.7,38.6,1674863966903,13882413696.239435,364210781.3304473,37.0,1.6,0.0432432432
54,KRW-ORBS,2023-01-28,2023-01-28T09:00:00,38.6,42.4,37.3,38.2,1674950387016,10447778975.468616,262172806.0084416,38.6,-0.4,-0.0103626943
55,KRW-ORBS,2023-01-29,2023-01-29T09:00:00,38.2,38.6,37.5,38.4,1675036798728,1828351760.9841723,48241202.34933585,38.2,0.2,0.0052356021
56,KRW-ORBS,2023-01-30,2023-01-30T09:00:00,38.4,38.4,34.6,35.4,1675123098262,3009857777.06514,82694336.7134082,38.4,-3.0,-0.078125
57,KRW-ORBS,2023-01-31,2023-01-31T09:00:00,35.4,35.9,33.9,35.8,1675209572716,1747624551.648383,50294436.91741992,35.4,0.4,0.011299435
58,KRW-ORBS,2023-02-01,2023-02-01T09:00:00,35.8,37.3,34.2,36.7,1675295994041,5617141395.256754,155241069.5648915,35.8,0.9,0.0251396648
59,KRW-ORBS,2023-02-02,2023-02-02T09:00:00,36.6,39.2,36.4,38.2,1675382398007,4809663269.562469,126836595.2847339,36.7,1.5,0.0408719346
60,KRW-ORBS,2023-02-03,2023-02-03T09:00:00,38.3,66.1,38.3,62.3,1675468799855,560939995270.5614,10650093550.748884,38.2,24.1,0.6308900524
61,KRW-ORBS,2023-02-04,2023-02-04T09:00:00,62.3,64.0,51.3,52.0,1675555194757,201646789982.37173,3407861722.615348,62.3,-10.3,-0.165329053
62,KRW-ORBS,2023-02-05,2023-02-05T09:00:00,52.1,52.2,44.6,46.9,1675641599998,45006591427.02108,937072444.3290701,52.0,-5.1,-0.0980769231
63,KRW-ORBS,2023-02-06,2023-02-06T09:00:00,46.9,46.9,45.0,46.1,1675727989206,9984818832.14802,219249071.82183006,46.9,-0.8,-0.0170575693
64,KRW-ORBS,2023-02-07,2023-02-07T09:00:00,46.1,47.2,44.1,46.1,1675814382883,12118932718.126627,265352577.22713578,46.1,,0.0
65,KRW-ORBS,2023-02-08,2023-02-08T09:00:00,46.2,46.3,44.9,45.8,1675900777378,6224702891.111053,136254716.3519178,46.1,-0.3,-0.0065075922
66,KRW-ORBS,2023-02-09,2023-02-09T09:00:00,45.9,46.0,43.0,43.7,1675987191408,6889467906.611864,155604168.1994285,45.8,-2.1,-0.0458515284
67,KRW-ORBS,2023-02-10,2023-02-10T09:00:00,43.7,45.5,43.4,45.3,1676073597365,5921716016.888695,132946196.88050511,43.7,1.6,0.0366132723
68,KRW-ORBS,2023-02-11,2023-02-11T09:00:00,45.3,45.4,44.4,45.2,1676159974509,1682772504.8625247,37588092.93560832,45.3,-0.1,-0.0022075055
69,KRW-ORBS,2023-02-12,2023-02-12T09:00:00,45.2,45.3,43.3,43.9,1676246381951,2519559272.8752785,56917473.60605252,45.2,-1.3,-0.0287610619
70,KRW-ORBS,2023-02-13,2023-02-13T09:00:00,43.9,44.1,40.6,42.4,1676332797527,3905508563.355995,92635256.63200589,43.9,-1.5,-0.0341685649
71,KRW-ORBS,2023-02-14,2023-02-14T09:00:00,42.1,43.3,41.0,43.3,1676419182356,1999270475.7303967,47613418.99898799,42.4,0.9,0.0212264151
72,KRW-ORBS,2023-02-15,2023-02-15T09:00:00,43.1,45.9,42.5,45.9,1676505599772,4952137775.288733,111224273.99585459,43.3,2.6,0.0600461894
73,KRW-ORBS,2023-02-16,2023-02-16T09:00:00,45.8,48.0,44.6,45.0,1676591998854,11520388138.607004,247063639.72093108,45.9,-0.9,-0.0196078431
74,KRW-ORBS,2023-02-17,2023-02-17T09:00:00,45.1,47.5,44.1,47.2,1676678392637,5851281452.457778,126946399.76765314,45.0,2.2,0.0488888889
75,KRW-ORBS,2023-02-18,2023-02-18T09:00:00,47.1,47.8,46.0,47.7,1676764796694,4552647555.599525,97029919.76724152,47.2,0.5,0.0105932203
76,KRW-ORBS,2023-02-19,2023-02-19T09:00:00,47.6,49.7,46.6,47.4,1676851199642,11600527333.226723,241252360.09145403,47.7,-0.3,-0.0062893082
77,KRW-ORBS,2023-02-20,2023-02-20T09:00:00,47.4,48.1,45.7,48.0,1676937600013,7207225028.901625,152809373.15398785,47.4,0.6,0.0126582278
78,KRW-ORBS,2023-02-21,2023-02-21T09:00:00,48.0,48.7,45.9,47.4,1677023992855,8078393642.662235,171240499.00841174,48.0,-0.6,-0.0125
79,KRW-ORBS,2023-02-22,2023-02-22T09:00:00,47.2,47.2,44.8,46.6,1677110384527,3463429462.9343715,75507224.1189748,47.4,-0.8,-0.0168776371
80,KRW-ORBS,2023-02-23,2023-02-23T09:00:00,46.6,46.8,45.4,46.8,1677196796936,2083787682.6438558,45169088.45047505,46.6,0.2,0.0042918455
81,KRW-ORBS,2023-02-24,2023-02-24T09:00:00,46.7,48.6,46.2,48.6,1677283194906,11343139967.787899,238102812.12734604,46.8,1.8,0.0384615385
82,KRW-ORBS,2023-02-25,2023-02-25T09:00:00,48.5,48.6,45.7,46.8,1677369567060,5218749789.198852,111533150.79061148,48.6,-1.8,-0.037037037
83,KRW-ORBS,2023-02-26,2023-02-26T09:00:00,46.9,47.9,46.0,47.0,1677455996659,5019213380.827392,106760561.61481418,46.8,0.2,0.0042735043
84,KRW-ORBS,2023-02-27,2023-02-27T09:00:00,47.1,51.5,46.3,49.0,1677542399392,45955936545.63155,933117060.8652979,47.0,2.0,0.0425531915
85,KRW-ORBS,2023-02-28,2023-02-28T09:00:00,49.1,49.1,46.5,46.8,1677628794798,7089976355.107598,149303527.50610042,49.0,-2.2,-0.0448979592
86,KRW-ORBS,2023-03-01,2023-03-01T09:00:00,46.8,47.2,46.0,46.9,1677715195954,3094356107.437374,66548226.4833072,46.8,0.1,0.0021367521
87,KRW-ORBS,2023-03-02,2023-03-02T09:00:00,46.9,46.9,44.5,45.0,1677801569813,3127002706.6572633,69067122.24287795,46.9,-1.9,-0.0405117271
88,KRW-ORBS,2023-03-03,2023-03-03T09:00:00,45.0,45.5,41.0,42.9,1677887962700,3097174019.1212516,72389888.0952711,45.0,-2.1,-0.0466666667
