,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-POLYX,2022-12-05,2022-12-05T09:00:00,298.0,303.0,293.0,300.0,1670284797303,6080436727.497129,20487228.31410781,299.0,1.0,0.0033444816
1,KRW-POLYX,2022-12-06,2022-12-06T09:00:00,299.0,303.0,290.0,295.0,1670371199152,7784662759.617131,26207019.22207468,300.0,-5.0,-0.0166666667
2,KRW-POLYX,2022-12-07,2022-12-07T09:00:00,294.0,297.0,256.0,272.0,1670457598489,11509888531.835726,42052840.58615104,295.0,-23.0,-0.0779661017
3,KRW-POLYX,2022-12-08,2022-12-08T09:00:00,272.0,285.0,260.0,270.0,1670543999566,5805151050.026956,21666347.78360895,272.0,-2.0,-0.0073529412
4,KRW-POLYX,2022-12-09,2022-12-09T09:00:00,270.0,274.0,264.0,269.0,1670630385146,2450757547.7281027,9170928.67936171,270.0,-1.0,-0.0037037037
5,KRW-POLYX,2022-12-10,2022-12-10T09:00:00,268.0,273.0,262.0,271.0,1670716799504,2261189379.7276673,8498396.45339637,269.0,2.0,0.0074349442
6,KRW-POLYX,2022-12-11,2022-12-11T09:00:00,271.0,271.0,261.0,262.0,1670803193295,1879212870.9607697,7080104.64350408,271.0,-9.0,-0.0332103321
7,KRW-POLYX,2022-12-12,2022-12-12T09:00:00,261.0,270.0,243.0,251.0,1670889598544,5602689013.96622,21772103.18982681,262.0,-11.0,-0.0419847328
8,KRW-POLYX,2022-12-13,2022-12-13T09:00:00,251.0,256.0,232.0,246.0,1670975961223,3422286941.5893497,14066503.47218344,251.0,-5.0,-0.0199203187
9,KRW-POLYX,2022-12-14,2022-12-14T09:00:00,245.0,255.0,238.0,243.0,1671062381124,2137908224.6546743,8712670.76119356,246.0,-3.0,-0.012195122
10,KRW-POLYX,2022-12-15,2022-12-15T09:00:00,242.0,243.0,235.0,238.0,1671148793695,1171688370.3717844,4930654.28494201,243.0,-5.0,-0.0205761317
11,KRW-POLYX,2022-12-16,2022-12-16T09:00:00,237.0,268.0,203.0,210.0,1671235195291,27468048303.894638,116509624.74095732,238.0,-28.0,-0.1176470588
