,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-PUNDIX,2022-12-05,2022-12-05T09:00:00,527.0,531.0,517.0,519.0,1670284796551,2026004738.7010508,3867035.61377388,525.0,-6.0,-0.0114285714
1,KRW-PUNDIX,2022-12-06,2022-12-06T09:00:00,520.0,557.0,520.0,527.0,1670371194257,20164202229.252716,37440555.64974661,519.0,8.0,0.0154142582
2,KRW-PUNDIX,2022-12-07,2022-12-07T09:00:00,527.0,527.0,495.0,507.0,1670457563415,3658144178.219178,7186799.26593412,527.0,-20.0,-0.0379506641
3,KRW-PUNDIX,2022-12-08,2022-12-08T09:00:00,506.0,522.0,500.0,518.0,1670543991440,2005504651.9072597,3924891.82201421,507.0,11.0,0.0216962525
4,KRW-PUNDIX,2022-12-09,2022-12-09T09:00:00,518.0,531.0,513.0,520.0,1670630370320,2936882098.289358,5648239.06574733,518.0,2.0,0.0038610039
5,KRW-PUNDIX,2022-12-10,2022-12-10T09:00:00,521.0,577.0,514.0,527.0,1670716799081,18946320649.94153,34847210.89655171,520.0,7.0,0.0134615385
6,KRW-PUNDIX,2022-12-11,2022-12-11T09:00:00,527.0,580.0,523.0,533.0,1670803198070,33707284872.37802,61245580.26635751,527.0,6.0,0.0113851992
7,KRW-PUNDIX,2022-12-12,2022-12-12T09:00:00,533.0,534.0,510.0,525.0,1670889584623,4075952319.290809,7860007.18141497,533.0,-8.0,-0.0150093809
8,KRW-PUNDIX,2022-12-13,2022-12-13T09:00:00,525.0,527.0,501.0,522.0,1670975996892,3454932941.1617036,6706049.60981236,525.0,-3.0,-0.0057142857
9,KRW-PUNDIX,2022-12-14,2022-12-14T09:00:00,522.0,546.0,518.0,521.0,1671062394312,9619435793.3481,18138428.64266216,522.0,-1.0,-0.0019157088
10,KRW-PUNDIX,2022-12-15,2022-12-15T09:00:00,520.0,526.0,510.0,514.0,1671148714263,2022610616.344938,3914016.83159551,521.0,-7.0,-0.0134357006
11,KRW-PUNDIX,2022-12-16,2022-12-16T09:00:00,513.0,518.0,453.0,468.0,1671235187957,2993533743.1183777,6077193.10570578,514.0,-46.0,-0.0894941634
12,KRW-PUNDIX,2022-12-17,2022-12-17T09:00:00,469.0,485.0,439.0,464.0,1671321597839,1527204244.0045352,3328853.16133035,468.0,-4.0,-0.0085470085
13,KRW-PUNDIX,2022-12-18,2022-12-18T09:00:00,464.0,490.0,458.0,466.0,1671407881406,3331436608.815201,7038339.92181722,464.0,2.0,0.0043103448
14,KRW-PUNDIX,2022-12-19,2022-12-19T09:00:00,466.0,482.0,432.0,441.0,1671494393135,4460003810.087303,9580861.19079036,466.0,-25.0,-0.0536480687
15,KRW-PUNDIX,2022-12-20,2022-12-20T09:00:00,440.0,464.0,434.0,463.0,1671580773671,3634819093.3608413,8056860.17716321,441.0,22.0,0.0498866213
16,KRW-PUNDIX,2022-12-21,2022-12-21T09:00:00,463.0,475.0,455.0,465.0,1671667188097,2780042259.7301593,5976627.64290937,463.0,2.0,0.0043196544
17,KRW-PUNDIX,2022-12-22,2022-12-22T09:00:00,465.0,466.0,442.0,455.0,1671753578243,1821341059.0894048,4014013.78148507,465.0,-10.0,-0.0215053763
18,KRW-PUNDIX,2022-12-23,2022-12-23T09:00:00,455.0,474.0,447.0,462.0,1671839990114,2837053404.249726,6158517.62227939,455.0,7.0,0.0153846154
19,KRW-PUNDIX,2022-12-24,2022-12-24T09:00:00,464.0,472.0,461.0,470.0,1671926397110,3179453438.0376544,6805606.40177441,462.0,8.0,0.0173160173
20,KRW-PUNDIX,2022-12-25,2022-12-25T09:00:00,471.0,471.0,449.0,456.0,1672012795085,1802115686.3819203,3935711.87006023,470.0,-14.0,-0.029787234
21,KRW-PUNDIX,2022-12-26,2022-12-26T09:00:00,455.0,456.0,439.0,449.0,1672099199484,1156284071.2127125,2591915.40756562,456.0,-7.0,-0.0153508772
22,KRW-PUNDIX,2022-12-27,2022-12-27T09:00:00,447.0,450.0,431.0,438.0,1672185378334,1138397788.71701,2600031.80099852,449.0,-11.0,-0.0244988864
23,KRW-PUNDIX,2022-12-28,2022-12-28T09:00:00,436.0,436.0,403.0,408.0,1672271966743,2472550274.2521124,5954869.63964516,438.0,-30.0,-0.0684931507
24,KRW-PUNDIX,2022-12-29,2022-12-29T09:00:00,409.0,411.0,385.0,401.0,1672358320587,2010996131.6299884,5054791.29508756,408.0,-7.0,-0.0171568627
