,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-QTUM,2022-12-05,2022-12-05T09:00:00,2955.0,2990.0,2900.0,2925.0,1670284786624,1320153347.9550867,447101.71584339,2945.0,-20.0,-0.0067911715
1,KRW-QTUM,2022-12-06,2022-12-06T09:00:00,2925.0,2975.0,2915.0,2970.0,1670371194063,691695903.2305297,235235.20457733,2925.0,45.0,0.0153846154
2,KRW-QTUM,2022-12-07,2022-12-07T09:00:00,2965.0,2985.0,2805.0,2845.0,1670457593584,1920764277.7119439,668947.96594942,2970.0,-125.0,-0.0420875421
3,KRW-QTUM,2022-12-08,2022-12-08T09:00:00,2845.0,2925.0,2820.0,2875.0,1670543991934,1204085614.9001427,421607.50239137,2845.0,30.0,0.0105448155
4,KRW-QTUM,2022-12-09,2022-12-09T09:00:00,2875.0,2955.0,2865.0,2910.0,1670630348933,1338223752.875137,462883.2900677,2875.0,35.0,0.012173913
5,KRW-QTUM,2022-12-10,2022-12-10T09:00:00,2910.0,3240.0,2895.0,2945.0,1670716794874,21208379490.674736,6913087.52004574,2910.0,35.0,0.0120274914
6,KRW-QTUM,2022-12-11,2022-12-11T09:00:00,2940.0,3185.0,2940.0,2995.0,1670803198568,18281448097.907665,5992004.66094103,2945.0,50.0,0.0169779287
7,KRW-QTUM,2022-12-12,2022-12-12T09:00:00,3005.0,3065.0,2815.0,2950.0,1670889590298,5156069846.10629,1759018.33235684,2995.0,-45.0,-0.0150250417
8,KRW-QTUM,2022-12-13,2022-12-13T09:00:00,2955.0,3040.0,2850.0,3020.0,1670975990087,6386675458.954766,2161987.53363388,2950.0,70.0,0.0237288136
9,KRW-QTUM,2022-12-14,2022-12-14T09:00:00,3020.0,3130.0,3010.0,3085.0,1671062399224,7970906985.380829,2582907.37529318,3020.0,65.0,0.0215231788
10,KRW-QTUM,2022-12-15,2022-12-15T09:00:00,3090.0,3180.0,3030.0,3125.0,1671148783058,6936365326.795263,2221793.51532312,3085.0,40.0,0.0129659643
11,KRW-QTUM,2022-12-16,2022-12-16T09:00:00,3125.0,3135.0,2820.0,2825.0,1671235199547,6287166280.439415,2069689.26900349,3125.0,-300.0,-0.096
12,KRW-QTUM,2022-12-17,2022-12-17T09:00:00,2830.0,2875.0,2660.0,2735.0,1671321588982,3319967345.5092,1207100.42729792,2825.0,-90.0,-0.0318584071
13,KRW-QTUM,2022-12-18,2022-12-18T09:00:00,2735.0,2735.0,2665.0,2690.0,1671407907538,1381500870.7539196,512772.42672037,2735.0,-45.0,-0.0164533821
14,KRW-QTUM,2022-12-19,2022-12-19T09:00:00,2690.0,2715.0,2465.0,2510.0,1671494395543,1917773565.8876262,735603.36725157,2690.0,-180.0,-0.0669144981
15,KRW-QTUM,2022-12-20,2022-12-20T09:00:00,2510.0,2640.0,2500.0,2625.0,1671580724335,993731125.892887,385312.49611316,2510.0,115.0,0.0458167331
16,KRW-QTUM,2022-12-21,2022-12-21T09:00:00,2630.0,2640.0,2560.0,2585.0,1671667154011,822717229.2616426,316420.44905625,2625.0,-40.0,-0.0152380952
17,KRW-QTUM,2022-12-22,2022-12-22T09:00:00,2580.0,2605.0,2530.0,2590.0,1671753587086,750872716.9382129,291800.12756292,2585.0,5.0,0.001934236
18,KRW-QTUM,2022-12-23,2022-12-23T09:00:00,2590.0,2620.0,2570.0,2605.0,1671839975659,558998438.2322592,214996.61433876,2590.0,15.0,0.0057915058
19,KRW-QTUM,2022-12-24,2022-12-24T09:00:00,2605.0,2625.0,2585.0,2605.0,1671926293154,471870128.587532,181166.72730576,2605.0,,0.0
20,KRW-QTUM,2022-12-25,2022-12-25T09:00:00,2605.0,2615.0,2530.0,2550.0,1672012746272,427542380.35469717,166287.93616717,2605.0,-55.0,-0.0211132438
21,KRW-QTUM,2022-12-26,2022-12-26T09:00:00,2560.0,2560.0,2470.0,2520.0,1672099161649,971895643.6061499,387043.46295062,2550.0,-30.0,-0.0117647059
