,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-SBD,2022-12-05,2022-12-05T09:00:00,2855.0,2860.0,2810.0,2825.0,1670284746029,756922526.7553757,267993.35201921,2860.0,-35.0,-0.0122377622
1,KRW-SBD,2022-12-06,2022-12-06T09:00:00,2820.0,2845.0,2810.0,2835.0,1670371192727,448199718.5190786,158912.76921707,2825.0,10.0,0.003539823
2,KRW-SBD,2022-12-07,2022-12-07T09:00:00,2830.0,3005.0,2700.0,2995.0,1670457599491,3169274156.461119,1104515.52917858,2835.0,160.0,0.0564373898
3,KRW-SBD,2022-12-08,2022-12-08T09:00:00,3000.0,3005.0,2800.0,2945.0,1670543998410,3691225289.587097,1289477.92972819,2995.0,-50.0,-0.0166944908
4,KRW-SBD,2022-12-09,2022-12-09T09:00:00,2945.0,3440.0,2945.0,3045.0,1670630393989,42023737278.88868,13178256.78519976,2945.0,100.0,0.0339558574
5,KRW-SBD,2022-12-10,2022-12-10T09:00:00,3045.0,3045.0,2905.0,3000.0,1670716792967,3910026653.742762,1327044.03717151,3045.0,-45.0,-0.0147783251
6,KRW-SBD,2022-12-11,2022-12-11T09:00:00,3000.0,3000.0,2905.0,2915.0,1670803199306,2067978987.417221,703236.37436801,3000.0,-85.0,-0.0283333333
7,KRW-SBD,2022-12-12,2022-12-12T09:00:00,2915.0,2915.0,2805.0,2865.0,1670889533377,1316874878.6249008,463566.62890583,2915.0,-50.0,-0.0171526587
8,KRW-SBD,2022-12-13,2022-12-13T09:00:00,2860.0,3100.0,2825.0,2910.0,1670975985507,16109236869.79759,5460917.69984181,2865.0,45.0,0.0157068063
9,KRW-SBD,2022-12-14,2022-12-14T09:00:00,2905.0,2975.0,2880.0,2920.0,1671062380206,2893524145.356404,989356.01803251,2910.0,10.0,0.0034364261
10,KRW-SBD,2022-12-15,2022-12-15T09:00:00,2915.0,2935.0,2880.0,2885.0,1671148787354,759951848.93815,262343.10901145,2920.0,-35.0,-0.0119863014
11,KRW-SBD,2022-12-16,2022-12-16T09:00:00,2880.0,3035.0,2795.0,2800.0,1671235193405,4681438918.821797,1602447.71873148,2885.0,-85.0,-0.0294627383
12,KRW-SBD,2022-12-17,2022-12-17T09:00:00,2800.0,2875.0,2755.0,2820.0,1671321587672,844793571.62163,301922.7054226,2800.0,20.0,0.0071428571
13,KRW-SBD,2022-12-18,2022-12-18T09:00:00,2820.0,3095.0,2785.0,2840.0,1671407981300,14780610020.234041,5027758.9662741,2820.0,20.0,0.0070921986
14,KRW-SBD,2022-12-19,2022-12-19T09:00:00,2840.0,2950.0,2745.0,2920.0,1671494400070,6068202794.675815,2117140.13618369,2840.0,80.0,0.0281690141
15,KRW-SBD,2022-12-20,2022-12-20T09:00:00,2920.0,3000.0,2800.0,2995.0,1671580795108,5428328390.440141,1865024.33824395,2920.0,75.0,0.0256849315
16,KRW-SBD,2022-12-21,2022-12-21T09:00:00,2995.0,3005.0,2910.0,2955.0,1671667189169,2164009564.5167565,734064.37877738,2995.0,-40.0,-0.0133555927
17,KRW-SBD,2022-12-22,2022-12-22T09:00:00,2945.0,2950.0,2845.0,2905.0,1671753552103,1143662668.450024,395304.75705332,2955.0,-50.0,-0.0169204738
18,KRW-SBD,2022-12-23,2022-12-23T09:00:00,2905.0,2960.0,2880.0,2950.0,1671839917954,994904920.8593235,341093.04872243,2905.0,45.0,0.0154905336
19,KRW-SBD,2022-12-24,2022-12-24T09:00:00,2945.0,2985.0,2920.0,2965.0,1671926325522,1089752976.1139617,368992.41204138,2950.0,15.0,0.0050847458
20,KRW-SBD,2022-12-25,2022-12-25T09:00:00,2960.0,2965.0,2870.0,2900.0,1672012738746,653145032.5808607,224142.9589782,2965.0,-65.0,-0.0219224283
21,KRW-SBD,2022-12-26,2022-12-26T09:00:00,2895.0,2975.0,2800.0,2860.0,1672099170456,1418500024.868921,492991.08152491,2900.0,-40.0,-0.0137931034
22,KRW-SBD,2022-12-27,2022-12-27T09:00:00,2865.0,2865.0,2770.0,2795.0,1672185520686,487048070.1370117,173348.86973395,2860.0,-65.0,-0.0227272727
23,KRW-SBD,2022-12-28,2022-12-28T09:00:00,2785.0,2815.0,2635.0,2665.0,1672271969142,694682795.1874375,257439.09901545,2795.0,-130.0,-0.0465116279
24,KRW-SBD,2022-12-29,2022-12-29T09:00:00,2665.0,2710.0,2595.0,2680.0,1672358362010,410057129.3638536,154825.6536363,2665.0,15.0,0.0056285178
25,KRW-SBD,2022-12-30,2022-12-30T09:00:00,2680.0,2690.0,2580.0,2625.0,1672444752761,276127500.9423082,105079.5958328,2680.0,-55.0,-0.0205223881
26,KRW-SBD,2022-12-31,2022-12-31T09:00:00,2625.0,2785.0,2600.0,2670.0,1672531144545,1514194895.6567357,561438.69052028,2625.0,45.0,0.0171428571
27,KRW-SBD,2023-01-01,2023-01-01T09:00:00,2665.0,2715.0,2640.0,2690.0,1672617339169,155484357.5849204,58230.39899611,2670.0,20.0,0.0074906367
28,KRW-SBD,2023-01-02,2023-01-02T09:00:00,2690.0,2945.0,2690.0,2740.0,1672703961138,11184497205.91709,3981259.98497299,2690.0,50.0,0.0185873606
29,KRW-SBD,2023-01-03,2023-01-03T09:00:00,2735.0,2740.0,2705.0,2735.0,1672790396449,1012849792.5876341,372075.78962395,2740.0,-5.0,-0.0018248175
30,KRW-SBD,2023-01-04,2023-01-04T09:00:00,2735.0,2765.0,2710.0,2765.0,1672876769516,923029616.7274394,336927.27005609,2735.0,30.0,0.0109689214
31,KRW-SBD,2023-01-05,2023-01-05T09:00:00,2765.0,2785.0,2710.0,2745.0,1672963154465,1289708997.9181678,470021.54078416,2765.0,-20.0,-0.0072332731
32,KRW-SBD,2023-01-06,2023-01-06T09:00:00,2745.0,2780.0,2660.0,2735.0,1673049599540,1248681633.6461163,457212.66091071,2745.0,-10.0,-0.0036429872
33,KRW-SBD,2023-01-07,2023-01-07T09:00:00,2730.0,2775.0,2710.0,2760.0,1673135964562,557569711.099122,203267.66378258,2735.0,25.0,0.0091407678
34,KRW-SBD,2023-01-08,2023-01-08T09:00:00,2760.0,2780.0,2730.0,2775.0,1673222393450,524835416.5587916,190624.57577893,2760.0,15.0,0.0054347826
35,KRW-SBD,2023-01-09,2023-01-09T09:00:00,2780.0,2880.0,2750.0,2825.0,1673308782757,6075386077.447678,2141360.14473164,2775.0,50.0,0.018018018
36,KRW-SBD,2023-01-10,2023-01-10T09:00:00,2825.0,3025.0,2780.0,2860.0,1673395198065,5995257205.588021,2086237.55226013,2825.0,35.0,0.0123893805
37,KRW-SBD,2023-01-11,2023-01-11T09:00:00,2855.0,2965.0,2835.0,2945.0,1673481588281,5948886484.499605,2049941.20229006,2860.0,85.0,0.0297202797
38,KRW-SBD,2023-01-12,2023-01-12T09:00:00,2945.0,2980.0,2860.0,2980.0,1673567998626,2119243392.2733493,728660.60023196,2945.0,35.0,0.0118845501
39,KRW-SBD,2023-01-13,2023-01-13T09:00:00,2975.0,3080.0,2915.0,3035.0,1673654399378,4703775173.242145,1567714.20105075,2980.0,55.0,0.0184563758
40,KRW-SBD,2023-01-14,2023-01-14T09:00:00,3035.0,3195.0,2960.0,3105.0,1673740793045,6426247389.025027,2099840.44719051,3035.0,70.0,0.0230642504
41,KRW-SBD,2023-01-15,2023-01-15T09:00:00,3110.0,3900.0,3040.0,3165.0,1673827199844,27037293758.97185,8073209.28544112,3105.0,60.0,0.0193236715
42,KRW-SBD,2023-01-16,2023-01-16T09:00:00,3165.0,3250.0,3020.0,3115.0,1673913595548,6997425357.924475,2233869.59602905,3165.0,-50.0,-0.0157977883
43,KRW-SBD,2023-01-17,2023-01-17T09:00:00,3115.0,3170.0,3030.0,3150.0,1673999999855,2948139854.6948566,950208.00999401,3115.0,35.0,0.0112359551
44,KRW-SBD,2023-01-18,2023-01-18T09:00:00,3155.0,3650.0,2940.0,2960.0,1674086399460,68455712658.05801,20721186.33399336,3150.0,-190.0,-0.0603174603
45,KRW-SBD,2023-01-19,2023-01-19T09:00:00,2955.0,3015.0,2895.0,3010.0,1674172798620,3934964299.18062,1327459.70698021,2960.0,50.0,0.0168918919
46,KRW-SBD,2023-01-20,2023-01-20T09:00:00,3010.0,3130.0,2975.0,3125.0,1674259196540,3023700690.284036,998219.98776648,3010.0,115.0,0.0382059801
47,KRW-SBD,2023-01-21,2023-01-21T09:00:00,3130.0,3245.0,3070.0,3185.0,1674345599642,7145794821.890866,2255424.12873987,3125.0,60.0,0.0192
48,KRW-SBD,2023-01-22,2023-01-22T09:00:00,3185.0,3185.0,3130.0,3180.0,1674431977922,2772002849.7212605,877929.51488907,3185.0,-5.0,-0.0015698587
49,KRW-SBD,2023-01-23,2023-01-23T09:00:00,3180.0,3230.0,3130.0,3225.0,1674518387287,2547626834.9646387,803001.62901136,3180.0,45.0,0.0141509434
