,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-SC,2022-12-05,2022-12-05T09:00:00,3.52,3.54,3.47,3.49,1670284795464,576645164.6464978,164386686.33291617,3.53,-0.04,-0.0113314448
1,KRW-SC,2022-12-06,2022-12-06T09:00:00,3.48,3.5,3.44,3.47,1670371194775,482835887.5992381,139345347.33883646,3.49,-0.02,-0.005730659
2,KRW-SC,2022-12-07,2022-12-07T09:00:00,3.47,3.51,3.24,3.36,1670457464989,1725765785.3817995,507986528.4147406,3.47,-0.11,-0.0317002882
3,KRW-SC,2022-12-08,2022-12-08T09:00:00,3.36,3.49,3.35,3.41,1670543952827,1233347057.4366963,361803923.1034192,3.36,0.05,0.0148809524
4,KRW-SC,2022-12-09,2022-12-09T09:00:00,3.42,3.64,3.39,3.51,1670630382726,2937931397.969754,834823853.561704,3.41,0.1,0.0293255132
5,KRW-SC,2022-12-10,2022-12-10T09:00:00,3.51,3.66,3.47,3.54,1670716786838,3168381366.5208654,890830501.6562899,3.51,0.03,0.0085470085
6,KRW-SC,2022-12-11,2022-12-11T09:00:00,3.57,3.58,3.44,3.44,1670803198564,1103556687.7531087,316888098.6870743,3.54,-0.1,-0.0282485876
7,KRW-SC,2022-12-12,2022-12-12T09:00:00,3.44,3.46,3.32,3.41,1670889592581,1120128697.1012537,331663975.1065667,3.44,-0.03,-0.0087209302
8,KRW-SC,2022-12-13,2022-12-13T09:00:00,3.41,4.69,3.32,4.18,1670975998949,102001264837.8822,24475975454.990055,3.41,0.77,0.2258064516
9,KRW-SC,2022-12-14,2022-12-14T09:00:00,4.18,4.35,3.72,3.75,1671062396261,44317631206.24377,11092364359.255833,4.18,-0.43,-0.1028708134
10,KRW-SC,2022-12-15,2022-12-15T09:00:00,3.75,3.76,3.55,3.59,1671148790555,9059655207.481434,2505478056.028406,3.75,-0.16,-0.0426666667
11,KRW-SC,2022-12-16,2022-12-16T09:00:00,3.59,3.65,3.21,3.3,1671235194169,4960336293.358432,1429231778.2028937,3.59,-0.29,-0.0807799443
12,KRW-SC,2022-12-17,2022-12-17T09:00:00,3.28,3.4,3.08,3.27,1671321599136,2110158599.428986,656940545.170919,3.3,-0.03,-0.0090909091
13,KRW-SC,2022-12-18,2022-12-18T09:00:00,3.27,3.28,3.16,3.23,1671407950601,1240495651.4988341,385228683.45203304,3.27,-0.04,-0.0122324159
14,KRW-SC,2022-12-19,2022-12-19T09:00:00,3.24,3.25,3.0,3.05,1671494204620,1731517635.9539988,555674240.9042606,3.23,-0.18,-0.0557275542
15,KRW-SC,2022-12-20,2022-12-20T09:00:00,3.04,3.28,3.03,3.17,1671580754413,2995142139.4141374,947790092.8604885,3.05,0.12,0.0393442623
16,KRW-SC,2022-12-21,2022-12-21T09:00:00,3.17,3.32,3.11,3.19,1671667156648,2365472590.5920606,740496731.1029078,3.17,0.02,0.0063091483
17,KRW-SC,2022-12-22,2022-12-22T09:00:00,3.19,3.21,3.09,3.13,1671753592546,1192685534.1580195,378897786.3379523,3.19,-0.06,-0.0188087774
18,KRW-SC,2022-12-23,2022-12-23T09:00:00,3.13,3.16,3.11,3.15,1671839957832,789647071.9665198,251699239.58151427,3.13,0.02,0.0063897764
19,KRW-SC,2022-12-24,2022-12-24T09:00:00,3.14,3.17,3.13,3.16,1671926273214,608694249.9306092,193539522.04782978,3.15,0.01,0.0031746032
20,KRW-SC,2022-12-25,2022-12-25T09:00:00,3.15,3.17,3.03,3.07,1672012744245,1039171583.2334343,336027119.4342655,3.16,-0.09,-0.0284810127
21,KRW-SC,2022-12-26,2022-12-26T09:00:00,3.07,3.08,2.97,3.01,1672099152585,992073421.7229964,328740774.8109445,3.07,-0.06,-0.0195439739
22,KRW-SC,2022-12-27,2022-12-27T09:00:00,3.02,3.05,2.95,2.97,1672185523724,779922129.2269472,260946252.90029192,3.01,-0.04,-0.0132890365
23,KRW-SC,2022-12-28,2022-12-28T09:00:00,2.97,3.02,2.77,2.9,1672271999394,1714366770.2653308,594867537.9593652,2.97,-0.07,-0.0235690236
24,KRW-SC,2022-12-29,2022-12-29T09:00:00,2.9,3.23,2.77,2.94,1672358394239,10907372120.58282,3618757560.7490797,2.9,0.04,0.0137931034
25,KRW-SC,2022-12-30,2022-12-30T09:00:00,2.94,2.94,2.77,2.84,1672444781545,1627987954.817647,572196438.3111811,2.94,-0.1,-0.0340136054
26,KRW-SC,2022-12-31,2022-12-31T09:00:00,2.84,2.93,2.81,2.88,1672531165306,1013510836.3556625,352556429.8848694,2.84,0.04,0.014084507
27,KRW-SC,2023-01-01,2023-01-01T09:00:00,2.87,2.91,2.85,2.91,1672617574148,535890463.0708054,186372978.2649889,2.88,0.03,0.0104166667
28,KRW-SC,2023-01-02,2023-01-02T09:00:00,2.9,2.95,2.86,2.94,1672703993821,1058344768.3548442,363720897.5223534,2.91,0.03,0.0103092784
29,KRW-SC,2023-01-03,2023-01-03T09:00:00,2.93,2.95,2.9,2.92,1672790352592,1100869153.0234945,376388222.8472572,2.94,-0.02,-0.0068027211
30,KRW-SC,2023-01-04,2023-01-04T09:00:00,2.92,3.0,2.9,2.99,1672876729264,1189675143.0771167,403419282.19972676,2.92,0.07,0.0239726027
31,KRW-SC,2023-01-05,2023-01-05T09:00:00,2.99,3.09,2.9,3.0,1672963190634,2784828975.274256,930691011.1220062,2.99,0.01,0.0033444816
32,KRW-SC,2023-01-06,2023-01-06T09:00:00,3.0,3.03,2.88,2.99,1673049477943,863320353.3288518,293926131.7865218,3.0,-0.01,-0.0033333333
33,KRW-SC,2023-01-07,2023-01-07T09:00:00,2.99,3.0,2.96,2.97,1673135895464,432676056.3115298,145579152.6066429,2.99,-0.02,-0.0066889632
34,KRW-SC,2023-01-08,2023-01-08T09:00:00,2.97,3.07,2.95,3.07,1673222399107,831570713.9088118,278046895.0907952,2.97,0.1,0.0336700337
35,KRW-SC,2023-01-09,2023-01-09T09:00:00,3.07,3.17,3.04,3.12,1673308785482,2302162310.4594245,742346265.6727839,3.07,0.05,0.016286645
36,KRW-SC,2023-01-10,2023-01-10T09:00:00,3.12,3.35,3.08,3.17,1673395158287,5947018644.203374,1865920829.2988846,3.12,0.05,0.016025641
37,KRW-SC,2023-01-11,2023-01-11T09:00:00,3.16,3.22,3.12,3.21,1673481578887,2182000351.008126,689842720.8424782,3.17,0.04,0.0126182965
38,KRW-SC,2023-01-12,2023-01-12T09:00:00,3.2,3.27,3.11,3.25,1673567968108,3200430063.281307,1000888146.766399,3.21,0.04,0.0124610592
39,KRW-SC,2023-01-13,2023-01-13T09:00:00,3.26,3.37,3.21,3.35,1673654399662,3105863088.366456,943670527.0650966,3.25,0.1,0.0307692308
40,KRW-SC,2023-01-14,2023-01-14T09:00:00,3.36,3.61,3.28,3.48,1673740783785,5793383245.397322,1692203120.5064619,3.35,0.13,0.0388059701
