,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-SHIB,2023-01-18,2023-01-18T09:00:00,0.0117,0.016,0.0117,0.0139,1674086399668,233890925259.99445,15482665960616.355,0.0117,0.0022,0.188034188
1,KRW-SHIB,2023-01-19,2023-01-19T09:00:00,0.014,0.0147,0.0134,0.0143,1674172798876,41571215011.77047,2991115054143.4,0.0139,0.0004,0.0287769784
2,KRW-SHIB,2023-01-20,2023-01-20T09:00:00,0.0143,0.0153,0.0141,0.0152,1674259199785,20400548322.026714,1409674978672.814,0.0143,0.0009,0.0629370629
3,KRW-SHIB,2023-01-21,2023-01-21T09:00:00,0.0151,0.0156,0.0146,0.0147,1674345597826,24280726182.055614,1614832720205.766,0.0152,-0.0005,-0.0328947368
4,KRW-SHIB,2023-01-22,2023-01-22T09:00:00,0.0147,0.0156,0.0144,0.015,1674431992252,14600477425.74087,971434014286.0873,0.0147,0.0003,0.0204081633
5,KRW-SHIB,2023-01-23,2023-01-23T09:00:00,0.015,0.0153,0.0148,0.015,1674518399410,9673965229.911291,642735950425.077,0.015,,0.0
6,KRW-SHIB,2023-01-24,2023-01-24T09:00:00,0.015,0.0152,0.0136,0.0141,1674604799379,11531370524.904352,783709145606.2113,0.015,-0.0009,-0.06
7,KRW-SHIB,2023-01-25,2023-01-25T09:00:00,0.014,0.0148,0.0136,0.0146,1674691191694,8559305984.293421,606947330085.379,0.0141,0.0005,0.0354609929
8,KRW-SHIB,2023-01-26,2023-01-26T09:00:00,0.0146,0.015,0.0143,0.0146,1674777596533,14368141403.180252,980310975718.4482,0.0146,,0.0
9,KRW-SHIB,2023-01-27,2023-01-27T09:00:00,0.0146,0.0149,0.0142,0.0147,1674863957075,5554568256.681015,383586003181.57654,0.0146,0.0001,0.0068493151
10,KRW-SHIB,2023-01-28,2023-01-28T09:00:00,0.0147,0.0171,0.0147,0.015,1674950399380,46763463512.14697,3019596778420.326,0.0147,0.0003,0.0204081633
11,KRW-SHIB,2023-01-29,2023-01-29T09:00:00,0.0149,0.0152,0.0148,0.015,1675036789875,10983733376.72849,730900968011.7198,0.015,,0.0
12,KRW-SHIB,2023-01-30,2023-01-30T09:00:00,0.015,0.0152,0.0141,0.0145,1675123192237,13290265570.33729,904267162526.2831,0.015,-0.0005,-0.0333333333
13,KRW-SHIB,2023-01-31,2023-01-31T09:00:00,0.0144,0.0152,0.0143,0.0148,1675209597802,19589240944.94096,1326497135252.2332,0.0145,0.0003,0.0206896552
14,KRW-SHIB,2023-02-01,2023-02-01T09:00:00,0.0148,0.0151,0.0142,0.0149,1675295971737,9211162062.256681,627697419522.7782,0.0148,0.0001,0.0067567568
15,KRW-SHIB,2023-02-02,2023-02-02T09:00:00,0.0149,0.0168,0.0149,0.0152,1675382398538,28048763554.649498,1794241334419.1462,0.0149,0.0003,0.0201342282
16,KRW-SHIB,2023-02-03,2023-02-03T09:00:00,0.0153,0.0162,0.0151,0.016,1675468799286,22808058475.152283,1456651052811.3203,0.0152,0.0008,0.0526315789
17,KRW-SHIB,2023-02-04,2023-02-04T09:00:00,0.016,0.0259,0.0159,0.0186,1675555199893,318173213070.23114,16715710403410.139,0.016,0.0026,0.1625
18,KRW-SHIB,2023-02-05,2023-02-05T09:00:00,0.0185,0.0195,0.0175,0.018,1675641599622,130040869872.11636,6986513783530.076,0.0186,-0.0006,-0.0322580645
19,KRW-SHIB,2023-02-06,2023-02-06T09:00:00,0.018,0.0188,0.0177,0.0181,1675727996999,51779124829.6749,2834556578803.297,0.018,0.0001,0.0055555556
20,KRW-SHIB,2023-02-07,2023-02-07T09:00:00,0.0181,0.0183,0.0175,0.0183,1675814397404,31571523101.207047,1761929464928.4612,0.0181,0.0002,0.0110497238
21,KRW-SHIB,2023-02-08,2023-02-08T09:00:00,0.0183,0.0184,0.0173,0.0176,1675900798020,21834370679.303333,1222830836994.6555,0.0183,-0.0007,-0.0382513661
22,KRW-SHIB,2023-02-09,2023-02-09T09:00:00,0.0175,0.0177,0.0154,0.0157,1675987195792,30661338886.975945,1844600691317.5813,0.0176,-0.0019,-0.1079545455
23,KRW-SHIB,2023-02-10,2023-02-10T09:00:00,0.0157,0.0172,0.0155,0.0167,1676073600039,30723877160.731102,1904785159141.9868,0.0157,0.001,0.0636942675
24,KRW-SHIB,2023-02-11,2023-02-11T09:00:00,0.0168,0.0171,0.0161,0.0167,1676159996426,20849159038.448193,1265106338323.7402,0.0167,,0.0
25,KRW-SHIB,2023-02-12,2023-02-12T09:00:00,0.0167,0.0175,0.0163,0.0167,1676246388353,16325767119.051674,971755308179.1305,0.0167,,0.0
26,KRW-SHIB,2023-02-13,2023-02-13T09:00:00,0.0167,0.0169,0.0156,0.0163,1676332796613,21198197674.45417,1299375377120.0266,0.0167,-0.0004,-0.0239520958
27,KRW-SHIB,2023-02-14,2023-02-14T09:00:00,0.0162,0.0166,0.0155,0.0166,1676419196437,19637844922.74024,1218118988463.8372,0.0163,0.0003,0.018404908
28,KRW-SHIB,2023-02-15,2023-02-15T09:00:00,0.0166,0.0178,0.0163,0.0176,1676505599309,31812727047.647305,1878695090657.7708,0.0166,0.001,0.0602409639
29,KRW-SHIB,2023-02-16,2023-02-16T09:00:00,0.0177,0.018,0.0163,0.0164,1676591998432,35929479875.84655,2069296427976.9827,0.0176,-0.0012,-0.0681818182
30,KRW-SHIB,2023-02-17,2023-02-17T09:00:00,0.0165,0.0172,0.0163,0.0171,1676678389671,19515956011.37269,1153488225138.3098,0.0164,0.0007,0.0426829268
31,KRW-SHIB,2023-02-18,2023-02-18T09:00:00,0.017,0.0173,0.0167,0.017,1676764785928,10880919485.373556,637978378619.9575,0.0171,-0.0001,-0.0058479532
