,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-SNT,2022-12-05,2022-12-05T09:00:00,31.0,31.3,30.6,30.7,1670284779074,575741726.9777343,18646660.75435862,31.1,-0.4,-0.0128617363
1,KRW-SNT,2022-12-06,2022-12-06T09:00:00,30.8,30.9,30.2,30.6,1670371153785,485161704.75685686,15871604.94903598,30.7,-0.1,-0.003257329
2,KRW-SNT,2022-12-07,2022-12-07T09:00:00,30.6,30.8,29.2,29.9,1670457598910,1109233591.600918,37151429.72927551,30.6,-0.7,-0.022875817
3,KRW-SNT,2022-12-08,2022-12-08T09:00:00,29.9,31.8,29.6,30.4,1670543998708,1242362535.9823952,40905975.96498837,29.9,0.5,0.016722408
4,KRW-SNT,2022-12-09,2022-12-09T09:00:00,30.4,31.4,30.1,30.8,1670630399711,2162263993.0319486,70305393.83150154,30.4,0.4,0.0131578947
5,KRW-SNT,2022-12-10,2022-12-10T09:00:00,30.8,32.3,30.5,31.5,1670716778173,2600121747.988627,83262669.92579952,30.8,0.7,0.0227272727
6,KRW-SNT,2022-12-11,2022-12-11T09:00:00,31.5,31.5,30.6,30.9,1670803190205,856449938.4976734,27547002.91503663,31.5,-0.6,-0.019047619
7,KRW-SNT,2022-12-12,2022-12-12T09:00:00,30.9,30.9,29.5,30.2,1670889592998,961826462.4829686,31996178.54946815,30.9,-0.7,-0.0226537217
8,KRW-SNT,2022-12-13,2022-12-13T09:00:00,30.4,31.5,29.2,30.9,1670975978573,5497840637.008466,179223091.29477265,30.2,0.7,0.0231788079
9,KRW-SNT,2022-12-14,2022-12-14T09:00:00,30.9,30.9,30.2,30.3,1671062383372,907193011.5202727,29768077.90794273,30.9,-0.6,-0.0194174757
10,KRW-SNT,2022-12-15,2022-12-15T09:00:00,30.2,30.4,29.5,29.8,1671148797521,629610527.7289034,21118330.86209712,30.3,-0.5,-0.0165016502
11,KRW-SNT,2022-12-16,2022-12-16T09:00:00,29.8,30.3,27.3,27.6,1671235168305,1302865269.2322803,45132094.04311485,29.8,-2.2,-0.0738255034
12,KRW-SNT,2022-12-17,2022-12-17T09:00:00,27.6,27.9,26.1,27.4,1671321590562,531994747.91801435,19758068.87746826,27.6,-0.2,-0.0072463768
13,KRW-SNT,2022-12-18,2022-12-18T09:00:00,27.4,28.4,27.0,27.6,1671407781575,969089864.8562789,35025102.12719715,27.4,0.2,0.0072992701
14,KRW-SNT,2022-12-19,2022-12-19T09:00:00,27.7,27.7,25.8,26.1,1671494293888,630685972.5326048,23657179.30415393,27.6,-1.5,-0.0543478261
15,KRW-SNT,2022-12-20,2022-12-20T09:00:00,26.1,27.3,25.3,27.1,1671580755549,630834117.3479086,23671746.5431534,26.1,1.0,0.0383141762
16,KRW-SNT,2022-12-21,2022-12-21T09:00:00,27.0,27.7,26.6,27.3,1671667133311,962236646.763195,35437907.49230753,27.1,0.2,0.0073800738
