,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-STEEM,2022-12-05,2022-12-05T09:00:00,241.0,242.0,235.0,236.0,1670284774519,850251806.2501147,3578017.40278962,241.0,-5.0,-0.020746888
1,KRW-STEEM,2022-12-06,2022-12-06T09:00:00,236.0,237.0,234.0,234.0,1670371195712,611992878.5772871,2602517.48114728,236.0,-2.0,-0.0084745763
2,KRW-STEEM,2022-12-07,2022-12-07T09:00:00,236.0,237.0,221.0,231.0,1670457597035,2716681748.381533,11853387.18764919,234.0,-3.0,-0.0128205128
3,KRW-STEEM,2022-12-08,2022-12-08T09:00:00,231.0,237.0,226.0,233.0,1670543976688,1794664590.9492536,7781313.11961585,231.0,2.0,0.0086580087
4,KRW-STEEM,2022-12-09,2022-12-09T09:00:00,234.0,242.0,234.0,236.0,1670630359367,4281282762.8094416,18082800.10658847,233.0,3.0,0.0128755365
5,KRW-STEEM,2022-12-10,2022-12-10T09:00:00,236.0,249.0,232.0,242.0,1670716794532,3266207685.159572,13605928.7567767,236.0,6.0,0.0254237288
6,KRW-STEEM,2022-12-11,2022-12-11T09:00:00,242.0,249.0,235.0,237.0,1670803175743,2562405101.9917784,10596803.37692162,242.0,-5.0,-0.020661157
7,KRW-STEEM,2022-12-12,2022-12-12T09:00:00,236.0,236.0,225.0,230.0,1670889554420,1351270176.8038979,5903937.57569018,237.0,-7.0,-0.029535865
8,KRW-STEEM,2022-12-13,2022-12-13T09:00:00,230.0,237.0,222.0,233.0,1670975986553,2717454149.9897823,11844177.44718827,230.0,3.0,0.0130434783
9,KRW-STEEM,2022-12-14,2022-12-14T09:00:00,233.0,240.0,230.0,232.0,1671062358955,1996421802.1045544,8501003.20302418,233.0,-1.0,-0.0042918455
