,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-STORJ,2022-12-05,2022-12-05T09:00:00,444.0,453.0,435.0,439.0,1670284742369,3592080327.4291024,8037038.09948568,445.0,-6.0,-0.0134831461
1,KRW-STORJ,2022-12-06,2022-12-06T09:00:00,439.0,442.0,434.0,440.0,1670371166704,1606064964.0588334,3670302.37711359,439.0,1.0,0.0022779043
2,KRW-STORJ,2022-12-07,2022-12-07T09:00:00,440.0,442.0,413.0,420.0,1670457544843,2451700787.4535027,5777229.64236373,440.0,-20.0,-0.0454545455
3,KRW-STORJ,2022-12-08,2022-12-08T09:00:00,420.0,430.0,415.0,428.0,1670543974776,1746475362.3587303,4144466.75140574,420.0,8.0,0.019047619
4,KRW-STORJ,2022-12-09,2022-12-09T09:00:00,428.0,432.0,424.0,429.0,1670630378842,1383688835.930729,3237034.79067759,428.0,1.0,0.0023364486
5,KRW-STORJ,2022-12-10,2022-12-10T09:00:00,428.0,446.0,425.0,437.0,1670716798828,3520441660.2719445,8111263.64790092,429.0,8.0,0.0186480186
6,KRW-STORJ,2022-12-11,2022-12-11T09:00:00,436.0,439.0,424.0,427.0,1670803189254,2823128035.2691326,6524393.83230016,437.0,-10.0,-0.0228832952
7,KRW-STORJ,2022-12-12,2022-12-12T09:00:00,426.0,426.0,405.0,415.0,1670889556253,3364237305.892654,8169881.56514978,427.0,-12.0,-0.0281030445
8,KRW-STORJ,2022-12-13,2022-12-13T09:00:00,415.0,456.0,394.0,422.0,1670975993578,21313474486.247536,49570437.95716196,415.0,7.0,0.0168674699
9,KRW-STORJ,2022-12-14,2022-12-14T09:00:00,423.0,474.0,423.0,437.0,1671062399782,72204258651.53082,159800630.68325987,422.0,15.0,0.0355450237
10,KRW-STORJ,2022-12-15,2022-12-15T09:00:00,437.0,440.0,419.0,420.0,1671148786604,7459635580.209354,17452579.32529499,437.0,-17.0,-0.0389016018
11,KRW-STORJ,2022-12-16,2022-12-16T09:00:00,421.0,424.0,361.0,370.0,1671235196727,6946233708.25205,17526615.60145828,420.0,-50.0,-0.119047619
12,KRW-STORJ,2022-12-17,2022-12-17T09:00:00,371.0,373.0,348.0,365.0,1671321598593,3596514238.8972964,9984655.30798476,370.0,-5.0,-0.0135135135
13,KRW-STORJ,2022-12-18,2022-12-18T09:00:00,365.0,367.0,356.0,362.0,1671407994315,1945292054.992563,5384138.30054211,365.0,-3.0,-0.0082191781
14,KRW-STORJ,2022-12-19,2022-12-19T09:00:00,362.0,366.0,319.0,330.0,1671494317218,3122055085.8923388,9058841.54463889,362.0,-32.0,-0.0883977901
15,KRW-STORJ,2022-12-20,2022-12-20T09:00:00,331.0,348.0,331.0,344.0,1671580798697,4711499940.865425,13845751.00382363,330.0,14.0,0.0424242424
16,KRW-STORJ,2022-12-21,2022-12-21T09:00:00,345.0,363.0,342.0,350.0,1671667194757,10798686402.829659,30682347.66653822,344.0,6.0,0.0174418605
17,KRW-STORJ,2022-12-22,2022-12-22T09:00:00,350.0,351.0,332.0,346.0,1671753588882,3686864681.1857452,10758722.94920228,350.0,-4.0,-0.0114285714
18,KRW-STORJ,2022-12-23,2022-12-23T09:00:00,344.0,348.0,341.0,348.0,1671839999635,1884020202.7694225,5476954.12543977,346.0,2.0,0.0057803468
19,KRW-STORJ,2022-12-24,2022-12-24T09:00:00,348.0,351.0,343.0,351.0,1671926363439,1413584366.3995326,4070944.79564043,348.0,3.0,0.0086206897
20,KRW-STORJ,2022-12-25,2022-12-25T09:00:00,351.0,351.0,337.0,343.0,1672012798244,1656843493.3127258,4822017.77100192,351.0,-8.0,-0.0227920228
21,KRW-STORJ,2022-12-26,2022-12-26T09:00:00,343.0,344.0,328.0,338.0,1672099161209,1757893910.1637888,5238111.14515416,343.0,-5.0,-0.0145772595
22,KRW-STORJ,2022-12-27,2022-12-27T09:00:00,338.0,350.0,326.0,334.0,1672185563128,5344744402.327814,15812452.58490203,338.0,-4.0,-0.0118343195
23,KRW-STORJ,2022-12-28,2022-12-28T09:00:00,334.0,334.0,313.0,320.0,1672271971504,2395341197.1664505,7438057.03393829,334.0,-14.0,-0.0419161677
24,KRW-STORJ,2022-12-29,2022-12-29T09:00:00,320.0,322.0,308.0,318.0,1672358377030,3113391146.642036,9891371.7675392,320.0,-2.0,-0.00625
25,KRW-STORJ,2022-12-30,2022-12-30T09:00:00,317.0,318.0,302.0,313.0,1672444763210,1650379681.315203,5356011.59448002,318.0,-5.0,-0.0157232704
