,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-STPT,2022-12-05,2022-12-05T09:00:00,42.6,42.7,41.2,41.5,1670284788442,1718370777.6098924,40938003.4253608,42.5,-1.0,-0.0235294118
1,KRW-STPT,2022-12-06,2022-12-06T09:00:00,41.5,42.8,41.0,42.1,1670371161496,1862611346.552663,44570634.35321925,41.5,0.6,0.0144578313
2,KRW-STPT,2022-12-07,2022-12-07T09:00:00,42.2,43.4,38.8,40.4,1670457598165,4847338931.673998,117825037.67015322,42.1,-1.7,-0.0403800475
3,KRW-STPT,2022-12-08,2022-12-08T09:00:00,40.3,42.0,39.9,40.8,1670543971581,2475217849.23042,60929123.82938531,40.4,0.4,0.0099009901
4,KRW-STPT,2022-12-09,2022-12-09T09:00:00,40.8,42.7,40.5,42.3,1670630374747,6574732679.591503,157229683.17444202,40.8,1.5,0.0367647059
5,KRW-STPT,2022-12-10,2022-12-10T09:00:00,42.4,46.1,42.0,43.3,1670716799766,16178451079.306765,370797884.4030113,42.3,1.0,0.0236406619
6,KRW-STPT,2022-12-11,2022-12-11T09:00:00,43.3,43.3,41.8,41.8,1670803198778,2700072002.8192935,63536039.59752153,43.3,-1.5,-0.0346420323
7,KRW-STPT,2022-12-12,2022-12-12T09:00:00,41.8,41.9,39.6,40.8,1670889594647,2075651223.4297442,51232994.07587356,41.8,-1.0,-0.023923445
8,KRW-STPT,2022-12-13,2022-12-13T09:00:00,40.7,41.9,39.6,41.6,1670975985129,4177205337.3541765,102267208.40376334,40.8,0.8,0.0196078431
9,KRW-STPT,2022-12-14,2022-12-14T09:00:00,41.6,42.0,40.6,40.8,1671062374455,1410884006.4209428,34226303.37872191,41.6,-0.8,-0.0192307692
