,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-STRAX,2022-12-05,2022-12-05T09:00:00,65.1,65.3,63.8,64.4,1670284784420,2047267954.5198433,31761955.2534267,65.1,-0.7,-0.0107526882
1,KRW-STRAX,2022-12-06,2022-12-06T09:00:00,64.4,65.2,63.9,64.6,1670371195575,2052018260.7603385,31842402.4565064,64.4,0.2,0.0031055901
2,KRW-STRAX,2022-12-07,2022-12-07T09:00:00,64.4,64.6,60.5,62.1,1670457599688,3382133318.996665,54252373.4733314,64.6,-2.5,-0.0386996904
3,KRW-STRAX,2022-12-08,2022-12-08T09:00:00,62.1,64.3,61.0,62.9,1670543998125,4810947434.948106,76771197.1016648,62.1,0.8,0.0128824477
4,KRW-STRAX,2022-12-09,2022-12-09T09:00:00,63.0,65.1,62.3,63.3,1670630398561,4269302979.71894,67408613.4600839,62.9,0.4,0.0063593005
5,KRW-STRAX,2022-12-10,2022-12-10T09:00:00,63.3,67.4,62.7,66.0,1670716799848,6913033573.1432495,106669213.7628166,63.3,2.7,0.0426540284
6,KRW-STRAX,2022-12-11,2022-12-11T09:00:00,66.0,66.0,63.8,64.1,1670803176405,4043955126.2824244,62756768.1838587,66.0,-1.9,-0.0287878788
7,KRW-STRAX,2022-12-12,2022-12-12T09:00:00,64.1,64.4,61.2,62.6,1670889590185,2646105635.0919003,42471104.0071123,64.1,-1.5,-0.023400936
8,KRW-STRAX,2022-12-13,2022-12-13T09:00:00,62.6,64.4,59.9,62.9,1670975974178,3176333909.9932127,51011833.2798028,62.6,0.3,0.0047923323
9,KRW-STRAX,2022-12-14,2022-12-14T09:00:00,62.8,63.8,61.8,62.5,1671062387997,2316602399.1163554,36807427.576499,62.9,-0.4,-0.0063593005
10,KRW-STRAX,2022-12-15,2022-12-15T09:00:00,62.5,62.5,61.1,61.5,1671148797949,1403244571.074272,22770959.4788824,62.5,-1.0,-0.016
11,KRW-STRAX,2022-12-16,2022-12-16T09:00:00,61.4,61.6,55.7,57.3,1671235187430,2497118897.7323728,41929234.3592149,61.5,-4.2,-0.0682926829
12,KRW-STRAX,2022-12-17,2022-12-17T09:00:00,57.3,59.6,54.0,56.4,1671321590403,2329365208.2292943,41569076.7655623,57.3,-0.9,-0.0157068063
13,KRW-STRAX,2022-12-18,2022-12-18T09:00:00,56.4,58.8,56.1,57.2,1671407989419,3838710926.4330945,67029269.3953801,56.4,0.8,0.0141843972
14,KRW-STRAX,2022-12-19,2022-12-19T09:00:00,57.2,57.3,52.3,53.1,1671494399363,1787041808.0361514,32617483.2681756,57.2,-4.1,-0.0716783217
15,KRW-STRAX,2022-12-20,2022-12-20T09:00:00,53.1,59.1,52.1,56.5,1671580783071,12739967463.94142,225515016.7190993,53.1,3.4,0.0640301318
16,KRW-STRAX,2022-12-21,2022-12-21T09:00:00,56.4,56.6,54.7,56.6,1671667192037,1954292962.7074623,34988806.6929186,56.5,0.1,0.0017699115
17,KRW-STRAX,2022-12-22,2022-12-22T09:00:00,56.6,56.8,53.9,56.1,1671753593096,1889830492.5589588,34173885.0102887,56.6,-0.5,-0.0088339223
18,KRW-STRAX,2022-12-23,2022-12-23T09:00:00,56.0,61.1,55.9,56.8,1671839999881,20694348641.88417,353813160.0143169,56.1,0.7,0.0124777184
19,KRW-STRAX,2022-12-24,2022-12-24T09:00:00,56.8,57.3,56.0,56.6,1671926396530,2188091103.360868,38694530.5857685,56.8,-0.2,-0.0035211268
20,KRW-STRAX,2022-12-25,2022-12-25T09:00:00,56.5,56.5,55.1,55.6,1672012796886,1084454956.9273026,19440482.3140253,56.6,-1.0,-0.0176678445
21,KRW-STRAX,2022-12-26,2022-12-26T09:00:00,55.6,55.6,53.5,54.6,1672099190333,1471517233.979016,27145226.103783,55.6,-1.0,-0.0179856115
22,KRW-STRAX,2022-12-27,2022-12-27T09:00:00,54.5,54.9,53.2,53.7,1672185599188,1234155826.7259502,22840117.8567912,54.6,-0.9,-0.0164835165
23,KRW-STRAX,2022-12-28,2022-12-28T09:00:00,53.7,53.7,49.4,50.0,1672271957981,2083883857.6440687,40828280.4765557,53.7,-3.7,-0.0689013035
