,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-STRIKE,2022-12-05,2022-12-05T09:00:00,15620.0,15680.0,15390.0,15520.0,1670284758917,811719560.4955006,52400.35519594,15620.0,-100.0,-0.0064020487
1,KRW-STRIKE,2022-12-06,2022-12-06T09:00:00,15460.0,15540.0,15300.0,15520.0,1670371189281,977451849.2248949,63398.98119666,15520.0,,0.0
2,KRW-STRIKE,2022-12-07,2022-12-07T09:00:00,15490.0,15490.0,14050.0,14820.0,1670457582478,1801030570.2569418,121812.53723609,15520.0,-700.0,-0.0451030928
3,KRW-STRIKE,2022-12-08,2022-12-08T09:00:00,14830.0,15120.0,14550.0,15050.0,1670543994518,771750396.2262447,52208.81840071,14820.0,230.0,0.0155195682
4,KRW-STRIKE,2022-12-09,2022-12-09T09:00:00,15040.0,15200.0,14810.0,15060.0,1670630389935,785995229.1215974,52482.94714473,15050.0,10.0,0.0006644518
5,KRW-STRIKE,2022-12-10,2022-12-10T09:00:00,15020.0,15480.0,14880.0,15410.0,1670716796918,1217760409.4651406,80511.86381336,15060.0,350.0,0.0232403718
6,KRW-STRIKE,2022-12-11,2022-12-11T09:00:00,15410.0,15780.0,15050.0,15210.0,1670803195562,1529681401.247087,99939.66615236,15410.0,-200.0,-0.0129785853
7,KRW-STRIKE,2022-12-12,2022-12-12T09:00:00,15210.0,15610.0,14340.0,14850.0,1670889587249,2415201290.5251164,161051.53767508,15210.0,-360.0,-0.0236686391
8,KRW-STRIKE,2022-12-13,2022-12-13T09:00:00,14860.0,16090.0,13990.0,14850.0,1670975979562,5077170426.114174,334775.75076642,14850.0,,0.0
9,KRW-STRIKE,2022-12-14,2022-12-14T09:00:00,14850.0,15120.0,14690.0,14740.0,1671062396611,1061804055.4342223,71599.71596016,14850.0,-110.0,-0.0074074074
10,KRW-STRIKE,2022-12-15,2022-12-15T09:00:00,14740.0,14770.0,14300.0,14560.0,1671148791539,613311284.5435992,42278.10412866,14740.0,-180.0,-0.0122116689
11,KRW-STRIKE,2022-12-16,2022-12-16T09:00:00,14580.0,14580.0,13110.0,13400.0,1671235173839,1003179633.6768281,71858.61321343,14560.0,-1160.0,-0.0796703297
12,KRW-STRIKE,2022-12-17,2022-12-17T09:00:00,13400.0,13490.0,12450.0,13060.0,1671321559525,909765540.3538823,70496.13863959,13400.0,-340.0,-0.0253731343
13,KRW-STRIKE,2022-12-18,2022-12-18T09:00:00,13060.0,14620.0,12910.0,13980.0,1671407999875,12571436526.461393,914957.33709356,13060.0,920.0,0.0704441041
14,KRW-STRIKE,2022-12-19,2022-12-19T09:00:00,13890.0,14090.0,12440.0,12790.0,1671494398717,4164517909.6213117,311927.26463311,13980.0,-1190.0,-0.0851216023
15,KRW-STRIKE,2022-12-20,2022-12-20T09:00:00,12790.0,13390.0,12480.0,13320.0,1671580779218,2054130109.7106726,157977.27194327,12790.0,530.0,0.0414386239
16,KRW-STRIKE,2022-12-21,2022-12-21T09:00:00,13320.0,13320.0,12980.0,13160.0,1671667179723,862977605.4872139,65748.6948998,13320.0,-160.0,-0.012012012
17,KRW-STRIKE,2022-12-22,2022-12-22T09:00:00,13160.0,13190.0,12780.0,13040.0,1671753538951,749585267.7192262,57841.12450265,13160.0,-120.0,-0.009118541
18,KRW-STRIKE,2022-12-23,2022-12-23T09:00:00,13160.0,13400.0,12970.0,13150.0,1671839958979,1869674877.2885087,141682.44751727,13040.0,110.0,0.0084355828
19,KRW-STRIKE,2022-12-24,2022-12-24T09:00:00,13150.0,13190.0,13050.0,13160.0,1671926398443,406690310.8685283,31006.47532186,13150.0,10.0,0.0007604563
