,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-STX,2022-12-05,2022-12-05T09:00:00,333.0,349.0,330.0,346.0,1670284797644,4393834399.384229,12983075.77544327,333.0,13.0,0.039039039
1,KRW-STX,2022-12-06,2022-12-06T09:00:00,346.0,359.0,339.0,347.0,1670371166746,7721250022.318738,22086491.874024,346.0,1.0,0.0028901734
2,KRW-STX,2022-12-07,2022-12-07T09:00:00,346.0,347.0,323.0,337.0,1670457582501,4049351778.735713,12139730.96958592,347.0,-10.0,-0.0288184438
3,KRW-STX,2022-12-08,2022-12-08T09:00:00,336.0,368.0,331.0,351.0,1670543997779,10829997132.808651,30942384.93402089,337.0,14.0,0.0415430267
4,KRW-STX,2022-12-09,2022-12-09T09:00:00,351.0,366.0,344.0,354.0,1670630394958,8398271942.667409,23583375.24583418,351.0,3.0,0.0085470085
5,KRW-STX,2022-12-10,2022-12-10T09:00:00,354.0,429.0,349.0,362.0,1670716799239,83743474691.6017,212445673.65127265,354.0,8.0,0.0225988701
6,KRW-STX,2022-12-11,2022-12-11T09:00:00,362.0,424.0,358.0,377.0,1670803197766,101373668809.70212,257982868.0587346,362.0,15.0,0.0414364641
7,KRW-STX,2022-12-12,2022-12-12T09:00:00,376.0,425.0,371.0,406.0,1670889599754,92427687271.88837,230117173.25083908,377.0,29.0,0.0769230769
8,KRW-STX,2022-12-13,2022-12-13T09:00:00,406.0,429.0,381.0,390.0,1670975998256,72272048514.16905,177398078.6140469,406.0,-16.0,-0.039408867
9,KRW-STX,2022-12-14,2022-12-14T09:00:00,390.0,396.0,355.0,362.0,1671062392038,18971321235.75191,51064878.36923143,390.0,-28.0,-0.0717948718
10,KRW-STX,2022-12-15,2022-12-15T09:00:00,362.0,362.0,344.0,351.0,1671148786235,8435497405.310169,24071853.74796537,362.0,-11.0,-0.0303867403
11,KRW-STX,2022-12-16,2022-12-16T09:00:00,351.0,367.0,312.0,324.0,1671235192139,18820708542.463463,53440267.46150262,351.0,-27.0,-0.0769230769
12,KRW-STX,2022-12-17,2022-12-17T09:00:00,322.0,328.0,294.0,318.0,1671321593813,6208534435.918404,20134403.19131819,324.0,-6.0,-0.0185185185
13,KRW-STX,2022-12-18,2022-12-18T09:00:00,318.0,318.0,307.0,313.0,1671407995623,2372284149.899247,7609959.58354566,318.0,-5.0,-0.0157232704
14,KRW-STX,2022-12-19,2022-12-19T09:00:00,313.0,315.0,280.0,289.0,1671494388027,4357720949.264243,14603347.13603905,313.0,-24.0,-0.0766773163
15,KRW-STX,2022-12-20,2022-12-20T09:00:00,289.0,309.0,287.0,302.0,1671580777421,3326926543.258343,11162750.83083615,289.0,13.0,0.044982699
16,KRW-STX,2022-12-21,2022-12-21T09:00:00,301.0,303.0,293.0,297.0,1671667163316,2187300812.622712,7352488.18204569,302.0,-5.0,-0.0165562914
17,KRW-STX,2022-12-22,2022-12-22T09:00:00,296.0,304.0,291.0,297.0,1671753591863,2325276396.6812935,7842173.67820311,297.0,,0.0
18,KRW-STX,2022-12-23,2022-12-23T09:00:00,297.0,301.0,294.0,297.0,1671839968696,1486390154.7800646,5006079.64367144,297.0,,0.0
19,KRW-STX,2022-12-24,2022-12-24T09:00:00,297.0,326.0,297.0,308.0,1671926397987,16223469925.75007,51701729.11122685,297.0,11.0,0.037037037
