,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-SUI,2023-05-04,2023-05-04T09:00:00,1825.0,2070.0,1750.0,1785.0,1683244799851,338546860015.2906,177716016.39214274,1825.0,-40.0,-0.0219178082
1,KRW-SUI,2023-05-05,2023-05-05T09:00:00,1790.0,1850.0,1685.0,1735.0,1683331198337,178232641383.25525,101280134.98637885,1785.0,-50.0,-0.0280112045
2,KRW-SUI,2023-05-06,2023-05-06T09:00:00,1735.0,1845.0,1710.0,1785.0,1683417599337,177781297275.42175,100058388.31141534,1735.0,50.0,0.0288184438
3,KRW-SUI,2023-05-07,2023-05-07T09:00:00,1785.0,1805.0,1625.0,1675.0,1683503999930,82711277121.68373,47709099.32510778,1785.0,-110.0,-0.0616246499
4,KRW-SUI,2023-05-08,2023-05-08T09:00:00,1665.0,1675.0,1425.0,1535.0,1683590399372,156486160022.6342,101708778.13176344,1675.0,-140.0,-0.0835820896
5,KRW-SUI,2023-05-09,2023-05-09T09:00:00,1530.0,1635.0,1470.0,1590.0,1683676799328,129124632043.9692,84030743.10361905,1535.0,55.0,0.0358306189
6,KRW-SUI,2023-05-10,2023-05-10T09:00:00,1590.0,1665.0,1515.0,1580.0,1683763199158,171176448259.54788,107682109.7899139,1590.0,-10.0,-0.0062893082
7,KRW-SUI,2023-05-11,2023-05-11T09:00:00,1580.0,1590.0,1415.0,1450.0,1683849598712,95442977262.98872,64011315.9123847,1580.0,-130.0,-0.082278481
8,KRW-SUI,2023-05-12,2023-05-12T09:00:00,1450.0,1520.0,1365.0,1510.0,1683935999024,107978188639.72264,75450732.11857799,1450.0,60.0,0.0413793103
9,KRW-SUI,2023-05-13,2023-05-13T09:00:00,1505.0,1550.0,1475.0,1490.0,1684022399230,57873319282.30603,38520824.62537088,1510.0,-20.0,-0.0132450331
10,KRW-SUI,2023-05-14,2023-05-14T09:00:00,1490.0,1630.0,1450.0,1570.0,1684108799659,105234427787.78156,67880979.0428117,1490.0,80.0,0.0536912752
11,KRW-SUI,2023-05-15,2023-05-15T09:00:00,1565.0,1690.0,1525.0,1615.0,1684195199795,167309540568.6243,102668542.93926574,1570.0,45.0,0.0286624204
12,KRW-SUI,2023-05-16,2023-05-16T09:00:00,1610.0,1630.0,1545.0,1565.0,1684281598038,92779928522.34724,58373714.16071556,1615.0,-50.0,-0.0309597523
13,KRW-SUI,2023-05-17,2023-05-17T09:00:00,1570.0,1630.0,1505.0,1625.0,1684367999879,118061363190.46681,75318213.79264785,1565.0,60.0,0.0383386581
14,KRW-SUI,2023-05-18,2023-05-18T09:00:00,1625.0,1645.0,1525.0,1545.0,1684454397395,85336620489.9147,53964179.55191664,1625.0,-80.0,-0.0492307692
15,KRW-SUI,2023-05-19,2023-05-19T09:00:00,1550.0,1550.0,1505.0,1525.0,1684540796727,42718663773.62146,27949387.18070348,1545.0,-20.0,-0.0129449838
16,KRW-SUI,2023-05-20,2023-05-20T09:00:00,1525.0,1525.0,1500.0,1515.0,1684627199299,18473202423.964737,12231508.29111532,1525.0,-10.0,-0.006557377
17,KRW-SUI,2023-05-21,2023-05-21T09:00:00,1510.0,1550.0,1430.0,1445.0,1684713598764,57399225958.57542,38596464.87146762,1515.0,-70.0,-0.0462046205
18,KRW-SUI,2023-05-22,2023-05-22T09:00:00,1445.0,1455.0,1390.0,1405.0,1684799998141,44840976677.16274,31722929.35758536,1445.0,-40.0,-0.0276816609
19,KRW-SUI,2023-05-23,2023-05-23T09:00:00,1410.0,1460.0,1375.0,1405.0,1684886399199,48973636753.13866,34440233.08393729,1405.0,,0.0
20,KRW-SUI,2023-05-24,2023-05-24T09:00:00,1410.0,1410.0,1280.0,1320.0,1684972788577,79310938005.05989,59632877.88844038,1405.0,-85.0,-0.0604982206
21,KRW-SUI,2023-05-25,2023-05-25T09:00:00,1315.0,1355.0,1265.0,1325.0,1685059192879,52192597211.07581,39836417.46598109,1320.0,5.0,0.0037878788
22,KRW-SUI,2023-05-26,2023-05-26T09:00:00,1320.0,1350.0,1290.0,1330.0,1685145599694,34717436149.56171,26222024.79034462,1325.0,5.0,0.0037735849
23,KRW-SUI,2023-05-27,2023-05-27T09:00:00,1330.0,1360.0,1315.0,1335.0,1685231988265,21944032848.072495,16468346.41017448,1330.0,5.0,0.0037593985
24,KRW-SUI,2023-05-28,2023-05-28T09:00:00,1335.0,1425.0,1325.0,1410.0,1685318398813,49680094653.80293,36268227.32912152,1335.0,75.0,0.0561797753
25,KRW-SUI,2023-05-29,2023-05-29T09:00:00,1410.0,1465.0,1360.0,1385.0,1685404794633,95590223617.96844,67709741.90362756,1410.0,-25.0,-0.0177304965
26,KRW-SUI,2023-05-30,2023-05-30T09:00:00,1390.0,1415.0,1330.0,1335.0,1685491199729,69720165702.54312,50926765.44932206,1385.0,-50.0,-0.036101083
27,KRW-SUI,2023-05-31,2023-05-31T09:00:00,1335.0,1345.0,1275.0,1305.0,1685577597600,51533228574.41351,39540542.99889332,1335.0,-30.0,-0.0224719101
28,KRW-SUI,2023-06-01,2023-06-01T09:00:00,1300.0,1310.0,1265.0,1275.0,1685663998482,35428643402.71411,27574750.42554291,1305.0,-30.0,-0.0229885057
29,KRW-SUI,2023-06-02,2023-06-02T09:00:00,1270.0,1285.0,1210.0,1270.0,1685750380528,52169401653.2748,41737422.34917638,1275.0,-5.0,-0.0039215686
30,KRW-SUI,2023-06-03,2023-06-03T09:00:00,1270.0,1270.0,1235.0,1250.0,1685836797134,22799849737.259277,18168567.81755219,1270.0,-20.0,-0.0157480315
31,KRW-SUI,2023-06-04,2023-06-04T09:00:00,1250.0,1295.0,1245.0,1275.0,1685923188779,27140816152.21339,21308309.60886215,1250.0,25.0,0.02
32,KRW-SUI,2023-06-05,2023-06-05T09:00:00,1275.0,1285.0,1075.0,1115.0,1686009597694,71369035574.77402,60598050.70275608,1275.0,-160.0,-0.1254901961
33,KRW-SUI,2023-06-06,2023-06-06T09:00:00,1115.0,1130.0,1020.0,1110.0,1686095999591,62048129115.267105,57653553.59934594,1115.0,-5.0,-0.0044843049
34,KRW-SUI,2023-06-07,2023-06-07T09:00:00,1110.0,1110.0,1010.0,1025.0,1686182384908,39172861562.411964,36989269.2677447,1110.0,-85.0,-0.0765765766
35,KRW-SUI,2023-06-08,2023-06-08T09:00:00,1025.0,1080.0,994.0,1000.0,1686268795131,38192709140.69466,37126649.77081096,1025.0,-25.0,-0.0243902439
36,KRW-SUI,2023-06-09,2023-06-09T09:00:00,1005.0,1020.0,967.0,990.0,1686355191303,33858363076.132202,34108430.23305976,1000.0,-10.0,-0.01
37,KRW-SUI,2023-06-10,2023-06-10T09:00:00,991.0,1005.0,782.0,832.0,1686441594630,62251433890.70406,72171228.14490353,990.0,-158.0,-0.1595959596
38,KRW-SUI,2023-06-11,2023-06-11T09:00:00,832.0,840.0,803.0,823.0,1686527999425,17030643479.151407,20661032.30084678,832.0,-9.0,-0.0108173077
39,KRW-SUI,2023-06-12,2023-06-12T09:00:00,822.0,905.0,768.0,874.0,1686614395863,128999591289.74152,150381375.65597573,823.0,51.0,0.0619684083
40,KRW-SUI,2023-06-13,2023-06-13T09:00:00,873.0,957.0,870.0,914.0,1686700798044,204341975263.66678,222744792.19480926,874.0,40.0,0.0457665904
41,KRW-SUI,2023-06-14,2023-06-14T09:00:00,913.0,933.0,829.0,854.0,1686787196810,112057645906.30785,126411294.4222748,914.0,-60.0,-0.0656455142
42,KRW-SUI,2023-06-15,2023-06-15T09:00:00,855.0,865.0,811.0,848.0,1686873599510,82355369711.97191,97904876.08356376,854.0,-6.0,-0.0070257611
43,KRW-SUI,2023-06-16,2023-06-16T09:00:00,848.0,943.0,818.0,928.0,1686960000003,98316712947.8885,112309775.71615784,848.0,80.0,0.0943396226
44,KRW-SUI,2023-06-17,2023-06-17T09:00:00,927.0,1020.0,922.0,989.0,1687046399187,183253623046.266,187246450.58806273,928.0,61.0,0.0657327586
45,KRW-SUI,2023-06-18,2023-06-18T09:00:00,989.0,1040.0,935.0,942.0,1687132798750,102456614248.3759,103514622.85133643,989.0,-47.0,-0.0475227503
46,KRW-SUI,2023-06-19,2023-06-19T09:00:00,942.0,1040.0,928.0,1030.0,1687219199478,119761364160.638,120971404.81320259,942.0,88.0,0.093418259
47,KRW-SUI,2023-06-20,2023-06-20T09:00:00,1030.0,1080.0,987.0,1070.0,1687305599058,114290383445.59697,110887160.6942544,1030.0,40.0,0.0388349515
48,KRW-SUI,2023-06-21,2023-06-21T09:00:00,1070.0,1110.0,1010.0,1085.0,1687391999346,153904850132.8688,145430928.33839056,1070.0,15.0,0.0140186916
49,KRW-SUI,2023-06-22,2023-06-22T09:00:00,1085.0,1165.0,1045.0,1050.0,1687478399453,151177955065.63904,137977036.97395873,1085.0,-35.0,-0.0322580645
50,KRW-SUI,2023-06-23,2023-06-23T09:00:00,1050.0,1100.0,1040.0,1060.0,1687564793553,89761429540.7783,84601492.38431482,1050.0,10.0,0.0095238095
51,KRW-SUI,2023-06-24,2023-06-24T09:00:00,1060.0,1060.0,986.0,1005.0,1687651185595,76370852384.60872,74781359.50234252,1060.0,-55.0,-0.0518867925
52,KRW-SUI,2023-06-25,2023-06-25T09:00:00,1005.0,1040.0,982.0,988.0,1687737593702,63018127029.09444,62456699.54056093,1005.0,-17.0,-0.0169154229
53,KRW-SUI,2023-06-26,2023-06-26T09:00:00,987.0,1005.0,944.0,962.0,1687823996927,66811805170.16626,68498619.84406897,988.0,-26.0,-0.0263157895
54,KRW-SUI,2023-06-27,2023-06-27T09:00:00,962.0,1000.0,931.0,953.0,1687910399104,62815416862.82243,65250259.50172792,962.0,-9.0,-0.0093555094
