,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-SXP,2022-12-05,2022-12-05T09:00:00,335.0,339.0,329.0,330.0,1670284626219,1370644180.8121796,4095475.38585211,336.0,-6.0,-0.0178571429
1,KRW-SXP,2022-12-06,2022-12-06T09:00:00,330.0,339.0,327.0,338.0,1670371189583,1318804444.6379192,3969153.04624505,330.0,8.0,0.0242424242
2,KRW-SXP,2022-12-07,2022-12-07T09:00:00,337.0,340.0,320.0,324.0,1670457569686,2240481287.2825375,6820345.41960402,338.0,-14.0,-0.0414201183
3,KRW-SXP,2022-12-08,2022-12-08T09:00:00,324.0,327.0,316.0,326.0,1670543987832,1064372527.2874366,3301848.40458873,324.0,2.0,0.0061728395
4,KRW-SXP,2022-12-09,2022-12-09T09:00:00,325.0,326.0,321.0,323.0,1670630389845,880412346.0389062,2721991.8905556,326.0,-3.0,-0.009202454
5,KRW-SXP,2022-12-10,2022-12-10T09:00:00,323.0,333.0,320.0,332.0,1670716796606,2475698314.3879437,7549287.76155055,323.0,9.0,0.0278637771
6,KRW-SXP,2022-12-11,2022-12-11T09:00:00,332.0,340.0,326.0,328.0,1670803179241,3030449348.639554,9115775.91097304,332.0,-4.0,-0.0120481928
7,KRW-SXP,2022-12-12,2022-12-12T09:00:00,328.0,328.0,310.0,319.0,1670889593384,2572072204.03398,8115283.52028031,328.0,-9.0,-0.0274390244
8,KRW-SXP,2022-12-13,2022-12-13T09:00:00,319.0,338.0,303.0,322.0,1670975918818,15524346053.255413,48040411.67919231,319.0,3.0,0.0094043887
9,KRW-SXP,2022-12-14,2022-12-14T09:00:00,322.0,337.0,313.0,318.0,1671062316657,8184397179.580219,25066141.61037092,322.0,-4.0,-0.0124223602
10,KRW-SXP,2022-12-15,2022-12-15T09:00:00,317.0,333.0,311.0,313.0,1671148783801,13012772687.353651,40374141.4486632,318.0,-5.0,-0.0157232704
11,KRW-SXP,2022-12-16,2022-12-16T09:00:00,312.0,316.0,284.0,290.0,1671235171529,4139266481.805802,13496080.20577109,313.0,-23.0,-0.0734824281
12,KRW-SXP,2022-12-17,2022-12-17T09:00:00,290.0,300.0,271.0,287.0,1671321569772,10100344856.903765,35416964.59620548,290.0,-3.0,-0.0103448276
13,KRW-SXP,2022-12-18,2022-12-18T09:00:00,287.0,306.0,281.0,287.0,1671407979731,13369295665.115307,45517519.27142895,287.0,,0.0
14,KRW-SXP,2022-12-19,2022-12-19T09:00:00,286.0,289.0,259.0,265.0,1671494377734,2533608130.515696,9196624.31137582,287.0,-22.0,-0.0766550523
15,KRW-SXP,2022-12-20,2022-12-20T09:00:00,265.0,276.0,264.0,276.0,1671580695906,1492079459.5863547,5483120.48858877,265.0,11.0,0.041509434
16,KRW-SXP,2022-12-21,2022-12-21T09:00:00,276.0,276.0,267.0,275.0,1671667183404,1682828731.8829012,6195330.54338654,276.0,-1.0,-0.0036231884
17,KRW-SXP,2022-12-22,2022-12-22T09:00:00,275.0,292.0,271.0,280.0,1671753592548,12640940377.468771,45059406.14073995,275.0,5.0,0.0181818182
18,KRW-SXP,2022-12-23,2022-12-23T09:00:00,279.0,282.0,275.0,280.0,1671839948961,1684855609.0055196,6040047.17883122,280.0,,0.0
19,KRW-SXP,2022-12-24,2022-12-24T09:00:00,280.0,281.0,277.0,280.0,1671925854208,629694022.6653548,2257168.72438475,280.0,,0.0
20,KRW-SXP,2022-12-25,2022-12-25T09:00:00,280.0,281.0,270.0,273.0,1672012707938,922948211.3661706,3349181.26905519,280.0,-7.0,-0.025
21,KRW-SXP,2022-12-26,2022-12-26T09:00:00,273.0,277.0,270.0,277.0,1672099186311,845294179.4024252,3095045.10211745,273.0,4.0,0.0146520147
22,KRW-SXP,2022-12-27,2022-12-27T09:00:00,277.0,277.0,268.0,271.0,1672185466977,897475601.5630413,3283213.43964813,277.0,-6.0,-0.0216606498
23,KRW-SXP,2022-12-28,2022-12-28T09:00:00,272.0,274.0,250.0,266.0,1672271960480,1261398265.063914,4751194.89356079,271.0,-5.0,-0.0184501845
24,KRW-SXP,2022-12-29,2022-12-29T09:00:00,266.0,269.0,255.0,259.0,1672358378925,1288999739.3266578,4912840.84439776,266.0,-7.0,-0.0263157895
25,KRW-SXP,2022-12-30,2022-12-30T09:00:00,260.0,260.0,249.0,249.0,1672444798228,1444032947.0814483,5701384.49772394,259.0,-10.0,-0.0386100386
26,KRW-SXP,2022-12-31,2022-12-31T09:00:00,249.0,260.0,248.0,256.0,1672531189248,1848511338.6640632,7254631.0142832,249.0,7.0,0.0281124498
27,KRW-SXP,2023-01-01,2023-01-01T09:00:00,255.0,258.0,253.0,256.0,1672617577049,534059056.50611496,2086563.8754349,256.0,,0.0
28,KRW-SXP,2023-01-02,2023-01-02T09:00:00,257.0,262.0,253.0,260.0,1672703910834,1074496741.3516552,4161639.17783744,256.0,4.0,0.015625
29,KRW-SXP,2023-01-03,2023-01-03T09:00:00,259.0,264.0,258.0,262.0,1672790391332,1045760263.4461547,4009849.74336052,260.0,2.0,0.0076923077
30,KRW-SXP,2023-01-04,2023-01-04T09:00:00,263.0,270.0,263.0,265.0,1672876772413,1486043004.6017535,5581832.58394173,262.0,3.0,0.0114503817
31,KRW-SXP,2023-01-05,2023-01-05T09:00:00,266.0,270.0,262.0,268.0,1672963180112,1362112061.8690064,5104393.42781984,265.0,3.0,0.0113207547
32,KRW-SXP,2023-01-06,2023-01-06T09:00:00,269.0,270.0,257.0,267.0,1673049599340,1565641859.8179343,5944151.19910371,268.0,-1.0,-0.0037313433
33,KRW-SXP,2023-01-07,2023-01-07T09:00:00,266.0,271.0,266.0,268.0,1673135901248,719766019.7410007,2686103.92785987,267.0,1.0,0.0037453184
34,KRW-SXP,2023-01-08,2023-01-08T09:00:00,268.0,276.0,264.0,275.0,1673222398557,821574623.8023541,3057978.12119438,268.0,7.0,0.026119403
35,KRW-SXP,2023-01-09,2023-01-09T09:00:00,275.0,287.0,272.0,281.0,1673308686994,2134252609.0699563,7629718.88604182,275.0,6.0,0.0218181818
36,KRW-SXP,2023-01-10,2023-01-10T09:00:00,281.0,317.0,276.0,293.0,1673395191314,15967574056.461613,53073313.32158975,281.0,12.0,0.0427046263
37,KRW-SXP,2023-01-11,2023-01-11T09:00:00,293.0,295.0,282.0,294.0,1673481510099,2919619599.5802546,10140552.16652281,293.0,1.0,0.0034129693
38,KRW-SXP,2023-01-12,2023-01-12T09:00:00,294.0,301.0,285.0,299.0,1673568000056,3242072944.0338717,11064887.28023883,294.0,5.0,0.0170068027
39,KRW-SXP,2023-01-13,2023-01-13T09:00:00,299.0,311.0,295.0,308.0,1673654382246,3560587818.1205616,11752983.04090137,299.0,9.0,0.0301003344
40,KRW-SXP,2023-01-14,2023-01-14T09:00:00,309.0,334.0,301.0,322.0,1673740778228,8333168549.680431,26151466.25054586,308.0,14.0,0.0454545455
41,KRW-SXP,2023-01-15,2023-01-15T09:00:00,322.0,329.0,309.0,328.0,1673827193015,8010384824.16711,24967755.449103,322.0,6.0,0.0186335404
42,KRW-SXP,2023-01-16,2023-01-16T09:00:00,328.0,333.0,309.0,326.0,1673913593203,6725096338.52199,20777557.66526072,328.0,-2.0,-0.006097561
43,KRW-SXP,2023-01-17,2023-01-17T09:00:00,326.0,329.0,316.0,326.0,1673999986106,4755687281.223776,14674363.80244038,326.0,,0.0
44,KRW-SXP,2023-01-18,2023-01-18T09:00:00,326.0,352.0,309.0,311.0,1674086398551,35975343939.570114,107128902.56615975,326.0,-15.0,-0.0460122699
45,KRW-SXP,2023-01-19,2023-01-19T09:00:00,311.0,326.0,310.0,320.0,1674172791280,5883361440.120996,18523722.8412668,311.0,9.0,0.0289389068
46,KRW-SXP,2023-01-20,2023-01-20T09:00:00,320.0,341.0,314.0,340.0,1674259199393,4827719875.346657,14938179.48462737,320.0,20.0,0.0625
47,KRW-SXP,2023-01-21,2023-01-21T09:00:00,341.0,352.0,334.0,338.0,1674345588535,7892773779.64441,22936796.88662768,340.0,-2.0,-0.0058823529
48,KRW-SXP,2023-01-22,2023-01-22T09:00:00,337.0,352.0,337.0,345.0,1674431953093,5272444921.107079,15322598.66844505,338.0,7.0,0.0207100592
49,KRW-SXP,2023-01-23,2023-01-23T09:00:00,344.0,361.0,343.0,359.0,1674518397134,8412220467.854708,23835347.0864971,345.0,14.0,0.0405797101
50,KRW-SXP,2023-01-24,2023-01-24T09:00:00,359.0,415.0,343.0,350.0,1674604783401,45052083127.47578,119241101.30739158,359.0,-9.0,-0.0250696379
51,KRW-SXP,2023-01-25,2023-01-25T09:00:00,350.0,363.0,338.0,358.0,1674691197978,8249548463.07422,23677954.00453548,350.0,8.0,0.0228571429
52,KRW-SXP,2023-01-26,2023-01-26T09:00:00,358.0,396.0,357.0,367.0,1674777599906,24835009540.38275,66317571.73871483,358.0,9.0,0.0251396648
53,KRW-SXP,2023-01-27,2023-01-27T09:00:00,368.0,378.0,356.0,378.0,1674863983175,7967713155.869328,21618479.11914953,367.0,11.0,0.029972752
54,KRW-SXP,2023-01-28,2023-01-28T09:00:00,378.0,379.0,360.0,368.0,1674950397540,4227570575.073295,11419765.09706819,378.0,-10.0,-0.0264550265
55,KRW-SXP,2023-01-29,2023-01-29T09:00:00,368.0,375.0,362.0,374.0,1675036798386,3192425941.244608,8654191.71538272,368.0,6.0,0.0163043478
56,KRW-SXP,2023-01-30,2023-01-30T09:00:00,374.0,375.0,338.0,345.0,1675123192527,5032194129.526905,14158477.59635882,374.0,-29.0,-0.077540107
57,KRW-SXP,2023-01-31,2023-01-31T09:00:00,345.0,359.0,340.0,352.0,1675209582819,4168698298.020619,11909358.00584907,345.0,7.0,0.0202898551
58,KRW-SXP,2023-02-01,2023-02-01T09:00:00,352.0,367.0,336.0,364.0,1675295996196,5816100600.998388,16598367.73239746,352.0,12.0,0.0340909091
59,KRW-SXP,2023-02-02,2023-02-02T09:00:00,364.0,389.0,363.0,373.0,1675382394355,13329904606.98225,35274439.84521643,364.0,9.0,0.0247252747
60,KRW-SXP,2023-02-03,2023-02-03T09:00:00,373.0,390.0,367.0,390.0,1675468795980,6284331706.573201,16653465.58049348,373.0,17.0,0.0455764075
61,KRW-SXP,2023-02-04,2023-02-04T09:00:00,390.0,405.0,387.0,402.0,1675555198953,6677847276.135709,16894963.93118704,390.0,12.0,0.0307692308
62,KRW-SXP,2023-02-05,2023-02-05T09:00:00,402.0,415.0,364.0,387.0,1675641598163,15329150330.054617,38798321.35981641,402.0,-15.0,-0.0373134328
63,KRW-SXP,2023-02-06,2023-02-06T09:00:00,386.0,402.0,380.0,395.0,1675727980127,10224630728.380035,25928507.67338612,387.0,8.0,0.0206718346
64,KRW-SXP,2023-02-07,2023-02-07T09:00:00,394.0,411.0,385.0,408.0,1675814392696,6495051660.340066,16304781.6901591,395.0,13.0,0.0329113924
65,KRW-SXP,2023-02-08,2023-02-08T09:00:00,410.0,418.0,389.0,404.0,1675900794727,7701853261.014818,18967204.98357186,408.0,-4.0,-0.0098039216
66,KRW-SXP,2023-02-09,2023-02-09T09:00:00,403.0,409.0,362.0,366.0,1675987195007,8698371418.444942,22452318.42664684,404.0,-38.0,-0.0940594059
67,KRW-SXP,2023-02-10,2023-02-10T09:00:00,366.0,418.0,356.0,378.0,1676073597766,22517839979.21115,59078851.74793551,366.0,12.0,0.0327868852
68,KRW-SXP,2023-02-11,2023-02-11T09:00:00,378.0,380.0,368.0,376.0,1676159910840,3319528114.326138,8907062.47069183,378.0,-2.0,-0.0052910053
